,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;26 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;27 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;New this week,BECOMING;by Michelle Obama;17 weeks on the list,BECOMING;by Michelle Obama;17 weeks on the list,SAPIENS;by Yuval Noah Harari;43 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;New this week",WONDER;by R.J. Palacio;187 weeks on the list,YOU ARE MY HAPPY;by Hoda Kotb. Illustrated by Suzie Mason;New this week,DOG MAN;by Dav Pilkey;80 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;14 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
2,CEMETERY ROAD;by Greg Iles;New this week,CEMETERY ROAD;by Greg Iles;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;27 weeks on the list,THE CASE FOR TRUMP;by Victor Davis Hanson;New this week,THE CASE FOR TRUMP;by Victor Davis Hanson;New this week,BORN A CRIME;by Trevor Noah;4 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;48 weeks on the list",RONAN BOYLE AND THE BRIDGE OF RIDDLES;by Thomas Lennon. Illustrated by John Hendrix;New this week,THE GOOD EGG;by Jory John. Illustrated by Pete Oswald;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;521 weeks on the list,THE HATE U GIVE;by Angie Thomas;106 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,THE UNINHABITABLE EARTH;by David Wallace-Wells;,TB12 METHOD;by Tom Brady;
3,SILENT NIGHT;by Danielle Steel;New this week,DAISY JONES & THE SIX;by Taylor Jenkins Reid;New this week,THE LOST GIRLS OF PARIS;by Pam Jenoff;6 weeks on the list,EDUCATED;by Tara Westover;55 weeks on the list,EDUCATED;by Tara Westover;55 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;35 weeks on the list,"OUTER ORDER, INNER CALM;by Gretchen Rubin;New this week",WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;64 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;12 weeks on the list,THE SCHOOL FOR GOOD AND EVIL;by Soman Chainani;6 weeks on the list,ON THE COME UP;by Angie Thomas;5 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;,THE THREAT;by Andrew G. McCabe;,MAID;by Stephanie Land;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
4,THE MALTA EXCHANGE;by Steve Berry;New this week,SILENT NIGHT;by Danielle Steel;New this week,THE HUNTRESS;by Kate Quinn;2 weeks on the list,BORN A CRIME;by Trevor Noah;37 weeks on the list,THE UNINHABITABLE EARTH;by David Wallace-Wells;3 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;49 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;117 weeks on the list,REFUGEE;by Alan Gratz;48 weeks on the list,THE BAD SEED;by Jory John. Illustrated by Pete Oswald;3 weeks on the list,HARRY POTTER;by J.K. Rowling;520 weeks on the list,STAR WARS: QUEEN'S SHADOW;by E.K. Johnston;New this week,CONNECTIONS IN DEATH;by J.D. Robb;,BAD BLOOD;by John Carreyrou;,ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
5,DAISY JONES & THE SIX;by Taylor Jenkins Reid;New this week,THE CHEF;by James Patterson and Max DiLallo;3 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;40 weeks on the list,BAD BLOOD;by John Carreyrou;31 weeks on the list,THE THREAT;by Andrew G. McCabe;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;20 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;156 weeks on the list,MAX AND THE MIDKNIGHTS;by Lincoln Peirce;9 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;262 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;43 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;10 weeks on the list",A KILLER'S MIND;by Mike Omer;,SAPIENS;by Yuval Noah Harari;,GRIT;by Angela Duckworth;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,GOOD TO GO;by Christie Aschwanden;
6,THE WOMAN IN THE WINDOW;by A.J. Finn;17 weeks on the list,THE LAST ROMANTICS;by Tara Conklin;4 weeks on the list,THE IMMORTALISTS;by Chloe Benjamin;5 weeks on the list,THE UNINHABITABLE EARTH;by David Wallace-Wells;3 weeks on the list,SPEARHEAD;by Adam Makos;3 weeks on the list,GRIT;by Angela Duckworth;28 weeks on the list,YOU ARE A BADASS;by Jen Sincero;162 weeks on the list,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;13 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;175 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;161 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;53 weeks on the list,MISSION CRITICAL;by Mark Greaney;,BORN A CRIME;by Trevor Noah;,FROM THE GROUND UP;by Howard Schultz with Joanne Gordon;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG FELLA;by Jane Leavy;
7,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;26 weeks on the list,THE MALTA EXCHANGE;by Steve Berry;New this week,SOLD ON A MONDAY;by Kristina McMorris;14 weeks on the list,THE THREAT;by Andrew G. McCabe;3 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;2 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;2 weeks on the list,DARE TO LEAD;by Brené Brown;9 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;29 weeks on the list,BECAUSE;by Mo Willems. Illustrated by Amber Ren;New this week,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;67 weeks on the list,YES SHE CAN;compiled by Molly Dillon;New this week,THEN SHE WAS GONE;by Lisa Jewell;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
8,THE SILENT PATIENT;by Alex Michaelides;5 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;5 weeks on the list,AN AMERICAN MARRIAGE;by Tayari Jones;5 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;2 weeks on the list,BAD BLOOD;by John Carreyrou;21 weeks on the list,BEING MORTAL;by Atul Gawande;74 weeks on the list,DREYER'S ENGLISH;by Benjamin Dreyer;6 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;88 weeks on the list,CIRCLE;by Mac Barnett. Illustrated by Jon Klassen;New this week,DORK DIARIES;by Rachel Renée Russell;282 weeks on the list,THE POET X;by Elizabeth Acevedo;9 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,THE LAST ROMANTICS;by Tara Conklin;New this week,THE ISLAND OF SEA WOMEN;by Lisa See;New this week,JUROR #3;by James Patterson and Nancy Allen;4 weeks on the list,SPEARHEAD;by Adam Makos;3 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;8 weeks on the list,SHOE DOG;by Phil Knight;34 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;21 weeks on the list,BLENDED;by Sharon M. Draper;8 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;14 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;34 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;22 weeks on the list",THE FIRST FIFTEEN LIVES OF HARRY AUGUST;by Claire North;,THE GOOD NURSE;by Charles Graeber;,LEADERSHIP;by Doris Kearns Goodwin;,NEVER ENOUGH;by Judith Grisel;,THE BOYS IN THE BOAT;by Daniel James Brown;
10,THE CHEF;by James Patterson and Max DiLallo;3 weeks on the list,THE BORDER;by Don Winslow;2 weeks on the list,I WAS ANASTASIA;by Ariel Lawhon;2 weeks on the list,SAPIENS;by Yuval Noah Harari;63 weeks on the list,GRATEFUL AMERICAN;by Gary Sinise with Marcus Brotherton;4 weeks on the list,JUST MERCY;by Bryan Stevenson;143 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;271 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;24 weeks on the list,I'VE LOVED YOU SINCE FOREVER;by Hoda Kotb. Illustrated by Suzie Mason;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;498 weeks on the list,TWO CAN KEEP A SECRET;by Karen M. McManus;9 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,CRASHES AND CRISES;by Connel Fullenkamp;,ZUCKED;by Roger McNamee;,THE POWER OF HABIT;by Charles Duhigg;,THE MAMBA MENTALITY;by Kobe Bryant;
