,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE HELP;by Kathryn Stockett;26 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;5 weeks on the list,THE HELP;by Kathryn Stockett;19 weeks on the list,,,THE HELP;by Kathryn Stockett;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;29 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;39 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;5 weeks on the list,THE 17 DAY DIET;by Mike Moreno;22 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;211 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,GREEN LANTERN: SECRET ORIGIN;by Geoff Johns and Ivan Reis;10 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;10 weeks on the list","YU-GI-OH! GX, VOL. 7;by Naoyuki Kageyama;2 weeks on the list",MICHAEL VEY: THE PRISONER OF CELL 25;by Richard Paul Evans;New this week,THE BOOK THIEF;by Markus Zusak;205 weeks on the list,"SKIPPYJON JONES, CLASS ACTION;by Judy Schachner;5 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;51 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;,OUTLIERS;by Malcolm Gladwell;,IN THE GARDEN OF BEASTS;by Erik Larson;
2,THE IDEAL MAN;by Julie Garwood;New this week,THE IDEAL MAN;by Julie Garwood;New this week,SAFE HAVEN;by Nicholas Sparks;2 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,A STOLEN LIFE;by Jaycee Dugard;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;39 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;23 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;29 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;11 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;524 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;27 weeks on the list,KICK-ASS;by Mark Millar and John Romita Jr.;3 weeks on the list,"BLUE EXORCIST, VOL. 3;by Kazue Kato;2 weeks on the list",THE THRONE OF FIRE;by Rick Riordan;15 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;9 weeks on the list,PINKALICIOUS;by Victoria Kann and Elizabeth Kann. Illustrated by Victoria Kann;9 weeks on the list,HARRY POTTER;by J.K. Rowling;265 weeks on the list,CAR GUYS VS. BEAN COUNTERS;by Bob Lutz;,DRIVE;by Daniel H. Pink;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;
3,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;7 weeks on the list,FULL BLACK;by Brad Thor;3 weeks on the list,ONE DAY;by David Nicholls;24 weeks on the list,,,THE CONFESSION;by John Grisham;,UNBROKEN;by Laura Hillenbrand;29 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;14 weeks on the list,OUTLIERS;by Malcolm Gladwell;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;29 weeks on the list,PRIME TIME;by Jane Fonda;New this week,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;32 weeks on the list",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;75 weeks on the list,"BAKUMAN, VOL. 6;by Tsugumi Ohba;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;10 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;107 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;3 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;243 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
4,UNTIL PROVEN GUILTY;by J. A. Jance;2 weeks on the list,VICTORY AND HONOR;by W. E. B. Griffin and William E. Butterworth IV;New this week,SARAH’S KEY;by Tatiana de Rosnay;128 weeks on the list,,,ONE DAY;by David Nicholls;,IN THE GARDEN OF BEASTS;by Erik Larson;14 weeks on the list,1493;by Charles C. Mann;New this week,THE GLASS CASTLE;by Jeannette Walls;232 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;14 weeks on the list,THE DUKAN DIET;by Pierre Dukan;17 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;43 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,CAPTAIN AMERICA: MAN OUT OF TIME;by Mark Waid and Jorge Molina;5 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;6 weeks on the list,"AI ORE-LOVE ME, VOL. 2;by Mayu Shinjo;2 weeks on the list","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;7 weeks on the list",SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;15 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;6 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;52 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,TOO BIG TO FAIL;by Andrew Ross Sorkin;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;
5,ONE DAY;by David Nicholls;2 weeks on the list,COLD VENGEANCE;by Douglas Preston and Lincoln Child;2 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;81 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;29 weeks on the list,AFTER AMERICA;by Mark Steyn;New this week,THE ORIGINAL ARGUMENT;by Glenn Beck with Joshua Charles;9 weeks on the list,BOSSYPANTS;by Tina Fey;19 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;35 weeks on the list,EAT TO LIVE;by Joel Fuhrman;8 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,BATMAN: THE WIDENING GYRE;by Kevin Smith and Walter Flanagan;6 weeks on the list,"BLACKEST NIGHT: BLACK LANTERN CORPS, VOL. 1;by Peter Tomasi and James Robinson;3 weeks on the list","FULLMETAL ALCHEMIST (3-IN-1 EDITION), VOL. 2;by Hiromu Arakawa;2 weeks on the list",NEVER HAVE I EVER;by Sara Shepard;2 weeks on the list,THE NINE LIVES OF CHLOE KING;by Liz Braswell;9 weeks on the list,PRESS HERE;by Hervé Tullet;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;135 weeks on the list,TOMATOLAND;by Barry Estabrook;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;
6,A GAME OF THRONES;by George R.R. Martin;18 weeks on the list,GHOST STORY;by Jim Butcher;3 weeks on the list,ROOM;by Emma Donoghue;15 weeks on the list,,,A DANCE WITH DRAGONS;by George R. R. Martin;,AFTER AMERICA;by Mark Steyn;New this week,THE GREATER JOURNEY;by David McCullough;12 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;177 weeks on the list,AFTER AMERICA;by Mark Steyn;New this week,THE SECRET;by Rhonda Byrne;188 weeks on the list,ERASING HELL;by Francis Chan and Preston Sprinkle;6 weeks on the list,1493;by Charles C. Mann;,DARK TOWER: THE GUNSLINGER - THE LITTLE SISTER OF ELURIA;by Robin Furth and Richard Isanove;6 weeks on the list,"THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;2 weeks on the list","NARUTO, VOL. 47;by Masashi Kishimoto;21 weeks on the list",SUPER DIAPER BABY 2;written and illustrated by Dav Pilkey;7 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;15 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;31 weeks on the list,DORK DIARIES;by Rachel Renée Russell;10 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,THE BIG SHORT;by Michael Lewis;,MIRACLE OF FREEDOM;by Chris Stewart and Ted Stewart;
7,A DANCE WITH DRAGONS;by George R. R. Martin;5 weeks on the list,ASCENSION;by Christie Golden;New this week,WATER FOR ELEPHANTS;by Sara Gruen;133 weeks on the list,,,THE IDEAL MAN;by Julie Garwood;,BOSSYPANTS;by Tina Fey;19 weeks on the list,BOSSYPANTS;by Tina Fey;19 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;29 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;111 weeks on the list,RADICAL;by David Platt;60 weeks on the list,AFTER AMERICA;by Mark Steyn;,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;13 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;97 weeks on the list,"BLEACH (3-IN-1 EDITION), VOL. 2;by Tite Kubo;New this week",THEODORE BOONE: THE ABDUCTION;by John Grisham;10 weeks on the list,THE SMURFS MOVIE NOVELIZATION;by Stacia Deutsch and Rhody Cohon;2 weeks on the list,LEGO HARRY POTTER;by the DK staff;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;214 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,THE CHECKLIST MANIFESTO;by Atul Gawande;,DEMONIC;by Ann Coulter;
8,FULL BLACK;by Brad Thor;3 weeks on the list,THE MAGICIAN KING;by Lev Grossman;New this week,THE ART OF RACING IN THE RAIN;by Garth Stein;114 weeks on the list,,,SARAH’S KEY;by Tatiana de Rosnay;,1493;by Charles C. Mann;New this week,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;14 weeks on the list,TIPPING POINT;by Malcolm Gladwell;357 weeks on the list,STOLEN INNOCENCE;by Elissa Wall with Lisa Pulitzer;3 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;34 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;24 weeks on the list,OUTLIERS;by Malcolm Gladwell;,BLOOD WORK;by Kim Harrison and Pedro Maia;5 weeks on the list,"COWBOYS AND ALIENS;by Scott M. Rosenberg, Fred Van Lente and others;5 weeks on the list","I AM HERE!, VOL. 2;by Ema Toyama;2 weeks on the list",THE LYING GAME;by Sara Shepard;8 weeks on the list,PINKALICIOUS AND THE PINK PUMPKIN;by Victoria Kann;New this week,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK);written and illustrated by Mo Willems;8 weeks on the list,SHIVER;by Maggie Stiefvater;5 weeks on the list,MOST IMPORTANT THING;by Howard Marks;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AREA 51;by Annie Jacobsen;
9,SARAH’S KEY;by Tatiana de Rosnay;4 weeks on the list,PORTRAIT OF A SPY;by Daniel Silva;4 weeks on the list,A GAME OF THRONES;by George R.R. Martin;13 weeks on the list,,,FULL BLACK;by Brad Thor;,THE GLASS CASTLE;by Jeannette Walls;16 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;11 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;14 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;14 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;85 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;128 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;,"BRIGHTEST DAY, VOL. 2;by Geoff Johns and Peter J. Tomasi;12 weeks on the list","THE WALKING DEAD, VOL. 14;by Robert Kirkman and Charlie Adlard;8 weeks on the list","SAKURA HIME: THE LEGEND OF PRINCESS SAKURA, VOL. 3;by  Arina Tanemura;2 weeks on the list",WHAT HAPPENED TO GOODBYE;by Sarah Dessen;14 weeks on the list,THE MAZE RUNNER;by James Dashner;21 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;27 weeks on the list,THIRST;by Christopher Pike;New this week,DELIVERING HAPPINESS;by Tony Hsieh;,UNFAIR ADVANTAGE;by Robert T. Kiyosaki;,THE HEART AND THE FIST;by Eric Greitens;
10,THE CONFESSION;by John Grisham;8 weeks on the list,RETRIBUTION;by Sherrilyn Kenyon;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;189 weeks on the list,,,VICTORY AND HONOR;by W. E. B. Griffin and William E. Butterworth IV;,OUTLIERS;by Malcolm Gladwell;10 weeks on the list,OF THEE I ZING;by Laura Ingraham with Raymond Arroyo;5 weeks on the list,1491;by Charles C. Mann;4 weeks on the list,LOST IN SHANGRI-LA;by Mitchell Zuckoff;16 weeks on the list,LOVE WINS;by Rob Bell;21 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;30 weeks on the list",BOSSYPANTS;by Tina Fey;,BATMAN: BRUCE WAYNE — THE ROAD HOME;by various;4 weeks on the list,THE GRIFF;by Christopher Moore and Ian Corson;4 weeks on the list,"OTOMEN, VOL. 11;by Aya Kanno;2 weeks on the list",THE LOST HERO;by Rick Riordan;44 weeks on the list,"NERDS (BOOK ONE: NATIONAL ESPIONAGE, RESCUE, AND DEFENSE SOCIETY);by Michael Buckley;8 weeks on the list",LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;15 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;131 weeks on the list,GET RICH CLICK!;by Marc Ostrofsky;,LIAR'S POKER;by Michael Lewis;,A WORLD ON FIRE;by Amanda Foreman;
