,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;43 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;44 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;7 weeks on the list,EDUCATED;by Tara Westover;72 weeks on the list,EDUCATED;by Tara Westover;72 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;11 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;134 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;13 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;New this week,DOG MAN;by Dav Pilkey;97 weeks on the list,THE HATE U GIVE;by Angie Thomas;123 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,RANGE;by David Epstein;
2,SUMMER OF '69;by Elin Hilderbrand;3 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;3 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;44 weeks on the list,THE PIONEERS;by David McCullough;9 weeks on the list,THE PIONEERS;by David McCullough;9 weeks on the list,BORN A CRIME;by Trevor Noah;21 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;65 weeks on the list",POPULARMMOS PRESENTS ENTER THE MINE;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;5 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;192 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;538 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;31 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;,EDUCATED;by Tara Westover;,RANGE;by David Epstein;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THE SIXTH MAN;by Andre Iguodala with Carvell Wallace;
3,THE RECKONING;by John Grisham;21 weeks on the list,EVVIE DRAKE STARTS OVER;by Linda Holmes;2 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;9 weeks on the list,UNFREEDOM OF THE PRESS;by Mark R. Levin;7 weeks on the list,UNFREEDOM OF THE PRESS;by Mark R. Levin;7 weeks on the list,SAPIENS;by Yuval Noah Harari;60 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;18 weeks on the list",WONDER;by R.J. Palacio;204 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;279 weeks on the list,THE BAD GUYS;by Aaron Blabey;38 weeks on the list,THE REST OF THE STORY;by Sarah Dessen;5 weeks on the list,GOOD OMENS;by Neil Gaiman and Terry Pratchett;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,WOLFPACK;by Abby Wambach;
4,EVVIE DRAKE STARTS OVER;by Linda Holmes;New this week,BACKLASH;by Brad Thor;2 weeks on the list,THE RECKONING;by John Grisham;3 weeks on the list,BECOMING;by Michelle Obama;34 weeks on the list,BECOMING;by Michelle Obama;34 weeks on the list,CALYPSO;by David Sedaris;5 weeks on the list,YOU ARE A BADASS;by Jen Sincero;179 weeks on the list,REFUGEE;by Alan Gratz;62 weeks on the list,MOON'S FIRST FRIENDS;by Susanna Leonard Hill. Illustrated by Elisa Paganelli;New this week,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;178 weeks on the list,"GHOSTS OF THE SHADOW MARKET;by Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Kelly Link and Robin Wasserman;5 weeks on the list",THE SILENT PATIENT;by Alex Michaelides;,BORN A CRIME;by Trevor Noah;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",ONE GIANT LEAP;by Charles Fishman;,THE MVP MACHINE;by Ben Lindbergh and Travis Sawchik;
5,BACKLASH;by Brad Thor;2 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;5 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;18 weeks on the list,BORN A CRIME;by Trevor Noah;51 weeks on the list,SONGS OF AMERICA;by Jon Meacham and Tim McGraw;4 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;37 weeks on the list,DARE TO LEAD;by Brené Brown;24 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;73 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;277 weeks on the list,HARRY POTTER;by J.K. Rowling;537 weeks on the list,PAN'S LABYRINTH: THE LABYRINTH OF THE FAUN;by Guillermo del Toro and Cornelia Funke;New this week,FALL; OR DODGE IN HELL;by Neal Stephenson;,SAPIENS;by Yuval Noah Harari;,ATOMIC HABITS;by James Clear;,UNDERLAND;by Robert Macfarlane;,K;by Tyler Kepner;
6,CITY OF GIRLS;by Elizabeth Gilbert;5 weeks on the list,LOST AND FOUND;by Danielle Steel;2 weeks on the list,THE OUTSIDER;by Stephen King;5 weeks on the list,HOWARD STERN COMES AGAIN;by Howard Stern;8 weeks on the list,HOWARD STERN COMES AGAIN;by Howard Stern;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;281 weeks on the list,MAKE YOUR BED;by William H. McRaven;69 weeks on the list,KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;14 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;57 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;82 weeks on the list,ON THE COME UP;by Angie Thomas;22 weeks on the list,A CLASH OF KINGS;by George R.R. Martin;,SIEGE;by Michael Wolff;,OUTLIERS;by Malcolm Gladwell;,BEING MORTAL;by Atul Gawande;,PLAY HUNGRY;by Pete Rose;
7,SOMEONE TO HONOR;by Mary Balogh;New this week,MRS. EVERYTHING;by Jennifer Weiner;4 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;57 weeks on the list,THE MUELLER REPORT;with related materials by The Washington Post;11 weeks on the list,THE BRITISH ARE COMING;by Rick Atkinson;8 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;52 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;277 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;8 weeks on the list,THE KING OF KINDERGARTEN;by Derrick Barnes. Illustrated by Vanessa Brantley-Newton;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;509 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;9 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BALLPARK;by Paul Goldberger;
8,BEFORE WE WERE YOURS;by Lisa Wingate;43 weeks on the list,UNSOLVED;by James Patterson and David Ellis;5 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;15 weeks on the list,SAPIENS;by Yuval Noah Harari;76 weeks on the list,THE SIXTH MAN;by Andre Iguodala with Carvell Wallace;2 weeks on the list,JUST MERCY;by Bryan Stevenson;160 weeks on the list,EVERYTHING IS F*CKED;by Mark Manson;8 weeks on the list,ARU SHAH AND THE SONG OF DEATH;by Roshani Chokshi;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;160 weeks on the list",I SURVIVED;by Lauren Tarshis;54 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;70 weeks on the list,HEADS WILL ROLL;by Kate McKinnon and Emily Lynne;,RANGE;by David Epstein;,GRIT;by Angela Duckworth;,ELDERHOOD;by Louise Aronson;,ALL THE WAY;by Joe Namath with Sean Mortimer and Don Yaeger;
9,MRS. EVERYTHING;by Jennifer Weiner;4 weeks on the list,LOCK EVERY DOOR;by Riley Sager;New this week,GOOD OMENS;by Neil Gaiman and Terry Pratchett;5 weeks on the list,THE BRITISH ARE COMING;by Rick Atkinson;7 weeks on the list,THE MAN WHO SOLD AMERICA;by Joy-Ann Reid;2 weeks on the list,HOW TO CHANGE YOUR MIND;by Michael Pollan;8 weeks on the list,STAY SEXY AND DON'T GET MURDERED;by Karen Kilgariff and Georgia Hardstark;6 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;50 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;15 weeks on the list,DORK DIARIES;by Rachel Renée Russell;292 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;81 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;,MIDNIGHT IN CHERNOBYL;by Adam Higginbotham;,WOLFPACK;by Abby Wambach;,WHY WE SLEEP;by Matthew Walker;,UNBROKEN;by Laura Hillenbrand;
10,COTTAGE BY THE SEA;by Debbie Macomber;6 weeks on the list,ON EARTH WE'RE BRIEFLY GORGEOUS;by Ocean Vuong;5 weeks on the list,THE PRESIDENT IS MISSING;by James Patterson and Bill Clinton;4 weeks on the list,SONGS OF AMERICA;by Jon Meacham and Tim McGraw;4 weeks on the list,THE MOMENT OF LIFT;by Melinda Gates;11 weeks on the list,THE CHOICE;by Edith Eva Eger;3 weeks on the list,MEDICAL MEDIUM CELERY JUICE;by Anthony William;7 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;12 weeks on the list,WE ARE THE GARDENERS;by Joanna Gaines and Kids. Illustrated by Julianna Swaney;10 weeks on the list,DESCENDANTS;by Melissa de la Cruz;22 weeks on the list,STEPSISTER;by Jennifer Donnelly;7 weeks on the list,UNSOLVED;by James Patterson and David Ellis;,UNFREEDOM OF THE PRESS;by Mark R. Levin;,PRINCIPLES;by Ray Dalio;,CONSCIOUS;by Annaka Harris;,DARKNESS TO LIGHT;by Lamar Odom and Chris Palmer;
