,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE BLACK BOX;by Michael Connelly;New this week,COLD DAYS;by Jim Butcher;New this week,LIFE OF PI;by Yann Martel;9 weeks on the list,,,COLD DAYS;by Jim Butcher;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;9 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;9 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;6 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;5 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;8 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;5 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;New this week","ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 3;by QuinRose;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;61 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;203 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,MASTERY;by Robert Greene;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,COLD DAYS;by Jim Butcher;New this week,THE BLACK BOX;by Michael Connelly;New this week,FIFTY SHADES OF GREY;by E. L. James;38 weeks on the list,,,THE BLACK BOX;by Michael Connelly;,PROOF OF HEAVEN;by Eben Alexander;6 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;3 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;43 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;9 weeks on the list,GUINNESS WORLD RECORDS 2013;;12 weeks on the list,"THE CHEW;by the staff of ""The Chew"";10 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;9 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;68 weeks on the list","NEON GENESIS EVANGELION, VOL. 13;by Yoshiyuki Sadamoto;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;10 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;119 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,CUSTOM NATION;by Anthony Flynn and Emily Flynn Vencat;,THOMAS JEFFERSON;by Jon Meacham;
3,NOTORIOUS NINETEEN;by Janet Evanovich;2 weeks on the list,NOTORIOUS NINETEEN;by Janet Evanovich;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;35 weeks on the list,,,NOTORIOUS NINETEEN;by Janet Evanovich;,THOMAS JEFFERSON;by Jon Meacham;3 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;62 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;New this week",DAMAGED;by Cathy Glass;3 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;New this week,TO HEAVEN AND BACK;by Mary C. Neal;27 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,INTERVIEW WITH THE VAMPIRE: CLAUDIA'S STORY;by Anne Rice and Ashley Marie Witter;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;8 weeks on the list","BLUE EXORCIST, VOL. 8;by Kazue Kato;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;40 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;9 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,THE FORGOTTEN;by David Baldacci;2 weeks on the list,THE FORGOTTEN;by David Baldacci;2 weeks on the list,THE PERFECT HOPE;by Nora Roberts;4 weeks on the list,,,THE FORGOTTEN;by David Baldacci;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;61 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;13 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;107 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;3 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;279 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;71 weeks on the list",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;3 weeks on the list,"NARUTO, VOL. 59;by Masashi Kishimoto;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;13 weeks on the list,MATCHED TRILOGY;by Ally Condie;3 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STEVE JOBS;by Walter Isaacson;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,THE RACKETEER;by John Grisham;6 weeks on the list,THE RACKETEER;by John Grisham;6 weeks on the list,FIFTY SHADES FREED;by E. L. James;35 weeks on the list,,,THE RACKETEER;by John Grisham;,TEAM OF RIVALS;by Doris Kearns Goodwin;4 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;9 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;31 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;New this week","HELP, THANKS, WOW;by Anne Lamott;3 weeks on the list",THE UNTETHERED SOUL;by Michael A. Singer;15 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,"THE WALKING DEAD, BOOK 8;by Robert Kirkman and Charlie Adlard;8 weeks on the list","FAIREST, VOL. 1;by Bill Willingham and Phil Jimenez;New this week","SOULLESS, VOL. 2;by Gail Carriger;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;30 weeks on the list,DORK DIARIES;by Rachel Renée Russell;61 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,WHY I LEFT GOLDMAN SACHS;by Greg Smith;,DRIVE;by Daniel H. Pink;,LAST LION;by William Manchester and Paul Reid;
6,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;3 weeks on the list",AGENDA 21;by Glenn Beck with Harriet Parke;2 weeks on the list,REFLECTED IN YOU;by Sylvia Day;6 weeks on the list,,,AGENDA 21;by Glenn Beck with Harriet Parke;,NO EASY DAY;by Mark Owen with Kevin Maurer;13 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;9 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;63 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;62 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;5 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;590 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,AVENGERS VS. X-MEN;by various;2 weeks on the list,MARBLES;by Ellen Forney;2 weeks on the list,"IS THIS A ZOMBIE?, VOL. 3;by Shinichi Kimura and Sacchi;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;40 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;210 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,AMERICA AGAIN;by Stephen Colbert and others;
7,GONE GIRL;by Gillian Flynn;26 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;3 weeks on the list",CLOUD ATLAS;by David Mitchell;18 weeks on the list,,,LIFE OF PI;by Yann Martel;,ANTIFRAGILE;by Nassim Nicholas Taleb;New this week,LAST LION;by William Manchester and Paul Reid;5 weeks on the list,JACK KENNEDY;by Chris Matthews;3 weeks on the list,HEADS IN BEDS;by Jacob Tomsky;New this week,BOUCHON BAKERY;by Thomas Keller and Sebastien Rouxel with others;4 weeks on the list,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;7 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;,"THE GIRL WITH THE DRAGON TATTOO, BOOK 1;by Denise Mina and Leonardo Manco;3 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;135 weeks on the list","ONE PIECE, VOL. 65;by Eiichiro Oda;4 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;68 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;65 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,UNBROKEN;by Laura Hillenbrand;
8,THE LAST MAN;by Vince Flynn;3 weeks on the list,THE LAST MAN;by Vince Flynn;3 weeks on the list,THE PARIS WIFE;by Paula McLain;New this week,,,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;",THE SIGNAL AND THE NOISE;by Nate Silver;8 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;91 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;New this week,THE SCIENCE OF GOOD COOKING;by the editors of America's Test Kitchen and Guy Crosby;5 weeks on the list,EAT TO LIVE;by Joel Fuhrman;72 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,FABLES: WEREWOLVES OF THE HEARTLAND;by Bill Willingham and others;2 weeks on the list,DRAMA;by Raina Telgemeier;12 weeks on the list,"ROSARIO±VAMPIRE: SEASON II, VOL. 10;by Akihisa Ikeda;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;9 weeks on the list,IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;2 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,MONEYBALL;by Michael Lewis;,GENERALS;by Thomas E. Ricks;
9,LIFE OF PI;by Yann Martel;4 weeks on the list,GONE GIRL;by Gillian Flynn;26 weeks on the list,WORLD WAR Z;by Max Brooks;23 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;New this week",ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;78 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;13 weeks on the list,THE 4-HOUR CHEF;by Timothy Ferriss;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;90 weeks on the list,LAST LION;by William Manchester and Paul Reid;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;9 weeks on the list,SMILE;by Raina Telgemeier;42 weeks on the list,"VAMPIRE KNIGHT, VOL. 15;by Matsuri Hino;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;21 weeks on the list,GIVER QUARTET;by Lois Lowry;8 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,JOY OF HATE;by Greg Gutfeld;
10,FIFTY SHADES OF GREY;by E. L. James;40 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;10 weeks on the list,THE HARBINGER;by Jonathan Cahn;48 weeks on the list,,,THE LAST MAN;by Vince Flynn;,AMERICA AGAIN;by Stephen Colbert and others;4 weeks on the list,TAP DANCING TO WORK;by Carol J. Loomis;New this week,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;11 weeks on the list,FOLLOWING ATTICUS;by  Tom Ryan;2 weeks on the list,FIFTY SHADES OF CHICKEN;by F.L. Fowler;3 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;7 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,ARE YOU MY MOTHER?;by Alison Bechdel;26 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;5 weeks on the list","SPICE AND WOLF, VOL. 7;by Isuna Hasekura;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;6 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;148 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE OUTPOST;by Jake Tapper;
