,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,CALCULATED IN DEATH;by J. D. Robb;New this week,CALCULATED IN DEATH;by J. D. Robb;New this week,LIFE OF PI;by Yann Martel;22 weeks on the list,,,CALCULATED IN DEATH;by J. D. Robb;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;3 weeks on the list,SALT SUGAR FAT;by Michael Moss;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;3 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;3 weeks on the list,LIFE CODE;by Phil McGraw;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;292 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,"FABLES - THE DELUXE EDITION BOOK SIX;by Bill Willingham, Mark Buckingham and others;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;81 weeks on the list","BATTLE ANGEL ALITA: LAST ORDER, VOL. 17;by Yukito Kishiro;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;5 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;11 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;
2,THE STORYTELLER;by Jodi Picoult;New this week,THE STORYTELLER;by Jodi Picoult;New this week,FIFTY SHADES OF GREY;by E. L. James;51 weeks on the list,,,THE STORYTELLER;by Jodi Picoult;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;22 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;26 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;19 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;35 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;9 weeks on the list,THE SHARP SOLUTION;by Heidi Hanna;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,UNCANNY X-FORCE: OTHERWORLD;by Rick Remender and others;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;21 weeks on the list","NARUTO, VOL. 60;by Masashi Kishimoto;4 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;74 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;132 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,DRIVE;by Daniel H. Pink;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,"ALEX CROSS, RUN;by James Patterson;2 weeks on the list","ALEX CROSS, RUN;by James Patterson;2 weeks on the list",FIFTY SHADES DARKER;by E. L. James;48 weeks on the list,,,"ALEX CROSS, RUN;by James Patterson;",PROOF OF HEAVEN;by Eben Alexander;19 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;5 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;26 weeks on the list,LEAN ENTREPRENEUR;by Brant Cooper and Patrick Vlaskovits;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,IRON MAN OMNIBUS;by David Michelinie and others;New this week,DRAMA;by Raina Telgemeier;23 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;7 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;19 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;216 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,GROW REGARDLESS;by Joe Mechlinski;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
4,SAFE HAVEN;by Nicholas Sparks;14 weeks on the list,GONE GIRL;by Gillian Flynn;39 weeks on the list,FIFTY SHADES FREED;by E. L. James;48 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,NO EASY DAY;by Mark Owen with Kevin Maurer;26 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;26 weeks on the list,QUIET;by Susan Cain;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;19 weeks on the list,THE MELT METHOD;by Sue Hitzmann with Debbie Karch;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;602 weeks on the list,SALT SUGAR FAT;by Michael Moss;,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;12 weeks on the list","PANDORA HEARTS, VOL. 14;by Jun Mochizuki;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,MY BROTHER'S BOOK;by Maurice Sendak;4 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;22 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,GONE GIRL;by Gillian Flynn;39 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;3 weeks on the list,11TH HOUR;by James Patterson and Maxine Paetro;New this week,,,FIFTY SHADES OF GREY;by E. L. James;,SALT SUGAR FAT;by Michael Moss;New this week,MY BELOVED WORLD;by Sonia Sotomayor;7 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;44 weeks on the list,SALT SUGAR FAT;by Michael Moss;New this week,THE SECRETS OF HAPPY FAMILIES;by Bruce Feiler;2 weeks on the list,FROM MAMA'S TABLE TO MINE;by Bobby Deen;4 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,DEAD SPACE: LIBERATION;by Christopher Shy and Ian Edginton;2 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;144 weeks on the list","TRIAGE X, VOL. 2;by Shouji Sato;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,TEA TIME WITH SOPHIA GRACE AND ROSIE;by Sophia Grace Brownlee and Rosie McClelland. Illustrated by Shelagh McNicholas;4 weeks on the list,DORK DIARIES;by Rachel Renée Russell;71 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,BAILOUT;by Neil Barofsky;,FUTURE;by Al Gore;
6,THE SILVER LININGS PLAYBOOK;by Matthew Quick;5 weeks on the list,RED VELVET CUPCAKE MURDER;by Joanne Fluke;New this week,THE SILVER LININGS PLAYBOOK;by Matthew Quick;7 weeks on the list,,,LIFE OF PI;by Yann Martel;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;22 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;22 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;120 weeks on the list,THE REAGAN DIARIES;by Ronald Reagan;New this week,"THE LEGEND OF ZELDA, HYRULE HISTORIA;by Patrick Thorpe and Michael Gombos, et al.;5 weeks on the list",BEATING OBAMACARE;by Betsy McCaughey;3 weeks on the list,QUIET;by Susan Cain;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;84 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;12 weeks on the list","THE BETRAYAL KNOWS MY NAME, VOL. 5;by Hotaru Odagiri;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;81 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;73 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,REBOOTING WORK;by Maynard Webb and Carlye Adler;,END THIS DEPRESSION NOW!;by Paul Krugman;,NO EASY DAY;by Mark Owen with Kevin Maurer;
7,A WEEK IN WINTER;by Maeve Binchy;3 weeks on the list,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;8 weeks on the list,SAFE HAVEN;by Nicholas Sparks;24 weeks on the list,,,GONE GIRL;by Gillian Flynn;,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;3 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;2 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;32 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;22 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;New this week,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;17 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,BUILDING STORIES;by Chris Ware;22 weeks on the list,"STAR TREK: THE NEXT GENERATION/DOCTOR WHO: ASSIMILATION 2, VOL. 2;by Scott Tipton and others;New this week","HAGANAI: I DON'T HAVE MANY FRIENDS, VOL. 2;by Yomi Hirasaka and Itachi;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;43 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;283 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,BOOMERANG;by Michael Lewis;,COOLIDGE;by Amity Shlaes;
8,IMMORTAL EVER AFTER;by Lynsay Sands;New this week,THE DINNER;by Herman Koch;3 weeks on the list,THE PARIS WIFE;by Paula McLain;14 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,QUIET;by Susan Cain;15 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;75 weeks on the list,ARGO;by Antonio Mendez and Matt Baglio;4 weeks on the list,THE BEDWETTER;by Sarah Silverman;New this week,SLIM FOR LIFE;by Jillian Michaels;3 weeks on the list,EAT TO LIVE;by Joel Fuhrman;85 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;24 weeks on the list,SMILE;by Raina Telgemeier;53 weeks on the list,"UMINEKO: WHEN THEY CRY — LEGEND OF THE GOLDEN WITCH, VOL. 2;by Ryukishi07 and Kei Natsumi;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;47 weeks on the list,BLOODLINES;by Richelle Mead;3 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;
9,LIFE OF PI;by Yann Martel;10 weeks on the list,GUILT;by Jonathan Kellerman;3 weeks on the list,WORLD WAR Z;by Max Brooks;36 weeks on the list,,,THE INNOCENT;by David Baldacci;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;74 weeks on the list,COOLIDGE;by Amity Shlaes;3 weeks on the list,BOSSYPANTS;by Tina Fey;61 weeks on the list,HERE'S THE DEAL;by David Leonhardt;2 weeks on the list,WHEAT BELLY;by William Davis;45 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;102 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;22 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;113 weeks on the list,"SAILOR MOON, VOL. 9;by Naoko Takeuchi;5 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,EXTRA YARN;by Mac Barnett. Illustrated by Jon Klassen;10 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;78 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CHECKLIST MANIFESTO;by Atul Gawande;,THOMAS JEFFERSON;by Jon Meacham;
10,FIFTY SHADES OF GREY;by E. L. James;53 weeks on the list,TENTH OF DECEMBER;by George Saunders;8 weeks on the list,WARM BODIES;by Isaac Marion;6 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,MY BELOVED WORLD;by Sonia Sotomayor;7 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;6 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;56 weeks on the list,ARGO;by Antonio Mendez and Matt Baglio;6 weeks on the list,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;2 weeks on the list,PRACTICAL PALEO;by Diane Sanfilippo;12 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,ARE YOU MY MOTHER?;by Alison Bechdel;37 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;15 weeks on the list","BLEACH, VOL. 55;by Tite Kubo;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;44 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;49 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,PREDICTABLY IRRATIONAL;by Dan Ariely;,A HIGHER CALL;by Adam Makos with Larry Alexander;
