,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,TAKEDOWN TWENTY;by Janet Evanovich;New this week,TAKEDOWN TWENTY;by Janet Evanovich;New this week,DARK WITCH;by Nora Roberts;4 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;5 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;57 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;9 weeks on the list,STAYING STRONG;by Demi Lovato;New this week,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;3 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;27 weeks on the list","YOTSUBA&!, VOL. 12;by Kiyohiko Azuma;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;22 weeks on the list,DIVERGENT;by Veronica Roth;5 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,KING AND MAXWELL;by David Baldacci;New this week,KING AND MAXWELL;by David Baldacci;New this week,DEAR LIFE;by Alice Munro;7 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;9 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;9 weeks on the list,QUIET;by Susan Cain;43 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;5 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;4 weeks on the list,"HAWKEYE, VOL. 1;by Matt Fraction and David Aja;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;110 weeks on the list","YU-GI-OH 5D'S, VOL. 5;by Masahiro Hikokubo and Masashi Sato;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;112 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;253 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,DOUBLE DOWN;by Mark Halperin and John Heilemann;,THE REASON I JUMP;by Naoki Higashida;
3,SYCAMORE ROW;by John Grisham;5 weeks on the list,SYCAMORE ROW;by John Grisham;5 weeks on the list,THE STORYTELLER;by Jodi Picoult;3 weeks on the list,,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;New this week,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;19 weeks on the list,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;New this week,HYPERBOLE AND A HALF;by Allie Brosh;4 weeks on the list,DAREDEVIL BY FRANK MILLER AND KLAUS JANSON OMNIBUS;by Frank Miller and Klaus Janson;New this week,"AVATAR: THE LAST AIRBENDER: THE SEARCH, PART 3;by Gene Luen Yang and others;2 weeks on the list","NARUTO, VOL. 63;by Masashi Kishimoto;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;46 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;170 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GROUNDED;by Bob Rosen;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,QUIET;by Susan Cain;
4,11/22/63;by Stephen King;18 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;89 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;3 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;129 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;9 weeks on the list,"AQUAMAN, VOL. 3;by Geoff Johns,  Paul Pelletier and Ivan Reis;New this week",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;9 weeks on the list,"SOUL EATER, VOL. 17;by Atsushi Ohkubo;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,CINDERS;by Jan Brett;3 weeks on the list,BLOODLINES;by Richelle Mead;5 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,DOT COMPLICATED;by Randi Zuckerberg;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
5,THE GOLDFINCH;by Donna Tartt;5 weeks on the list,THE GOLDFINCH;by Donna Tartt;5 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;34 weeks on the list",,,THE BULLY PULPIT;by Doris Kearns Goodwin;3 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;3 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;84 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;3 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;3 weeks on the list,THE FIFTH BEATLE: THE BRIAN EPSTEIN STORY;by Vivek Tiwary and  Andrew C. Robinson;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;44 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;24 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THE CHRISTMAS WISH;by Lori Evert. Illustrated by Per Breiehagen;2 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;49 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,DUST;by Patricia Cornwell;2 weeks on the list,DUST;by Patricia Cornwell;2 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;34 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;8 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;8 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;41 weeks on the list,THE WORST HARD TIME;by Timothy Egan;4 weeks on the list,GUINNESS WORLD RECORDS 2014.;;11 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;5 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;7 weeks on the list,"ATTACK ON TITAN, VOL. 8;by Hajime Isayama;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;119 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;115 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
7,DARK WITCH;by Nora Roberts;4 weeks on the list,DOCTOR SLEEP;by Stephen King;9 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;34 weeks on the list,,,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;7 weeks on the list,WILD;by Cheryl Strayed;35 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;7 weeks on the list,HERO;by Rhonda Byrne;New this week,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;3 weeks on the list,"SWAMP THING, VOL. 3;by Scott Snyder and Yanick Paquette;New this week","SOULLESS, VOL. 3;by Gail Carriger and Rem;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;30 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;316 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,EXTORTION;by Peter Schweizer;,WHEAT BELLY;by William Davis;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
8,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;2 weeks on the list,THE VALLEY OF AMAZEMENT;by Amy Tan;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;279 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;7 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;12 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;158 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;33 weeks on the list,HELLBOY: THE MIDNIGHT CIRCUS;by Mike Mignola and Duncan Fegredo;3 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;15 weeks on the list,"MONSTER MUSUME, VOL. 1;by Okayado;6 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,FRIENDS;by Eric Carle;New this week,"BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;4 weeks on the list",THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,UNBROKEN;by Laura Hillenbrand;,THE FRACKERS;by Gregory Zuckerman;
9,BEAUTIFUL BEGINNING;by Christina Lauren;New this week,S.;by Doug Dorst;4 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;14 weeks on the list,,,MY PROMISED LAND;by Ari Shavit;New this week,GOOD TIDINGS AND GREAT JOY;by Sarah Palin;2 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;21 weeks on the list,MY PROMISED LAND;by Ari Shavit;New this week,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;8 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;105 weeks on the list,SMILE;by Raina Telgemeier;81 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;14 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I'M A FROG!;by Mo Willems;6 weeks on the list,HARRY POTTER;by J.K. Rowling;297 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HATCHING TWITTER;by Nick Bilton;,THE 3-1-2-1 DIET;by Dolvett Quince;,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;,FOCUS;by Daniel Goleman;
10,ENDER'S GAME;by Orson Scott Card;19 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;10 weeks on the list,ME BEFORE YOU;by Jojo Moyes;17 weeks on the list,,,YOU HERD ME!;by Colin Cowherd;New this week,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;34 weeks on the list",SEX. MURDER. MYSTERY.;by Gregg Olsen;New this week,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;3 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;7 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;18 weeks on the list","ALICE IN THE COUNTRY OF HEARTS: THE MAD HATTER'S LATE NIGHT TEA PARTY, VOL. 1;by QuinRose and Riko Sakura;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;3 weeks on the list",RANGER’S APPRENTICE;by John Flanagan;76 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,MAN WHO KILLED KENNEDY;by Roger Stone with Mike Colapietro;,WHY CAN'T I GET BETTER?;by Richard I. Horowitz;
