,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,LIVE WIRE;by Harlan Coben;New this week,LIVE WIRE;by Harlan Coben;New this week,WATER FOR ELEPHANTS;by Sara Gruen;113 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;9 weeks on the list,UNBROKEN;by Laura Hillenbrand;19 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;19 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;9 weeks on the list,THE 17 DAY DIET;by Mike Moreno;2 weeks on the list,NOW EAT THIS! DIET;by Rocco DiSpirito;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,JUSTICE LEAGUE OF AMERICA: THE DARK TIMES;by James Robinson and Mark Bagley;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;55 weeks on the list,"NARUTO, VOL. 50;by Masashi Kishimoto;8 weeks on the list",INVINCIBLE (THE CHRONICLES OF NICK);by Sherrilyn Kenyon;New this week,BEASTLY;by Alex Flinn;7 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;115 weeks on the list
2,WATER FOR ELEPHANTS;by Sara Gruen;9 weeks on the list,TOYS;by James Patterson and Neil McMahon;2 weeks on the list,LEAVING;by Karen Kingsbury;New this week,,,LIVE WIRE;by Harlan Coben;,UNBROKEN;by Laura Hillenbrand;9 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;9 weeks on the list,LOVE WINS;by Rob Bell;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;191 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;7 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;71 weeks on the list","YU-GI-OH! GX, VOL. 6;by Naoyuki Kageyama;4 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;2 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;21 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;New this week,THE HUNGER GAMES;by Suzanne Collins;31 weeks on the list
3,THE LINCOLN LAWYER;by Michael Connelly;3 weeks on the list,THE SATURDAY BIG TENT WEDDING PARTY;by Alexander McCall Smith;New this week,CUTTING FOR STONE;by Abraham Verghese;61 weeks on the list,,,TOYS;by James Patterson and Neil McMahon;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;9 weeks on the list,RED;by Sammy Hagar with Joel Selvin;2 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;25 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;9 weeks on the list,MONEY CLASS;by Suze Orman;3 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;6 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;51 weeks on the list,"BLEACH, VOL. 34;by Tite Kubo;4 weeks on the list",THE LOST HERO;by Rick Riordan;24 weeks on the list,THE BOOK THIEF;by Markus Zusak;185 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;2 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;194 weeks on the list
4,SING YOU HOME;by Jodi Picoult;4 weeks on the list,SING YOU HOME;by Jodi Picoult;4 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;5 weeks on the list,,,THE SATURDAY BIG TENT WEDDING PARTY;by Alexander McCall Smith;,THE SOCIAL ANIMAL;by David Brooks;3 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;212 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;4 weeks on the list,THE ENTREPRENEUR EQUATION;by Carol Roth;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;504 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;3 weeks on the list,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;36 weeks on the list,"BLACK BUTLER, VOL. 4;by Yana Toboso;9 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;16 weeks on the list,ASK ELIZABETH;by Elizabeth Berkley;New this week,THE EASTER EGG;by Jan Brett;11 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;63 weeks on the list
5,TOYS;by James Patterson and Neil McMahon;2 weeks on the list,NIGHT ROAD;by Kristin Hannah;New this week,HEART OF THE MATTER;by Emily Giffin;2 weeks on the list,,,SING YOU HOME;by Jodi Picoult;,MOONWALKING WITH EINSTEIN;by Joshua Foer;3 weeks on the list,UNFAMILIAR FISHES;by Sarah Vowell;New this week,THE BIG SHORT;by Michael Lewis;8 weeks on the list,UNFAMILIAR FISHES;by Sarah Vowell;New this week,A PLACE OF YES;by Bethenny Frankel;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;23 weeks on the list,RED;by Sammy Hagar with Joel Selvin;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;16 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;43 weeks on the list,"SOUL EATER, VOL. 5;by Atsushi Ohkubo;5 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;47 weeks on the list",RED RIDING HOOD;by Sarah Blakley-Cartwright;9 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;11 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;121 weeks on the list
6,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;9 weeks on the list,A LESSON IN SECRETS;by Jacqueline Winspear;New this week,THE ART OF RACING IN THE RAIN;by Garth Stein;94 weeks on the list,,,LEAVING;by Karen Kingsbury;,RED;by Sammy Hagar with Joel Selvin;2 weeks on the list,PHYSICS OF THE FUTURE;by Michio Kaku;2 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;186 weeks on the list,RED;by Sammy Hagar with Joel Selvin;2 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;15 weeks on the list,FOOD NETWORK MAGAZINE GREAT EASY MEALS;by the Food Network Magazine staff;2 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;,PHOENIX WITHOUT ASHES;by Harlan Ellison and Alan Robinson;New this week,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;48 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;8 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;17 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;103 weeks on the list,LEGO STAR WARS;by Simon Beecroft;66 weeks on the list,MAXIMUM RIDE;by James Patterson;71 weeks on the list
7,NIGHT ROAD;by Kristin Hannah;New this week,THE JUNGLE;by Clive Cussler with Jack Du Brul;3 weeks on the list,THE POSTMISTRESS;by Sarah Blake;8 weeks on the list,,,THE SHADOW OF YOUR SMILE;by Mary Higgins Clark;,UNFAMILIAR FISHES;by Sarah Vowell;New this week,JESUS OF NAZARETH;by Joseph Ratzinger;3 weeks on the list,THE KING’S SPEECH;by Mark Logue and Peter Conradi;10 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;3 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;3 weeks on the list,RADICAL;by David Platt;42 weeks on the list,UNFAMILIAR FISHES;by Sarah Vowell;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;26 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;12 weeks on the list","MAXIMUM RIDE, VOL. 1;by James Patterson and NaRae Lee;10 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;35 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;2 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;19 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;57 weeks on the list
8,THE SATURDAY BIG TENT WEDDING PARTY;by Alexander McCall Smith;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;44 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;92 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,PHYSICS OF THE FUTURE;by Michio Kaku;2 weeks on the list,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;4 weeks on the list",JUST KIDS;by Patti Smith;21 weeks on the list,THE DRESSMAKER OF KHAIR KHANA;by Gayle Tzemach Lemmon;2 weeks on the list,WIN;by Frank I. Luntz;4 weeks on the list,MARTHA STEWART'S NEW PIES AND TARTS;by the Martha Stewart Living staff;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;27 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;17 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;27 weeks on the list",BETWEEN SHADES OF GRAY;by Ruta Sepetys;New this week,INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;New this week,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;10 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;43 weeks on the list
9,LEAVING;by Karen Kingsbury;New this week,THE TIGER’S WIFE;by Tea Obreht;3 weeks on the list,LITTLE BEE;by Chris Cleave;58 weeks on the list,,,CAUGHT;by Harlan Coben;,DECISION POINTS;by George W. Bush;9 weeks on the list,DECISION POINTS;by George W. Bush;20 weeks on the list,TIPPING POINT;by Malcolm Gladwell;338 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;9 weeks on the list,THE AMEN SOLUTION;by Daniel G. Amen;3 weeks on the list,NOW EAT THIS!;by Rocco DiSpirito;15 weeks on the list,PHYSICS OF THE FUTURE;by Michio Kaku;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;8 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;47 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;12 weeks on the list",BEST OF THE BEST;by Tim Green;New this week,WHEN YOU REACH ME;by Rebecca Stead;12 weeks on the list,MY NAME IS NOT ISABELLA;by Jennifer Fosberry. Illustrated by Mike Litwin;2 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;16 weeks on the list
10,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;9 weeks on the list,COLD WIND;by C. J. Box;New this week,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;44 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,THE DRESSMAKER OF KHAIR KHANA;by Gayle Tzemach Lemmon;2 weeks on the list,CLEOPATRA;by Stacy Schiff;21 weeks on the list,WHAT THE DOG SAW;by Malcolm Gladwell;15 weeks on the list,DECISION POINTS;by George W. Bush;9 weeks on the list,THE SECRET;by Rhonda Byrne;179 weeks on the list,EVERYONE LOVES YOU WHEN YOU'RE DEAD;by Neil Strauss;2 weeks on the list,JESUS OF NAZARETH;by Joseph Ratzinger;,COWBOYS AND ALIENS;by Scott Mitchell Rosenberg;2 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;82 weeks on the list,"DEATH NOTE BLACK, VOL. 1;by Tsugumi Ohba and Takeshi Obata;2 weeks on the list",MOON OVER MANIFEST;by Clare Vanderpool;11 weeks on the list,THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;New this week,MY NAME IS NOT ALEXANDER;by Jennifer Fosberry. Illustrated by Mike Litwin;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;240 weeks on the list
