,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE GREAT ALONE;by Kristin Hannah;New this week,THE GREAT ALONE;by Kristin Hannah;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;19 weeks on the list,FIRE AND FURY;by Michael Wolff;6 weeks on the list,FIRE AND FURY;by Michael Wolff;6 weeks on the list,HORSE SOLDIERS;by Doug Stanton;9 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;61 weeks on the list,WONDER;by R.J. Palacio;131 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;17 weeks on the list,DOG MAN;by Dav Pilkey;24 weeks on the list,TEMPESTS AND SLAUGHTER;by Tamora Pierce;New this week,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,AN AMERICAN MARRIAGE;by Tayari Jones;New this week,AN AMERICAN MARRIAGE;by Tayari Jones;New this week,MILK AND HONEY;by Rupi Kaur;96 weeks on the list,OBAMA;by Pete Souza;9 weeks on the list,OBAMA;by Pete Souza;9 weeks on the list,BEING MORTAL;by Atul Gawande;23 weeks on the list,YOU ARE A BADASS;by Jen Sincero;109 weeks on the list,LITTLE LEADERS;by Vashti Harrison;9 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;6 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;465 weeks on the list,THE HATE U GIVE;by Angie Thomas;50 weeks on the list,PRINCIPLES;by Ray Dalio;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
3,LOOK FOR ME;by Lisa Gardner;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;6 weeks on the list,LINCOLN IN THE BARDO;by George Saunders;New this week,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;3 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;3 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;352 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;229 weeks on the list,AUGGIE & ME;by R.J. Palacio;63 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;5 weeks on the list,HARRY POTTER;by J.K. Rowling;464 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;18 weeks on the list,WHEN;by Daniel H. Pink;,WHEN;by Daniel H. Pink;,SHOE DOG;by Phil Knight;
4,THE WOMAN IN THE WINDOW;by A.J. Finn;6 weeks on the list,STILL ME;by Jojo Moyes;2 weeks on the list,READY PLAYER ONE;by Ernest Cline;45 weeks on the list,DIRECTORATE S;by Steve Coll;New this week,DIRECTORATE S;by Steve Coll;New this week,THE NEW JIM CROW;by Michelle Alexander;165 weeks on the list,CRUSHING IT!;by Gary Vaynerchuk;2 weeks on the list,THE UNWANTEDS QUESTS: DRAGON BONES;by Lisa McMann;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;207 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;105 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;33 weeks on the list,CAPITAL GAINES;by Chip Gaines;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
5,STILL ME;by Jojo Moyes;2 weeks on the list,LOOK FOR ME;by Lisa Gardner;New this week,BEARTOWN;by Fredrik Backman;New this week,MURDER BEYOND THE GRAVE;by James Patterson;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;41 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;411 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;109 weeks on the list,BRAVELANDS: CODE OF HONOR;by Erin Hunter;New this week,HIDDEN FIGURES;by Margot Lee Shetterly. Illustrated by Laura Freeman;2 weeks on the list,DORK DIARIES;by Rachel Renée Russell;238 weeks on the list,THUNDERHEAD;by Neal Shusterman;5 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,ALI: A LIFE;by Jonathan Eig;
6,DARK IN DEATH;by J.D. Robb;2 weeks on the list,DARK IN DEATH;by J.D. Robb;2 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;2 weeks on the list,HORSE SOLDIERS;by Doug Stanton;7 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;17 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;103 weeks on the list,PRINCIPLES;by Ray Dalio;19 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;19 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;463 weeks on the list,THE HAZEL WOOD;by Melissa Albert;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
7,LITTLE FIRES EVERYWHERE;by Celeste Ng;16 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;21 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;6 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;40 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;34 weeks on the list,JUST MERCY;by Bryan Stevenson;90 weeks on the list,STRENGTH IN STILLNESS;by Bob Roth;New this week,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;33 weeks on the list,THE WORD COLLECTOR;by Peter H. Reynolds;2 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;38 weeks on the list,THE BELLES;by Dhonielle Clayton;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,FIERCE;by Aly Raisman;
8,READY PLAYER ONE;by Ernest Cline;12 weeks on the list,ORIGIN;by Dan Brown;19 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;49 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;35 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;New this week,EVICTED;by Matthew Desmond;22 weeks on the list,THE WHOLE30 FAST & EASY;by Melissa Hartwig;7 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;57 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;120 weeks on the list,FALLING KINGDOMS;by Morgan Rhodes;New this week,BATMAN: NIGHTWALKER;by Marie Lu;6 weeks on the list,THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
9,BEFORE WE WERE YOURS;by Lisa Wingate;20 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;21 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;6 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;New this week,THE LAST BLACK UNICORN;by Tiffany Haddish;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;158 weeks on the list",MAKE YOUR BED;by William H. McRaven;39 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;28 weeks on the list,WHAT DO YOU DO WITH A CHANCE?;by Kobi Yamada. Illustrated by Mae Besom;New this week,THE BAD GUYS;by Aaron Blabey;6 weeks on the list,THE CRUEL PRINCE;by Holly Black;6 weeks on the list,RISE AND GRIND;by Daymond John with Daniel Paisner;,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;5 weeks on the list,THE ROOSTER BAR;by John Grisham;16 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;51 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;17 weeks on the list,"PROMISE ME, DAD;by Joe Biden;10 weeks on the list",ELON MUSK;by Ashlee Vance;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;119 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;12 weeks on the list,"CLICK, CLACK, MOO I LOVE YOU!;by Doreen Cronin and Betsy Lewin;New this week",WHAT WAS . . . ?;by various authors;6 weeks on the list,RENEGADES;by Marissa Meyer;12 weeks on the list,OUTLIERS;by Malcolm Gladwell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
