,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE PERFECT HOPE;by Nora Roberts;New this week,THE RACKETEER;by John Grisham;3 weeks on the list,THE PERFECT HOPE;by Nora Roberts;New this week,,,THE PERFECT HOPE;by Nora Roberts;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;6 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;3 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;6 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;2 weeks on the list,THE UNTETHERED SOUL;by Michael A. Singer;12 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;5 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;New this week",LEGO NINJAGO CHARACTER ENCYCLOPEDIA;by Claire Sipi;3 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;23 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;58 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;116 weeks on the list,15 INVALUABLE LAWS OF GROWTH;by John C. Maxwell;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,THE RACKETEER;by John Grisham;3 weeks on the list,POSEIDON'S ARROW;by Clive Cussler and Dirk Cussler;New this week,FIFTY SHADES OF GREY;by E. L. James;35 weeks on the list,,,THE RACKETEER;by John Grisham;,PROOF OF HEAVEN;by Eben Alexander;3 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;10 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;40 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;3 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;2 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;24 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;2 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;65 weeks on the list","BLEACH, VOL. 50;by Tite Kubo;New this week",LINCOLN'S LAST DAYS;by Bill O'Reilly and Dwight Jon Zimmerman;12 weeks on the list,DIVERGENT;by Veronica Roth;37 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;7 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;6 weeks on the list,BULL BY THE HORNS;by Sheila Bair;,WEEKLY COACHING CONVERSATION;by Brian Souza;,NO EASY DAY;by Mark Owen with Kevin Maurer;
3,POSEIDON'S ARROW;by Clive Cussler and Dirk Cussler;New this week,FLIGHT BEHAVIOR;by Barbara Kingsolver;New this week,REFLECTED IN YOU;by Sylvia Day;3 weeks on the list,,,POSEIDON'S ARROW;by Clive Cussler and Dirk Cussler;,NO EASY DAY;by Mark Owen with Kevin Maurer;10 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;59 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;104 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;7 weeks on the list,GUINNESS WORLD RECORDS 2013;;9 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;5 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,"SCOTT PILGRIM, VOL. 2;by Bryan Lee O'Malley;New this week","ADVENTURE TIME, VOL. 1;by Ryan North;New this week","ROSARIO±VAMPIRE: SEASON II, VOL. 10;by Akihisa Ikeda;New this week",THE FAULT IN OUR STARS;by John Green;44 weeks on the list,"MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;New this week",LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;200 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,BOOMERANG;by Michael Lewis;,AMERICA AGAIN;by Stephen Colbert and others;
4,FIFTY SHADES OF GREY;by E. L. James;37 weeks on the list,GONE GIRL;by Gillian Flynn;23 weeks on the list,FIFTY SHADES DARKER;by E. L. James;32 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;58 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;6 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;28 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;59 weeks on the list,THE DIGEST DIET;by Liz Vaccariello;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;276 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BUILDING STORIES;by Chris Ware;6 weeks on the list,MARBLES;by Ellen Forney;New this week,"SAILOR MOON, VOL. 8;by Naoko Takeuchi;2 weeks on the list",DAYS OF BLOOD AND STARLIGHT;by Laini Taylor;New this week,THE BOOK THIEF;by Markus Zusak;270 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;27 weeks on the list,DORK DIARIES;by Rachel Renée Russell;58 weeks on the list,STEVE JOBS;by Walter Isaacson;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,REFLECTED IN YOU;by Sylvia Day;6 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;7 weeks on the list,FIFTY SHADES FREED;by E. L. James;32 weeks on the list,,,FLIGHT BEHAVIOR;by Barbara Kingsolver;,THE SIGNAL AND THE NOISE;by Nate Silver;5 weeks on the list,LAST LION;by William Manchester and Paul Reid;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;88 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;10 weeks on the list,WHEAT BELLY;by William Davis;31 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;587 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,"THE WALKING DEAD, BOOK 8;by Robert Kirkman and Charlie Adlard;5 weeks on the list",NINJAGO: KINGDOM OF THE SNAKES;by Greg Farshtey and Jolyon Yates;2 weeks on the list,"VAMPIRE KNIGHT, VOL. 15;by Matsuri Hino;New this week",LEGO STAR WARS CHARACTER ENCYCLOPEDIA;by Hannah Dolan and others;21 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;25 weeks on the list,THE THANKFUL BOOK;by Todd Parr;2 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;145 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DRIVE;by Daniel H. Pink;,TOTAL RECALL;by Arnold Schwarzenegger with Peter Petre;
6,GONE GIRL;by Gillian Flynn;23 weeks on the list,THE PANTHER;by Nelson DeMille;4 weeks on the list,CLOUD ATLAS;by David Mitchell;15 weeks on the list,,,REFLECTED IN YOU;by Sylvia Day;,LAST LION;by William Manchester and Paul Reid;New this week,BRUCE;by Peter Ames Carlin;2 weeks on the list,BOSSYPANTS;by Tina Fey;45 weeks on the list,WHY ROMNEY LOST;by David Frum;New this week,YOUNG HOUSE LOVE;by Sherry and John Petersik;New this week,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;4 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,BLOOD CRIME;by Kim Harrison;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;133 weeks on the list","BLEACH, VOL. 51;by Tite Kubo;New this week",‘WHO COULD THAT BE AT THIS HOUR?’;by Lemony Snicket. Illustrated by Seth;3 weeks on the list,LOOKING FOR ALASKA;by John Green;16 weeks on the list,PRESS HERE;by Hervé Tullet;65 weeks on the list,GIVER QUARTET;by Lois Lowry;6 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,MUGGED;by Ann Coulter;
7,FIFTY SHADES FREED;by E. L. James;36 weeks on the list,THE SINS OF THE MOTHER;by Danielle Steel;2 weeks on the list,LIFE OF PI;by Yann Martel;6 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,HALLUCINATIONS;by Oliver Sacks;New this week,HALLUCINATIONS;by Oliver Sacks;New this week,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;8 weeks on the list,LAST LION;by William Manchester and Paul Reid;New this week,SUPER BRAIN;by Deepak Chopra and Rudolph E. Tanzi;New this week,PRACTICAL PALEO;by Diane Sanfilippo;5 weeks on the list,LAST LION;by William Manchester and Paul Reid;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;6 weeks on the list,"SWEET TOOTH, VOL. 5;by Jeff Lemire and others;New this week","ONE PIECE, VOL. 65;by Eiichiro Oda;New this week",WONDER;by R.J. Palacio;33 weeks on the list,WILDWOOD;by Colin Meloy;7 weeks on the list,CHARLIE AND THE CHRISTMAS KITTY;by Ree Drummond. Illustrated by Diane deGroat;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;271 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,ADMIRED;by Mark C. Thompson and Bonita S. Thompson;,INTO THE FIRE;by Dakota Meyer and Bing West;
8,FIFTY SHADES DARKER;by E. L. James;37 weeks on the list,THE BONE BED;by Patricia Cornwell;4 weeks on the list,BARED TO YOU;by Sylvia Day;22 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;88 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;6 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;60 weeks on the list,THE ART OF MEN;by Kirstie Alley;New this week,THE SCIENCE OF GOOD COOKING;by the editors of America's Test Kitchen and Guy Crosby;4 weeks on the list,"THE CHEW;by the staff of ""The Chew"";7 weeks on the list",BRUCE;by Peter Ames Carlin;,NINJAGO: KINGDOM OF THE SNAKES;by Greg Farshtey and Jolyon Yates;2 weeks on the list,SMILE;by Raina Telgemeier;40 weeks on the list,"BLUE EXORCIST, VOL. 8;by Kazue Kato;New this week",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;28 weeks on the list,MATCHED;by Ally Condie;57 weeks on the list,SAFARI;by Dan Kainen and Carol Kaufmann;2 weeks on the list,"HUSH, HUSH SAGA;by Becca Fitzpatrick;7 weeks on the list",STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,THE CHECKLIST MANIFESTO;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,FLIGHT BEHAVIOR;by Barbara Kingsolver;New this week,WINTER OF THE WORLD;by Ken Follett;8 weeks on the list,THE INNOCENT;by David Baldacci;5 weeks on the list,,,CLOUD ATLAS;by David Mitchell;,UNBROKEN;by Laura Hillenbrand;94 weeks on the list,WAGING HEAVY PEACE;by Neil Young;7 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;242 weeks on the list,BENJAMIN FRANKLIN;by Walter Isaacson;New this week,CRAZY SEXY KITCHEN;by Kris Carr with Chad Sarno;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;87 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,THE HIVE;by Charles Burns;5 weeks on the list,DRAMA;by Raina Telgemeier;10 weeks on the list,"NEGIMA MAGISTER NEGI MAGI, VOL. 36;by Ken Akamatsu;2 weeks on the list",DIVIDE AND CONQUER;by Carrie Ryan;New this week,OUT OF MY MIND;by Sharon M. Draper;22 weeks on the list,SKIPPYJON JONES CIRQUE DE OLE;by Judy Schachner;4 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;41 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,THE PRICE OF POLITICS;by Bob Woodward;
10,THE MARRIAGE MISTAKE;by Jennifer Probst;New this week,NYPD RED;by James Patterson and Marshall Karp;5 weeks on the list,THE HARBINGER;by Jonathan Cahn;45 weeks on the list,,,LIFE OF PI;by Yann Martel;,BRUCE;by Peter Ames Carlin;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;104 weeks on the list,OUTLIERS;by Malcolm Gladwell;75 weeks on the list,UNBROKEN;by Laura Hillenbrand;94 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;70 weeks on the list,HALLUCINATIONS;by Oliver Sacks;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;21 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;9 weeks on the list","BAKUMAN, VOL. 16;by Tsugumi Ohba;New this week",INSURGENT;by Veronica Roth;27 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;70 weeks on the list,BEAR SAYS THANKS;by Karma Wilson. Illustrated by Jane Chapman;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;265 weeks on the list,RENEGADES WRITE THE RULES;by Amy Jo Martin;,MONEYBALL;by Michael Lewis;,OATH;by Jeffrey Toobin;
