,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE HELP;by Kathryn Stockett;30 weeks on the list,KILL ME IF YOU CAN;by James Patterson and Marshall Karp;2 weeks on the list,THE HELP;by Kathryn Stockett;23 weeks on the list,,,THE HELP;by Kathryn Stockett;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;33 weeks on the list,IN MY TIME;by Dick Cheney;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;43 weeks on the list,BONHOEFFER;by Eric Metaxas;2 weeks on the list,START SOMETHING THAT MATTERS;by Blake Mycoskie;New this week,THE HOUR THAT MATTERS MOST;by Les Parrott;New this week,IN MY TIME;by Dick Cheney;,"THE NEW TEEN TITANS OMNIBUS, VOL. 1;by Marv Wolfman and George Perez;New this week","AMULET: THE LAST COUNCIL, VOL. 4;by Kazu Kibuishi;New this week","NARUTO, VOL. 52;by Masashi Kishimoto;New this week",THE POWER OF SIX;by Pittacus Lore;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;209 weeks on the list,LLAMA LLAMA HOME WITH MAMA;by Anna Dewdney;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;55 weeks on the list,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",OUTLIERS;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
2,KILL ME IF YOU CAN;by James Patterson and Marshall Karp;2 weeks on the list,THE RACE;by Clive Cussler and Justin Scott;New this week,THE MERCY;by Beverly Lewis;New this week,,,1105 YAKIMA STREET;by Debbie Macomber;,IN MY TIME;by Dick Cheney;2 weeks on the list,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;27 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;33 weeks on the list,TWO-SECOND ADVANTAGE;by Kevin Maney and Vivek Ranadive;New this week,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,FEYNMAN;by Jim Ottaviani and Leland Myrick;2 weeks on the list,THE GRIFF;by Christopher Moore and Ian Corson;8 weeks on the list,"BLEACH, VOL. 36;by Tite Kubo;New this week",SHELTER;by Harlan Coben;New this week,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;4 weeks on the list",BUMBLE-ARDY;by Maurice Sendak;New this week,THE 39 CLUES;by various authors;88 weeks on the list,"AFTERSHOCK;by David Wiedemer, Robert A. Wiedemer and Cindy Spitzer;",CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,IN THE GARDEN OF BEASTS;by Erik Larson;
3,THE MILL RIVER RECLUSE;by Darcie Chan;3 weeks on the list,DARK PREDATOR;by Christine Feehan;New this week,ROOM;by Emma Donoghue;19 weeks on the list,,,KILL ME IF YOU CAN;by James Patterson and Marshall Karp;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;New this week,UNBROKEN;by Laura Hillenbrand;43 weeks on the list,CLEOPATRA;by Stacy Schiff;New this week,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;New this week,THE 17 DAY DIET;by Mike Moreno;26 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;215 weeks on the list,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BLOOD WORK;by Kim Harrison and Pedro Maia;8 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;25 weeks on the list","BLACK BIRD, VOL. 10;by Kanoko Sakurakoji;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;14 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;13 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;7 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;32 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,TIPPING POINT;by Malcolm Gladwell;,AFTER AMERICA;by Mark Steyn;
4,BLIND FAITH;by CJ Lyons;3 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;9 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;132 weeks on the list,,,THE RACE;by Clive Cussler and Justin Scott;,BONHOEFFER;by Eric Metaxas;New this week,A STOLEN LIFE;by Jaycee Dugard;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;33 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;15 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;528 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;36 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;14 weeks on the list","DENGEKI DAISY, VOL. 6;by Kyousuke Motomi;New this week",DARTH PAPER STRIKES BACK: AN ORIGAMI YODA BOOK;by Tom Angleberger;3 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;3 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;139 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE BIG SHORT;by Michael Lewis;,1493;by Charles C. Mann;
5,MILE 81;by Stephen King;New this week,PREY;by Linda Howard;New this week,ONE DAY;by David Nicholls;28 weeks on the list,,,DARK PREDATOR;by Christine Feehan;,UNBROKEN;by Laura Hillenbrand;33 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;18 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;236 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;9 weeks on the list,LIVING BEYOND YOUR FEELINGS;by Joyce Meyer;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;47 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;,"AMERICAN VAMPIRE, VOL. 2;by Scott Snyder and Rafael Albuquereque;8 weeks on the list","THE WALKING DEAD, VOL. 12;by Robert Kirkman and Charlie Adlard;12 weeks on the list","KIMI NI TODOKE: FROM ME TO YOU, VOL. 10;by Karuho Shiina;New this week",THE THRONE OF FIRE;by Rick Riordan;19 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;111 weeks on the list,PRESS HERE;by Hervé Tullet;21 weeks on the list,HARRY POTTER;by J.K. Rowling;269 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;
6,1105 YAKIMA STREET;by Debbie Macomber;2 weeks on the list,THE ART OF FIELDING;by Chad Harbach;New this week,SAFE HAVEN;by Nicholas Sparks;6 weeks on the list,,,PORT MORTUARY;by Patricia Cornwell;,A STOLEN LIFE;by Jaycee Dugard;9 weeks on the list,BOSSYPANTS;by Tina Fey;23 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;10 weeks on the list,IN MY TIME;by Dick Cheney;2 weeks on the list,THE DUKAN DIET;by Pierre Dukan;21 weeks on the list,EAT TO LIVE;by Joel Fuhrman;12 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,"BALTIMORE, VOL. 1;by Mike Mignola and others;3 weeks on the list",THOR: WOLVES OF THE NORTH;by Mike Carey and Alan Davis;2 weeks on the list,"LIBRARY WARS: LOVE & WAR, VOL. 6;by Hiro Arikawa;New this week","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;11 weeks on the list",SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;19 weeks on the list,"SKIPPYJON JONES, CLASS ACTION;by Judy Schachner;9 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;218 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;,DRIVE;by Daniel H. Pink;,THE SECRETS OF THE FBI;by Ronald Kessler;
7,THE ABBEY;by Chris Culver;3 weeks on the list,PIRATE KING;by Laurie R. King;New this week,THE SIXTH MAN;by David Baldacci;New this week,,,AMERICAN ASSASSIN;by Vince Flynn;,IN THE GARDEN OF BEASTS;by Erik Larson;18 weeks on the list,1493;by Charles C. Mann;5 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;18 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;18 weeks on the list,WHEAT BELLY;by William Davis;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;28 weeks on the list,CLEOPATRA;by Stacy Schiff;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;13 weeks on the list,"COWBOYS AND ALIENS;by Scott M. Rosenberg, Fred Van Lente and others;9 weeks on the list","BLUE EXORCIST, VOL. 1;by Kazue Kato;14 weeks on the list",BLOODLINES;by Richelle Mead;3 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;19 weeks on the list,THE ASTONISHING SECRET OF AWESOME MAN;by Michael Chabon. Illustrated by Jake Parker;New this week,DORK DIARIES;by Rachel Renée Russell;13 weeks on the list,MONEY CLASS;by Suze Orman;,MONEYBALL;by  Michael Lewis;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;
8,DARK PREDATOR;by Christine Feehan;New this week,THE LEFTOVERS;by Tom Perrotta;2 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;85 weeks on the list,,,THE MERCY;by Beverly Lewis;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;33 weeks on the list,WILLPOWER;by Roy F. Baumeister and John Tierney;New this week,THE BOY WHO CAME BACK FROM HEAVEN;by Kevin Malarkey and Alex Malarkey;10 weeks on the list,BOSSYPANTS;by Tina Fey;23 weeks on the list,PRIME TIME;by Jane Fonda;5 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;4 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,WE3: DELUXE EDITION;by Grant Morrison and Frank Quitely;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini and Fabio Celoni;New this week,"BUTTERFLIES, FLOWERS, VOL. 8;by Yuki Yoshihara;New this week",MICHAEL VEY: THE PRISONER OF CELL 25;by Richard Paul Evans;5 weeks on the list,PINKALICIOUS AND THE PINK PUMPKIN;by Victoria Kann;2 weeks on the list,MOO;by Matthew Van Fleet. Photographs by Brian Stanton;2 weeks on the list,SEVEN REALMS;by Cinda Williams Chima;2 weeks on the list,DELIVERING HAPPINESS;by Tony Hsieh;,OLD RULES OF MARKETING ARE DEAD;by  Timothy R. Pearson;,DEMONIC;by Ann Coulter;
9,THE RACE;by Clive Cussler and Justin Scott;New this week,FLASH AND BONES;by Kathy Reichs;3 weeks on the list,FALL OF GIANTS;by Ken Follett;2 weeks on the list,,,ROOM;by Emma Donoghue;,BOSSYPANTS;by Tina Fey;23 weeks on the list,JUST MY TYPE;by Simon Garfield;2 weeks on the list,MONEYBALL;by Michael Lewis;20 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;33 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;39 weeks on the list,RADICAL;by David Platt;64 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE INFLUENCING MACHINE: BROOKE GLADSTONE ON THE MEDIA;by Brooke Gladstone and Josh Neufeld;6 weeks on the list,SMILE;by Raina Telgemeier;New this week,"ULTIMO, VOL. 6;by Hiroyuki Takei;New this week",WILDWOOD;by Colin Meloy. Illustrated by Carson Ellis;2 weeks on the list,THE NINE LIVES OF CHLOE KING;by Liz Braswell;13 weeks on the list,OTIS AND THE TORNADO;by Loren Long;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;247 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;
10,ENVY;by J.R. Ward;New this week,THE PARIS WIFE;by Paula McLain;24 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;118 weeks on the list,,,THE REVERSAL;by Michael Connelly;,CLEOPATRA;by Stacy Schiff;12 weeks on the list,AFTER AMERICA;by Mark Steyn;5 weeks on the list,BORN TO RUN;by Christopher McDougall;24 weeks on the list,WHAT IT IS LIKE TO GO TO WAR;by  Karl Marlantes;2 weeks on the list,LOVE WINS;by Rob Bell;24 weeks on the list,FORGOTTEN GOD;by Francis Chan with Danae Yankoski;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;,THOR: WORLD EATERS;by Matt Fraction and Pasqual Ferry;New this week,"THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;5 weeks on the list","DEATH NOTE BLACK EDITION, VOL. 5;by Tsugumi Ohba;New this week",THE LOST HERO;by Rick Riordan;48 weeks on the list,CHAINS;by Laurie Halse Anderson;3 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;6 weeks on the list",RANGER’S APPRENTICE;by John Flanagan;68 weeks on the list,ENCHANTMENT;by Guy Kawasaki;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A FIRST-RATE MADNESS;by Nassir Ghaemi;
