,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE GODS OF GUILT;by Michael Connelly;New this week,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;New this week,DARK WITCH;by Nora Roberts;6 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;7 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;7 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;59 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;11 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;New this week",THE FIFTH BEATLE: THE BRIAN EPSTEIN STORY;by Vivek Tiwary and  Andrew C. Robinson;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;112 weeks on the list","ONE PIECE, VOL. 69;by Eiichiro Oda;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;24 weeks on the list,DIVERGENT;by Veronica Roth;7 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;New this week,SYCAMORE ROW;by John Grisham;7 weeks on the list,DEAR LIFE;by Alice Munro;9 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;11 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;11 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;86 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;10 weeks on the list,GUINNESS WORLD RECORDS 2014.;;13 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;10 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;46 weeks on the list","ATTACK ON TITAN, VOL. 9;by Hajime Isayama;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;114 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;255 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,DOUBLE DOWN;by Mark Halperin and John Heilemann;,THE REASON I JUMP;by Naoki Higashida;
3,SYCAMORE ROW;by John Grisham;7 weeks on the list,THE GODS OF GUILT;by Michael Connelly;New this week,THE STORYTELLER;by Jodi Picoult;5 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;10 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;131 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;9 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;6 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;97 weeks on the list","THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;2 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;13 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;48 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;172 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GROUNDED;by Bob Rosen;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,QUIET;by Susan Cain;
4,THE GOLDFINCH;by Donna Tartt;7 weeks on the list,DOCTOR SLEEP;by Stephen King;11 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;91 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;5 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;10 weeks on the list,QUIET;by Susan Cain;45 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;2 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;6 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;2 weeks on the list",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;11 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;26 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;32 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;51 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,DOT COMPLICATED;by Randi Zuckerberg;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
5,TAKEDOWN TWENTY;by Janet Evanovich;3 weeks on the list,CROSS MY HEART;by James Patterson;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;36 weeks on the list",,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;3 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;3 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;21 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;7 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;5 weeks on the list,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;6 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;17 weeks on the list,"POKEMON BLACK AND WHITE, VOL. 10;by Hidenori Kusaka;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;121 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;117 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,CROSS MY HEART;by James Patterson;2 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;4 weeks on the list,GABRIEL'S REDEMPTION;by Sylvain Reynard;New this week,,,THE BULLY PULPIT;by Doris Kearns Goodwin;5 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;5 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;43 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;5 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;11 weeks on the list,FAIREST: IN ALL THE LAND;by Bill Willingham and others;2 weeks on the list,SMILE;by Raina Telgemeier;83 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;15 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;15 weeks on the list,HARRY POTTER;by J.K. Rowling;299 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
7,KING AND MAXWELL;by David Baldacci;3 weeks on the list,THE GOLDFINCH;by Donna Tartt;7 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;36 weeks on the list,,,HUMANS OF NEW YORK;by Brandon Stanton;3 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;8 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;22 weeks on the list,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;2 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;7 weeks on the list,DRAMA;by Raina Telgemeier;49 weeks on the list,"SAILOR MOON SHORT STORIES, VOL. 2;by Naoko Takeuchi;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;2 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;318 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,EXTORTION;by Peter Schweizer;,WHEAT BELLY;by William Davis;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
8,GABRIEL'S REDEMPTION;by Sylvain Reynard;New this week,TAKEDOWN TWENTY;by Janet Evanovich;3 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;16 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;9 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;9 weeks on the list,WILD;by Cheryl Strayed;37 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;33 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;5 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;5 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;43 weeks on the list","DEMON LOVE SPELL, VOL. 5;by Mayu Shinjo;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;16 weeks on the list,LEGEND;by Marie Lu;4 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,UNBROKEN;by Laura Hillenbrand;,THE FRACKERS;by Gregory Zuckerman;
9,DOCTOR SLEEP;by Stephen King;11 weeks on the list,KING AND MAXWELL;by David Baldacci;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;281 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;12 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;14 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;36 weeks on the list",MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;3 weeks on the list,THE GREATEST GIFT;by Ann Voskamp;4 weeks on the list,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;24 weeks on the list",BATTLING BOY;by Paul Pope;5 weeks on the list,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,AN OTIS CHRISTMAS;by Loren Long;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;94 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HATCHING TWITTER;by Nick Bilton;,THE 3-1-2-1 DIET;by Dolvett Quince;,FIVE DAYS IN NOVEMBER;by Clint Hill and Lisa McCubbin;,FOCUS;by Daniel Goleman;
10,TAKE ME;by J. Kenner;New this week,INFERNO;by Dan Brown;25 weeks on the list,ME BEFORE YOU;by Jojo Moyes;19 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;36 weeks on the list,ONE SUMMER;by Bill Bryson;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;160 weeks on the list,UNBROKEN;by Laura Hillenbrand;149 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;3 weeks on the list,"AQUAMAN, VOL. 3;by Geoff Johns,  Paul Pelletier and Ivan Reis;2 weeks on the list",BLUE IS THE WARMEST COLOR;by Julie Maroh;9 weeks on the list,"NARUTO, VOL. 63;by Masashi Kishimoto;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;4 weeks on the list",IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;5 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,MAN WHO KILLED KENNEDY;by Roger Stone with Mike Colapietro;,WHY CAN'T I GET BETTER?;by Richard I. Horowitz;
