,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,ACT OF WAR;by Brad Thor;New this week,ACT OF WAR;by Brad Thor;New this week,GONE GIRL;by Gillian Flynn;12 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;161 weeks on the list,UNBROKEN;by Laura Hillenbrand;177 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;49 weeks on the list,UNBROKEN;by Laura Hillenbrand;180 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;66 weeks on the list,BIG DAMN SIN CITY;by Frank Miller;New this week,"RAT QUEENS, VOL. 1;by Kurtis J. Wiebe and Roc Upchurch;New this week","NARUTO, VOL. 66;by Masashi Kishimoto;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;55 weeks on the list,DIVERGENT;by Veronica Roth;38 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,HARD CHOICES;by Hillary Rodham Clinton;,QUIET;by Susan Cain;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,POWER PLAY;by Catherine Coulter;New this week,POWER PLAY;by Catherine Coulter;New this week,ORPHAN TRAIN;by Christina Baker Kline;47 weeks on the list,,,AMERICA;by Dinesh D'Souza;New this week,AMERICA;by Dinesh D'Souza;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;7 weeks on the list,AMERICA;by Dinesh D'Souza;New this week,LAUNCH;by Jeff Walker;2 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;10 weeks on the list,PERSEPOLIS;by Marjane Satrapi;29 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 5;by Shin Yoshida and Naohito Miyoshi;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;145 weeks on the list",THE MAZE RUNNER;by James Dashner;92 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,WHEAT BELLY;by William Davis;,ONE NATION;by Ben Carson with Candy Carson;,DAVID AND GOLIATH;by Malcolm Gladwell;,"TIGER, MEET MY SISTER;by Rick Reilly;"
3,GONE GIRL;by Gillian Flynn;85 weeks on the list,CALIFORNIA;by Edan Lepucki;New this week,THE ALCHEMIST;by Paulo Coelho;312 weeks on the list,,,BLOOD FEUD;by Edward Klein;3 weeks on the list,BLOOD FEUD;by Edward Klein;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;191 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;50 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;19 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;4 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;133 weeks on the list","NISEKOI: FALSE LOVE, VOL. 4;by Naoshi Komi;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;15 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;148 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,FLASH BOYS;by Michael Lewis;,THE EVERYGIRL'S GUIDE TO DIET AND FITNESS;by Maria Menounos;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MICHAEL JORDAN: THE LIFE;by Roland Lazenby;
4,INVISIBLE;by James Patterson and David Ellis;3 weeks on the list,INVISIBLE;by James Patterson and David Ellis;3 weeks on the list,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;3 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;28 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;162 weeks on the list,BLOOD FEUD;by Edward Klein;3 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;42 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;70 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;18 weeks on the list",THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;New this week,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,UNBROKEN;by Laura Hillenbrand;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;"
5,TOP SECRET TWENTY-ONE;by Janet Evanovich;4 weeks on the list,THE SILKWORM;by Robert Galbraith;4 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;6 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;8 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;355 weeks on the list,A THREE DOG LIFE;by Abigail Thomas;2 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;42 weeks on the list,A GAME OF THRONES;by George R.R. Martin;26 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;16 weeks on the list","POKEMON ADVENTURES, VOL. 23;by Hidenori Kusaka and Satoshi Yamamoto;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;148 weeks on the list,GIVER QUARTET;by Lois Lowry;47 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,THE POWER OF HABIT;by Charles Duhigg;,THE SPORTS GENE;by David Epstein;
6,THE GOLDFINCH;by Donna Tartt;38 weeks on the list,TOP SECRET TWENTY-ONE;by Janet Evanovich;4 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;11 weeks on the list,,,HARD CHOICES;by Hillary Rodham Clinton;5 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;14 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;90 weeks on the list,A WORLD ON FIRE;by Amanda Foreman;New this week,"THE ALLIANCE;by Reid Hoffman, Ben Casnocha and Chris Yeh;New this week","NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;9 weeks on the list",THE HARLEM HELLFIGHTERS;by Max Brooks and Caanan White;7 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;57 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;30 weeks on the list,THE SELECTION;by Kiera Cass;10 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,BLOOD FEUD;by Edward Klein;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
7,THE SILKWORM;by Robert Galbraith;4 weeks on the list,THE GOLDFINCH;by Donna Tartt;38 weeks on the list,ME BEFORE YOU;by Jojo Moyes;50 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;124 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;39 weeks on the list,A LONG WAY GONE;by Ishmael Beah;82 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;25 weeks on the list,INSTINCT;by T. D. Jakes;10 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;123 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;36 weeks on the list","UQ HOLDER, VOL. 2;by Ken Akamatsu;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,LOCOMOTIVE;by Brian Floca;24 weeks on the list,DORK DIARIES;by Rachel Renée Russell;103 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PRACTICAL PALEO;by Diane Sanfilippo;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,STUFF MATTERS;by Mark Miodownik;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
8,HUDSON;by Laurelin Paige;New this week,MR. MERCEDES;by Stephen King;6 weeks on the list,THE SILVER STAR;by Jeannette Walls;6 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;27 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;27 weeks on the list,BUSINESS ADVENTURES;by John Brooks;New this week,#GIRLBOSS;by Sophia Amoruso;10 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;7 weeks on the list,SMILE;by Raina Telgemeier;110 weeks on the list,"SWORD ART ONLINE: FAIRY DANCE, VOL. 1;by Reki Kawahara and Tsubasa Haduki;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;99 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;13 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRESS TEST;by Timothy F. Geithner;,GUY ON FIRE;by Guy Fieri with Ann Volkwein;,THE ROMANOV SISTERS;by Helen Rappaport;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,STRONGER;by Jeff Bauman with Bret Witter;
9,THE GIRLS OF AUGUST;by Anne Rivers Siddons;New this week,WRITTEN IN MY OWN HEART'S BLOOD;by Diana Gabaldon;5 weeks on the list,DARK PLACES;by Gillian Flynn;50 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;8 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;29 weeks on the list,WILD;by Cheryl Strayed;68 weeks on the list,SHIP OF GHOSTS;by James D. Hornfischer;New this week,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;New this week,NATHAN HALE'S HAZARDOUS TALES: ONE DEAD SPY;by Nathan Hale;7 weeks on the list,"SEX CRIMINALS, VOL. 1;by Matt Fraction and Chip Zdarsky;7 weeks on the list","SEVEN DEADLY SINS, VOL. 3;by Nakaba Suzuki;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;6 weeks on the list,HARRY POTTER;by J.K. Rowling;306 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE BIG FAT SURPRISE;by Nina Teicholz;,NO PLACE TO HIDE;by Glenn Greenwald;,PROOF: THE SCIENCE OF BOOZE;by Adam Rogers;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,ORPHAN TRAIN;by Christina Baker Kline;25 weeks on the list,LANDLINE;by Rainbow Rowell;New this week,SHARP OBJECTS;by Gillian Flynn;17 weeks on the list,,,A THREE DOG LIFE;by Abigail Thomas;2 weeks on the list,DIARY OF A MAD DIVA;by Joan Rivers;2 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;6 weeks on the list,BECOMING QUEEN VICTORIA;by Kate Williams;New this week,WHEAT BELLY;by William Davis;60 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;44 weeks on the list,"VELVET, VOL. 1;by Ed Brubaker and Steve Epting;2 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;33 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THREE BEARS IN A BOAT;by David Soman;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;286 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THRIVE;by Arianna Huffington;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,STRESS TEST;by Timothy F. Geithner;,THE SPORTS GENE;by David Epstein;,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;
