,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE ROOSTER BAR;by John Grisham;New this week,THE ROOSTER BAR;by John Grisham;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;4 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;New this week,LEONARDO DA VINCI;by Walter Isaacson;2 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;109 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;New this week,WONDER;by R.J. Palacio;116 weeks on the list,THROUGH YOUR EYES;by Ainsley Earhardt. Illustrated by Ji-Hyuk Kim;2 weeks on the list,HARRY POTTER;by J.K. Rowling;449 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;3 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
2,ORIGIN;by Dan Brown;4 weeks on the list,ORIGIN;by Dan Brown;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;81 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;2 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;New this week,THE GLASS CASTLE;by Jeannette Walls;397 weeks on the list,SMITTEN KITCHEN EVERY DAY;by Deb Perelman;New this week,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;18 weeks on the list,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;223 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;2 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
3,QUICK & DIRTY;by Stuart Woods;New this week,DEEP FREEZE;by John Sandford;2 weeks on the list,IT;by Stephen King;11 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;New this week,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;New this week,NUDGE;by Richard H. Thaler and Cass R. Sunstein;4 weeks on the list,CAPITAL GAINES;by Chip Gaines;2 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;5 weeks on the list,PRINCESSES WEAR PANTS;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;7 weeks on the list,DOG MAN;by Dav Pilkey;9 weeks on the list,THE HATE U GIVE;by Angie Thomas;35 weeks on the list,PRINCIPLES;by Ray Dalio;,END OF ALZHEIMER'S;by Dale Bredesen;,ALI: A LIFE;by Jonathan Eig;
4,DEEP FREEZE;by John Sandford;2 weeks on the list,SLEEPING BEAUTIES;by Stephen King and Owen King;5 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;New this week,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;6 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;46 weeks on the list,AUGGIE & ME;by R.J. Palacio;48 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;3 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;4 weeks on the list,LONG WAY DOWN;by Jason Reynolds;New this week,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,LEOPARD'S BLOOD;by Christine Feehan;New this week,UNCOMMON TYPE;by Tom Hanks;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;38 weeks on the list,GRANT;by Ron Chernow;3 weeks on the list,GRANT;by Ron Chernow;3 weeks on the list,BEING MORTAL;by Atul Gawande;8 weeks on the list,BLESSED IN THE DARKNESS;by Joel Osteen;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;42 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;450 weeks on the list,WARCROSS;by Marie Lu;6 weeks on the list,THE FOUR;by Scott Galloway;,SAPIENS;by Yuval Noah Harari;,THE FIRST MAJOR;by John Feinstein;
6,THE SUN AND HER FLOWERS;by Rupi Kaur;4 weeks on the list,A COLUMN OF FIRE;by Ken Follett;7 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;29 weeks on the list,WHAT HAPPENED;by Hillary Clinton;7 weeks on the list,WHAT HAPPENED;by Hillary Clinton;7 weeks on the list,ON TYRANNY;by Timothy Snyder;35 weeks on the list,YOU ARE A BADASS;by Jen Sincero;94 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;13 weeks on the list,AFTER THE FALL;by Dan Santat;4 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;90 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;9 weeks on the list,THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,BEING MORTAL;by Atul Gawande;,RELENTLESS;by Julian Edelman with Tom E. Curran;
7,MILK AND HONEY;by Rupi Kaur;37 weeks on the list,QUICK & DIRTY;by Stuart Woods;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;30 weeks on the list,WE'RE GOING TO NEED MORE WINE;by Gabrielle Union;2 weeks on the list,WE'RE GOING TO NEED MORE WINE;by Gabrielle Union;2 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;8 weeks on the list,PRINCIPLES;by Ray Dalio;5 weeks on the list,THE WAR I FINALLY WON;by Kimberly Brubaker Bradley;4 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;22 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;25 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;5 weeks on the list,SOAR!;by T.D. Jakes;,SOONISH;by Kelly Weinersmith and Zach Weinersmith;,SHOE DOG;by Phil Knight;
8,MIND GAME;by Iris Johansen;New this week,FAIRYTALE;by Danielle Steel;3 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;8 weeks on the list,AMERICAN RADICAL;by Tamer Elnoury with Kevin Maurer;New this week,THE STORM BEFORE THE STORM;by Mike Duncan;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;144 weeks on the list",DISCIPLINE EQUALS FREEDOM;by Jocko Willink;2 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;8 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;192 weeks on the list,I SURVIVED;by Lauren Tarshis;35 weeks on the list,ALL THE CROOKED SAINTS;by Maggie Stiefvater;2 weeks on the list,NUDGE;by Richard H. Thaler and Cass R. Sunstein;,WHY WE SLEEP;by Matthew Walker;,THE CHICAGO CUBS;by Rich Cohen;
9,A COLUMN OF FIRE;by Ken Follett;7 weeks on the list,STRANGE WEATHER;by Joe Hill;New this week,LILAC GIRLS;by Martha Hall Kelly;35 weeks on the list,THE STORM BEFORE THE STORM;by Mike Duncan;New this week,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;26 weeks on the list,JUST MERCY;by Bryan Stevenson;83 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;7 weeks on the list,REFUGEE;by Alan Gratz;5 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;451 weeks on the list,HUNTING PRINCE DRACULA;by Kerri Maniscalco;5 weeks on the list,BE FIERCE;by Gretchen Carlson;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BARBARIAN DAYS;by William Finnegan;
10,IT;by Stephen King;12 weeks on the list,THE GIRL WHO TAKES AN EYE FOR AN EYE;by David Lagercrantz;7 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;22 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;66 weeks on the list,AMERICAN RADICAL;by Tamer Elnoury with Kevin Maurer;New this week,ALEXANDER HAMILTON;by Ron Chernow;86 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;2 weeks on the list,THE PURLOINING OF PRINCE OLEOMARGARINE;by Mark Twain and Philip Stead. Illustrated by Erin Stead;5 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;222 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;21 weeks on the list,SUN WARRIOR;by P. C. Cast;2 weeks on the list,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRONGER;by Jeff Bauman with Bret Witter;
