,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE CUCKOO'S CALLING;by Robert Galbraith;3 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;3 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;2 weeks on the list,,,ZEALOT;by Reza Aslan;3 weeks on the list,ZEALOT;by Reza Aslan;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;41 weeks on the list,ZEALOT;by Reza Aslan;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;17 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;7 weeks on the list,"HAWKEYE, VOL. 2;by Matt Fraction and David Aja;2 weeks on the list","BLACK BUTLER, VOL. 14;by Yana Toboso;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;6 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;99 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
2,THE REDEMPTION OF CALLIE AND KAYDEN;by Jessica Sorensen;New this week,INFERNO;by Dan Brown;12 weeks on the list,JOYLAND;by Stephen King;9 weeks on the list,,,THIS TOWN;by Mark Leibovich;3 weeks on the list,THIS TOWN;by Mark Leibovich;3 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;3 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;4 weeks on the list,WHEAT BELLY;by William Davis;17 weeks on the list,BEFORE WATCHMEN: NITE OWL/DR. MANHATTAN;by Adam Hughes;3 weeks on the list,"FAIREST, VOL. 2;by Lauren Beukes and Inaki Miranda;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;8 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;154 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,COMPLETE ME;by J. Kenner;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;11 weeks on the list,"ALEX CROSS, RUN;by James Patterson;New this week",,,ORANGE IS THE NEW BLACK;by Piper Kerman;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;21 weeks on the list,OUTLIERS;by Malcolm Gladwell;113 weeks on the list,THIS TOWN;by Mark Leibovich;3 weeks on the list,THE LEADERSHIP CONTRACT;by Vince Molinaro;New this week,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;3 weeks on the list,"NIGHTWING, VOL. 2;by Eddy Barrows;New this week","SAILOR MOON, VOL. 12;by Naoko Takeuchi;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;96 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;300 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,THREE LITTLE WORDS;by Susan Mallery;New this week,THE ENGLISH GIRL;by Daniel Silva;3 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;18 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;41 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;13 weeks on the list",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;126 weeks on the list,IF LOVING YOU IS WRONG;by Gregg Olsen;New this week,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;New this week,MOUSE GUARD: THE BLACK AXE;by David Petersen;2 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;7 weeks on the list","SOUL EATER, VOL. 15;by Atsushi Ohkubo;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;103 weeks on the list,DORK DIARIES;by Rachel Renée Russell;82 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,BREAKPOINT;by Jeff Stibel;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,BREAKPOINT;by Jeff Stibel;
5,INFERNO;by Dan Brown;12 weeks on the list,GONE GIRL;by Gillian Flynn;61 weeks on the list,THE ALCHEMIST;by Paulo Coelho;264 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;21 weeks on the list,UNBROKEN;by Laura Hillenbrand;140 weeks on the list,QUIET;by Susan Cain;27 weeks on the list,"IF YOU LIVED HERE, I'D KNOW YOUR NAME;by Heather Lende;5 weeks on the list",JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;4 weeks on the list,HARLAN ELLISON'S 7 AGAINST CHAOS;by Harlan Ellison and Paul Chadwick;3 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;4 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;8 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;16 weeks on the list",THE MAZE RUNNER;by James Dashner;57 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,GETTYSBURG;by Allen C. Guelzo;,THE POWER OF HABIT;by Charles Duhigg;
6,THE ENGLISH GIRL;by Daniel Silva;3 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;7 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;73 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;13 weeks on the list",LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;15 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;323 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;41 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;17 weeks on the list,"UNCANNY X-MEN, VOL. 1;by Brian Michael Bendis and Chris Bachalo;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;33 weeks on the list","KINGDOM HEARTS, FINAL MIX, VOL. 1;by Shiro Amano;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;69 weeks on the list,GIVER QUARTET;by Lois Lowry;18 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,JANE'S MELODY;by Ryan Winfield;New this week,THE HIGHWAY;by C.  J. Box;New this week,FIFTY SHADES DARKER;by E. L. James;70 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;124 weeks on the list,A STREET CAT NAMED BOB;by James Bowen;New this week,WILD;by Cheryl Strayed;19 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;21 weeks on the list,E-SQUARED;by Pam Grout;3 weeks on the list,"AVENGERS, VOL. 2;by Jonathan Hickman and Dustin Weaver;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;102 weeks on the list","IS THIS A ZOMBIE?, VOL. 5;by Shinichi Kimura and Sacchi;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;41 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;9 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,HALLUCINATIONS;by Oliver Sacks;
8,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;11 weeks on the list,HIDDEN ORDER;by Brad Thor;4 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;2 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;15 weeks on the list,SHIRLEY JONES;by Shirley Jones with Wendy Leigh;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;27 weeks on the list,BORN STANDING UP;by Steve Martin;3 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;8 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;7 weeks on the list,PERSEPOLIS;by Marjane Satrapi;11 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;238 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;",KEEP IT PITHY;by Bill O'Reilly;,THE GREATEST SHOW ON EARTH;by Richard Dawkins;
9,MAGIC RISES;by Ilona Andrews;New this week,FIRST SIGHT;by Danielle Steel;3 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;18 weeks on the list",,,SHIRLEY JONES;by Shirley Jones with Wendy Leigh;2 weeks on the list,DAD IS FAT;by Jim Gaffigan;13 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;5 weeks on the list,BUTLER;by Wil Haygood;New this week,LIFE CODE;by Phil McGraw;17 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;93 weeks on the list","THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;9 weeks on the list","KINGDOM HEARTS II, VOL. 1;by Shiro Amano;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;9 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;37 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,BOOMERANG;by Michael Lewis;,THE UNWINDING;by George Packer;,THE DISAPPEARING SPOON;by Sam Kean;
10,GONE GIRL;by Gillian Flynn;59 weeks on the list,LIGHT OF THE WORLD;by James Lee Burke;2 weeks on the list,ME BEFORE YOU;by Jojo Moyes;New this week,,,OUTLIERS;by Malcolm Gladwell;27 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;18 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;18 weeks on the list",THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;13 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;6 weeks on the list",DRAMA;by Raina Telgemeier;39 weeks on the list,"ATTACK ON TITAN, VOL. 5;by Hajime Isayama;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;14 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;272 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN STARTUP;by Eric Ries;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE CHECKLIST MANIFESTO;by Atul Gawande;
