,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;49 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;50 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;164 weeks on the list,EDUCATED;by Tara Westover;78 weeks on the list,EDUCATED;by Tara Westover;78 weeks on the list,BORN A CRIME;by Trevor Noah;27 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;140 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;19 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;18 weeks on the list,DOG MAN;by Dav Pilkey;103 weeks on the list,THE HATE U GIVE;by Angie Thomas;129 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,RANGE;by David Epstein;
2,THE BITTERROOTS;by C.J. Box;New this week,THE INN;by James Patterson with Candice Fox;2 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;50 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;New this week,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;New this week,SAPIENS;by Yuval Noah Harari;66 weeks on the list,DARE TO LEAD;by Brené Brown;30 weeks on the list,WONDER;by R.J. Palacio;210 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;7 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;184 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;37 weeks on the list,THE TURN OF THE KEY;by Ruth Ware;,BECOMING;by Michelle Obama;,RANGE;by David Epstein;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,SHOE DOG;by Phil Knight;
3,CONTRABAND;by Stuart Woods;New this week,THE BITTERROOTS;by C.J. Box;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;15 weeks on the list,BECOMING;by Michelle Obama;40 weeks on the list,BECOMING;by Michelle Obama;40 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;58 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;71 weeks on the list",REFUGEE;by Alan Gratz;68 weeks on the list,IF I BUILT A SCHOOL;by Chris Van Dusen;New this week,HARRY POTTER;by J.K. Rowling;543 weeks on the list,THE POET X;by Elizabeth Acevedo;17 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,ATOMIC HABITS;by James Clear;,BEING MORTAL;by Atul Gawande;,THE SIXTH MAN;by Andre Iguodala with Carvell Wallace;
4,THE INN;by James Patterson with Candice Fox;2 weeks on the list,ONE GOOD DEED;by David Baldacci;4 weeks on the list,BELOVED;by Toni Morrison;2 weeks on the list,BORN A CRIME;by Trevor Noah;57 weeks on the list,THREE WOMEN;by Lisa Taddeo;6 weeks on the list,JUST MERCY;by Bryan Stevenson;166 weeks on the list,YOU ARE A BADASS;by Jen Sincero;185 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;78 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;198 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;54 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;76 weeks on the list,ONE GOOD DEED;by David Baldacci;,BORN A CRIME;by Trevor Noah;,OUTLIERS;by Malcolm Gladwell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BOYS IN THE BOAT;by Daniel James Brown;
5,THE ART OF RACING IN THE RAIN;by Garth Stein;4 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;5 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;13 weeks on the list,THREE WOMEN;by Lisa Taddeo;6 weeks on the list,THE PIONEERS;by David McCullough;15 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;43 weeks on the list,IT'S NOT SUPPOSED TO BE THIS WAY;by Lysa TerKeurst;13 weeks on the list,BLENDED;by Sharon M. Draper;19 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;544 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;87 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;,SAPIENS;by Yuval Noah Harari;,BAD BLOOD;by John Carreyrou;,THE MOSQUITO;by Timothy C. Winegard;,NEVER SETTLE;by Marty Smith;
6,BLOOD TRUTH;by J.R. Ward;New this week,THE TURN OF THE KEY;by Ruth Ware;2 weeks on the list,THE BLUEST EYE;by Toni Morrison;2 weeks on the list,THE PIONEERS;by David McCullough;15 weeks on the list,TRICK MIRROR;by Jia Tolentino;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;287 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;283 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;18 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;283 weeks on the list,SCARY STORIES;by Alvin Schwartz. Illustrated by Stephen Gammell;New this week,ON THE COME UP;by Angie Thomas;28 weeks on the list,THE LAST WIDOW;by Karin Slaughter;,THANK YOU FOR MY SERVICE;by Mat Best with Ross Patterson and Nils Parker;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WOLFPACK;by Abby Wambach;
7,ONE GOOD DEED;by David Baldacci;4 weeks on the list,THE NEW GIRL;by Daniel Silva;5 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;63 weeks on the list,SAPIENS;by Yuval Noah Harari;82 weeks on the list,RANGE;by David Epstein;8 weeks on the list,CALYPSO;by David Sedaris;11 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;24 weeks on the list",GHOST BOYS;by Jewell Parker Rhodes;5 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;285 weeks on the list,DESCENDANTS;by various authors;23 weeks on the list,THE REST OF THE STORY;by Sarah Dessen;11 weeks on the list,THE LAST HOUSE GUEST;by Megan Miranda;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,KOCHLAND;by Christopher Leonard;,DOPESICK;by Beth Macy;,BARBARIAN DAYS;by William Finnegan;
8,THE NICKEL BOYS;by Colson Whitehead;5 weeks on the list,OUTFOX;by Sandra Brown;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;24 weeks on the list,BALL OF COLLUSION;by Andrew C. McCarthy;New this week,UNFREEDOM OF THE PRESS;by Mark R. Levin;13 weeks on the list,THE SPY AND THE TRAITOR;by Ben Macintyre;New this week,MAKE YOUR BED;by William H. McRaven;75 weeks on the list,POPULARMMOS PRESENTS ENTER THE MINE;by Pat and Jen from PopularMMOs. Illustrated by Dani Jones;11 weeks on the list,MIX IT UP!;by Hervé Tullet;15 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;515 weeks on the list,"GHOSTS OF THE SHADOW MARKET;by Cassandra Clare, Sarah Rees Brennan, Maureen Johnson, Kelly Link and Robin Wasserman;11 weeks on the list",THE ART OF RACING IN THE RAIN;by Garth Stein;,HOW TO HIDE AN EMPIRE;by Daniel Immerwahr;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHY WE SLEEP;by Matthew Walker;,IF THESE WALLS COULD TALK;by Jerry Remy and Nick Cafardo;
9,THE TURN OF THE KEY;by Ruth Ware;2 weeks on the list,CHANCES ARE ...;by Richard Russo;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;98 weeks on the list,RANGE;by David Epstein;5 weeks on the list,BALL OF COLLUSION;by Andrew C. McCarthy;New this week,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;5 weeks on the list",DARING GREATLY;by Brené Brown;78 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;14 weeks on the list,THE GOOD EGG;by Jory John. Illustrated by Pete Oswald;14 weeks on the list,GIVER QUARTET;by Lois Lowry;159 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;14 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,FOR THE GOOD OF THE GAME;by Bud Selig with Phil Rogers;
10,THE NEW GIRL;by Daniel Silva;5 weeks on the list,CONTRABAND;by Stuart Woods;New this week,THE OVERSTORY;by Richard Powers;19 weeks on the list,TRICK MIRROR;by Jia Tolentino;2 weeks on the list,KOCHLAND;by Christopher Leonard;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;217 weeks on the list",SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;27 weeks on the list,KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;20 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;63 weeks on the list,THE BAD GUYS;by Aaron Blabey;44 weeks on the list,HOUSE OF SALT AND SORROWS;by Erin A. Craig;New this week,OUTFOX;by Sandra Brown;,RANGE;by David Epstein;,DOPESICK;by Beth Macy;,QUIET;by Susan Cain;,ALL THE WAY;by Joe Namath with Sean Mortimer and Don Yaeger;
