,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,TWISTED PREY;by John Sandford;New this week,TWISTED PREY;by John Sandford;New this week,READY PLAYER ONE;by Ernest Cline;56 weeks on the list,A HIGHER LOYALTY;by James Comey;2 weeks on the list,A HIGHER LOYALTY;by James Comey;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;4 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;New this week,WONDER;by R.J. Palacio;142 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;6 weeks on the list,DOG MAN;by Dav Pilkey;35 weeks on the list,LEAH ON THE OFFBEAT;by Becky Albertalli;New this week,READY PLAYER ONE;by Ernest Cline;,A HIGHER LOYALTY;by James Comey;,DEAR MADAM PRESIDENT;by Jennifer Palmieri;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TIGER WOODS;by Jeff Benedict and Armen Keteyian;
2,THE FALLEN;by David Baldacci;2 weeks on the list,THE FALLEN;by David Baldacci;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;107 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;9 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;9 weeks on the list,JUST MERCY;by Bryan Stevenson;101 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;72 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;131 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;476 weeks on the list,THE HATE U GIVE;by Angie Thomas;61 weeks on the list,THE FALLEN;by David Baldacci;,I'LL BE GONE IN THE DARK;by Michelle McNamara;,PRINCIPLES;by Ray Dalio;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,NORTH;by Scott Jurek with Jenny Jurek;
3,THE MIDNIGHT LINE;by Lee Child;10 weeks on the list,THE HELLFIRE CLUB;by Jake Tapper;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;30 weeks on the list,WAR ON PEACE;by Ronan Farrow;New this week,WAR ON PEACE;by Ronan Farrow;New this week,BEING MORTAL;by Atul Gawande;34 weeks on the list,YOU ARE A BADASS;by Jen Sincero;120 weeks on the list,THE WILD ROBOT ESCAPES;by Peter Brown;7 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;33 weeks on the list,HARRY POTTER;by J.K. Rowling;475 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;8 weeks on the list,SCOURGED;by Kevin Hearne;,BORN A CRIME;by Trevor Noah;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,SAPIENS;by Yuval Noah Harari;,LET YOUR MIND RUN;by Deena Kastor and Michelle Hamilton;
4,ONE LAST BREATH;by Lisa Jackson and Nancy Bush;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;32 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;New this week,SUICIDE OF THE WEST;by Jonah Goldberg;New this week,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;3 weeks on the list,EVICTED;by Matthew Desmond;33 weeks on the list,EVERYBODY ALWAYS;by Bob Goff;2 weeks on the list,REBOUND;by Kwame Alexander. Illustrated by Dawud Anyabwile;4 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;218 weeks on the list,MOON BASE ALPHA;by Stuart Gibbs;New this week,TURTLES ALL THE WAY DOWN;by John Green;29 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,GRIT;by Angela Duckworth;,WHO WE ARE AND HOW WE GOT HERE;by David Reich;,THINGS THAT MAKE WHITE PEOPLE UNCOMFORTABLE;by Michael Bennett and Dave Zirin;
5,SHATTERED MIRROR;by Iris Johansen;New this week,I'VE GOT MY EYES ON YOU;by Mary Higgins Clark;4 weeks on the list,COME SUNDOWN;by Nora Roberts;New this week,KILLERS OF THE FLOWER MOON;by David Grann;45 weeks on the list,SUICIDE OF THE WEST;by Jonah Goldberg;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;169 weeks on the list",THE CLEAN 20;by Ian K. Smith;3 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;11 weeks on the list",RESCUE & JESSICA;by Jessica Kensky and Patrick Downes. Illustrated by Scott Magoon;4 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;116 weeks on the list,ASH PRINCESS;by Laura Sebastian;New this week,THE GREAT ALONE;by Kristin Hannah;,EDUCATED;by Tara Westover;,RADICAL CANDOR;by Kim Scott;,ENLIGHTENMENT NOW;by Steven Pinker;,SHAKEN;by Tim Tebow;
6,READY PLAYER ONE;by Ernest Cline;23 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;32 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;61 weeks on the list,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;3 weeks on the list,THE LIGHT WITHIN ME;by Ainsley Earhardt with Mark Tabb;New this week,ON TYRANNY;by Timothy Snyder;51 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;240 weeks on the list,THE WILD ROBOT;by Peter Brown;24 weeks on the list,HOW TO BABYSIT A GRANDMA;by Jean Reagan. Illustrated by Lee Wildish;11 weeks on the list,THE BAD GUYS;by Aaron Blabey;14 weeks on the list,THE FATES DIVIDE;by Veronica Roth;3 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,ON GRAND STRATEGY;by John Lewis Gaddis;,BEING MORTAL;by Atul Gawande;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
7,LITTLE FIRES EVERYWHERE;by Celeste Ng;27 weeks on the list,THE FEMALE PERSUASION;by Meg Wolitzer;4 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;10 weeks on the list,THE LIGHT WITHIN ME;by Ainsley Earhardt with Mark Tabb;New this week,EDUCATED;by Tara Westover;10 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;114 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;3 weeks on the list",THE CROSSOVER;by Kwame Alexander;22 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;47 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;468 weeks on the list,SKY IN THE DEEP;by Adrienne Young;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE LAST BLACK UNICORN;by Tiffany Haddish;,THE POWER OF HABIT;by Charles Duhigg;,ROCKET MEN;by Robert Kurson;,THE BOYS IN THE BOAT;by Daniel James Brown;
8,CAMINO ISLAND;by John Grisham;21 weeks on the list,AFTER ANNA;by Lisa Scottoline;3 weeks on the list,THE LYING GAME;by Ruth Ware;8 weeks on the list,EDUCATED;by Tara Westover;10 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;52 weeks on the list,THE VIEW FROM FLYOVER COUNTRY;by Sarah Kendzior;New this week,I'VE BEEN THINKING ...;by Maria Shriver;9 weeks on the list,REFUGEE;by Alan Gratz;11 weeks on the list,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;140 weeks on the list,LONG WAY DOWN;by Jason Reynolds;12 weeks on the list,ALL SYSTEMS RED;by Martha Wells;,THE LOST AIRMAN;by Seth Meyerowitz with Peter F. Stevens;,WHEN;by Daniel H. Pink;,DOES IT FART?;by Nick Caruso and Dani Rabaiotti. Illustrated by Ethan Kocak;,FROM THE OUTSIDE;by Ray Allen with Michael Arkush;
9,THE GREAT ALONE;by Kristin Hannah;12 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;17 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;3 weeks on the list,CHASING HILLARY;by Amy Chozick;New this week,THE GIRL WHO SMILED BEADS;by Clemantine Wamariya and Elizabeth Weil;New this week,A BRIEF HISTORY OF TIME;by Stephen Hawking;20 weeks on the list,CREATIVE QUEST;by Questlove with Ben Greenman;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;64 weeks on the list,SHE PERSISTED AROUND THE WORLD;by Chelsea Clinton. Illustrated by Alexandra Boiger;6 weeks on the list,DORK DIARIES;by Rachel Renée Russell;249 weeks on the list,THE HAZEL WOOD;by Melissa Albert;13 weeks on the list,TWISTED PREY;by John Sandford;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,HANG TIME;by Elgin Baylor with Alan Eisenstock;
10,IRON PRINCESS;by Meghan March;New this week,THE GREAT ALONE;by Kristin Hannah;12 weeks on the list,CAMINO ISLAND;by John Grisham;8 weeks on the list,GO ASK ALI;by Ali Wentworth;New this week,MEASURE WHAT MATTERS;by John Doerr;New this week,OUTLIERS;by Malcolm Gladwell;251 weeks on the list,"OWN THE DAY, OWN YOUR LIFE;by Aubrey Marcus;2 weeks on the list",ARU SHAH AND THE END OF TIME;by Roshani Chokshi;5 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;128 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;49 weeks on the list,I HAVE LOST MY WAY;by Gayle Forman;5 weeks on the list,GONE TO DUST;by Matt Goldman;,SAPIENS;by Yuval Noah Harari;,MEASURE WHAT MATTERS;by John Doerr;,WHEN;by Daniel H. Pink;,BARBARIAN DAYS;by William Finnegan;
