,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WHAT THE NIGHT KNOWS;by Dean Koontz;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;80 weeks on the list,,UNBROKEN;by Laura Hillenbrand;7 weeks on the list,JUST KIDS;by Patti Smith;9 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;492 weeks on the list,"SERENITY: THE SHEPHERD’S TALE;by  Joss Whedon, Zack Whedon and Chris Samnee;9 weeks on the list",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;43 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;New this week",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;3 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;9 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;19 weeks on the list
2,DEAD OR ALIVE;by Tom Clancy with Grant Blackwood;4 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;41 weeks on the list,,DECISION POINTS;by George W. Bush;8 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;13 weeks on the list,"STRAIGHT TALK, NO CHASER;by Steve Harvey with Denene Millner;4 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;179 weeks on the list,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;10 weeks on the list",SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;39 weeks on the list,"VAMPIRE KNIGHT, VOL. 11;by Matsuri Hino;4 weeks on the list",THE LOST HERO;by Rick Riordan;12 weeks on the list,FALLEN;by Lauren Kate;14 weeks on the list,LEGO STAR WARS;by Simon Beecroft;54 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;103 weeks on the list
3,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;32 weeks on the list,HOUSE RULES;by Jodi Picoult;8 weeks on the list,,LIFE;by Keith Richards with James Fox;10 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;204 weeks on the list",BAREFOOT CONTESSA: HOW EASY IS THAT?;by Ina Garten;10 weeks on the list,"EAT THIS, NOT THAT! 2011;David Zinczenko with Matt Goulding;11 weeks on the list","THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;15 weeks on the list",SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;31 weeks on the list,"BLACK BUTLER, VOL. 3;by Yana Toboso;10 weeks on the list",MATCHED;by Ally Condie;5 weeks on the list,"HUSH, HUSH;by Becca Fitzpatrick;14 weeks on the list",IT’S A BOOK;written and illustrated by Lane Smith;19 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;38 weeks on the list
4,THE OUTLAWS;by W. E. B. Griffin and William E. Butterworth IV;New this week,CUTTING FOR STONE;by Abraham Verghese;49 weeks on the list,,CLEOPATRA;by Stacy Schiff;9 weeks on the list,WHAT THE DOG SAW;by Malcolm Gladwell;3 weeks on the list,DEBT FREE FOR LIFE;by David Bach;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;11 weeks on the list,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;4 weeks on the list",SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;35 weeks on the list,"OURAN HIGH SCHOOL HOST CLUB, VOL. 15;by Bisco Hatori;4 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;35 weeks on the list",THE BOOK THIEF;by Markus Zusak;173 weeks on the list,THE QUIET BOOK;by Deborah Underwood. Illustrated by Renata Liwska;13 weeks on the list,BLUE BLOODS;by Melissa de la Cruz;18 weeks on the list
5,THE CONFESSION;by John Grisham;10 weeks on the list,LITTLE BEE;by Chris Cleave;46 weeks on the list,,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;11 weeks on the list","ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;53 weeks on the list",GETTING MORE;by Stuart Diamond;New this week,"COOK THIS, NOT THAT! EASY AND AWESOME 350-CALORIE MEALS;by David Zinczenko and Matt Goulding;9 weeks on the list",BLACKEST NIGHT;by Geoff Johns and Ivan Reis;17 weeks on the list,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;24 weeks on the list,"NARUTO, VOL. 49;by Masashi Kishimoto;14 weeks on the list",TORMENT;by Lauren Kate;12 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;New this week,STAR WARS;by Rufus Butler Seder;19 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;182 weeks on the list
6,CROSS FIRE;by James Patterson;7 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;82 weeks on the list,,EARTH (THE BOOK);by Jon Stewart and others;15 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;114 weeks on the list,GUINNESS WORLD RECORDS 2011;by Ina Garten;16 weeks on the list,CLEAN;by Alejandro Junger with Amely Greeven;New this week,BATMAN: THE WIDENING GYRE;by Kevin Smith and Walter Flanagan;New this week,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;37 weeks on the list,"HETALIA AXIS POWERS, VOL. 1;by Hidekaz Himaruya;14 weeks on the list",THE LYING GAME;by Sara Shepard;2 weeks on the list,IDENTICAL;by Ellen Hopkins;New this week,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;11 weeks on the list,HARRY POTTER;by J.K. Rowling;240 weeks on the list
7,PORT MORTUARY;by Patricia Cornwell;5 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;101 weeks on the list,,DECODED;by Jay-Z;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;200 weeks on the list,THE POWER;by Rhonda Byrne;15 weeks on the list,RADICAL;by David Platt;30 weeks on the list,"THE WALKING DEAD, BOOK 6;by Robert Kirkman and Charlie Adlard;8 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;5 weeks on the list","THE BLEACH, VOL. 33;by Tite Kubo;4 weeks on the list",CRESCENDO;by Becca Fitzpatrick;9 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;14 weeks on the list,FABULOUS FASHION BOUTIQUE;by Jane O’Connor. Illustrated by Robin Preiss Glasser;11 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;31 weeks on the list
8,SECRETS TO THE GRAVE;by Tami Hoag;New this week,THE ALCHEMIST;by Paulo Coelho;161 weeks on the list,,BROKE;by Glenn Beck and Kevin Balfe;10 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;164 weeks on the list,400 CALORIE FIX;by Liz Vaccariello with Mindy Hermann;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;111 weeks on the list,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;21 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;13 weeks on the list","ALICE IN THE COUNTRY OF HEARTS, VOL. 5;by QuinRose;6 weeks on the list",CLOCKWORK ANGEL;by Cassandra Clare;13 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;10 weeks on the list,OLIVIA GOES TO VENICE;written and illustrated by Ian Falconer;8 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;178 weeks on the list
9,IN TOO DEEP;by Jayne Ann Krentz;New this week,HAPPY EVER AFTER;by Nora Roberts;9 weeks on the list,,I REMEMBER NOTHING;by Nora Ephron;8 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;7 weeks on the list,A COURSE IN WEIGHT LOSS;by Barbra Streisand;6 weeks on the list,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;12 weeks on the list,"MOUSE GUARD: LEGENDS OF THE GUARD, VOL. 1;by David Petersen, Jeremy Bastian and Alex Sheikman;4 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;59 weeks on the list","YOTSUBA AND &!, VOL. 9;by Kiyohiko Azuma;2 weeks on the list",SAPPHIQUE;by Catherine Fisher;New this week,THE MAZE RUNNER;by James Dashner;12 weeks on the list,ART AND MAX;written and illustrated by David Wiesner;12 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;109 weeks on the list
10,FREEDOM;by Jonathan Franzen;15 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;99 weeks on the list,,_____ MY DAD SAYS;by Justin Halpern;35 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;24 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;77 weeks on the list,RACHAEL RAY'S LOOK AND COOK;by Rachael Ray;9 weeks on the list,"BATMAN AND ROBIN, VOL. 2;by Grant Morrison, Andy Clarke and Cameron Stewart;5 weeks on the list","FABLES, VOL. 14;by Bill Willingham and Mark Buckingham;2 weeks on the list","ROSARIO + VAMPIRE: SEASON II, VOL. 3;by Akihisa Ikeda;4 weeks on the list",HARRY POTTER FILM WIZARDRY;by Brian Sibley;11 weeks on the list,SHIVER;by Maggie Stiefvater;25 weeks on the list,KNUFFLE BUNNY FREE;written and illustrated by Mo Willems;13 weeks on the list,WARRIORS;by Erin Hunter;97 weeks on the list
