,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;23 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;24 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;24 weeks on the list,BECOMING;by Michelle Obama;14 weeks on the list,BECOMING;by Michelle Obama;14 weeks on the list,SAPIENS;by Yuval Noah Harari;40 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;45 weeks on the list",WONDER;by R.J. Palacio;184 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;24 weeks on the list,DOG MAN;by Dav Pilkey;77 weeks on the list,ON THE COME UP;by Angie Thomas;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
2,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;23 weeks on the list,"BLACK LEOPARD, RED WOLF;by Marlon James;2 weeks on the list",THE LOST GIRLS OF PARIS;by Pam Jenoff;3 weeks on the list,EDUCATED;by Tara Westover;52 weeks on the list,EDUCATED;by Tara Westover;52 weeks on the list,BORN A CRIME;by Trevor Noah;New this week,DREYER'S ENGLISH;by Benjamin Dreyer;3 weeks on the list,LITTLE LEADERS;by Vashti Harrison;22 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;518 weeks on the list,THE HATE U GIVE;by Angie Thomas;103 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,THE UNINHABITABLE EARTH;by David Wallace-Wells;,TB12 METHOD;by Tom Brady;
3,CONNECTIONS IN DEATH;by J.D. Robb;2 weeks on the list,CONNECTIONS IN DEATH;by J.D. Robb;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;37 weeks on the list,GRATEFUL AMERICAN;by Gary Sinise with Marcus Brotherton;New this week,GRATEFUL AMERICAN;by Gary Sinise with Marcus Brotherton;New this week,WHITE FRAGILITY;by Robin DiAngelo;32 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;153 weeks on the list,MAX AND THE MIDKNIGHTS;by Lincoln Peirce;6 weeks on the list,THE GOOD EGG;by Jory John. Illustrated by Pete Oswald;New this week,HARRY POTTER;by J.K. Rowling;517 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;11 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;,THE THREAT;by Andrew G. McCabe;,MAID;by Stephanie Land;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
4,THE LOST GIRLS OF PARIS;by Pam Jenoff;3 weeks on the list,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;6 weeks on the list,THE IMMORTALISTS;by Chloe Benjamin;2 weeks on the list,BAD BLOOD;by John Carreyrou;28 weeks on the list,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;46 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;114 weeks on the list,THE WILD ROBOT;by Peter Brown;48 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;259 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;158 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;7 weeks on the list",CONNECTIONS IN DEATH;by J.D. Robb;,BAD BLOOD;by John Carreyrou;,ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
5,THE SILENT PATIENT;by Alex Michaelides;2 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;2 weeks on the list,AN AMERICAN MARRIAGE;by Tayari Jones;2 weeks on the list,SAPIENS;by Yuval Noah Harari;60 weeks on the list,BAD BLOOD;by John Carreyrou;18 weeks on the list,THE COLLECTED SCHIZOPHRENIAS;by Esmé Weijun Wang;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;268 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;62 weeks on the list,HUGS AND KISSES FOR THE GROUCHY LADYBUG;by Eric Carle;New this week,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;31 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;19 weeks on the list",A KILLER'S MIND;by Mike Omer;,SAPIENS;by Yuval Noah Harari;,GRIT;by Angela Duckworth;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,GOOD TO GO;by Christie Aschwanden;
6,THE WEDDING GUEST;by Jonathan Kellerman;2 weeks on the list,THE RECKONING;by John Grisham;17 weeks on the list,JUROR #3;by James Patterson and Nancy Allen;New this week,BORN A CRIME;by Trevor Noah;34 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;5 weeks on the list,FASCISM: A Warning;by Madeleine Albright with Bill Woodward;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;159 weeks on the list,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;10 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;172 weeks on the list,THE BAD GUYS;by Aaron Blabey;26 weeks on the list,TWO CAN KEEP A SECRET;by Karen M. McManus;6 weeks on the list,MISSION CRITICAL;by Mark Greaney;,BORN A CRIME;by Trevor Noah;,FROM THE GROUND UP;by Howard Schultz with Joanne Gordon;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG FELLA;by Jane Leavy;
7,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;26 weeks on the list,DEVOTIONS;by Mary Oliver;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;149 weeks on the list,THE FIRST CONSPIRACY;by Brad Meltzer and Josh Mensch;6 weeks on the list,MAID;by Stephanie Land;4 weeks on the list,THE INNOCENT MAN;by John Grisham;49 weeks on the list,IT'S NOT SUPPOSED TO BE THIS WAY;by Lysa TerKeurst;9 weeks on the list,REFUGEE;by Alan Gratz;45 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;155 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;64 weeks on the list,KING OF SCARS;by Leigh Bardugo;3 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
8,AN ANONYMOUS GIRL;by Greer Hendricks and Sarah Pekkanen;6 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;13 weeks on the list,LESS;by Andrew Sean Greer;39 weeks on the list,MAID;by Stephanie Land;4 weeks on the list,LET ME FINISH;by Chris Christie with Ellis Henican;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;17 weeks on the list,HOMEBODY;by Joanna Gaines;13 weeks on the list,BLENDED;by Sharon M. Draper;5 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;263 weeks on the list,DORK DIARIES;by Rachel Renée Russell;279 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;41 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,THE RECKONING;by John Grisham;17 weeks on the list,LOVE POEMS FOR MARRIED PEOPLE;by John Kenney;New this week,A DOG'S WAY HOME;by W. Bruce Cameron;12 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;5 weeks on the list,SHORTEST WAY HOME;by Pete Buttigieg;New this week,GRIT;by Angela Duckworth;25 weeks on the list,UNDER PRESSURE;by Lisa Damour;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;85 weeks on the list,LOVE: FROM SESAME STREET;by Sesame Workshop. Illustrated by Ernie Kwiat;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;497 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;50 weeks on the list,THE FIRST FIFTEEN LIVES OF HARRY AUGUST;by Claire North;,THE GOOD NURSE;by Charles Graeber;,LEADERSHIP;by Doris Kearns Goodwin;,NEVER ENOUGH;by Judith Grisel;,THE BOYS IN THE BOAT;by Daniel James Brown;
10,"BLACK LEOPARD, RED WOLF;by Marlon James;2 weeks on the list",EARLY RISER;by Jasper Fforde;New this week,THEN SHE WAS GONE;by Lisa Jewell;7 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;13 weeks on the list,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;11 weeks on the list",SHOE DOG;by Phil Knight;31 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;18 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;22 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;11 weeks on the list,I SURVIVED;by Lauren Tarshis;49 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;76 weeks on the list,A GAME OF THRONES;by George R.R. Martin;,CRASHES AND CRISES;by Connel Fullenkamp;,ZUCKED;by Roger McNamee;,THE POWER OF HABIT;by Charles Duhigg;,THE MAMBA MENTALITY;by Kobe Bryant;
