,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,12TH OF NEVER;by James Patterson and Maxine Paetro;New this week,12TH OF NEVER;by James Patterson and Maxine Paetro;New this week,BEAUTIFUL RUINS;by Jess Walter;5 weeks on the list,,,CONTROL;by Glenn Beck and others;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;8 weeks on the list,CONTROL;by Glenn Beck and others;New this week,WAITING TO BE HEARD;by Amanda Knox;New this week,VB6;by Mark Bittman;New this week,"TWILIGHT: NEW MOON, VOL. 1;by Stephenie Meyer and Young Kim;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;90 weeks on the list","NEGIMA MAGISTER NEGI MAGI, VOL. 38;by Ken Akamatsu;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;141 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GREAT DEFORMATION;by David Stockman;,BRAIN ON FIRE;by Susannah Cahalan;
2,THE HIT;by David Baldacci;2 weeks on the list,THE HIT;by David Baldacci;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;60 weeks on the list,,,WAITING TO BE HEARD;by Amanda Knox;New this week,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;28 weeks on the list,CONTROL;by Glenn Beck and others;New this week,JUMPSTART TO SKINNY;by Bob Harper with Greg Critser;2 weeks on the list,"AVENGERS, VOL. 1;by Jonathan Hickman and Jerome Opena;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;30 weeks on the list","FAIRY TAIL, VOL. 25;by Hiro Mashima;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;3 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;86 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,OUTLIERS;by Malcolm Gladwell;,WAY OF THE KNIFE;by Mark Mazzetti;,GULP;by Mary Roach;
3,BEST KEPT SECRET;by Jeffrey Archer;New this week,WHISKEY BEACH;by Nora Roberts;3 weeks on the list,WORLD WAR Z;by Max Brooks;45 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;8 weeks on the list,WAITING TO BE HEARD;by Amanda Knox;New this week,WILD;by Cheryl Strayed;6 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;11 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;4 weeks on the list,"MIND MGMT, VOL. 1;by Matt Kindt;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;21 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;83 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;225 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,GIVE AND TAKE;by Adam Grant;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,QUIET;by Susan Cain;
4,WHISKEY BEACH;by Nora Roberts;3 weeks on the list,BEST KEPT SECRET;by Jeffrey Archer;New this week,THE BLACK BOX;by Michael Connelly;3 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;2 weeks on the list,COOKED;by Michael Pollan;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;12 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;2 weeks on the list,LIFE CODE;by Phil McGraw;4 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;6 weeks on the list",PERSEPOLIS;by Marjane Satrapi;4 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 2;by QuinRose and Delico Psyche;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;2 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;20 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,GREAT DEFORMATION;by David Stockman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,WIND CHIME POINT;by Sherryl Woods;New this week,NOS4A2;by Joe Hill;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;5 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;28 weeks on the list,MY NEXT STEP;by Dave Liniger with Laura Morton;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;14 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;8 weeks on the list,CLEAN GUT;by Alejandro Junger;New this week,"DETECTIVE COMICS, VOL. 2;by Tony S. Daniel and Ed Benes;3 weeks on the list",DRAMA;by Raina Telgemeier;29 weeks on the list,"DOUBT, VOL. 1;by Yoshiki Tonogai;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;2 weeks on the list,SHADOW FALLS;by C. C. Hunter;3 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEADERSHIFT;by Orrin Woodward and Oliver DeMille;,HOW TO RETIRE HAPPY;by Stan Hinden;,MY BELOVED WORLD;by Sonia Sotomayor;,SALT SUGAR FAT;by Michael Moss;
6,MOON;by Laurann Dohner;New this week,DADDY'S GONE A HUNTING;by Mary Higgins Clark;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;57 weeks on the list,,,COOKED;by Michael Pollan;2 weeks on the list,BUNKER HILL;by Nathaniel Philbrick;New this week,QUIET;by Susan Cain;14 weeks on the list,HENRY VIII;by Alison Weir;New this week,THE TAPPING SOLUTION;by Nick Ortner;2 weeks on the list,MARSHAL LAW: THE DELUXE EDITION;by Pat Mills and Kevin O'Neill;2 weeks on the list,FEYNMAN;by Jim Ottaviani and Leland Myrick;New this week,"TIGER AND BUNNY, VOL. 1;by Masafumi Nishida and Mizuki Sakakibara;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;28 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;80 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,SALT SUGAR FAT;by Michael Moss;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",A HIGHER CALL;by Adam Makos with Larry Alexander;,CLEAN;by David Sheff;
7,DAMAGED;by H. M. Ward;4 weeks on the list,GONE GIRL;by Gillian Flynn;48 weeks on the list,LIFE OF PI;by Yann Martel;31 weeks on the list,,,BUNKER HILL;by Nathaniel Philbrick;New this week,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;2 weeks on the list,WAKING UP IN HEAVEN;by Crystal McVea;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;28 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;91 weeks on the list",SMILE;by Raina Telgemeier;57 weeks on the list,"NARUTO, VOL. 60;by Masashi Kishimoto;8 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;90 weeks on the list,THE CRASH TRILOGY;by Nicole Williams;2 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ATHENA DOCTRINE;by John Gerzema and Michael D’Antonio;,OUTSOURCE SMART;by Daven Michaels;,TRIDENT K9 WARRIORS;by Michael Ritland with Gary Brozek;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
8,THE BET;by Rachel Van Dyken;5 weeks on the list,FLY AWAY;by Kristin Hannah;2 weeks on the list,THE ORPHAN MASTER’S SON;by Adam Johnson;3 weeks on the list,,,BRAIN ON FIRE;by Susannah Cahalan;6 weeks on the list,CARRIE AND ME;by Carol Burnett;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;5 weeks on the list",THE GOOD NURSE;by Charles Graeber;2 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;4 weeks on the list,"ALL-NEW X-MEN, VOL. 1;by Brian Michael Bendis and Stuart Immonen;3 weeks on the list",RELISH;by Lucy Knisley;3 weeks on the list,"DAWN OF THE ARCANA, VOL. 9;by Rei Toma;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;50 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;287 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,THE POWER OF HABIT;by Charles Duhigg;
9,A PRAYER FOR OWEN MEANY;by John Irving;New this week,LIFE AFTER LIFE;by Kate Atkinson;5 weeks on the list,THE FORGOTTEN;by David Baldacci;6 weeks on the list,,,WILD;by Cheryl Strayed;45 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;129 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;31 weeks on the list,THE BEAUTY DETOX FOODS;by Kimberly Snyder;New this week,"100 BULLETS: DELUXE EDITION, BOOK FOUR;by Brian Azzarello and Eduardo Risso;3 weeks on the list","SWAMP THING, VOL. 2;by Scott Snyder and Yanick Paquette;2 weeks on the list","IS THIS A ZOMBIE, VOL. 4;by Shinichi Kimura and Sacchi;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;56 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;7 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,START;by Jon Acuff;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
10,THIS GIRL;by Colleen Hoover;New this week,PARIS;by Edward Rutherfurd;2 weeks on the list,DARK PLACES;by Gillian Flynn;23 weeks on the list,,,MY NEXT STEP;by Dave Liniger with Laura Morton;New this week,UNBROKEN;by Laura Hillenbrand;128 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;113 weeks on the list,BUNKER HILL;by Nathaniel Philbrick;New this week,OBAMACARE SURVIVAL GUIDE;by Nick Tate;4 weeks on the list,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;6 weeks on the list,"THE MANHATTAN PROJECTS, VOL. 2;by Jonathan Hickman and Nick Pitarra;New this week","SAILOR MOON, VOL. 10;by Naoko Takeuchi;6 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;5 weeks on the list,GIVER QUARTET;by Lois Lowry;10 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,THE CHECKLIST MANIFESTO;by Atul Gawande;,DIRTY WARS;by Jeremy Scahill;,THE DRUNKEN BOTANIST;by Amy Stewart;
