,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WATER FOR ELEPHANTS;by Sara Gruen;17 weeks on the list,DEAD RECKONING;by Charlaine Harris;3 weeks on the list,THE HELP;by Kathryn Stockett;7 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;17 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;27 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;17 weeks on the list,THE DUKAN DIET;by Pierre Dukan;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;199 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"BATMAN & ROBIN, VOL. 3;by Grant Morrison and others;New this week","ULTIMATE COMICS SPIDER-MAN, VOL. 2;by Brian Michael Bendis and others;New this week","NEGIMA! MAGISTER NEGI MAGI, VOL. 29;by Ken Akamatsu;New this week",THE THRONE OF FIRE;by Rick Riordan;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;193 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;26 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;39 weeks on the list
2,THE HELP;by Kathryn Stockett;14 weeks on the list,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;121 weeks on the list,,,THE HELP;by Kathryn Stockett;,IN THE GARDEN OF BEASTS;by Erik Larson;2 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;11 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;2 weeks on the list,THE 17 DAY DIET;by Mike Moreno;10 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;12 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,PAYING FOR IT;by Chester Brown;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;63 weeks on the list,"BLACK BIRD, VOL. 8;by Kanoko Sakurakoji;3 weeks on the list",WHAT HAPPENED TO GOODBYE;by Sarah Dessen;2 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;3 weeks on the list,LEGO HARRY POTTER;by the DK staff;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;123 weeks on the list
3,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;3 weeks on the list,BURIED PREY;by John Sandford;2 weeks on the list,ROOM;by Emma Donoghue;3 weeks on the list,,,DEAD RECKONING;by Charlaine Harris;,BOSSYPANTS;by Tina Fey;7 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;2 weeks on the list,LIFE;by Keith Richards with James Fox;3 weeks on the list,BOSSYPANTS;by Tina Fey;7 weeks on the list,LOVE WINS;by Rob Bell;10 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;512 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;,"BRIGHTEST DAY, VOL. 2;by Geoff Johns and Peter J. Tomasi;2 weeks on the list",V FOR VENDETTA;by Alan Moore and David Lloyd;64 weeks on the list,"MAXIMUM RIDE, VOL. 4;by James Patterson and NaRae Lee;4 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;55 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;7 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;16 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;202 weeks on the list
4,SOMETHING BORROWED;by Emily Giffin;6 weeks on the list,THE JEFFERSON KEY;by Steve Berry;New this week,CUTTING FOR STONE;by Abraham Verghese;69 weeks on the list,,,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;3 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;2 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;2 weeks on the list,AREA 51;by Annie Jacobsen;New this week,A PLACE OF YES;by Bethenny Frankel;5 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;31 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;15 weeks on the list,"FABLES, VOL. 15;by Bill Willingham and Mark Buckingham;6 weeks on the list","BLACK BUTLER, VOL. 5;by Yana Toboso;4 weeks on the list",THE LOST HERO;by Rick Riordan;32 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;95 weeks on the list,ME ... JANE;by Patrick McDonnell;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;45 weeks on the list
5,DEAD RECKONING;by Charlaine Harris;3 weeks on the list,THE SIXTH MAN;by David Baldacci;5 weeks on the list,SOMETHING BORROWED;by Emily Giffin;7 weeks on the list,,,BURIED PREY;by John Sandford;,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;2 weeks on the list,BOSSYPANTS;by Tina Fey;7 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;63 weeks on the list,UNBROKEN;by Laura Hillenbrand;17 weeks on the list,"20 YEARS YOUNGER;by Bob Greene with Howard Lancer, Ronald L. Kotler and Diane L. McKay;4 weeks on the list",HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;8 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;,MISTER WONDERFUL;by Daniel Clowes;5 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;59 weeks on the list,"BLUE EXORCIST, VOL. 1;by Kazue Kato;7 weeks on the list",THE TWILIGHT SAGA: THE OFFICIAL ILLUSTRATED GUIDE;by Stephenie Meyer;6 weeks on the list,WHERE THE MOUNTAIN MEETS THE MOON;by Grace Lin;New this week,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;19 weeks on the list,HARRY POTTER;by J.K. Rowling;254 weeks on the list
6,BURIED PREY;by John Sandford;2 weeks on the list,THE FINAL STORM;by Jeff Shaara;New this week,A VISIT FROM THE GOON SQUAD;by Jennifer Egan;9 weeks on the list,,,SOMETHING BORROWED;by Emily Giffin;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;2 weeks on the list,WHERE'S THE BIRTH CERTIFICATE?;by Jerome R. Corsi;New this week,BORN TO RUN;by Christopher McDougall;8 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;2 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;23 weeks on the list,RADICAL;by David Platt;48 weeks on the list,BOSSYPANTS;by Tina Fey;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;27 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;79 weeks on the list","SHUGO CHARA!, VOL. 10;by Peach-Pit;New this week",DIVERGENT;by Veronica Roth;3 weeks on the list,BEASTLY;by Alex Flinn;15 weeks on the list,CHARLIE THE RANCH DOG;by Ree Drummond. Illustrated by Diane DeGroat;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;22 weeks on the list
7,THE JEFFERSON KEY;by Steve Berry;New this week,THE LAND OF PAINTED CAVES;by Jean M. Auel;8 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;102 weeks on the list,,,THE JEFFERSON KEY;by Steve Berry;,AREA 51;by Annie Jacobsen;New this week,AREA 51;by Annie Jacobsen;New this week,DRIVE;by Daniel H. Pink;7 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;2 weeks on the list,GUY FIERI FOOD;by Guy Fieri;3 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;28 weeks on the list",WHERE'S THE BIRTH CERTIFICATE?;by Jerome R. Corsi;,S. H. I. E. L. D.: ARCHITECTS OF FOREVER;by Jonathan Hickman and Dustin Weaver;3 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;90 weeks on the list,"FAIRY TAIL, VOL. 13;by Hiro Mashima;New this week",SUMMER AND THE CITY;by Candace Bushnell;4 weeks on the list,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;7 weeks on the list,LEGO STAR WARS;by Simon Beecroft;73 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;65 weeks on the list
8,THE SIXTH MAN;by David Baldacci;5 weeks on the list,CALEB'S CROSSING;by Geraldine Brooks;3 weeks on the list,THE PASSAGE;by Justin Cronin;New this week,,,A GAME OF THRONES;by George R.R. Martin;,UNBROKEN;by Laura Hillenbrand;17 weeks on the list,UNBROKEN;by Laura Hillenbrand;27 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;220 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;3 weeks on the list,KNOWING YOUR VALUE;by Mika Brzezinski;2 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;118 weeks on the list,AREA 51;by Annie Jacobsen;,"Y THE LAST MAN, BOOK 5;by Brian K. Vaughan and Pia Guerra;3 weeks on the list",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;42 weeks on the list,"BIOMEGA, VOL. 6;by Tsutomu Nihei;New this week",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;40 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;17 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;8 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;8 weeks on the list
9,A GAME OF THRONES;by George R.R. Martin;6 weeks on the list,SIXKILL;by Robert B. Parker;3 weeks on the list,THE 9TH JUDGMENT;by James Patterson and Maxine Paetro;6 weeks on the list,,,ROOM;by Emma Donoghue;,WHERE'S THE BIRTH CERTIFICATE?;by Jerome R. Corsi;New this week,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;4 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;194 weeks on the list,THE PSYCHOPATH TEST;by Jon Ronson;New this week,THE BEST ADVICE I EVER GOT;by Katie Couric;6 weeks on the list,THE EVERYGIRL'S GUIDE TO LIFE;by Maria Menounos;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;,PINOCCHIO;by Winshluss;New this week,"THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;15 weeks on the list","ROSARIO + VAMPIRE: SEASON II, VOL. 4;by Akihisa Ikeda;7 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;40 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;15 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;7 weeks on the list",VAMPIRE KISSES;by Ellen Schreiber;5 weeks on the list
10,SOMETHING BLUE;by Emily Giffin;2 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;52 weeks on the list,THE ALCHEMIST;by Paulo Coelho;177 weeks on the list,,,THE SIXTH MAN;by David Baldacci;,THE PSYCHOPATH TEST;by Jon Ronson;New this week,THE HEART AND THE FIST;by Eric Greitens;3 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;134 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;4 weeks on the list,MY FATHER'S DAUGHTER;by Gwyneth Paltrow;6 weeks on the list,CLEAN;by Alejandro Junger with Amely Greeven;4 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;22 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;19 weeks on the list","BAKUMAN, VOL. 4;by Tsugumi Ohba and Takeshi Obata;3 weeks on the list",ONE CRAZY SUMMER;by Rita Williams-Garcia;2 weeks on the list,"NERDS (BOOK ONE: NATIONAL ESPIONAGE, RESCUE, AND DEFENSE SOCIETY);by Michael Buckley;7 weeks on the list",PRESS HERE;by Hervé Tullet;5 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;124 weeks on the list
