,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,CAMINO ISLAND;by John Grisham;2 weeks on the list,CAMINO ISLAND;by John Grisham;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;19 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;New this week,UNDERSTANDING TRUMP;by Newt Gingrich;New this week,ON TYRANNY;by Timothy Snyder;16 weeks on the list,MAKE YOUR BED;by William H. McRaven;11 weeks on the list,WONDER;by R.J. Palacio;97 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;3 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;71 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;4 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PAPI;by David Ortiz with Michael Holley;
2,THE IDENTICALS;by Elin Hilderbrand;New this week,THE IDENTICALS;by Elin Hilderbrand;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;10 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;3 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;3 weeks on the list",NO IS NOT ENOUGH;by Naomi Klein;New this week,YOU ARE A BADASS;by Jen Sincero;75 weeks on the list,THE DARK PROPHECY;by Rick Riordan;7 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;11 weeks on the list,HARRY POTTER;by J.K. Rowling;430 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,TOM CLANCY: POINT OF CONTACT;by Mike Maden;New this week,TOM CLANCY: POINT OF CONTACT;by Mike Maden;New this week,MILK AND HONEY;by Rupi Kaur;62 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;7 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;7 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;28 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;27 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;25 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;7 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;431 weeks on the list,THE HATE U GIVE;by Angie Thomas;16 weeks on the list,GRIT;by Angela Duckworth;,SAPIENS;by Yuval Noah Harari;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
4,COME SUNDOWN;by Nora Roberts;3 weeks on the list,INTO THE WATER;by Paula Hawkins;7 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;16 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;2 weeks on the list,I CAN'T MAKE THIS UP;by Kevin Hart with Neil Strauss;2 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;46 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;205 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;42 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;90 weeks on the list,DESCENDANTS;by Melissa de la Cruz;4 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;4 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
5,THE HANDMAID'S TALE;by Margaret Atwood;13 weeks on the list,DRAGON TEETH;by Michael Crichton;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;11 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;47 weeks on the list,THEFT BY FINDING;by David Sedaris;3 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;378 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;131 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;174 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;91 weeks on the list,OUR DARK DUET;by Victoria Schwab;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,TEAMMATE;by David Ross with Don Yaeger;
6,THE FIX;by David Baldacci;9 weeks on the list,COME SUNDOWN;by Nora Roberts;3 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;77 weeks on the list,HUNGER;by Roxane Gay;New this week,BILL O'REILLY'S LEGENDS AND LIES: THE CIVIL WAR;by David Fisher;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;340 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;5 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;2 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;27 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;433 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;32 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,INTO THE WATER;by Paula Hawkins;7 weeks on the list,NO MIDDLE NAME;by Lee Child;5 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;3 weeks on the list,THEFT BY FINDING;by David Sedaris;3 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;47 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;197 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;88 weeks on the list,DOG MAN;by Dav Pilkey;42 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;208 weeks on the list,GIVER QUARTET;by Lois Lowry;144 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;48 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,HOMO DEUS;by Yuval Noah Harari;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
8,THE WOMAN IN CABIN 10;by Ruth Ware;21 weeks on the list,NIGHTHAWK;by Clive Cussler and Graham Brown;3 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;8 weeks on the list,BILL O'REILLY'S LEGENDS AND LIES: THE CIVIL WAR;by David Fisher;2 weeks on the list,HUNGER;by Roxane Gay;New this week,THE PERFECT HORSE;by Elizabeth Letts;4 weeks on the list,UNINVITED;by Lysa TerKeurst;26 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;24 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;26 weeks on the list,DORK DIARIES;by Rachel Renée Russell;212 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;52 weeks on the list",ORIGINALS;by Adam Grant;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,A LIFE WELL PLAYED;by Arnold Palmer;
9,MILK AND HONEY;by Rupi Kaur;23 weeks on the list,THE FIX;by David Baldacci;9 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;12 weeks on the list,HUE 1968;by Mark Bowden;2 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;8 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;79 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;18 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;43 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;103 weeks on the list",THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;33 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;10 weeks on the list,LEADERS EAT LAST;by Simon Sinek;,THE POWER OF HABIT;by Charles Duhigg;,BUT SERIOUSLY;by John McEnroe;
10,DRAGON TEETH;by Michael Crichton;4 weeks on the list,16TH SEDUCTION;by James Patterson and Maxine Paetro;7 weeks on the list,BEFORE THE FALL;by Noah Hawley;New this week,OPTION B;by Sheryl Sandberg and Adam Grant;8 weeks on the list,HUE 1968;by Mark Bowden;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;234 weeks on the list,DARING GREATLY;by Brené Brown;67 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: LOCKER HERO;by Rachel Renée Russell;21 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;39 weeks on the list",5TH WAVE;by Rick Yancey;17 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;54 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,QUIET;by Susan Cain;,SHAKEN;by Tim Tebow;
