,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE MIDNIGHT LINE;by Lee Child;New this week,THE MIDNIGHT LINE;by Lee Child;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;6 weeks on the list,OBAMA;by Pete Souza;New this week,OBAMA;by Pete Souza;New this week,THANK YOU FOR BEING LATE;by Thomas L. Friedman;3 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;3 weeks on the list,WONDER;by R.J. Palacio;118 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;452 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;5 weeks on the list,CAPITAL GAINES;by Chip Gaines;,LEONARDO DA VINCI;by Walter Isaacson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
2,THE ROOSTER BAR;by John Grisham;3 weeks on the list,THE ROOSTER BAR;by John Grisham;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;83 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;4 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;4 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;2 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;4 weeks on the list,AUGGIE & ME;by R.J. Palacio;50 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;194 weeks on the list,HARRY POTTER;by J.K. Rowling;451 weeks on the list,RENEGADES;by Marissa Meyer;New this week,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,TB12 METHOD;by Tom Brady;
3,ORIGIN;by Dan Brown;6 weeks on the list,ORIGIN;by Dan Brown;6 weeks on the list,IT;by Stephen King;13 weeks on the list,HACKS;by Donna Brazile;New this week,BOBBY KENNEDY;by Chris Matthews;2 weeks on the list,BEING MORTAL;by Atul Gawande;10 weeks on the list,YOU ARE A BADASS;by Jen Sincero;96 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;20 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;24 weeks on the list,DORK DIARIES;by Rachel Renée Russell;225 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;4 weeks on the list,PRINCIPLES;by Ray Dalio;,END OF ALZHEIMER'S;by Dale Bredesen;,ALI: A LIFE;by Jonathan Eig;
4,TWO KINDS OF TRUTH;by Michael Connelly;2 weeks on the list,TWO KINDS OF TRUTH;by Michael Connelly;2 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;3 weeks on the list,BOBBY KENNEDY;by Chris Matthews;2 weeks on the list,GRANT;by Ron Chernow;5 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;399 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;48 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;7 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;224 weeks on the list,DOG MAN;by Dav Pilkey;11 weeks on the list,THE HATE U GIVE;by Angie Thomas;37 weeks on the list,BLUE OCEAN SHIFT;by W. Chan Kim and Renée Mauborgne;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
5,TYPHOON FURY;by Clive Cussler and Boyd Morrison;New this week,TYPHOON FURY;by Clive Cussler and Boyd Morrison;New this week,THE HANDMAID'S TALE;by Margaret Atwood;40 weeks on the list,GRANT;by Ron Chernow;5 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;3 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;111 weeks on the list,CAPITAL GAINES;by Chip Gaines;4 weeks on the list,JACKY HA-HA: MY LIFE IS A JOKE;by James Patterson and Chris Grabenstein;New this week,"WILD;created by Dan Kainen, written by Kathy Wollard;3 weeks on the list",MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;6 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;20 weeks on the list,THE FOUR;by Scott Galloway;,SAPIENS;by Yuval Noah Harari;,THE FIRST MAJOR;by John Feinstein;
6,EVERY BREATH YOU TAKE;by Mary Higgins Clark and Alafair Burke;New this week,THE NOEL DIARY;by Richard Paul Evans;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;31 weeks on the list,SISTERS FIRST;by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki;3 weeks on the list,HACKS;by Donna Brazile;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;146 weeks on the list",BRAVING THE WILDERNESS;by Brené Brown;9 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;44 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;7 weeks on the list,KEEPER OF THE LOST CITIES;by Shannon Messenger;2 weeks on the list,OTHERWORLD;by Jason Segel and Kirsten Miller;New this week,THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,BEING MORTAL;by Atul Gawande;,RELENTLESS;by Julian Edelman with Tom E. Curran;
7,THE SUN AND HER FLOWERS;by Rupi Kaur;6 weeks on the list,EVERY BREATH YOU TAKE;by Mary Higgins Clark and Alafair Burke;New this week,LILAC GIRLS;by Martha Hall Kelly;37 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;3 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;3 weeks on the list,NUDGE;by Richard H. Thaler and Cass R. Sunstein;6 weeks on the list,PRINCIPLES;by Ray Dalio;7 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;115 weeks on the list",WARRIORS: A VISION OF SHADOWS;by Erin Hunter;3 weeks on the list,LONG WAY DOWN;by Jason Reynolds;3 weeks on the list,SOAR!;by T.D. Jakes;,SOONISH;by Kelly Weinersmith and Zach Weinersmith;,SHOE DOG;by Phil Knight;
8,SOMEONE TO WED;by Mary Balogh;New this week,THE HOUSE OF UNEXPECTED SISTERS;by Alexander McCall Smith;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;32 weeks on the list,WHAT UNITES US;by Dan Rather and Elliot Kirschner;New this week,WHAT UNITES US;by Dan Rather and Elliot Kirschner;New this week,ON TYRANNY;by Timothy Snyder;37 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;4 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;15 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;110 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;92 weeks on the list,WARCROSS;by Marie Lu;8 weeks on the list,NUDGE;by Richard H. Thaler and Cass R. Sunstein;,WHY WE SLEEP;by Matthew Walker;,THE CHICAGO CUBS;by Rich Cohen;
9,THE HOUSE OF UNEXPECTED SISTERS;by Alexander McCall Smith;New this week,IN THIS MOMENT;by Karen Kingsbury;New this week,READY PLAYER ONE;by Ernest Cline;33 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;8 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;8 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;13 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;223 weeks on the list,THE DARK PROPHECY;by Rick Riordan;27 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;17 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;453 weeks on the list,ALL THE CROOKED SAINTS;by Maggie Stiefvater;4 weeks on the list,BE FIERCE;by Gretchen Carlson;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BARBARIAN DAYS;by William Finnegan;
10,THE NOEL DIARY;by Richard Paul Evans;New this week,UNCOMMON TYPE;by Tom Hanks;4 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;83 weeks on the list,PLAYING WITH FIRE;by Lawrence O'Donnell;New this week,WE WERE EIGHT YEARS IN POWER;by Ta-Nehisi Coates;6 weeks on the list,JUST MERCY;by Bryan Stevenson;84 weeks on the list,SMITTEN KITCHEN EVERY DAY;by Deb Perelman;2 weeks on the list,THE PURLOINING OF PRINCE OLEOMARGARINE;by Mark Twain and Philip Stead. Illustrated by Erin Stead;7 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;14 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;27 weeks on the list,THE BECOMING OF NOAH SHAW;by Michelle Hodkin;New this week,HIT REFRESH;by Satya Nadella with Greg Shaw and Jill Tracie Nichols;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRONGER;by Jeff Bauman with Bret Witter;
