,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,KNOCKOUT;by Catherine Coulter;New this week,THE SHACK;by William P. Young;57 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;13 weeks on the list,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;2 weeks on the list,EXCUSES BEGONE!;by Wayne W. Dyer;4 weeks on the list,COOK YOURSELF THIN;by the staff of Lifetime Television;7 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;New this week",WATCHMEN;by Alan Moore and Dave Gibbons;17 weeks on the list,"BLEACH, VOL. 27;by Tite Kubo;3 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;New this week,THE BOOK THIEF;by Markus Zusak;93 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;98 weeks on the list
2,THE BOURNE DECEPTION;by Eric Van Lustbader;2 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;39 weeks on the list,,HORSE SOLDIERS;by Doug Stanton;6 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;125 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;21 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;39 weeks on the list,DARK TOWER: TREACHERY;by Peter David and Robin Furth;9 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;13 weeks on the list,"NARUTO, VOL. 43;by Masashi Kishimoto;14 weeks on the list",L.A. CANDY;by Lauren Conrad;New this week,LOCK AND KEY;by Sarah Dessen;6 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;22 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;102 weeks on the list
3,THE ANGEL'S GAME;by Carlos Ruiz Zafón;New this week,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;7 weeks on the list,,OUTLIERS;by Malcolm Gladwell;31 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;3 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;63 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;416 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;15 weeks on the list,"BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 4;by Joss Whedon, Jeph Loeb and Karl Moline;6 weeks on the list","NARUTO, VOL. 44;by Masashi Kishimoto;12 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;41 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;44 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;84 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;23 weeks on the list
4,RELENTLESS;by Dean Koontz;2 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;12 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;36 weeks on the list,AN INCONVENIENT BOOK;by Glenn Beck;6 weeks on the list,DIVINE SOUL SONGS;by Zhi Gang Sha;2 weeks on the list,NATURALLY THIN;by Bethenny Frankel with Eve Adamson;15 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;17 weeks on the list,"THE Y (LAST MAN - UNMANNED) V. 1;by Brian K. Vaughan, Pia Guerra and Jose Marzan;7 weeks on the list",ROSARIO   VAMPIRE 7;by Akihisa Ikeda;3 weeks on the list,TWILIGHT: DIRECTOR’S NOTEBOOK;by Catherine Hardwicke;14 weeks on the list,EVERMORE;by Alyson Noël;20 weeks on the list,EXPLORER EXTRAORDINAIRE!;by Jane O’Connor. Illustrated by Robin Preiss Glasser;8 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;43 weeks on the list
5,THE PHYSICK BOOK OF DELIVERANCE DANE;by Katherine Howe;2 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;2 weeks on the list,,RENEGADE;by Richard Wolffe;3 weeks on the list,BLINK;by Malcolm Gladwell;88 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;11 weeks on the list,MARTHA STEWART'S CUPCAKES;by the editors of Martha Stewart Living;3 weeks on the list,CIVIL WAR;by Mark Millar and Steve McNiven;9 weeks on the list,"FABLES, VOL. 1;by Bill Willingham and Lan Medina;7 weeks on the list","NARUTO, VOL. 42;by Masashi Kishimoto;13 weeks on the list",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;38 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;22 weeks on the list,THE CURIOUS GARDEN;written and illustrated by Peter Brown;10 weeks on the list,THE 39 CLUES;by various authors;12 weeks on the list
6,THE SCARECROW;by Michael Connelly;4 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;9 weeks on the list,,HOME GAME;by Michael Lewis;3 weeks on the list,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;3 weeks on the list,THE SECRET;by Rhonda Byrne;128 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;99 weeks on the list,HALO: UPRISING;by Brian Michael Bendis and Alex Maleev;2 weeks on the list,"ULTIMATES 3 -WHO KILLED THE SCARLET WITCH?;by Jeph Loeb, Joe Madureira and Christian Lichtner;3 weeks on the list","OURAN HIGH SCHOOLHOST CLUB, VOL. 12;by Bisco Hatori;3 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;35 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;33 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;36 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;13 weeks on the list
7,MEDUSA;by Clive Cussler and Paul Kemprecos;3 weeks on the list,VISION IN WHITE;by Nora Roberts;8 weeks on the list,,THE LAST BEST HOPE;by Joe Scarborough;2 weeks on the list,AMERICAN LION;by Jon Meacham;7 weeks on the list,UNCOMMON;by Tony Dungy with Nathan Whitaker;10 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;10 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;15 weeks on the list,"THE SANDMAN: PRELUDES AND NOCTURNES;by Neil Gaiman, Sam Kieth, Mike Dringenberg and Malcolm Jones III;5 weeks on the list",NEGIMA! 22;by Ken Akamatsu;3 weeks on the list,THE AWAKENING;by Kelley Armstrong;8 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;13 weeks on the list,ELEPHANTS CANNOT DANCE!;written and illustrated by Mo Willems;2 weeks on the list,GALLAGHER GIRLS;by Ally Carter;2 weeks on the list
8,SHANGHAI GIRLS;by Lisa See;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;92 weeks on the list,,ARE YOU KIDDING ME?;by Rocco Mediate and John Feinstein;New this week,LIBERAL FASCISM;by Jonah Goldberg;3 weeks on the list,THE NOTICER;by Andy Andrews;6 weeks on the list,WEBER’S WAY TO GRILL;by Jamie Purviance;New this week,"STORM FRONT;by Ardian Syaf, Jim Butcher and Mark J. Powers;3 weeks on the list",BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;13 weeks on the list,TSUBASA 21 (RESERVOIR CHRONICLE);by  Clamp;New this week,WINGS;by Aprilynne Pike;7 weeks on the list,BEAUTIFUL DISASTER;by Kate Brian;3 weeks on the list,LLAMA LLAMA MISSES MAMA;written and illustrated by Anna Dewdney;8 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;8 weeks on the list
9,THE NEIGHBOR;by Lisa Gardner;New this week,SARAH’S KEY;by Tatiana de Rosnay;19 weeks on the list,,THE YANKEE YEARS;by Joe Torre and Tom Verducci;14 weeks on the list,IN DEFENSE OF FOOD;by Michael Pollan;8 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;13 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;52 weeks on the list,MARVEL ZOMBIES;by Fred Van Lente and Kev Walker;9 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;2 weeks on the list,"THE MELANCHOLY OF HARUHI SUZUMIYA, VOL. 3;by Nagaru Tanigawa and Gaku Tsugano;New this week",MILES TO GO;by Miley Cyrus;16 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;6 weeks on the list,LADYBUG GIRL AND BUMBLEBEE BOY;by David Soman and Jacky Davis. Illustrated by David Soman.;14 weeks on the list,NIGHT WORLD;by L. J. Smith;28 weeks on the list
10,GONE TOMORROW;by Lee Child;5 weeks on the list,A SUMMER AFFAIR;by Elin Hilderbrand;2 weeks on the list,,CRAZY FOR THE STORM;by Norman Ollestad;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;90 weeks on the list,THE G-FREE DIET;by Elisabeth Hasselbeck;7 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;69 weeks on the list,"WORLD OF WARCRAFT - ASHBRINGER;by Micky Neilson, Ludo Lullabi and Tony Washington;2 weeks on the list","THE WALKING DEAD, VOL. 9;by Robert Kirkman and Charlie Adlard;8 weeks on the list",FULLMETAL ALCHEMIST 18;by Hiromu Arakawa;5 weeks on the list,DORK DIARIES;written and illustrated by Rachel Renée Russell;2 weeks on the list,THE WEDNESDAY WARS;by Gary D. Schmidt;New this week,CRAZY HAIR;written by Neil Gaiman. Illustrated by Dave McKean;2 weeks on the list,PENDRAGON;by D. J. MacHale;76 weeks on the list
