,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,WHERE THE CRAWDADS SING;by Delia Owens;101 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;102 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;57 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;2 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;102 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;41 weeks on the list",ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;2 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;228 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;21 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,ATOMIC HABITS;by James Clear;,THE ADVENTURE ZONE: PETALS TO THE METAL;by Clint McElroy et al. Illustrated by Carey Pietsch;,THE GUARDIANS;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,DEAR MARTIN;by Nic Stone;
2,CHOPPY WATER;by Stuart Woods;New this week,THE VANISHING HALF;by Brit Bennett;11 weeks on the list,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;New this week,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;5 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;5 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;13 weeks on the list,THE LAZY GENIUS WAY;by Kendra Adachi;New this week,WONDER;by R.J. Palacio;261 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;23 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;243 weeks on the list,THE HATE U GIVE;by Angie Thomas;181 weeks on the list,PEACE TALKS;by Jim Butcher;,WHITE FRAGILITY;by Robin DiAngelo;,THE BIGGEST BLUFF;by Maria Konnikova;,NEW KID;by Jerry Craft;,DESOLATION ROAD;by Christine Feehan;,A LONG WALK TO WATER;by Linda Sue Park;,WE WERE LIARS;by E. Lockhart;
3,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;New this week,A PRIVATE CATHEDRAL;by James Lee Burke;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;67 weeks on the list,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;New this week,CASTE;by Isabel Wilkerson;2 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;33 weeks on the list,ATOMIC HABITS;by James Clear;40 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;15 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;25 weeks on the list,DOG MAN;by Dav Pilkey;155 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;134 weeks on the list,THE GUEST LIST;by Lucy Foley;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,DARE TO LEAD;by Brené Brown;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE WARNING;by James Patterson and Robison Wells;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,A PRIVATE CATHEDRAL;by James Lee Burke;New this week,1ST CASE;by James Patterson and Chris Tebbetts;3 weeks on the list,BELOVED;by Toni Morrison;7 weeks on the list,CASTE;by Isabel Wilkerson;2 weeks on the list,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;New this week,THE NEW JIM CROW;by Michelle Alexander;199 weeks on the list,SUPERLIFE;by Darin Olien;3 weeks on the list,LITTLE LEADERS;by Vashti Harrison;42 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;18 weeks on the list,THE BAD GUYS;by Aaron Blabey;91 weeks on the list,HAWK;by James Patterson;6 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BREATH;by James Nestor;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,GUTS;by Raina Telgemeier;,REDEMPTION;by David Baldacci;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
5,THE VANISHING HALF;by Brit Bennett;11 weeks on the list,THE ORDER;by Daniel Silva;5 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;65 weeks on the list,UNTAMED;by Glennon Doyle;23 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;24 weeks on the list,JUST MERCY;by Bryan Stevenson;218 weeks on the list,CAN'T HURT ME;by David Goggins;10 weeks on the list,REFUGEE;by Alan Gratz;107 weeks on the list,KAMALA AND MAYA'S BIG IDEA;by Meena Harris. Illustrated by Ana Ramírez González;New this week,HARRY POTTER;by J.K. Rowling;595 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;24 weeks on the list,THE VANISHING HALF;by Brit Bennett;,THE ROOM WHERE IT HAPPENED;by John Bolton;,OUTLIERS;by Malcolm Gladwell;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,SUMMER AT LAKE HAVEN;by Raeanne Thayne;,BROWN GIRL DREAMING;by Jacqueline Woodson;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
6,THE GUEST LIST;by Lucy Foley;11 weeks on the list,CHOPPY WATER;by Stuart Woods;New this week,THE LONG CALL;by Ann Cleeves;3 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;16 weeks on the list,UNTAMED;by Glennon Doyle;23 weeks on the list,BORN A CRIME;by Trevor Noah;79 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;320 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;70 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;596 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;82 weeks on the list,THE ORDER;by Daniel Silva;,UNTAMED;by Glennon Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","AVATAR, THE LAST AIRBENDER: THE PROMISE OMNIBUS;by Bryan Konietzko, Michael Dante DiMartino and Gene Luen Yang. Illustrated by Gurihiru;",THE OUTSIDER;by Stephen King;,FISH IN A TREE;by Lynda Mullaly Hunt;,LONG WAY DOWN;by Jason Reynolds;
7,28 SUMMERS;by Elin Hilderbrand;9 weeks on the list,28 SUMMERS;by Elin Hilderbrand;9 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;52 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;21 weeks on the list,EVIL GENIUSES;by Kurt Andersen;New this week,THE TRUTHS WE HOLD;by Kamala Harris;New this week,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;19 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;70 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;16 weeks on the list,GIVER QUARTET;by Lois Lowry;166 weeks on the list,THE BETROTHED;by Kiera Cass;15 weeks on the list,THE SUMMER HOUSE;by James Patterson and Brendan DuBois;,ALEXANDER HAMILTON;by Ron Chernow;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,A SLICE OF HEAVEN;by Sherryl Woods;,THE CROSSOVER;by Kwame Alexander;,ALL THE BRIGHT PLACES;by Jennifer Niven;
8,THE ORDER;by Daniel Silva;5 weeks on the list,THE GUEST LIST;by Lucy Foley;11 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;New this week,EVIL GENIUSES;by Kurt Andersen;New this week,THE ANSWER IS ...;by Alex Trebek;4 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;16 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;192 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;16 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;544 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;15 weeks on the list,28 SUMMERS;by Elin Hilderbrand;,HOW TO DESTROY AMERICA IN THREE EASY STEPS;by Ben Shapiro;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",ACT;by Kayla Miller;,BLUE MOON;by Lee Child;,GHOST BOYS;by Jewell Parker Rhodes;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,1ST CASE;by James Patterson and Chris Tebbetts;3 weeks on the list,NEAR DARK;by Brad Thor;4 weeks on the list,THIS TENDER LAND;by William Kent Krueger;8 weeks on the list,THE TRUTHS WE HOLD;by Kamala Harris;5 weeks on the list,BECOMING;by Michelle Obama;88 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;95 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;27 weeks on the list,CLEAN GETAWAY;by Nic Stone;10 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;25 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;17 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;25 weeks on the list,PRETTY THINGS;by Janelle Brown;,BECOMING;by Michelle Obama;,TRAFFIC SECRETS;by Russell Brunson;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,TWENTY-ONE WISHES;by Debbie Macomber;,RESTART;by Gordon Korman;,JUST MERCY;by Bryan Stevenson;
10,THEN SHE WAS GONE;by Lisa Jewell;7 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;30 weeks on the list,THE NICKEL BOYS;by Colson Whitehead;7 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;3 weeks on the list,EDUCATED;by Tara Westover;130 weeks on the list,ON TYRANNY;by Timothy Snyder;69 weeks on the list,YOU ARE A BADASS;by Jen Sincero;218 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;23 weeks on the list,ANTIRACIST BABY;by Ibram X. Kendi. Illustrated by Ashley Lukashevsky;5 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;235 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;122 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE DARK SIDE;by Danielle Steel;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,SIX OF CROWS;by Leigh Bardugo;
