,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,LONG LOST;by Harlan Coben;New this week,THE SHACK;by William P. Young;46 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;114 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;10 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;28 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;6 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;6 weeks on the list,"NARUTO, VOL. 43;by Masashi Kishimoto;3 weeks on the list",TWILIGHT: DIRECTOR’S NOTEBOOK;by Catherine Hardwicke;3 weeks on the list,EVERMORE;by Alyson Noël;9 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;11 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;87 weeks on the list
2,THE HOST;by Stephenie Meyer;47 weeks on the list,FIREFLY LANE;by Kristin Hannah;13 weeks on the list,,ALWAYS LOOKING UP;by Michael J. Fox;New this week,THE MIDDLE PLACE;by Kelly Corrigan;15 weeks on the list,MARTHA STEWART’S ENCYCLOPEDIA OF CRAFTS;by Martha Stewart and editors of Martha Stewart Living;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;405 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;6 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;4 weeks on the list,"NARUTO, VOL. 42;by Masashi Kishimoto;2 weeks on the list",MILES TO GO;by Miley Cyrus;5 weeks on the list,THE BOOK THIEF;by Markus Zusak;82 weeks on the list,THE HOUSE IN THE NIGHT;by Susan Marie Swanson. Illustrated by Beth Krommes.;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;12 weeks on the list
3,HANDLE WITH CARE;by Jodi Picoult;5 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;New this week,,OUTLIERS;by Malcolm Gladwell;20 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;79 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;52 weeks on the list,NATURALLY THIN;by Bethenny Frankel with Eve Adamson;4 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;4 weeks on the list,"NEW AVENGERS Vol. 8, SECRET INVASION BOOK 1;by Brian Michael Bendis, Michael Gaydos, David Mack, Jim Cheung and Billy Tan;New this week","NARUTO, VOL. 44;by Masashi Kishimoto;New this week",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;27 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;22 weeks on the list,THE VERY HUNGRY CATERPILLAR;written and illustrated by Eric Carle;3 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;32 weeks on the list
4,THE ASSOCIATE;by John Grisham;10 weeks on the list,CITY OF THIEVES;by David Benioff;New this week,,HOUSE OF CARDS;by William D. Cohan;4 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;115 weeks on the list",THE SECRET;by Rhonda Byrne;117 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;88 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;4 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;3 weeks on the list,NEGIMA! 21 (MAGISTER NEGI MAGI);by Ken Akamatsu;2 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;24 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;11 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;73 weeks on the list,MAXIMUM RIDE;by James Patterson;48 weeks on the list
5,TRUE DETECTIVES;by Jonathan Kellerman;2 weeks on the list,THE READER;by Bernhard Schlink;18 weeks on the list,,THE YANKEE YEARS;by Joe Torre and Tom Verducci;9 weeks on the list,TIPPING POINT;by Malcolm Gladwell;235 weeks on the list,PEAKS AND VALLEYS;by Spencer Johnson;4 weeks on the list,SKINNY BITCH;by Kim Barnouin;91 weeks on the list,ALL-STAR SUPERMAN;by Grant Morrison and Frank Quitely;3 weeks on the list,Wolverine: Origin;by Paul Jenkins and Andy Kubert;3 weeks on the list,"NEGIMA!? NEO (MAGISTER NEGI MAGI),  Vol. 1;by Takuya Fujiyama and Ken Akamatsu;New this week",THE HUNGER GAMES;by Suzanne Collins;30 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;2 weeks on the list,THE COMPOSER IS DEAD;by Lemony Snicket. Illustrated by Carson Ellis. Music by Nathaniel Stookey;5 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;2 weeks on the list
6,CORSAIR;by Clive Cussler and Jack Du Brul;4 weeks on the list,AMERICAN WIFE;by Curtis Sittenfeld;8 weeks on the list,,A LION CALLED CHRISTIAN;by  Anthony Bourke and John Rendall;4 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;25 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;20 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;14 weeks on the list,Superman: Brainiac;by Geoff Johns and Gary Frank;2 weeks on the list,"THE WALKING DEAD, VOL. 9;by Robert Kirkman and Charlie Adlard;4 weeks on the list",XXXHOLIC Vol. 13;by Clamp;New this week,STARGAZER;by Claudia Gray;2 weeks on the list,TWEAK;by Nic Sheff;11 weeks on the list,LADYBUG GIRL AND BUMBLEBEE BOY;by David Soman and Jacky Davis. Illustrated by David Soman.;5 weeks on the list,THE 39 CLUES;by various authors;5 weeks on the list
7,LAVENDER MORNING;by Jude Deveraux;New this week,SARAH’S KEY;by Tatiana de Rosnay;8 weeks on the list,,THE LOST CITY OF Z;by David Grann;6 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;128 weeks on the list,HEALING AND PREVENTING AUTISM;by Jenny McCarthy and Jerry Kartzinel;New this week,THE POWER OF NOW;by Eckhart Tolle;64 weeks on the list,"ANGEL: AFTER THE FALL, VOL. 3;by Joss Whedon, Brian Lynch, Nick Runge and David Messina;2 weeks on the list","THE END LEAGUE, VOL 1;by Rick Remender, Mat Broome, Eric Canete and Sean Parsons;New this week","Naruto, Vol. 41;by Masashi Kishimoto;5 weeks on the list",WINTERGIRLS;by Laurie Halse Anderson;3 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;33 weeks on the list,CAT;written by Matthew Van Fleet and photographed by Brian Stanton.;8 weeks on the list,FABLEHAVEN;by Brandon Mull;6 weeks on the list
8,MALICE;by Lisa Jackson;New this week,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;13 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;25 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;142 weeks on the list,NEVER GIVE UP!;by Joyce Meyer;New this week,TWILIGHT;by Mark Cotta Vaz;25 weeks on the list,SAGA OF SWAMP THING: BOOK 1;by Steve R. Bissette and Alan Moore;New this week,HACK/SLASH: OMNIBUS 1;by Tim Seeley and others;2 weeks on the list,"FRUIT BASKETS, Vol. 22;by Natsuki Takaya;4 weeks on the list",FADE;by Lisa McMann;8 weeks on the list,CORALINE;by Neil Gaiman. Illustrated by Dave McKean;12 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;13 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;205 weeks on the list
9,SMOOTH TALKING STRANGER;by Lisa Kleypas;New this week,NAUTI INTENTIONS;by Lora Leigh;New this week,,GROWING UP AGAIN;by Mary Tyler Moore;New this week,EMERGENCY;by Neil Strauss;4 weeks on the list,WWE ENCYCLOPEDIA;by  Brian Shields and Kevin Sullivan;3 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;44 weeks on the list,"GREEN LANTERN: SINESTRO CORPS WAR, Vol.1;by Geoff Johns, Dave Gibbons, Ivan Reis, Patrick Gleason and Angel Unzeta.;New this week",FROM HELL;by Alan Moore and Eddie Campbell;New this week,"Naruto, Vol. 40;by Masashi Kishimoto;6 weeks on the list",SCAT;by Carl Hiaasen;10 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;62 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;25 weeks on the list,JUNIE B. JONES;by Barbara Park;181 weeks on the list
10,THE LOST QUILTER;by Jennifer Chiaverini;New this week,THE SECRET;by Beverly Lewis;New this week,,DEWEY;by Vicki Myron with Bret Witter;29 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;25 weeks on the list,THE SKINNY;by Louis J. Aronne with Alisa Bowman;2 weeks on the list,I WILL TEACH YOU TO BE RICH;by Ramit Sethi;2 weeks on the list,,"FABLES, VOL. 1;by Bill Willingham and Lan Medina;New this week","Naruto, Vol. 39;by Masashi Kishimoto;6 weeks on the list",BASEBALL GREAT;by Tim Green;New this week,THE SUMMONING;by Kelley Armstrong;New this week,ALL IN A DAY;by Cynthia Rylant. Illustrated by Nikki McClure;3 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;36 weeks on the list
