,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;86 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;14 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;53 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,SKINNYTASTE FAST AND SLOW;by Gina Homolka with Heather K. Jones;New this week,"THE WALKING DEAD, BOOK 13;by Robert Kirkman and Charlie Adlard;New this week",GHOSTS;by Raina Telgemeier;5 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;58 weeks on the list",THE HAMMER OF THOR;by Rick Riordan;2 weeks on the list,THE HAMMER OF THOR;by Rick Riordan;2 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;62 weeks on the list,WE FOUND A HAT;written and illustrated by Jon Klassen;New this week,HARRY POTTER;by J.K. Rowling;395 weeks on the list,STAR WARS: AHSOKA;by E. K. Johnston;New this week,STAR WARS: AHSOKA;by E. K. Johnston;New this week,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;by Scott Cawthon and Kira Breed-Wrisley;3 weeks on the list,THE PERFECT HORSE;by Elizabeth Letts;,THE UPSIDE OF INEQUALITY;by Edward Conard;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,JUST MERCY;by Bryan Stevenson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,GRIT;by Angela Duckworth;,THE PIGEON TUNNEL;by John le Carré;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,LOVE WARRIOR;by Glennon Doyle Melton;,LOVE WARRIOR;by Glennon Doyle Melton;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,UNINVITED;by Lysa TerKeurst;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
2,VINCE FLYNN: ORDER TO KILL;by Kyle Mills;New this week,TWO BY TWO;by Nicholas Sparks;2 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;42 weeks on the list,,,BORN TO RUN;by Bruce Springsteen;3 weeks on the list,BORN TO RUN;by Bruce Springsteen;3 weeks on the list,THE WITCHES;by Stacy Schiff;4 weeks on the list,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;New this week,THUG KITCHEN 101;by Thug Kitchen;New this week,THE UNBEATABLE SQUIRREL GIRL BEATS UP THE MARVEL UNIVERSE!;by Ryan North and Erica Henderson;New this week,DRAMA;by Raina Telgemeier;166 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;26 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;24 weeks on the list,WONDER;by R.J. Palacio;62 weeks on the list,BROWN GIRL DREAMING;by Jacqueline Woodson;New this week,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;13 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;56 weeks on the list,UNTIL FRIDAY NIGHT;by Abbi Glines;6 weeks on the list,CHILDREN OF EDEN;by Joey Graceffa;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;62 weeks on the list,THE TRAINABLE CAT;by John Bradshaw and Sarah Ellis;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,BETWEEN BREATHS;by Elizabeth Vargas;,AMERICAN HEIRESS;by Jeffrey Toobin;,SAPIENS;by Yuval Noah Harari;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE SNOWDEN FILES;by Luke Harding;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",VERN YIP'S DESIGN WISE;by Vern Yip;,THUG KITCHEN;by the staff of Thug Kitchen;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,BETWEEN BREATHS;by Elizabeth Vargas;,YUGE!;by G. B. Trudeau;,UNINVITED;by Lysa TerKeurst;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,HILLBILLY ELEGY;by J.D. Vance;,JUST MERCY;by Bryan Stevenson;,PRESENT OVER PERFECT;by Shauna Niequist;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,SHOE DOG;by Phil Knight;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
3,SMALL GREAT THINGS;by Jodi Picoult;New this week,VINCE FLYNN: ORDER TO KILL;by Kyle Mills;New this week,MILK AND HONEY;by Rupi Kaur;27 weeks on the list,,,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;New this week,FILTHY RICH;by James Patterson and John Connolly with Tim Malloy;New this week,M TRAIN;by Patti Smith;2 weeks on the list,HUNGRY HEART;by Jennifer Weiner;New this week,IS THIS THE END?;by David Jeremiah;2 weeks on the list,THE BEST AMERICAN COMICS 2016;edited by Roz Chast and Bill Kartalopoulos;2 weeks on the list,SMILE;by Raina Telgemeier;227 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;67 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;46 weeks on the list,DOG MAN;by Dav Pilkey;7 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;62 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;106 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;396 weeks on the list,FAIRY TALE ROMANCE COLLECTION;by Melanie Dickerson;New this week,CROOKED KINGDOM;by Leigh Bardugo;3 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;55 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,GRIT;by Angela Duckworth;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE KINGDOM OF SPEECH;by Tom Wolfe;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,BEAUTIFUL;written by Mark D. Sikes. Photographs by Amy Neunsinger;,OH SHE GLOWS EVERY DAY;by Angela Liddon;,MONSTER MANUAL;by Wizards RPG Team;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",YUGE!;by G. B. Trudeau;,THE NEW JIM CROW;by Michelle Alexander;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",SAPIENS;by Yuval Noah Harari;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,BEST. STATE. EVER;by Dave Barry;
4,TWO BY TWO;by Nicholas Sparks;2 weeks on the list,COMMONWEALTH;by Ann Patchett;5 weeks on the list,MISSING;by James Patterson and Kathryn Fox;2 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;12 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;12 weeks on the list,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;9 weeks on the list,BORN TO RUN;by Bruce Springsteen;3 weeks on the list,YOU ARE A BADASS;by Jen Sincero;40 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;226 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;61 weeks on the list,"ASSASSINATION CLASSROOM, VOL. 12;by Yusei Matsui;2 weeks on the list",WONDER;by R.J. Palacio;50 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;12 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;62 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;6 weeks on the list",THE MAZE RUNNER;by James Dashner;180 weeks on the list,BLACK WIDOW: FOREVER RED;by Margaret Stohl;New this week,THREE DARK CROWNS;by Kendare Blake;4 weeks on the list,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;10 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,"HUSTLE;by Neil Patel, Patrick Vlaskovits and Jonas Koffler;",GOOD VIBRATIONS;by Mike Love;,THE SNOWDEN FILES;by Luke Harding;,SPQR;by Mary Beard;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,RED NOTICE;by Bill Browder;,THE 37TH PARALLEL;by Ben Mezrich;,"SHOPPING, SEDUCTION AND MR. SELFRIDGE;by Lindy Woodhead;","EAT FAT, GET THIN;by Mark Hyman;",HARRY POTTER COLORING BOOK;by various illustrators;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,SCORCHED EARTH;by Michael Savage;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOOK OF MYSTERIES;by Jonathan Cahn;,BEING MORTAL;by Atul Gawande;,BELIEVING IN MAGIC;by Cookie Johnson with Denene Millner;,HOW TO READ WATER;by Tristan Gooley;
5,A MAN CALLED OVE;by Fredrik Backman;21 weeks on the list,HOME;by Harlan Coben;4 weeks on the list,"IN A DARK, DARK WOOD;by Ruth Ware;21 weeks on the list",,,LOVE WARRIOR;by Glennon Doyle Melton;6 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;6 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;132 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;12 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;175 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;16 weeks on the list,SISTERS;by Raina Telgemeier;104 weeks on the list,"ONE-PUNCH MAN, VOL. 3;by ONE and Yusuke Murata;13 weeks on the list",HITLER'S LAST DAYS;by Bill O'Reilly;12 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;41 weeks on the list,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;11 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;173 weeks on the list,THE YOUNG ELITES;by Marie Lu;New this week,THESE SHALLOW GRAVES;by Jennifer Donnelly;New this week,THE WAY THINGS WORK NOW;by David Macaulay with Neil Ardley;2 weeks on the list,RED QUEEN;by Victoria Aveyard;19 weeks on the list,DOG MEDICINE;by Julie Barton;,SHOE DOG;by Phil Knight;,IT'S NOT OKAY;by Andi Dorfman;,BLOOD IN THE WATER;by Heather Ann Thompson;,M TRAIN;by Patti Smith;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,100 DEADLY SKILLS;by Clint Emerson;,DEAD WAKE;by Erik Larson;,PEACOCK AND VINE;by A. S. Byatt;,THE SEASONED LIFE;by Ayesha Curry;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;","EAT FAT, GET THIN;by Mark Hyman;",I'M JUDGING YOU;by Luvvie Ajayi;,IT'S NOT OKAY;by Andi Dorfman;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,UNHOLY ALLIANCE;by Jay Sekulow;,HIDDEN FIGURES;by Margot Lee Shetterly;,UNBROKEN;by Laura Hillenbrand;,THE WRIGHT BROTHERS;by David McCullough;
6,CRIMSON DEATH;by Laurell K. Hamilton;New this week,WOMAN OF GOD;by James Patterson and Maxine Paetro;3 weeks on the list,INFERNO;by Dan Brown;11 weeks on the list,,,HUNGRY HEART;by Jennifer Weiner;New this week,HERO OF THE EMPIRE;by Candice Millard;4 weeks on the list,JUST MERCY;by Bryan Stevenson;49 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;6 weeks on the list,UNINVITED;by Lysa TerKeurst;10 weeks on the list,WONDER WOMAN: THE TRUE AMAZON;by Jill Thompson;New this week,"THE WALKING DEAD, VOL. 26;by Robert Kirkman and Charlie Adlard;4 weeks on the list","FOOD WARS!, VOL. 14;by Yuto Tsukuda and Shun Saeki;2 weeks on the list",,THE HIDDEN ORACLE;by Rick Riordan;24 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;18 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;139 weeks on the list,SPY SCHOOL;by Stuart Gibbs;2 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;44 weeks on the list,NERVE;by Jeanne Ryan;14 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,OUTLIERS;by Malcolm Gladwell;,AMERICAN HEIRESS;by Jeffrey Toobin;,WRITING MY WRONGS;by Shaka Senghor;,TRIBE;by Sebastian Junger;,NEUROTRIBES;by Steve Silberman;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,THE RESIDENCE;by Kate Andersen Brower;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,ZENDOODLE COLORING: UPLIFTING INSPIRATIONS;illustrated by Justine Lustig;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BASED ON A TRUE STORY;by Norm Macdonald;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,ARMAGEDDON;by Dick Morris and Eileen McGann;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,NO GOD BUT ONE - ALLAH OR JESUS?;by Nabeel Qureshi;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,HEAD BALL COACH;by Steve Spurrier with Buddy Martin;,BARBARIAN DAYS;by William Finnegan;
7,HOME;by Harlan Coben;4 weeks on the list,PRECIOUS AND GRACE;by Alexander McCall Smith;New this week,THE LAST MILE;by David Baldacci;5 weeks on the list,,,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;9 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;9 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;125 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;9 weeks on the list,"THINK BETTER, LIVE BETTER;by Joel Osteen;2 weeks on the list",HILO BOOK 2: SAVING THE WHOLE WIDE WORLD;by Judd Winick;18 weeks on the list,"BLACK PANTHER: A NATION UNDER OUR FEET, BOOK 1;by Ta-Nehisi Coates and Brian Stelfreeze;5 weeks on the list","CASE CLOSED, VOL. 60;by Gosho Aoyama;New this week",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;34 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;16 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;56 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;20 weeks on the list,,REPLICA;by Lauren Oliver;2 weeks on the list,WE ALL LOOKED UP;by Tommy Wallach;7 weeks on the list,THE SOUND OF A WILD SNAIL EATING;by Elisabeth Tova Bailey;,TOGETHER IS BETTER;by Simon Sinek;,BASED ON A TRUE STORY;by Norm Macdonald;,FORENSICS;by Val McDermid;,PUSSY;by Regena Thomashauer;,SUBSTITUTE;by Nicholson Baker;,THE DEVIL'S CHESSBOARD;by David Talbot;,BARBARIAN DAYS;by William Finnegan;,NOW I SIT ME DOWN;by Witold Rybczynski;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,LOST OCEAN;illustrated by Johanna Basford;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",THE EXPECTANT FATHER;by Armin A. Brott and Jennifer Ash;,THE UPSIDE OF INEQUALITY;by Edward Conard;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,INNER ENGINEERING;by Sadhguru;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,THE OREGON TRAIL;by Rinker Buck;
8,INFERNO;by Dan Brown;32 weeks on the list,TODAY WILL BE DIFFERENT;by Maria Semple;2 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;71 weeks on the list,,,HERO OF THE EMPIRE;by Candice Millard;4 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;2 weeks on the list,WHY NOT ME?;by Mindy Kaling;2 weeks on the list,IN MY OWN WORDS ... MY REAL REALITY;by Toya Wright;New this week,THE BELLY ART PROJECT;by Sara Blakely;New this week,"HOW TO TALK TO GIRLS AT PARTIES;by Neil Gaiman, Fábio Moon and Gabriel Bá;13 weeks on the list",THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;67 weeks on the list,"BLACK CLOVER, VOL. 3;by Yuki Tabata;2 weeks on the list",,SOME WRITER!;by Melissa Sweet;2 weeks on the list,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;14 weeks on the list,RIVER ROSE AND THE MAGICAL LULLABY;by Kelly Clarkson. Illustrated by Laura Hughes;2 weeks on the list,GIVER QUARTET;by Lois Lowry;135 weeks on the list,,HOLDING UP THE UNIVERSE;by Jennifer Niven;2 weeks on the list,ALL THE BRIGHT PLACES;by Jennifer Niven;2 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",M TRAIN;by Patti Smith;,DREAMLAND;by Sam Quinones;,THE SIX;by Laura Thompson;,THE GIFT OF FAILURE;by Jessica Lahey;,PLAYING TO THE EDGE;by Michael V. Hayden;,THE OREGON TRAIL;by Rinker Buck;,A FIELD GUIDE TO REDHEADS;written and illustrated by Elizabeth Graeber;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK;by various illustrators;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,BOSSYPANTS;by Tina Fey;,TRIBE;by Sebastian Junger;,ON BECOMING BABYWISE;by Gary Ezzo and Robert Buckram;,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;,THE OTHER WES MOORE;by Wes Moore;,THE 37TH PARALLEL;by Ben Mezrich;,THE POWER OF HABIT;by Charles Duhigg;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,WILD;by Cheryl Strayed;
9,COMMONWEALTH;by Ann Patchett;5 weeks on the list,CRIMSON DEATH;by Laurell K. Hamilton;New this week,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;26 weeks on the list,,,A LIFE IN PARTS;by Bryan Cranston;New this week,A LIFE IN PARTS;by Bryan Cranston;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;106 weeks on the list",WHEN BREATH BECOMES AIR;by Paul Kalanithi;40 weeks on the list,ALTON BROWN:  EVERYDAYCOOK;by Alton Brown;3 weeks on the list,"ANGEL CATBIRD, VOL. 1;by Margaret Atwood and Johnnie Christmas;6 weeks on the list",ROLLER GIRL;by Victoria Jamieson;34 weeks on the list,"THE DEMON PRINCE OF MOMOCHI HOUSE, VOL. 6;by Aya Shouoto;2 weeks on the list",,WHEN THE SEA TURNED TO SILVER;by Grace Lin;2 weeks on the list,THE BFG;by Roald Dahl. Illustrated by Quentin Blake;19 weeks on the list,PETE THE CAT AND THE MISSING CUPCAKES;by Kimberly Dean and James Dean;2 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;12 weeks on the list,,GIRL IN PIECES;by Kathleen Glasgow;5 weeks on the list,THE CABIN;by Natasha Preston;5 weeks on the list,THE HIDDEN LIVES OF OWLS;by Leigh Calvez;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,BOSSYPANTS;by Tina Fey;,SISTERS IN LAW;by Linda Hirshman;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE MAGIC OF MATH;by Arthur Benjamin;,THE INFILTRATOR;by Robert Mazur;,WILD;by Cheryl Strayed;,EMPIRE OF COTTON;by Sven Beckert;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,GUINNESS WORLD RECORDS GAMER'S EDITION 2017;by Guinness World Records with contributions by Ali-A;,MEDICAL MEDIUM;by Anthony William;,SICK IN THE HEAD;by Judd Apatow;,PUSSY;by Regena Thomashauer;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,THE QUEEN OF KATWE;by Tim Crothers;,PANCAKES IN PARIS;by Craig Carlson;
10,MISSING;by James Patterson and Kathryn Fox;2 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;11 weeks on the list,SEE ME;by Nicholas Sparks;10 weeks on the list,,,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;2 weeks on the list,UPSTREAM;by Mary Oliver;New this week,YOU CAN'T TOUCH MY HAIR;by Phoebe Robinson;2 weeks on the list,A LIFE IN PARTS;by Bryan Cranston;New this week,THE UNIVERSE HAS YOUR BACK;by Gabrielle Bernstein;3 weeks on the list,SNOW WHITE;by Matt Phelan;4 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;18 weeks on the list,"SAY I LOVE YOU, VOL. 16;by Kanae Hazuki;New this week",,THE SECRET KEEPERS;by Trenton Lee Stewart. Illustrated by Diana Sudyka;2 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;58 weeks on the list,JUNGLE;created by Dan Kainen. Written by Kathy Wollard;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;408 weeks on the list,,A TORCH AGAINST THE NIGHT;by Sabaa Tahir;7 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;4 weeks on the list,SAD ANIMAL FACTS;written and illustrated by Brooke Barker;,THE POWER OF HABIT;by Charles Duhigg;,SICK IN THE HEAD;by Judd Apatow;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,TV (THE BOOK);by Alan Sepinwall and Matt Zoller Seitz;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,ISAAC'S STORM;by Erik Larson;,A (BRIEF) HISTORY OF VICE;by Robert Evans;,THE FOOD LAB;by J. Kenji Lopez-Alt;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler;,INNER ENGINEERING;by Sadhguru;,IT GETS WORSE;by Shane Dawson;,CITIZEN;by Claudia Rankine;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE NEW JIM CROW;by Michelle Alexander;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,THE UNTETHERED SOUL;by Michael A. Singer;,HOW TO READ WATER;by Tristan Gooley;,FIND A WAY;by Diana Nyad;,WHEN IN FRENCH;by Lauren Collins;
11,PRECIOUS AND GRACE;by Alexander McCall Smith;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;13 weeks on the list,AFTER YOU;by Jojo Moyes;,,,ALEXANDER HAMILTON;by Ron Chernow;42 weeks on the list,A LIFE WELL PLAYED;by Arnold Palmer;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;,ALEXANDER HAMILTON;by Ron Chernow;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 37TH PARALLEL;by Ben Mezrich;,SWIMMING IN THE SINK;by Lynne Cox;,
12,THE TRESPASSER;by Tana French;2 weeks on the list,THE TRESPASSER;by Tana French;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;40 weeks on the list,I AM BRIAN WILSON;by Brian Wilson and Ben Greenman;New this week,THE POWER OF HABIT;by Charles Duhigg;,A TORCH KEPT LIT;by William F. Buckley Jr. Edited by James Rosen;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE WRIGHT BROTHERS;by David McCullough;,THE MANNINGS;by Lars Anderson;,
13,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;15 weeks on the list,RAZOR GIRL;by Carl Hiaasen;6 weeks on the list,DIARY OF AN OXYGEN THIEF;by Anonymous;,,,I AM BRIAN WILSON;by Brian Wilson and Ben Greenman;New this week,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;5 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;,HERO OF THE EMPIRE;by Candice Millard;,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I CONTAIN MULTITUDES;by Ed Yong;,BIG PAPI THANKS FOR THE MEMORIES;by David Fischer and David Aretha;,
14,WOMAN OF GOD;by James Patterson and Maxine Paetro;3 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;6 weeks on the list,THE LITTLE PARIS BOOKSHOP;by Nina George;,,,A TORCH KEPT LIT;by William F. Buckley Jr. Edited by James Rosen;New this week,WHEN BREATH BECOMES AIR;by Paul Kalanithi;40 weeks on the list,QUIET;by Susan Cain;,I AM BRIAN WILSON;by Brian Wilson and Ben Greenman;,FOOD FREEDOM FOREVER;by Melissa Hartwig;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,EVERYTHING IS POSSIBLE;by Jen Bricker with Sheryl Berk;,
