,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THICK AS THIEVES;by Sandra Brown;New this week,WHERE THE CRAWDADS SING;by Delia Owens;104 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;59 weeks on the list,HIS TRUTH IS MARCHING ON;by Jon Meacham;New this week,HIS TRUTH IS MARCHING ON;by Jon Meacham;New this week,WHITE FRAGILITY;by Robin DiAngelo;104 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;43 weeks on the list",ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;4 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;3 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;230 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;23 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,CASTE;by Isabel Wilkerson;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,CHILD'S PLAY;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,SQUEEZE ME;by Carl Hiaasen;New this week,THE VANISHING HALF;by Brit Bennett;13 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;69 weeks on the list,HOAX;by Brian Stelter;New this week,LIVE FREE OR DIE;by Sean Hannity;4 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;15 weeks on the list,ATOMIC HABITS;by James Clear;42 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;17 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;25 weeks on the list,DOG MAN;by Dav Pilkey;157 weeks on the list,THE HATE U GIVE;by Angie Thomas;183 weeks on the list,THE GUEST LIST;by Lucy Foley;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,EVIL GENIUSES;by Kurt Andersen;,GUTS;by Raina Telgemeier;,PARANOID;by Lisa Jackson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE VANISHING HALF;by Brit Bennett;13 weeks on the list,THICK AS THIEVES;by Sandra Brown;New this week,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;3 weeks on the list,CASTE;by Isabel Wilkerson;4 weeks on the list,CASTE;by Isabel Wilkerson;4 weeks on the list,BORN A CRIME;by Trevor Noah;81 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;21 weeks on the list",WONDER;by R.J. Palacio;263 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;27 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;245 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;136 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,DOESN'T HURT TO ASK;by Trey Gowdy;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,GOLDEN IN DEATH;by J.D. Robb;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,WHERE THE CRAWDADS SING;by Delia Owens;103 weeks on the list,SQUEEZE ME;by Carl Hiaasen;New this week,LOVECRAFT COUNTRY;by Matt Ruff;2 weeks on the list,UNTAMED;by Glennon Doyle;25 weeks on the list,UNTAMED;by Glennon Doyle;25 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;35 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;194 weeks on the list,REFUGEE;by Alan Gratz;109 weeks on the list,ALL ARE WELCOME;by Alexandra Penfold and Suzanne Kaufman;22 weeks on the list,HARRY POTTER;by J.K. Rowling;597 weeks on the list,HAWK;by James Patterson;8 weeks on the list,THE VANISHING HALF;by Brit Bennett;,LIVE FREE OR DIE;by Sean Hannity;,DARE TO LEAD;by Brené Brown;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,OUTFOX;by Sandra Brown;,BROWN GIRL DREAMING;by Jacqueline Woodson;,LONG WAY DOWN;by Jason Reynolds;
5,EMERALD BLAZE;by Ilona Andrews;New this week,ROYAL;by Danielle Steel;2 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;54 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;4 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;7 weeks on the list,JUST MERCY;by Bryan Stevenson;220 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;28 weeks on the list,LITTLE LEADERS;by Vashti Harrison;44 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;13 weeks on the list,THE BAD GUYS;by Aaron Blabey;93 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE RISE OF KYOSHI;by F.C. Yee with Michael Dante DiMartino;6 weeks on the list",CRITICAL MASS;by Craig Alanson;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE UMBRELLA ACADEMY: APOCALYPSE SUITE;by Gerard Way. Illustrated by Gabriel Bá;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
6,THE GUEST LIST;by Lucy Foley;13 weeks on the list,THE GUEST LIST;by Lucy Foley;13 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;79 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;7 weeks on the list,HOAX;by Brian Stelter;New this week,THE COLOR OF LAW;by Richard Rothstein;18 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;322 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;17 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;85 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;598 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;26 weeks on the list,THE SILENT WIFE;by Karin Slaughter;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,OUTLIERS;by Malcolm Gladwell;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,THE COWBOY'S LADY;by Debbie Macomber;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,SOMEONE TO ROMANCE;by Mary Balogh;New this week,AMERICAN DIRT;by Jeanine Cummins;32 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;129 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;23 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;26 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;201 weeks on the list,SUPERLIFE;by Darin Olien;5 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;72 weeks on the list,WE DON'T EAT OUR CLASSMATES!;by Ryan T. Higgins;27 weeks on the list,GIVER QUARTET;by Lois Lowry;167 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;84 weeks on the list,PRETTY THINGS;by Janelle Brown;,BREATH;by James Nestor;,THE LAZY GENIUS WAY;by Kendra Adachi;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",REDEMPTION;by David Baldacci;,THE CROSSOVER;by Kwame Alexander;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
8,ROYAL;by Danielle Steel;2 weeks on the list,28 SUMMERS;by Elin Hilderbrand;11 weeks on the list,THIS TENDER LAND;by William Kent Krueger;10 weeks on the list,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;18 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;100 weeks on the list,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;15 weeks on the list,DOESN'T HURT TO ASK;by Trey Gowdy;2 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;72 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;17 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;546 weeks on the list,THE BETROTHED;by Kiera Cass;17 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,WHITE FRAGILITY;by Robin DiAngelo;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PERSEPOLIS;by Marjane Satrapi;,THE TITANIC SECRET;by Clive Cussler and Jack Du Brul;,FISH IN A TREE;by Lynda Mullaly Hunt;,THEY BOTH DIE AT THE END;by Adam Silvera;
9,AMERICAN DIRT;by Jeanine Cummins;32 weeks on the list,1ST CASE;by James Patterson and Chris Tebbetts;5 weeks on the list,THE LONG CALL;by Ann Cleeves;5 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;70 weeks on the list,EDUCATED;by Tara Westover;132 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;97 weeks on the list,YOU ARE A BADASS;by Jen Sincero;219 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;43 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;247 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;38 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;26 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,TALKING TO STRANGERS;by Malcolm Gladwell;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,THE CORNWALLS VANISH;by James Patterson and Brendan DuBois;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THEN SHE WAS GONE;by Lisa Jewell;9 weeks on the list,THE EXILES;by Christina Baker Kline;New this week,THE SONG OF ACHILLES;by Madeline Miller;2 weeks on the list,EDUCATED;by Tara Westover;125 weeks on the list,BLITZ;by David Horowitz;9 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;23 weeks on the list,CAN'T HURT ME;by David Goggins;12 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;25 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;174 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;237 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;17 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;,THE BIGGEST BLUFF;by Maria Konnikova;,THE UMBRELLA ACADEMY: DALLAS;by Gerard Way. Illustrated by Gabriel Bá;,LABYRINTH;by Catherine Coulter;,THE WILD ROBOT;by Peter Brown;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
