,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,MISSING YOU;by Harlan Coben;New this week,MISSING YOU;by Harlan Coben;New this week,ORPHAN TRAIN;by Christina Baker Kline;31 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;15 weeks on the list,10% HAPPIER;by Dan Harris;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;175 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;24 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;11 weeks on the list,JUSTICE LEAGUE: TRINITY WAR;by Geoff Johns and others;New this week,"THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;2 weeks on the list","ATTACK ON TITAN: BEFORE THE FALL, VOL. 1;by Hajime Isayama, Ryo Suzukaze and Satoshi Shiki;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;39 weeks on the list,DIVERGENT;by Veronica Roth;22 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,TWELVE YEARS A SLAVE;by Solomon Northup;,DAVID AND GOLIATH;by Malcolm Gladwell;,WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
2,THE FIXED TRILOGY;by Laurelin Paige;New this week,RAISING STEAM;by Terry Pratchett;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;51 weeks on the list",,,10% HAPPIER;by Dan Harris;2 weeks on the list,THE PROMISE OF A PENCIL;by Adam Braun with Carlye Adler;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;101 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;New this week,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;4 weeks on the list,"WONDER WOMAN, VOL. 4;by Brian Azzarello, Cliff Chiang and Tony Akins;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;124 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;41 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;129 weeks on the list",THE MAZE RUNNER;by James Dashner;76 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THRIVE;by Arianna Huffington;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,THE FUTURE OF THE MIND;by Michio Kaku;,SHOWTIME;by Jeff Pearlman;
3,THE GOLDFINCH;by Donna Tartt;22 weeks on the list,THE GOLDFINCH;by Donna Tartt;22 weeks on the list,ME BEFORE YOU;by Jojo Moyes;34 weeks on the list,,,UGANDA BE KIDDING ME;by Chelsea Handler;3 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;3 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;164 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;26 weeks on the list,CANNON;by Wallace Wood;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;59 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;24 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LOCOMOTIVE;by Brian Floca;8 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;187 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE HUNGRY GIRL DIET;by Lisa Lillien;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,QUIET;by Susan Cain;,CYCLE OF LIES;by Juliet Macur;
4,MAYBE SOMEDAY;by Colleen Hoover;New this week,POWER PLAY;by Danielle Steel;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;106 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;18 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;26 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;74 weeks on the list,THE PRINCESS TRILOGY;by Jean Sasson;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;26 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;12 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;55 weeks on the list","NISEKOI: FALSE LOVE, VOL. 2;by Naoshi Komi;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,GOODNIGHT SONGS;by Margaret Wise Brown;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;270 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,SUCCESS THROUGH STILLNESS;by Russell Simmons with Chris Morrow;,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE RISE OF SUPERMAN;by Steven Kotler;
5,THE HUSBAND'S SECRET;by Liane Moriarty;31 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;11 weeks on the list,THE ALCHEMIST;by Paulo Coelho;296 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;11 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;25 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;11 weeks on the list,10% HAPPIER;by Dan Harris;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;50 weeks on the list,HELLBOY: THE FIRST 20 YEARS;by Mike Mignola;New this week,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;14 weeks on the list","UQ HOLDER, VOL. 1;by Ken Akamatsu;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,JOURNEY;by Aaron Becker;19 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;132 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,WHEAT BELLY;by William Davis;,DUTY;by Robert M. Gates;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
6,BEAUTIFUL RUINS;by Jess Walter;New this week,BE CAREFUL WHAT YOU WISH FOR;by Jeffrey Archer;2 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;3 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;108 weeks on the list,UNBROKEN;by Laura Hillenbrand;162 weeks on the list,OUTLIERS;by Malcolm Gladwell;146 weeks on the list,UGANDA BE KIDDING ME;by Chelsea Handler;3 weeks on the list,THE SILVER LINING;by Hollye Jacobs. Photographs by Elizabeth Messina;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;107 weeks on the list","AVATAR, THE LAST AIRBENDER: THE RIFT, PART 1;by Gene Luen Yang, Gurihiru and others;3 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;7 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;15 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;22 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE END OF DIETING;by Joel Fuhrman;,THINGS THAT MATTER;by Charles Krauthammer;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
7,THE INVENTION OF WINGS;by Sue Monk Kidd;11 weeks on the list,THE BOOTLEGGER;by Clive Cussler and Justin Scott;3 weeks on the list,MISTRESS;by James Patterson and David Ellis;2 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;145 weeks on the list,NOT COOL;by Greg Gutfeld;New this week,BRAIN ON FIRE;by Susannah Cahalan;29 weeks on the list,NOT COOL;by Greg Gutfeld;New this week,DARING GREATLY;by Brené Brown;37 weeks on the list,"A GAME OF THRONES, VOL. 3;by Daniel Abraham and Tommy Patterson;2 weeks on the list",SMILE;by Raina Telgemeier;97 weeks on the list,ALICE IN THE COUNTRY OF CLOVER: MARCH HARE;by QuinRose and Soyogo Iwaki;New this week,REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;15 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;88 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,OUTLIERS;by Malcolm Gladwell;,HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,PETE ROSE;by Kostya Kennedy;
8,ORPHAN TRAIN;by Christina Baker Kline;9 weeks on the list,WORDS OF RADIANCE;by Brandon Sanderson;3 weeks on the list,AFTERBURN / AFTERSHOCK;by Sylvia Day;2 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;26 weeks on the list,THE FUTURE OF THE MIND;by Michio Kaku;4 weeks on the list,QUIET;by Susan Cain;60 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;26 weeks on the list,A NEW EARTH;by Eckhart Tolle;New this week,"AVATAR, THE LAST AIRBENDER: THE SEARCH;by Gene Luen Yang and others;6 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;158 weeks on the list","ATTACK ON TITAN: JUNIOR HIGH, VOL. 1;by Hajime Isayama and Saki Nakagawa;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;133 weeks on the list,"BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;5 weeks on the list",THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,THE HARD THING ABOUT HARD THINGS;by Ben Horowitz;,SUPER SHRED;by Ian K. Smith;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,EVERY SHOT COUNTS;by Mark Broadie;
9,POWER PLAY;by Danielle Steel;2 weeks on the list,STONE COLD;by C. J. Box;2 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;3 weeks on the list,,,NOT COOL;by Greg Gutfeld;New this week,THE STORY OF THE JEWS;by Simon Schama;New this week,WILD;by Cheryl Strayed;52 weeks on the list,CALL THE MIDWIFE: FAREWELL TO THE EAST END;by  Jennifer Worth;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;46 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;117 weeks on the list,"ADVENTURE TIME, VOL. 3;by Kate Leth and Zachary Sterling;New this week","MARCH STORY, VOL. 5;by Kim Hyung-min and Yang kyung-il;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;93 weeks on the list,GIVER QUARTET;by Lois Lowry;32 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE PROMISE OF A PENCIL;by Adam Braun with Carlye Adler;,THE OH SHE GLOWS COOKBOOK;by Angela Liddon;,CALL TO ACTION;by Jimmy Carter;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,HIS OWNSELF;by Dan Jenkins;
10,RAISING STEAM;by Terry Pratchett;New this week,NIGHT BROKEN;by Patricia Briggs;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;51 weeks on the list,,,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;52 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;51 weeks on the list",LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;48 weeks on the list,FOUR BLOOD MOONS;by John Hagee;9 weeks on the list,"LOCKE & KEY, VOL. 6;by Joe Hill and Gabriel Rodriguez;7 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;28 weeks on the list,"BLUE EXORCIST, VOL. 11;by Kazue Kato;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;11 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;66 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,OVERWHELMED;by Brigid Schulte;,PRACTICAL PALEO;by Diane Sanfilippo;,MY PROMISED LAND;by Ari Shavit;,THE RISE OF SUPERMAN;by Steven Kotler;,TRAINING FOR THE NEW ALPINISM;by Steve House and Scott Johnson.;
11,SYCAMORE ROW;by John Grisham;22 weeks on the list,THE AUSCHWITZ ESCAPE;by Joel C. Rosenberg;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;51 weeks on the list,,,THE PROMISE OF A PENCIL;by Adam Braun with Carlye Adler;New this week,THINGS THAT MATTER;by Charles Krauthammer;22 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;36 weeks on the list,SHADOWS OF THE WORKHOUSE;by Jennifer Worth;7 weeks on the list,WHEAT BELLY;by William Davis;44 weeks on the list,,,,,,,,,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;,"UP, UP, AND AWAY;by Jonah Keri;"
12,BE CAREFUL WHAT YOU WISH FOR;by Jeffrey Archer;2 weeks on the list,WILLIAM SHAKESPEARE'S THE EMPIRE STRIKETH BACK;by Ian Doescher;New this week,DON'T GO;by Lisa Scottoline;3 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;50 weeks on the list,YOU MUST REMEMBER THIS;by Robert J. Wagner with Scott Eyman;2 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;38 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;11 weeks on the list,THE HARD THING ABOUT HARD THINGS;by Ben Horowitz;3 weeks on the list,,,,,,,,,EAT TO LIVE;by Joel Fuhrman;,,OPERATION PAPERCLIP;by Annie Jacobsen;,THE KID;by Ben Bradlee Jr.;
13,THE CAIRO AFFAIR;by Olen Steinhauer;New this week,THE CAIRO AFFAIR;by Olen Steinhauer;New this week,LIFE AFTER LIFE;by Kate Atkinson;11 weeks on the list,,,THE STORY OF THE JEWS;by Simon Schama;New this week,DUTY;by Robert M. Gates;10 weeks on the list,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;130 weeks on the list,I CAN SEE CLEARLY NOW;by Wayne W. Dyer;4 weeks on the list,,,,,,,,,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,BABE;by Robert W. Creamer;
