,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;6 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;New this week,JOYLAND;by Stephen King;3 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;7 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;7 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;35 weeks on the list,DAD IS FAT;by Jim Gaffigan;7 weeks on the list,THE 100;by Jorge Cruise;5 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;2 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;New this week","ONE PIECE, VOL. 67;by Eiichiro Oda;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;90 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;148 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;New this week,INFERNO;by Dan Brown;6 weeks on the list,WORLD WAR Z;by Max Brooks;52 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;15 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;15 weeks on the list,OUTLIERS;by Malcolm Gladwell;107 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;9 weeks on the list,EAT TO LIVE;by Joel Fuhrman;7 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;New this week,"THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;3 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,A BIG GUY TOOK MY BALL!;by Mo Willems;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;76 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;5 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;5 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;3 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;35 weeks on the list,DAD IS FAT;by Jim Gaffigan;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;317 weeks on the list,BOSSYPANTS;by Tina Fey;100 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;11 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;97 weeks on the list","YU-GI-OH! ZEXAL, VOL. 3;by Shin Yoshida and Naohito Miyoshi;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;10 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;93 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,DRIVE;by Daniel H. Pink;,KEEP IT PITHY;by Bill O'Reilly;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
4,THE HEIST;by Janet Evanovich and Lee Goldberg;New this week,BAD MONKEY;by Carl Hiaasen;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;12 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;7 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;120 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;15 weeks on the list,LIFE CODE;by Phil McGraw;11 weeks on the list,THE SILVER AGE OF DC COMICS;by Paul Levitz and others;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;37 weeks on the list","HAGANAI, I DON'T HAVE MANY FRIENDS, VOL. 3;by Yomi Hirasaka and Itachi;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;97 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;294 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,COLLAPSE OF DIGNITY;by Napoleon Gomez;,TIPPING POINT;by Malcolm Gladwell;,THE UNWINDING;by George Packer;,THE HAPPINESS PROJECT;by Gretchen Rubin;
5,ENTWINED WITH YOU;by Sylvia Day;3 weeks on the list,THE HEIST;by Janet Evanovich and Lee Goldberg;New this week,FLIGHT BEHAVIOR;by Barbara Kingsolver;3 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;9 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;9 weeks on the list,WILD;by Cheryl Strayed;13 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;7 weeks on the list",LOYALTY 3.0;by Rajat Paharia;New this week,SOLO: THE DELUXE EDITION;by various;2 weeks on the list,SMILE;by Raina Telgemeier;64 weeks on the list,"SKIP BEAT, VOL. 31;by Yoshiki Nakamura;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;63 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;232 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;,THE POWER OF HABIT;by Charles Duhigg;
6,WORLD WAR Z;by Max Brooks;5 weeks on the list,THE SILVER STAR;by Jeannette Walls;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;258 weeks on the list,,,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;5 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;3 weeks on the list,QUIET;by Susan Cain;21 weeks on the list,THE ASTRONAUT WIVES CLUB;by Lily Koppel;2 weeks on the list,WHEAT BELLY;by William Davis;11 weeks on the list,"ALL-NEW X-MEN, VOL. 2;by Brian Michael Bendis and others;2 weeks on the list","DEADPOOL, VOL. 1;by Brian Posehn and others;2 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;6 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;35 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;27 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,FINERMAN'S RULES;by Karen Finerman;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
7,BAD MONKEY;by Carl Hiaasen;2 weeks on the list,THE 9TH GIRL;by Tami Hoag;New this week,FIFTY SHADES OF GREY;by E. L. James;67 weeks on the list,,,THE UNWINDING;by George Packer;4 weeks on the list,DARWIN'S DOUBT;by Stephen C. Meyer;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;21 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;35 weeks on the list,WEALTHY BY DESIGN;by Kimberly Foss;New this week,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;13 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;27 weeks on the list","ATTACK ON TITAN, VOL. 5;by Hajime Isayama;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;13 weeks on the list,THE MAZE RUNNER;by James Dashner;51 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
8,SURRENDER YOUR LOVE;by J.C. Reed;3 weeks on the list,THE LAST ORIGINAL WIFE;by Dorothea Benton Frank;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;53 weeks on the list,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;33 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;31 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;12 weeks on the list",UNBROKEN;by Laura Hillenbrand;126 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;11 weeks on the list,"BATMAN AND ROBIN, VOL. 2;by Peter Tomasi and Patrick Gleason;2 weeks on the list",DRAMA;by Raina Telgemeier;36 weeks on the list,"SAILOR MOON, VOL. 11;by Naoko Takeuchi;5 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;13 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;35 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FOR WHAT IT'S WORTH;by Les Gold;,PREDICTABLY IRRATIONAL;by Dan Ariely;,BUNKER HILL;by Nathaniel Philbrick;,WHAT DO WOMEN WANT? Adventures in the Science of Female Desire;by Daniel Bergner;
9,CONQUER YOUR LOVE;by  J.C. Reed;2 weeks on the list,REVENGE WEARS PRADA;by Lauren Weisberger;3 weeks on the list,LIFE OF PI;by Yann Martel;38 weeks on the list,,,AMERICAN GUN;by Chris Kyle with William Doyle;3 weeks on the list,THE UNWINDING;by George Packer;5 weeks on the list,CONTROL;by Glenn Beck and others;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;63 weeks on the list,DARING GREATLY;by Brené Brown;11 weeks on the list,"THOR: GOD OF THUNDER, VOL. 1;by Jason Aaron and Esad Ribic;New this week","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;19 weeks on the list","ALICE IN THE COUNTRY OF CLOVER, ACE OF HEARTS;by QuinRose;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;7 weeks on the list,GIVER QUARTET;by Lois Lowry;13 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,YOUTILITY;by Jay Baer;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",COLLAPSE OF DIGNITY;by Napoleon Gomez;,SUBLIMINALLY EXPOSED;by Steven Dayan;
10,FOREVER TOO FAR;by Abbi Glines;2 weeks on the list,THE EYE OF MOLOCH;by Glenn Beck;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;12 weeks on the list",,,UNBROKEN;by Laura Hillenbrand;118 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;6 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;19 weeks on the list,THE UNWINDING;by George Packer;5 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;11 weeks on the list,"SUPERMAN: THE GOLDEN AGE OMNIBUS, VOL. 1;by Jerry Siegel and Joe Shuster;2 weeks on the list","LEGO NINJAGO #7, STONE COLD;by Greg Farshtey and Jolyton Yates;3 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;7 weeks on the list,"BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;New this week",CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,SMARTTRIBES;by Christine Comaford;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SIGNAL AND THE NOISE;by Nate Silver;
