,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;5 weeks on the list,INFERNO;by Dan Brown;5 weeks on the list,JOYLAND;by Stephen King;2 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;6 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;6 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;34 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;8 weeks on the list,THE 100;by Jorge Cruise;4 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;New this week","THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;2 weeks on the list","YU-GI-OH! ZEXAL, VOL. 3;by Shin Yoshida and Naohito Miyoshi;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;89 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;147 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,ENTWINED WITH YOU;by Sylvia Day;2 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;4 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;2 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;14 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;2 weeks on the list,WILD;by Cheryl Strayed;12 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;14 weeks on the list,EAT TO LIVE;by Joel Fuhrman;6 weeks on the list,"BATMAN AND ROBIN, VOL. 2;by Peter Tomasi and Patrick Gleason;New this week","ADVENTURE TIME, VOL. 1;by Ryan North and others;New this week","FAIRY TAIL, VOL. 26;by Hiro Mashima;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;9 weeks on the list",DORK DIARIES;by Rachel Renée Russell;75 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",BUNKER HILL;by Nathaniel Philbrick;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;4 weeks on the list,BAD MONKEY;by Carl Hiaasen;New this week,WORLD WAR Z;by Max Brooks;51 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;6 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;14 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;20 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;6 weeks on the list",VADER'S LITTLE PRINCESS;by Jeffrey Brown;8 weeks on the list,SOLO: THE DELUXE EDITION;by various;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;96 weeks on the list","ONE PIECE, VOL. 67;by Eiichiro Oda;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;4 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;92 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,OUTLIERS;by Malcolm Gladwell;,MY GREEK DRAMA;by Gianna Angelopoulos;,BRAIN ON FIRE;by Susannah Cahalan;
4,FOREVER TOO FAR;by Abbi Glines;New this week,THE SILVER STAR;by Jeannette Walls;New this week,BEAUTIFUL RUINS;by Jess Walter;11 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;8 weeks on the list,DAD IS FAT;by Jim Gaffigan;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;106 weeks on the list,THE UNWINDING;by George Packer;4 weeks on the list,FOR WHAT IT'S WORTH;by Les Gold;New this week,"ALL-NEW X-MEN, VOL. 2;by Brian Michael Bendis and others;New this week","CRISIS ON MULTIPLE EARTHS, VOL. 6;by Gerry Conway and others;New this week","DURARARA: SAIKA ARC, VOL. 2;by Ryohgo Narita and Akiyo Satorigi;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;231 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KEEP IT PITHY;by Bill O'Reilly;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
5,BAD MONKEY;by Carl Hiaasen;New this week,THE EYE OF MOLOCH;by Glenn Beck;New this week,FLIGHT BEHAVIOR;by Barbara Kingsolver;2 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;34 weeks on the list,KEEP IT PITHY;by Bill O'Reilly;6 weeks on the list,CONTROL;by Glenn Beck and others;7 weeks on the list,THE ASTRONAUT WIVES CLUB;by Lily Koppel;New this week,DARTH VADER AND SON;by Jeffrey Brown;4 weeks on the list,"SUPERMAN: THE GOLDEN AGE OMNIBUS, VOL. 1;by Jerry Siegel and Joe Shuster;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;36 weeks on the list","LOVELESS, VOL. 11;by Yun Kouga;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;34 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;293 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,GULP;by Mary Roach;
6,A GAME OF THRONES;by George R.R. Martin;38 weeks on the list,THE KING'S DECEPTION;by Steve Berry;New this week,A GAME OF THRONES;by George R.R. Martin;52 weeks on the list,,,AMERICAN GUN;by Chris Kyle with William Doyle;2 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;4 weeks on the list,QUIET;by Susan Cain;20 weeks on the list,BOSSYPANTS;by Tina Fey;99 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;10 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;New this week,SMILE;by Raina Telgemeier;63 weeks on the list,"ATTACK ON TITAN, VOL. 5;by Hajime Isayama;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;96 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;26 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNSTOPPABLES;by Bill Schley;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,WHOLE;by T. Colin Campbell with Howard Jacobson;
7,JOYLAND;by Stephen King;2 weeks on the list,THE LAST ORIGINAL WIFE;by Dorothea Benton Frank;New this week,FIFTY SHADES OF GREY;by E. L. James;66 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;5 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;5 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;272 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;34 weeks on the list,WHEAT BELLY;by William Davis;10 weeks on the list,THE SIMON AND KIRBY LIBRARY: SCIENCE FICTION;by Joe Simon and Jack Kirby;2 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;115 weeks on the list,"ALICE IN THE COUNTRY OF CLOVER, ACE OF HEARTS;by QuinRose;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;62 weeks on the list,THEODORE BOONE;by John Grisham;12 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY BELOVED WORLD;by Sonia Sotomayor;,THE HAPPINESS PROJECT;by Gretchen Rubin;
8,THE SILVER STAR;by Jeannette Walls;New this week,REVENGE WEARS PRADA;by Lauren Weisberger;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;257 weeks on the list,,,THE UNWINDING;by George Packer;3 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;11 weeks on the list",DAD IS FAT;by Jim Gaffigan;6 weeks on the list,LIFE CODE;by Phil McGraw;10 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;5 weeks on the list",DRAMA;by Raina Telgemeier;35 weeks on the list,"SKIP BEAT, VOL. 31;by Yoshiki Nakamura;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,HOW TO BABYSIT A GRANDPA;by Jean Reagan. Illustrated by Lee Wildish;New this week,THE MAZE RUNNER;by James Dashner;50 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,START;by Jon Acuff;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,WORLD WAR Z;by Max Brooks;4 weeks on the list,THE HIT;by David Baldacci;8 weeks on the list,LIFE OF PI;by Yann Martel;37 weeks on the list,,,KEEP IT PITHY;by Bill O'Reilly;5 weeks on the list,COLLAPSE OF DIGNITY;by Napoleon Gomez;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;18 weeks on the list,UNBROKEN;by Laura Hillenbrand;125 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;10 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;12 weeks on the list","DEADPOOL, VOL. 1;by Brian Posehn and others;New this week","BLOOD LAD, VOL. 3;by Yuuki Kodama;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;9 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;34 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DIRTY WARS;by Jeremy Scahill;,THE POWER OF HABIT;by Charles Duhigg;
10,CONQUER YOUR LOVE;by  J.C. Reed;New this week,ZERO HOUR;by Clive Cussler and Graham Brown;3 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;11 weeks on the list",,,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;4 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;11 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;119 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;5 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;10 weeks on the list,ABSOLUTE TOP 10;by Alan Moore and Gene Ha;2 weeks on the list,"BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;5 weeks on the list","SAILOR MOON, VOL. 11;by Naoko Takeuchi;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,BECAUSE I'M YOUR DAD;by Ahmet Zappa. Illustrated by Dan Santat;New this week,GIVER QUARTET;by Lois Lowry;12 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GIVE AND TAKE;by Adam Grant;,HOW TO RETIRE HAPPY;by Stan Hinden;,FROZEN IN TIME;by Mitchell Zuckoff;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
