,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE HELP;by Kathryn Stockett;42 weeks on the list,A RELIABLE WIFE;by Robert Goolrick;2 weeks on the list,,GAME CHANGE;by John Heilemann and Mark Halperin;New this week,THE BLIND SIDE;by Michael Lewis;16 weeks on the list,THE MAYO CLINIC DIET;by the Mayo Clinic staff;2 weeks on the list,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;3 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;14 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;47 weeks on the list,"THE YU-GI-OH! GX 4, VOL. 4;by Naoyuki Kageyama and Kazuki Takahashi;New this week",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;5 weeks on the list,THE BOOK THIEF;by Markus Zusak;123 weeks on the list,LEGO STAR WARS;by Simon Beecroft;14 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;132 weeks on the list
2,THE FIRST RULE;by Robert Crais;New this week,THE LOVELY BONES;by Alice Sebold;18 weeks on the list,,COMMITTED;by Elizabeth Gilbert;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;155 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;3 weeks on the list,WOMEN AND MONEY;by Suze Orman;2 weeks on the list,BATMAN: BATTLE FOR THE COWL;by Tony Daniel;8 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;15 weeks on the list,NARUTO 46;by Masashi Kishimoto;16 weeks on the list,CATCHING FIRE;by Suzanne Collins;20 weeks on the list,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER;by Christopher Pike;2 weeks on the list",WADDLE!;written and illustrated by Rufus Butler Seder;18 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;128 weeks on the list
3,THE LOST SYMBOL;by Dan Brown;18 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;30 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;16 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;154 weeks on the list","YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;35 weeks on the list",FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;3 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;18 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;2 weeks on the list","VAMPIRE KNIGHT, VOL. 8;by Matsuri Hino;11 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;71 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;52 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;44 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;53 weeks on the list
4,THE SWAN THIEVES;by Elizabeth Kostova;New this week,DEAR JOHN;by Nicholas Sparks;19 weeks on the list,,GOING ROGUE;by Sarah Palin;9 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;3 weeks on the list","THE FULL PLATE DIET;by Stuart A. Seale, Teresa Sherard and Diana Fleming;2 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;443 weeks on the list,WOLVERINE: OLD MAN LOGAN;by Mark Millar and Steve McNiven;8 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;13 weeks on the list","FULLMETAL ALCHEMIST, VOL. 22;by Hiromu Arakawa;New this week",FALLEN;by Lauren Kate;6 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;41 weeks on the list,"FAMILY HUDDLE;written by Peyton Manning, Eli Manning and Archie Manning. Illustrated by Jim Madsen.;2 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;73 weeks on the list
5,THE LAST SONG;by Nicholas Sparks;19 weeks on the list,TRUE COLORS;by Kristin Hannah;2 weeks on the list,,STONES INTO SCHOOLS;by Greg Mortenson;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;161 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;17 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;69 weeks on the list,THE STAND: CAPTAIN TRIPS;by Roberto Aguirre-Sacasa and Mike Perkins;New this week,"CHEW, VOL. 1;by John Layman and Rob Guillory;2 weeks on the list","MAXIMUM RIDE, VOL. 2;by James Patterson and NaRae Lee;12 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;7 weeks on the list,L.A. CANDY;by Lauren Conrad;2 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;11 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;215 weeks on the list
6,CROSS FIRE;by James Patterson;9 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;39 weeks on the list,,OUTLIERS;by Malcolm Gladwell;61 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;120 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;12 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;129 weeks on the list,GREEN LANTERN: AGENT ORANGE;by Geoff Johns and Philip Tan;5 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;3 weeks on the list,"ONE PIECE, VOL. 24;by Eiichiro Oda;New this week",SHIVER;by Maggie Stiefvater;25 weeks on the list,THIRST NO. 1;by Christopher Pike;24 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;104 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;35 weeks on the list
7,IMPACT;by Douglas Preston;2 weeks on the list,THE SHACK;by William P. Young;87 weeks on the list,,THE CHECKLIST MANIFESTO;by Atul Gawande;2 weeks on the list,TIPPING POINT;by Malcolm Gladwell;276 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;48 weeks on the list",THE COUPON MOM'S GUIDE TO CUTTING YOUR GROCERY BILLS IN HALF;by Stephanie Nelson;2 weeks on the list,PRIDE AND PREJUDICE;by Nancy Butler and Hugo Petrus;12 weeks on the list,"THE WALKING DEAD, VOL. 11;by Robert Kirkman and Charlie Adlard;2 weeks on the list","VAMPIRE KNIGHT, VOL. 1;by Matsuri Hino;New this week",THIRTEEN REASONS WHY;by Jay Asher;57 weeks on the list,DARK VISIONS;by L. J. Smith;19 weeks on the list,OTIS;written and illustrated by Loren Long;10 weeks on the list,THE IMMORTALS;by Alyson Noël;9 weeks on the list
8,TREASURE HUNT;by John Lescroart;New this week,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;37 weeks on the list,,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;13 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;21 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;28 weeks on the list,"START OVER, FINISH RICH;by David Bach;3 weeks on the list",THE STAND: AMERICAN NIGHTMARES;by Roberto Aguirre-Sacasa and Mike Perkins;2 weeks on the list,"THE UNWRITTEN, VOL. 1;by Mike Carey and Peter Gross;New this week","MAXIMUM RIDE, VOL. 1;by James Patterson and NaRae Lee;6 weeks on the list","HUSH, HUSH;by Becca Fitzpatrick;9 weeks on the list",NEED;by Carrie Jones;2 weeks on the list,"NUBS;by Brian Dennis, Mary Nethery and Kirby Larson;11 weeks on the list",VAMPIRE DIARIES;by L. J. Smith;38 weeks on the list
9,NOAH’S COMPASS;by Anne Tyler;2 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;49 weeks on the list,,DRIVE;by Daniel H. Pink;2 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;120 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;60 weeks on the list,SKINNY BITCH;by Kim Barnouin;128 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;45 weeks on the list,"BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 5;by various;10 weeks on the list","ONE PIECE, VOL. 25;by Eiichiro Oda;New this week",CAPTIVATE;by Carrie Jones;2 weeks on the list,GRACELING;by Kristin Cashore;16 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;18 weeks on the list",VAMPIRE ACADEMY;by Richelle Mead;22 weeks on the list
10,DEEPER THAN THE DEAD;by Tami Hoag;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;32 weeks on the list,,WHAT THE DOG SAW;by Malcolm Gladwell;13 weeks on the list,BLINK;by Malcolm Gladwell;118 weeks on the list,THE SPARK;by Chris Downie;New this week,THE 4 DAY DIET;by Ian K. Smith;2 weeks on the list,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?;by Neil Gaiman and others;20 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;42 weeks on the list,"BLEACH, VOL.  29;by Tite Kubo;7 weeks on the list",TRICKS;by Ellen Hopkins;18 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;4 weeks on the list,THE LITTLE PRINCE;by Antoine de Saint-Exupéry;5 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;31 weeks on the list
