,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Science,Sports and Fitness,Young Adult Paperback
1,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;New this week,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;New this week,THE GREAT ALONE;by Kristin Hannah;3 weeks on the list,BLOWOUT;by Rachel Maddow;2 weeks on the list,BLOWOUT;by Rachel Maddow;2 weeks on the list,ON TYRANNY;by Timothy Snyder;57 weeks on the list,MOVIES (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;New this week,A TALE OF MAGIC...;by Chris Colfer;2 weeks on the list,THIS IS BABY;by Jimmy Fallon. Illustrated by Miguel Ordóñez;New this week,HARRY POTTER;by J.K. Rowling;551 weeks on the list,WAYWARD SON;by Rainbow Rowell;3 weeks on the list,THE INSTITUTE;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARE TO LEAD;by Brené Brown;,GUTS;by Raina Telgemeier;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,,,SALT TO THE SEA;by Ruta Sepetys;
2,WHAT HAPPENS IN PARADISE;by Elin Hilderbrand;New this week,WHERE THE CRAWDADS SING;by Delia Owens;58 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;58 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;5 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;5 weeks on the list,SAPIENS;by Yuval Noah Harari;74 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;148 weeks on the list,LOOK BOTH WAYS;by Jason Reynolds;New this week,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;6 weeks on the list,DOG MAN;by Dav Pilkey;111 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE RECKONING;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,,,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
3,WHERE THE CRAWDADS SING;by Delia Owens;57 weeks on the list,WHAT HAPPENS IN PARADISE;by Elin Hilderbrand;New this week,REDEMPTION;by David Baldacci;New this week,WITCH HUNT;by Gregg Jarrett;New this week,WITCH HUNT;by Gregg Jarrett;New this week,BORN A CRIME;by Trevor Noah;35 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;3 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;27 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;289 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;16 weeks on the list,THE BEAUTIFUL;by Renée Ahdieh;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,CALL SIGN CHAOS;by Jim Mattis and Bing West;,ATOMIC HABITS;by James Clear;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,VINCE FLYNN: RED WAR;by Kyle Mills;,OUT OF MY MIND;by Sharon M. Draper;,,,LONG WAY DOWN;by Jason Reynolds;
4,CHILD'S PLAY;by Danielle Steel;New this week,NINTH HOUSE;by Leigh Bardugo;New this week,THE 18TH ABDUCTION;by James Patterson and Maxine Paetro;2 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;3 weeks on the list,THE UNITED STATES OF TRUMP;by Bill O'Reilly;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;51 weeks on the list,STILLNESS IS THE KEY;by Ryan Holiday;2 weeks on the list,WONDER;by R.J. Palacio;218 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;206 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;19 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;18 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,INSIDE OUT;by Demi Moore;,WHAT IT TAKES;by Stephen A. Schwarzman;,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;",SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;,RESTART;by Gordon Korman;,,,SCYTHE;by Neal Shusterman;
5,NINTH HOUSE;by Leigh Bardugo;New this week,THE INSTITUTE;by Stephen King;5 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;106 weeks on the list,EDUCATED;by Tara Westover;86 weeks on the list,THE BOOK OF GUTSY WOMEN;by Hillary Rodham Clinton and Chelsea Clinton;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;66 weeks on the list,SUPER ATTRACTOR;by Gabrielle Bernstein;3 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;26 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;32 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;22 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;2 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,PERMANENT RECORD;by Edward Snowden;,OUTLIERS;by Malcolm Gladwell;,DRAMA;by Raina Telgemeier;,JUROR #3;by James Patterson and Nancy Allen;,FRONT DESK;by Kelly Yang;,,,DEAR MARTIN;by Nic Stone;
6,THE INSTITUTE;by Stephen King;5 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;3 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;2 weeks on the list,TOUGH LOVE;by Susan Rice;New this week,TOUGH LOVE;by Susan Rice;New this week,JUST MERCY;by Bryan Stevenson;174 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;291 weeks on the list,THE WILD ROBOT;by Peter Brown;57 weeks on the list,HEY GRANDUDE!;by Paul McCartney. Illustrated by Kathryn Durst;6 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;192 weeks on the list,THE HATE U GIVE;by Angie Thomas;137 weeks on the list,VENDETTA IN DEATH;by J.D. Robb;,BECOMING;by Michelle Obama;,RANGE;by David Epstein;,PERSEPOLIS;by Marjane Satrapi;,TURNING POINT;by Danielle Steel;,WISH;by Barbara O'Connor;,,,TURTLES ALL THE WAY DOWN;by John Green;
7,THE GIVER OF STARS;by Jojo Moyes;New this week,THE DUTCH HOUSE;by Ann Patchett;3 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;21 weeks on the list,INSIDE OUT;by Demi Moore;3 weeks on the list,EDUCATED;by Tara Westover;86 weeks on the list,SECRET EMPIRES;by Peter Schweizer;New this week,SUPER HUMAN;by Dave Asprey;New this week,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;86 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;291 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;60 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;45 weeks on the list,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,SMILE;by Raina Telgemeier;,HOT SHOT;by Fern Michaels;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,,,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,BLOODY GENIUS;by John Sandford;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;5 weeks on the list,A SPARK OF LIGHT;by Jodi Picoult;3 weeks on the list,THE BOOK OF GUTSY WOMEN;by Hillary Rodham Clinton and Chelsea Clinton;2 weeks on the list,INSIDE OUT;by Demi Moore;3 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;2 weeks on the list,DARE TO LEAD;by Brené Brown;38 weeks on the list,REFUGEE;by Alan Gratz;76 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;15 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;552 weeks on the list,THE GRACE YEAR;by Kim Liggett;New this week,THE GOLDFINCH;by Donna Tartt;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PUMPKINHEADS;by Rainbow Rowell. Illustrated by Faith Erin Hicks;,CONNECTIONS IN DEATH;by J.D. Robb;,GHOST BOYS;by Jewell Parker Rhodes;,,,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
9,THE DUTCH HOUSE;by Ann Patchett;3 weeks on the list,CHILD'S PLAY;by Danielle Steel;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;23 weeks on the list,DEEP STATE;by James B. Stewart;New this week,DEEP STATE;by James B. Stewart;New this week,OUTLIERS;by Malcolm Gladwell;295 weeks on the list,YOU ARE A BADASS;by Jen Sincero;193 weeks on the list,MAX EINSTEIN: REBELS WITH A CAUSE;by James Patterson and Chris Grabenstein;5 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;164 weeks on the list,SCARY STORIES;by Alvin Schwartz. Illustrated by Stephen Gammell;6 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;84 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;,SAPIENS;by Yuval Noah Harari;,TOOLS AND WEAPONS;by Brad Smith and Carol Ann Browne;,BATMAN: DAMNED;by Brian Azzarello. Illustrated by Lee Bermejo;,THE GOLDFINCH;by Donna Tartt;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,,,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THE WATER DANCER;by Ta-Nehisi Coates;3 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;New this week,IT;by Stephen King;27 weeks on the list,ON TYRANNY;by Timothy Snyder;18 weeks on the list,LETTERS FROM AN ASTROPHYSICIST;by Neil deGrasse Tyson;New this week,THE ROAD TO UNFREEDOM;by Timothy Snyder;New this week,FAIR PLAY;by Eve Rodsky;2 weeks on the list,"BEVERLY, RIGHT HERE;by Kate DiCamillo;2 weeks on the list",P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;23 weeks on the list,THE BAD GUYS;by Aaron Blabey;51 weeks on the list,CURSED;by Thomas Wheeler. Illustrated by Frank Miller;New this week,THE SECRETS WE KEPT;by Lara Prescott;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",MIGHTY JACK AND ZITA THE SPACEGIRL;by Ben Hatke;,CRUCIBLE;by James Rollins;,I AM MALALA;by Malala Yousafzai with Patricia McCormick;,,,"EVERYTHING, EVERYTHING;by Nicola Yoon;"
