,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Food and Diet,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE LONG WAY HOME;by Louise Penny;New this week,THE LONG WAY HOME;by Louise Penny;New this week,GONE GIRL;by Gillian Flynn;19 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;168 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;15 weeks on the list,UNBROKEN;by Laura Hillenbrand;5 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;32 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;73 weeks on the list,SECONDS;by Bryan Lee O'Malley;7 weeks on the list,SISTERS;by Raina Telgemeier;2 weeks on the list,"ATTACK ON TITAN, VOL. 13;by Hajime Isayama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;62 weeks on the list,THE MAZE RUNNER;by James Dashner;99 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,OUTLIERS;by Malcolm Gladwell;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE GLASS CASTLE;by Jeannette Walls;,UNBROKEN;by Laura Hillenbrand;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,IN THE KINGDOM OF ICE;by Hampton Sides;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,THE HOMECOMING;by Robyn Carr;New this week,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;3 weeks on the list,SYCAMORE ROW;by John Grisham;2 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;15 weeks on the list,THE WAY FORWARD;by Paul Ryan;2 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;187 weeks on the list,100 DAYS OF REAL FOOD;by Lisa Leake;New this week,KILL MY MOTHER;by Jules Feiffer;2 weeks on the list,"AMULET, VOL. 6;by Kazu Kibuishi;2 weeks on the list","SWORD ART ONLINE: AINCRAD, VOL. 2;by Reki Kawahara;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;152 weeks on the list",DIVERGENT;by Veronica Roth;45 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,A FRIEND LIKE HENRY;by Nuala Gardner;,THE PATH BETWEEN THE SEAS;by David McCullough;,TAKING THE LEAD;by Derek Hough;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,DARING GREATLY;by Brené Brown;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICA;by Dinesh D'Souza;,THE POWER OF NOW;by Eckhart Tolle;,QUIET;by Susan Cain;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,PRIVATE DOWN UNDER;by James Patterson and Michael White;New this week,THE GOLDFINCH;by Donna Tartt;45 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;54 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;15 weeks on the list,AMERICA;by Dinesh D'Souza;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;169 weeks on the list,A FRIEND LIKE HENRY;by Nuala Gardner;New this week,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;16 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;17 weeks on the list,PERSEPOLIS;by Marjane Satrapi;36 weeks on the list,"MONSTER MUSUME, VOL. 4;by Okayado;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,QUEST;by Aaron Becker;New this week,I AM NUMBER FOUR;by Pittacus Lore;20 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NEVER TURN YOUR BACK ON AN ANGUS COW;by Jan Pol with David Fisher;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DEAR CARY;by Dyan Cannon;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,A SPY AMONG FRIENDS;by Ben Macintyre;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE HOT ZONE;by Richard Preston;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
4,GONE GIRL;by Gillian Flynn;92 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;319 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;35 weeks on the list,THE ORGANIZED MIND;by Daniel J. Levitin;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;56 weeks on the list,THE PATH BETWEEN THE SEAS;by David McCullough;4 weeks on the list,THE BEST YES;by Lysa TerKeurst;3 weeks on the list,THANOS: THE INFINITY REVELATION;by Jim Starlin;4 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;48 weeks on the list","HIGH SCHOOL DXD, VOL. 2;by Ichiei Ishibumi and Hiroji Mishima;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;155 weeks on the list,GIVER QUARTET;by Lois Lowry;54 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,WHEAT BELLY;by William Davis;,MY DRUNK KITCHEN;by Hannah Hart;,"I'VE NEVER BEEN TO VEGAS, BUT MY LUGGAGE HAS;by Mandy Hale;",HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,ONE NATION;by Ben Carson with Candy Carson;,JESUS > RELIGION;by Jefferson Bethke;,DAVID AND GOLIATH;by Malcolm Gladwell;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;,UGANDA BE KIDDING ME;by Chelsea Handler;
5,BIG LITTLE LIES;by Liane Moriarty;5 weeks on the list,THE BROKEN EYE;by Brent Weeks;New this week,FIFTY SHADES OF GREY;by E. L. James;122 weeks on the list,,,WILD;by Cheryl Strayed;76 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;4 weeks on the list,A LONG WAY GONE;by Ishmael Beah;89 weeks on the list,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;49 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;130 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;22 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;64 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;106 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;50 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FROM BAGHDAD TO AMERICA;by Jay Kopelman;,#GIRLBOSS;by Sophia Amoruso;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,MY DRUNK KITCHEN;by Hannah Hart;,BOSSYPANTS;by Tina Fey;,TATTOOS ON THE HEART;by Gregory Boyle;,HOW CHILDREN SUCCEED;by Paul Tough;,THE PATH BETWEEN THE SEAS;by David McCullough;,PROOF OF HEAVEN;by Eben Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEN HOGAN;by James Dodson;,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;
6,THE HOT ZONE;by Jayne Castle;New this week,ADULTERY;by Paulo Coelho;2 weeks on the list,PRIVATE DOWN UNDER;by James Patterson and Michael White;New this week,,,IN THE KINGDOM OF ICE;by Hampton Sides;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;184 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;198 weeks on the list,JESUS > RELIGION;by Jefferson Bethke;2 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;26 weeks on the list,"SCOTT PILGRIM, VOL.5;by Bryan Lee O'Malley;3 weeks on the list",FUN HOME;by Alison Bechdel;23 weeks on the list,"MAXIMUM RIDE, VOL. 8;by James Patterson and NaRae Lee;New this week",WONDER;by R.J. Palacio;295 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;37 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;342 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,100 DAYS OF REAL FOOD;by Lisa Leake;,HYPERBOLE AND A HALF;by Allie Brosh;,THE JOURNAL OF BEST PRACTICES;by David Finch;,ENRIQUE'S JOURNEY;by Sonia Nazario;,THE FIRST FAMILY DETAIL;by Ronald Kessler;,THE UNTETHERED SOUL;by Michael A. Singer;,THE POWER OF HABIT;by Charles Duhigg;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,A WALK IN THE WOODS;by Bill Bryson;
7,OUTLANDER;by Diana Gabaldon;5 weeks on the list,MEAN STREAK;by Sandra Brown;2 weeks on the list,DARK PLACES;by Gillian Flynn;57 weeks on the list,,,A FRIEND LIKE HENRY;by Nuala Gardner;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;36 weeks on the list,WILD;by Cheryl Strayed;75 weeks on the list,WAKING UP IN HEAVEN;by Crystal McVea;2 weeks on the list,CLEAN EATING MADE SIMPLE;by the staff of Rockridge Press;New this week,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;11 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;36 weeks on the list,"NO. 6, VOL. 8;by Atsuko Asano;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;25 weeks on the list",WARRIORS;by Erin Hunter;118 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,HAATCHI AND LITTLE B;by Wendy Holden;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,TIBETAN PEACH PIE;by Tom Robbins;,THE DOCTOR'S DIET;by Travis Stork;,DIARY OF A MAD DIVA;by Joan Rivers;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,HARD CHOICES;by Hillary Rodham Clinton;,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,COCKPIT CONFIDENTIAL;by Patrick Smith;
8,MEAN STREAK;by Sandra Brown;2 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;17 weeks on the list,OUTLANDER;by Diana Gabaldon;4 weeks on the list,,,OUTLIERS;by Malcolm Gladwell;45 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;21 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;176 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;57 weeks on the list,FERMENTATION FOR BEGINNERS;by the staff of Drakes Press;New this week,"THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;5 weeks on the list","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;23 weeks on the list","SAY I LOVE YOU, VOL. 3;by Kanae Hazuki;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND THE NEW GUY;by Kimberly Dean and James Dean;4 weeks on the list,I SURVIVED;by Lauren Tarshis;2 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,THE GARNER FILES;by James Garner and Jon Winokur;,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE SWEET POTATO QUEENS' BOOK OF LOVE;by Jill Conner Browne;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BLOOD FEUD;by Edward Klein;,WAKING UP IN HEAVEN;by Crystal McVea;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WHEN THE GAME STANDS TALL;by Neil Hayes;,NYC BASIC TIPS AND ETIQUETTE;by Nathan W. Pyle;
9,SYCAMORE ROW;by John Grisham;25 weeks on the list,WE ARE NOT OURSELVES;by Matthew Thomas;2 weeks on the list,ME BEFORE YOU;by Jojo Moyes;57 weeks on the list,,,THE PATH BETWEEN THE SEAS;by David McCullough;4 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;12 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;34 weeks on the list,WILD;by Cheryl Strayed;110 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;21 weeks on the list,HOW TO BE HAPPY;by Eleanor Davis;4 weeks on the list,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;4 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;10 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;22 weeks on the list,EVER AFTER HIGH;by Shannon Hale;New this week,LEGENDBORN;by Tracy Deonn;9 weeks on the list,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;,BUSINESS ADVENTURES;by John Brooks;,I DIDN'T COME HERE TO MAKE FRIENDS;by Courtney Robertson with Deb Baer;,PRACTICAL PALEO;by Diane Sanfilippo;,HOW TO SURVIVE A SHARKNADO;by Andrew Shaffer;,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;",CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,ABSOLUTE MONARCHS;by John Julius Norwich;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,LUCKIEST MAN;by Jonathan Eig;,THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
10,THE GOLDFINCH;by Donna Tartt;45 weeks on the list,THE 6TH EXTINCTION;by James Rollins;3 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;26 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;131 weeks on the list,EXCELLENT SHEEP;by William Deresiewicz;2 weeks on the list,QUIET;by Susan Cain;83 weeks on the list,HOW WE LIVED THEN;by Norman Longmate;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;69 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;8 weeks on the list",SMILE;by Raina Telgemeier;116 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;37 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LADYBUG GIRL AND THE DRESS-UP DILEMMA;by Jacky Davis. Illustrated by David Soman;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;155 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,JUST KIDS;by Patti Smith;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,UGANDA BE KIDDING ME;by Chelsea Handler;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,THE CONSCIOUS PARENT;by Shefali Tsabary;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,A YEAR OF BIBLICAL WOMANHOOD;by Rachel Held Evans;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,DEVIL AT MY HEELS;by Louis Zamperini and David Rensin;,THE EMERALD MILE;by Kevin Fedarko;
11,THE BROKEN EYE;by Brent Weeks;New this week,THE BOOK OF LIFE;by Deborah Harkness;7 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;,,,QUIET;by Susan Cain;36 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;72 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;,IN THE KINGDOM OF ICE;by Hampton Sides;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,,,,,,,,SGT. RECKLESS: AMERICA'S WAR HORSE;by Robin Hutton;,,PADDLE YOUR OWN CANOE;by Nick Offerman;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,DIRTY DADDY;by Bob Saget;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,,THE SPIRIT CATCHES YOU AND YOU FALL DOWN;by Anne Fadiman;,THINKING IN NUMBERS;by Daniel Tammet;,BORN TO RUN;by Christopher McDougall;,PREPARE FOR ANYTHING (Outdoor Life);by Tim MacWelch;
