,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,BLUE MOON;by Lee Child;New this week,BLUE MOON;by Lee Child;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;61 weeks on the list,THE BEAUTIFUL ONES;by Prince. Edited by Dan Piepenbring;New this week,THE BEAUTIFUL ONES;by Prince. Edited by Dan Piepenbring;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;54 weeks on the list,THE PIONEER WOMAN COOKS: THE NEW FRONTIER;by Ree Drummond;2 weeks on the list,WARRIORS: THE BROKEN CODE: THE SILENT THAW;by Erin Hunter;New this week,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;3 weeks on the list,DOG MAN;by Dav Pilkey;114 weeks on the list,THE HATE U GIVE;by Angie Thomas;140 weeks on the list,THE GUARDIANS;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,STILLNESS IS THE KEY;by Ryan Holiday;,GUTS;by Raina Telgemeier;,HOLY GHOST;by John Sandford;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LONG WAY DOWN;by Jason Reynolds;
2,THE GUARDIANS;by John Grisham;3 weeks on the list,THE GUARDIANS;by John Grisham;3 weeks on the list,THE GREAT ALONE;by Kristin Hannah;6 weeks on the list,ME;by Elton John;3 weeks on the list,ME;by Elton John;3 weeks on the list,SAPIENS;by Yuval Noah Harari;77 weeks on the list,HALF BAKED HARVEST: SUPER SIMPLE;by Tieghan Gerard;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;30 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;3 weeks on the list",HARRY POTTER;by J.K. Rowling;554 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;5 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLOWOUT;by Rachel Maddow;,TRAILBLAZER;by Marc Benioff and Monica Langley;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,TARGET: ALEX CROSS;by James Patterson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,THE NIGHT FIRE;by Michael Connelly;2 weeks on the list,THE NIGHT FIRE;by Michael Connelly;2 weeks on the list,EVERY BREATH;by Nicholas Sparks;3 weeks on the list,BLOWOUT;by Rachel Maddow;5 weeks on the list,BLOWOUT;by Rachel Maddow;5 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;69 weeks on the list,I REALLY NEEDED THIS TODAY;by Hoda Kotb with Jane Lorenzini;3 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;5 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;298 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;48 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,CATCH AND KILL;by Ronan Farrow;,THE RIDE OF A LIFETIME;by Robert Iger;,"MY HERO ACADEMIA, VOL. 21;by Kohei Horikoshi;",DOCTOR SLEEP;by Stephen King;,RESTART;by Gordon Korman;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
4,WHERE THE CRAWDADS SING;by Delia Owens;60 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;61 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;24 weeks on the list,CATCH AND KILL;by Ronan Farrow;3 weeks on the list,DUMPTY;by John Lithgow;2 weeks on the list,JUST MERCY;by Bryan Stevenson;177 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;151 weeks on the list,WONDER;by R.J. Palacio;221 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;35 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;63 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;21 weeks on the list,THE NIGHT FIRE;by Michael Connelly;,INSIDE OUT;by Demi Moore;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,BEAUCHAMP HALL;by Danielle Steel;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,LOOKING FOR ALASKA;by John Green;
5,THE GIVER OF STARS;by Jojo Moyes;3 weeks on the list,FIND ME;by André Aciman;New this week,THE OVERSTORY;by Richard Powers;30 weeks on the list,THE PLOT AGAINST THE PRESIDENT;by Lee Smith;New this week,CATCH AND KILL;by Ronan Farrow;3 weeks on the list,BORN A CRIME;by Trevor Noah;38 weeks on the list,WHAT YOU DO IS WHO YOU ARE;by Ben Horowitz;New this week,LOOK BOTH WAYS;by Jason Reynolds;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;209 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;22 weeks on the list,WAYWARD SON;by Rainbow Rowell;6 weeks on the list,THE INSTITUTE;by Stephen King;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,DARK SACRED NIGHT;by Michael Connelly;,FRONT DESK;by Kelly Yang;,THE SUN IS ALSO A STAR;by Nicola Yoon;
6,THE DUTCH HOUSE;by Ann Patchett;6 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;6 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;5 weeks on the list,EDUCATED;by Tara Westover;89 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;8 weeks on the list,I HEARD YOU PAINT HOUSES;by Charles Brandt;New this week,KEEP IT MOVING;by Twyla Tharp;New this week,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;29 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;293 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;25 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;5 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,ME;by Elton John;,ATOMIC HABITS;by James Clear;,SMILE;by Raina Telgemeier;,YEAR ONE;by Nora Roberts;,OUT OF MY MIND;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
7,FIND ME;by André Aciman;New this week,THE GIVER OF STARS;by Jojo Moyes;4 weeks on the list,DOCTOR SLEEP;by Stephen King;9 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;8 weeks on the list,THE PLOT AGAINST THE PRESIDENT;by Lee Smith;New this week,THE LIBRARY BOOK;by Susan Orlean;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;294 weeks on the list,ALLIES;by Alan Gratz;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;292 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;19 weeks on the list,THE BEAUTIFUL;by Renée Ahdieh;4 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,PERMANENT RECORD;by Edward Snowden;,FAIR PLAY;by Eve Rodsky;,WHITE BIRD;by R.J. Palacio;,THE RECKONING;by John Grisham;,CITY OF GHOSTS;by Victoria Schwab;,TURTLES ALL THE WAY DOWN;by John Green;
8,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;4 weeks on the list,THE INSTITUTE;by Stephen King;8 weeks on the list,REDEMPTION;by David Baldacci;4 weeks on the list,DUMPTY;by John Lithgow;2 weeks on the list,THREE DAYS AT THE BRINK;by Bret Baier with Catherine Whitney;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;298 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;5 weeks on the list,"BEVERLY, RIGHT HERE;by Kate DiCamillo;4 weeks on the list",THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;555 weeks on the list,FRANKLY IN LOVE;by David Yoon;5 weeks on the list,BLUE MOON;by Lee Child;,BECOMING;by Michelle Obama;,WHAT IT TAKES;by Stephen A. Schwarzman;,OPEN BORDERS;by Bryan Caplan. Illustrated by Zach Weinersmith;,KISSES IN THE SNOW;by Debbie Macomber;,MINECRAFT: THE ISLAND;by Max Brooks;,THE SIMILARS;by Rebecca Hanover;
9,THE DESERTER;by Nelson DeMille and Alex DeMille;2 weeks on the list,THE LOST CAUSES OF BLEAK CREEK;by Rhett McLaughlin and Link Neal with Lance Rubin;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;26 weeks on the list,THREE DAYS AT THE BRINK;by Bret Baier with Catherine Whitney;2 weeks on the list,EDUCATED;by Tara Westover;89 weeks on the list,CALYPSO;by David Sedaris;22 weeks on the list,NOTHING FANCY;by Alison Roman;2 weeks on the list,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;3 weeks on the list,HOW TO CATCH A TURKEY;by Adam Wallace. Illustrated by Andy Elkerton;4 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;195 weeks on the list,THE POET X;by Elizabeth Acevedo;22 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,DEAR GIRLS;by Ali Wong;,SHUT UP AND LISTEN!;by Tilman Fertitta;,SUNNY ROLLS THE DICE;by Jennifer L. Holm. Illustrated by Matthew Holm;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,SALT TO THE SEA;by Ruta Sepetys;
10,THE INSTITUTE;by Stephen King;8 weeks on the list,THE 19TH CHRISTMAS;by James Patterson and Maxine Paetro;4 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;109 weeks on the list,THE BODY;by Bill Bryson;3 weeks on the list,PERMANENT RECORD;by Edward Snowden;5 weeks on the list,ON TYRANNY;by Timothy Snyder;60 weeks on the list,YOU ARE A BADASS;by Jen Sincero;195 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;89 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;33 weeks on the list,THE BAD GUYS;by Aaron Blabey;53 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;87 weeks on the list,BLOODY GENIUS;by John Sandford;,OVER THE TOP;by Jonathan Van Ness;,OUTLIERS;by Malcolm Gladwell;,GHOSTS;by Raina Telgemeier;,ALASKAN HOLIDAY;by Debbie Macomber;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
