,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,INTO THE WATER;by Paula Hawkins;2 weeks on the list,INTO THE WATER;by Paula Hawkins;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;14 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;2 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;3 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;41 weeks on the list,MAKE YOUR BED;by William H. McRaven;6 weeks on the list,THE DARK PROPHECY;by Rick Riordan;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;85 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;426 weeks on the list,THE HATE U GIVE;by Angie Thomas;11 weeks on the list,HOW TO BE A BAWSE;by Lilly Singh;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE CUBS WAY;by Tom Verducci;
2,16TH SEDUCTION;by James Patterson and Maxine Paetro;2 weeks on the list,16TH SEDUCTION;by James Patterson and Maxine Paetro;2 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;5 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;3 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;23 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;22 weeks on the list,WONDER;by R.J. Palacio;92 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;2 weeks on the list,HARRY POTTER;by J.K. Rowling;425 weeks on the list,GIRLING UP;by Mayim Bialik;New this week,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
3,THE HANDMAID'S TALE;by Margaret Atwood;8 weeks on the list,AGAINST ALL ODDS;by Danielle Steel;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;57 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;4 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;4 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;192 weeks on the list,YOU ARE A BADASS;by Jen Sincero;70 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;20 weeks on the list,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;2 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;2 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;47 weeks on the list",THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;
4,THE FIX;by David Baldacci;4 weeks on the list,THE FIX;by David Baldacci;4 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;11 weeks on the list,DEMOCRACY;by Condoleezza Rice;New this week,DEMOCRACY;by Condoleezza Rice;New this week,ON TYRANNY;by Timothy Snyder;11 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;200 weeks on the list,DOG MAN;by Dav Pilkey;37 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;22 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;66 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;5 weeks on the list,THE TRUTH ABOUT YOUR FUTURE;by Ric Edelman;,SAPIENS;by Yuval Noah Harari;,RETURN OF THE KING;by Brian Windhorst and Dave McMenamin;
5,NIGHT SCHOOL;by Lee Child;8 weeks on the list,GOLDEN PREY;by John Sandford;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;4 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;335 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;126 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;19 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;169 weeks on the list,SUMMONER TRILOGY;by Taran Matharu;2 weeks on the list,STAR WARS: REBEL RISING;by Beth Revis;2 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,HEAD STRONG;by Dave Asprey;,SHOE DOG;by Phil Knight;
6,GOLDEN PREY;by John Sandford;3 weeks on the list,THE THIRST;by Jo Nesbo;New this week,A MAN CALLED OVE;by Fredrik Backman;72 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;42 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;42 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;131 weeks on the list",THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;83 weeks on the list,CAMP HALF-BLOOD CONFIDENTIAL;by Rick Riordan;2 weeks on the list,HOW TO BABYSIT A GRANDMA;by Jean Reagan. Illustrated by Lee Wildish;10 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;86 weeks on the list,CARVE THE MARK;by Veronica Roth;17 weeks on the list,AN AMERICAN SICKNESS;by Elisabeth Rosenthal;,HOMO DEUS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,THE THIRST;by Jo Nesbo;New this week,SINCE WE FELL;by Dennis Lehane;New this week,THE NIGHTINGALE;by Kristin Hannah;3 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;14 weeks on the list,THE AMERICAN SPIRIT;by David McCullough;4 weeks on the list,ORIGINALS;by Adam Grant;11 weeks on the list,PRESENT OVER PERFECT;by Shauna Niequist;7 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;32 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;21 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;2 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;50 weeks on the list,WEALTH CAN'T WAIT;by David Osborn and Paul Morris;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CRAZY IS MY SUPERPOWER;by A. J. Mendez Brooks;
8,AGAINST ALL ODDS;by Danielle Steel;2 weeks on the list,MEN WITHOUT WOMEN;by Haruki Murakami;New this week,COMMONWEALTH;by Ann Patchett;2 weeks on the list,JACKIE'S GIRL;by Kathy McKeon;New this week,THIS FIGHT IS OUR FIGHT;by Elizabeth Warren;4 weeks on the list,THE LOST CITY OF Z;by David Grann;24 weeks on the list,WOMEN WHO WORK;by Ivanka Trump;2 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;38 weeks on the list,PETE THE CAT AND THE COOL CAT BOOGIE;by James Dean and Kimberly Dean;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;428 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;6 weeks on the list,THE THIRD WAVE;by Steve Case;,THE UNDOING PROJECT;by Michael Lewis;,THE PHENOMENON;by Rick Ankiel and Tim Brown;
9,LILAC GIRLS;by Martha Hall Kelly;10 weeks on the list,THE BLACK BOOK;by James Patterson and David Ellis;7 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;28 weeks on the list,THE OPERATOR;by Robert O'Neill;3 weeks on the list,JACKIE'S GIRL;by Kathy McKeon;New this week,THE GENE;by Siddhartha Mukherjee;2 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;2 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;15 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;203 weeks on the list,DORK DIARIES;by Rachel Renée Russell;207 weeks on the list,CARAVAL;by Stephanie Garber;15 weeks on the list,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,UNSCRIPTED;by Ernie Johnson Jr;
10,THE WOMAN IN CABIN 10;by Ruth Ware;16 weeks on the list,A DOG'S WAY HOME;by W. Bruce Cameron;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;36 weeks on the list,THE AMERICAN SPIRIT;by David McCullough;4 weeks on the list,TEAMMATE;by David Ross with Don Yaeger;New this week,EVICTED;by Matthew Desmond;6 weeks on the list,BLAST THE SUGAR OUT!;by Ian K. Smith;3 weeks on the list,WOLF HOLLOW;by Lauren Wolk;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;131 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;47 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;27 weeks on the list,ORIGINALS;by Adam Grant;,THE GENIUS OF BIRDS;by Jennifer Ackerman;,42 FAITH;by Ed Henry;
