,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;11 weeks on the list,THE GOLDFINCH;by Donna Tartt;11 weeks on the list,DEAR LIFE;by Alice Munro;13 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;7 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;11 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;90 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;37 weeks on the list,SUPER SHRED;by Ian K. Smith;New this week,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;9 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;116 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;4 weeks on the list,DIVERGENT;by Veronica Roth;11 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE GOLDFINCH;by Donna Tartt;11 weeks on the list,SYCAMORE ROW;by John Grisham;11 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;95 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;15 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;14 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;4 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;15 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;5 weeks on the list","BATMAN INCORPORATED, VOL. 2;by Grant Morrison and Chris Burnham;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;50 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;30 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;28 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;176 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,QUIET;by Susan Cain;
3,THE HUSBAND'S SECRET;by Liane Moriarty;20 weeks on the list,HAZARDOUS DUTY;by W. E. B. Griffin and William E. Butterworth IV;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;40 weeks on the list",,,THINGS THAT MATTER;by Charles Krauthammer;11 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;15 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;63 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;10 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;15 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;11 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;6 weeks on the list","MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;8 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;118 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;121 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,TAKEDOWN TWENTY;by Janet Evanovich;7 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;8 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;20 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;14 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;9 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;25 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;13 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;100 weeks on the list","FABLES, VOL. 19;by Bill Willingham, Mark Buckingham and others;2 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;19 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;123 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;259 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE REASON I JUMP;by Naoki Higashida;
5,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;5 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;5 weeks on the list,DARK WITCH;by Nora Roberts;10 weeks on the list,,,THE WOLF OF WALL STREET;by Jordan Belfort;2 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;13 weeks on the list,OUTLIERS;by Malcolm Gladwell;135 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;32 weeks on the list,FINANCIALLY FEARLESS;by Alexa Von Tobel;New this week,"DETECTIVE COMICS, VOL. 3;by John Layman, Jason Fabok and Andy Clarke;New this week","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;46 weeks on the list","NARUTO, VOL. 63;by Masashi Kishimoto;9 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;35 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;55 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,"JAB, JAB, JAB, RIGHT HOOK;by Gary Vaynerchuk;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
6,BIG SKY SECRETS;by Linda Lael Miller;New this week,DOCTOR SLEEP;by Stephen King;15 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;40 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;9 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;164 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;119 weeks on the list,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;14 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;3 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;11 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;17 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,JOURNEY;by Aaron Becker;8 weeks on the list,LEGEND;by Marie Lu;7 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,HAZARDOUS DUTY;by W. E. B. Griffin and William E. Butterworth IV;New this week,CROSS MY HEART;by James Patterson;6 weeks on the list,THE STORYTELLER;by Jodi Picoult;9 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;98 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;12 weeks on the list,QUIET;by Susan Cain;49 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;11 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;10 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;110 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and others;5 weeks on the list","ATTACK ON TITAN, VOL. 9;by Hajime Isayama;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;322 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,TWELVE YEARS A SLAVE;by Solomon Northup;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
8,THE GODS OF GUILT;by Michael Connelly;5 weeks on the list,THE GODS OF GUILT;by Michael Connelly;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;285 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;13 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;41 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;53 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;14 weeks on the list,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;New this week,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;12 weeks on the list,SMILE;by Raina Telgemeier;87 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;37 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,MR. WUFFLES!;by David Wiesner;4 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;17 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,CROSS MY HEART;by James Patterson;6 weeks on the list,KING AND MAXWELL;by David Baldacci;7 weeks on the list,12TH OF NEVER;by James Patterson and Maxine Paetro;2 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;20 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;40 weeks on the list",SERIOUSLY... I'M KIDDING;by Ellen DeGeneres;19 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;39 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;38 weeks on the list,DRAMA;by Raina Telgemeier;52 weeks on the list,"SAILOR MOON SHORT STORIES, VOL. 2;by Naoko Takeuchi;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;54 weeks on the list,THE MAZE RUNNER;by James Dashner;65 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STEVE JOBS;by Walter Isaacson;,THE PIONEER WOMAN COOKS;by Ree Drummond;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE SPORTS GENE;by David Epstein;
10,GONE GIRL;by Gillian Flynn;67 weeks on the list,TAKEDOWN TWENTY;by Janet Evanovich;7 weeks on the list,FIFTY SHADES DARKER;by E. L. James;88 weeks on the list,,,THE BULLY PULPIT;by Doris Kearns Goodwin;9 weeks on the list,LET ME OFF AT THE TOP!;by Ron Burgundy;7 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;5 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;38 weeks on the list",YOUR PERSONAL PALEO CODE;by Chris Kresser;New this week,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;5 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;20 weeks on the list,"SOUL EATER, VOL. 3;by Atsushi Ohkubo;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,FRIENDS;by Eric Carle;2 weeks on the list,HARRY POTTER;by J.K. Rowling;303 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,LONG WALK TO FREEDOM;by Nelson Mandela;,THE SIGNAL AND THE NOISE;by Nate Silver;
