,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LUCKY ONE;by Nicholas Sparks;2 weeks on the list,THE SHACK;by William P. Young;21 weeks on the list,,THE SNOWBALL;by Alice Schroeder;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;89 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;27 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;3 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;57 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;62 weeks on the list
2,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;18 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;17 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;5 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;90 weeks on the list",WHAT IN THE WORLD IS GOING ON?;by David Jeremiah;New this week,SKINNY BITCH;by Kim Barnouin;66 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;78 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;37 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;48 weeks on the list,INHERITANCE;by Christopher Paolini;4 weeks on the list
3,THE PIRATE KING;by R. A. Salvatore;New this week,WORLD WITHOUT END;by Ken Follett;New this week,,DEWEY;by Vicki Myron with Bret Witter;4 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;42 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;382 weeks on the list,THE MAZE OF BONES;by Rick Riordan;5 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;10 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;9 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;7 weeks on the list
4,A MOST WANTED MAN;by John le Carré;New this week,THE BLACK DAGGER BROTHERHOOD;by J. R. Ward;New this week,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;3 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;117 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;4 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;New this week,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;39 weeks on the list,SLAM;by Nick Hornby;New this week,WE THE PEOPLE;by Lynne Cheney. Illustrated by Greg Harlin;4 weeks on the list,INKHEART;by Cornelia Funke;3 weeks on the list
5,ONE FIFTH AVENUE;by Candace Bushnell;3 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;6 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;2 weeks on the list,A LONG WAY GONE;by Ishmael Beah;10 weeks on the list,THE SECRET;by Rhonda Byrne;92 weeks on the list,A NEW EARTH;by Eckhart Tolle;37 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;New this week,KNUCKLEHEAD;by Jon Scieszka;New this week,TEA FOR RUBY;by Sarah Ferguson. Illustrated by Robin Preiss Glasser;3 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;20 weeks on the list
6,HEAT LIGHTNING;by John Sandford;3 weeks on the list,NIGHTS IN RODANTHE;by Nicholas Sparks;10 weeks on the list,,KILL BIN LADEN;by Dalton Fury;New this week,THE DUCHESS;by Amanda Foreman;7 weeks on the list,WHO;by Geoff Smart and Randy Street;New this week,CRACK THE FAT-LOSS CODE;by Wendy Chant;New this week,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;New this week,THE ALCHEMYST;by Michael Scott;7 weeks on the list,THE 7 HABITS OF HAPPY KIDS;by Sean Covey. Illustrated by Stacy Curtis;3 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;196 weeks on the list
7,THE OTHER QUEEN;by Philippa Gregory;4 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;58 weeks on the list,,THE WORDY SHIPMATES;by Sarah Vowell;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;103 weeks on the list,BREAKTHROUGH;by Suzanne Somers;5 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;52 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;5 weeks on the list,NICK AND NORAH’S INFINITE PLAYLIST;by Rachel Cohn and David Levithan;4 weeks on the list,ENIGMA;written and illustrated by Graeme Base;2 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;29 weeks on the list
8,GRACE;by Richard Paul Evans;New this week,THE ALCHEMIST;by Paulo Coelho;57 weeks on the list,,"TED, WHITE, AND BLUE;by Ted Nugent;New this week",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;54 weeks on the list,A MEMBER OF THE FAMILY;by Cesar Millan with Melissa Jo Peltier;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;68 weeks on the list,NATION;by Terry Pratchett;2 weeks on the list,JUST LISTEN;by Sarah Dessen;19 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;7 weeks on the list,JUNIE B. JONES;by Barbara Park;178 weeks on the list
9,THE HOST;by Stephenie Meyer;23 weeks on the list,THE CHOICE;by Nicholas Sparks;8 weeks on the list,,THE WAR WITHIN;by Bob Woodward;5 weeks on the list,MUSICOPHILIA;by Oliver Sacks;2 weeks on the list,BEFORE YOU DO;by T. D. Jakes;4 weeks on the list,HUNGRY GIRL;by Lisa Lillien;21 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;47 weeks on the list,THE LUXE;by Anna Godbersen;2 weeks on the list,HIP HOP SPEAKS TO CHILDREN;edited by Nikki Giovanni. Various illustrators;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;76 weeks on the list
10,THE GIVEN DAY;by Dennis Lehane;3 weeks on the list,THE ALMOST MOON;by Alice Sebold;5 weeks on the list,,THE LIMITS OF POWER;by Andrew Bacevich;9 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;5 weeks on the list,GREEN GOES WITH EVERYTHING;by Sloan Barnett;3 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;36 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;80 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;10 weeks on the list,TOO MANY TOYS;written and illustrated by David Shannon;4 weeks on the list,THE SPIDERWICK CHRONICLES;by Tony DiTerlizzi and Holly Black;103 weeks on the list
11,TSAR;by Ted Bell;3 weeks on the list,BAREFOOT;by Elin Hilderbrand;18 weeks on the list,,PIECES OF MY HEART;by Robert J. Wagner and Scott Eyman;3 weeks on the list,THE SHOCK DOCTRINE;by Naomi Klein;9 weeks on the list,A SENSE OF URGENCY;by John P. Kotter;,THE SPEED OF TRUST;by Stephen M. R. Covey;,,,,
12,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;4 weeks on the list,LOVING FRANK;by Nancy Horan;26 weeks on the list,,THE GREEN-COLLAR ECONOMY;by Van Jones;New this week,SARAH;by Kaylene Johnson;6 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE LUCKY GUIDE TO MASTERING ANY STYLE;by Kim France and Andrea Linett;,,,,
13,A CEDAR COVE CHRISTMAS;by Debbie Macomber;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;58 weeks on the list,,TRIED BY WAR;by James M. McPherson;New this week,THE NINE;by Jeffrey Toobin;4 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;,"HELLO, CUPCAKE!;by Karen Tack;",,,,
14,HOT MAHOGANY;by Stuart Woods;3 weeks on the list,THE ROAD;by Cormac McCarthy;58 weeks on the list,,BOYS WILL BE BOYS;by Jeff Pearlman;4 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;24 weeks on the list",MOTHER ANGELICA’S PRIVATE AND PITHY LESSONS FROM THE SCRIPTURES;edited by Raymond Arroyo;,BE THE PACK LEADER;by Cesar Millan with Melissa Jo Peltier;,,,,
15,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;11 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;41 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;17 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;138 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;",,,,
