,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,MASKED PREY;by John Sandford;New this week,WHERE THE CRAWDADS SING;by Delia Owens;85 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;50 weeks on the list,UNTAMED;by Glennon Doyle;6 weeks on the list,UNTAMED;by Glennon Doyle;6 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;6 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;2 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;53 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;14 weeks on the list,DOG MAN;by Dav Pilkey;138 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;7 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,UNTAMED;by Glennon Doyle;,ATOMIC HABITS;by James Clear;,GUTS;by Raina Telgemeier;,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,ALL THE BRIGHT PLACES;by Jennifer Niven;
2,LITTLE FIRES EVERYWHERE;by Celeste Ng;62 weeks on the list,MASKED PREY;by John Sandford;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;52 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;8 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;8 weeks on the list,BORN A CRIME;by Trevor Noah;62 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;39 weeks on the list,"FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;2 weeks on the list",GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;29 weeks on the list,HARRY POTTER;by J.K. Rowling;578 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;117 weeks on the list,IF IT BLEEDS;by Stephen King;,FORTITUDE;by Dan Crenshaw;,DARE TO LEAD;by Brené Brown;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,LOST AND FOUND;by Danielle Steel;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
3,WHERE THE CRAWDADS SING;by Delia Owens;84 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;13 weeks on the list,CIRCE;by Madeline Miller;New this week,THE HOUSE OF KENNEDY;by James Patterson and Cynthia Fagen;New this week,THE HOUSE OF KENNEDY;by James Patterson and Cynthia Fagen;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;78 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;24 weeks on the list",WONDER;by R.J. Palacio;244 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;69 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;579 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;15 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,TALKING TO STRANGERS;by Malcolm Gladwell;,JOY AT WORK;by Marie Kondo and Scott Sonenshein;,DRAMA;by Raina Telgemeier;,SHELTER IN PLACE;by Nora Roberts;,THE MIRACULOUS JOURNEY OF EDWARD TULANE;by Kate DiCamillo. Illustrated by Bagram Ibatoulline;,THE TWIN;by Natasha Preston;
4,AMERICAN DIRT;by Jeanine Cummins;13 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;46 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;40 weeks on the list,HIDDEN VALLEY ROAD;by Robert Kolker;2 weeks on the list,FRONT ROW AT THE TRUMP SHOW;by Jonathan Karl;3 weeks on the list,A WOMAN OF NO IMPORTANCE;by Sonia Purnell;3 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;175 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;7 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;230 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;32 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;72 weeks on the list,WALK THE WIRE;by David Baldacci;,BECOMING;by Michelle Obama;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",NEW KID;by Jerry Craft;,THE 18TH ABDUCTION;by James Patterson and Maxine Paetro;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,JUST MERCY;by Bryan Stevenson;
5,THE SILENT PATIENT;by Alex Michaelides;31 weeks on the list,THE BOY FROM THE WOODS;by Harlan Coben;5 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;85 weeks on the list,EDUCATED;by Tara Westover;113 weeks on the list,HIDDEN VALLEY ROAD;by Robert Kolker;2 weeks on the list,"WOW, NO THANK YOU;by Samantha Irby;3 weeks on the list",ATOMIC HABITS;by James Clear;24 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;11 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;19 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;528 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;20 weeks on the list,THE BOY FROM THE WOODS;by Harlan Coben;,MORE MYSELF;by Alicia Keys with Michelle Burford;,BAD BLOOD;by John Carreyrou;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,ENVIOUS;by Lisa Jackson;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,"FIVE NIGHTS AT FREDDY’S: FAZBEAR FRIGHTS: FETCH;by Scott Cawthon, Andrea Waggener and Carly Anne West;"
6,THE LAST EMPEROX;by John Scalzi;New this week,THE GLASS HOTEL;by Emily St. John Mandel;4 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;37 weeks on the list,FRONT ROW AT THE TRUMP SHOW;by Jonathan Karl;3 weeks on the list,EDUCATED;by Tara Westover;113 weeks on the list,JUST MERCY;by Bryan Stevenson;201 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;88 weeks on the list",THE WIZENARD SERIES: SEASON ONE;by Wesley King. Created by Kobe Bryant;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;302 weeks on the list,THE BAD GUYS;by Aaron Blabey;74 weeks on the list,THE HATE U GIVE;by Angie Thomas;164 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,THE SPLENDID AND THE VILE;by Erik Larson;,OUTLIERS;by Malcolm Gladwell;,GHOSTS;by Raina Telgemeier;,NEON PREY;by John Sandford;,WISH;by Barbara O'Connor;,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;
7,THE BOY FROM THE WOODS;by Harlan Coben;5 weeks on the list,IN FIVE YEARS;by Rebecca Serle;6 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;2 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;6 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;18 weeks on the list,SAPIENS;by Yuval Noah Harari;101 weeks on the list,FLOUR WATER SALT YEAST;by Ken Forkish;2 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;54 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;23 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;296 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;11 weeks on the list,ESCAPE FROM VIRTUAL ISLAND;by John Lutz;,CHAOS;by Tom O'Neill and Dan Piepenbring;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,CAMINO ISLAND;by John Grisham;,A LONG WALK TO WATER;by Linda Sue Park;,FIVE NIGHTS AT FREDDY’S: FAZBEAR FRIGHTS: INTO THE PIT;by Scott Cawthon and Elley Cooper;
8,THE WOMAN IN THE WINDOW;by A.J. Finn;28 weeks on the list,REDHEAD BY THE SIDE OF THE ROAD;by Anne Tyler;2 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;29 weeks on the list,ABOUT YOUR FATHER AND OTHER CELEBRITIES I HAVE KNOWN;by Peggy Rowe;New this week,BECOMING;by Michelle Obama;71 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;246 weeks on the list",GET OUT OF YOUR HEAD;by Jennie Allen;12 weeks on the list,ALI CROSS;by James Patterson;21 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;307 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;218 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;111 weeks on the list,CAMINO WINDS;by John Grisham;,HIDDEN VALLEY ROAD;by Robert Kolker;,GRIT;by Angela Duckworth;,SISTERS;by Raina Telgemeier;,THE WOMAN IN THE WINDOW;by A.J. Finn;,THE WILD ROBOT;by Peter Brown;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;70 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;27 weeks on the list,REVENGE;by James Patterson and Andrew Holmes;2 weeks on the list,SAPIENS;by Yuval Noah Harari;102 weeks on the list,ABOUT YOUR FATHER AND OTHER CELEBRITIES I HAVE KNOWN;by Peggy Rowe;New this week,THE FIFTH RISK;by Michael Lewis;9 weeks on the list,WHAT IT'S LIKE TO BE A BIRD;by David Allen Sibley;New this week,A TALE OF MAGIC...;by Chris Colfer;24 weeks on the list,THE SERIOUS GOOSE;by Jimmy Kimmel;11 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;57 weeks on the list,THEY WENT LEFT;by Monica Hesse;New this week,THE DUTCH HOUSE;by Ann Patchett;,MYTHOS;by Stephen Fry;,LEADERSHIP;by Doris Kearns Goodwin;,STRANGE PLANET;by Nathan W. Pyle;,DENIM AND DIAMONDS;by Debbie Macomber;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE SUN IS ALSO A STAR;by Nicola Yoon;
10,SAVAGE SON;by Jack Carr;New this week,VALENTINE;by Elizabeth Wetmore;3 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;48 weeks on the list,UNORTHODOX;by Deborah Feldman;7 weeks on the list,ARGUING WITH SOCIALISTS;by Glenn Beck;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;321 weeks on the list,THE ODD 1S OUT: THE FIRST SEQUEL;by James Rallison;5 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;30 weeks on the list,THE COOL BEAN;by Jory John. Illustrated by Pete Oswald;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;228 weeks on the list,REDEMPTION PREP;by Samuel Miller;New this week,MASKED PREY;by John Sandford;,EDUCATED;by Tara Westover;,RANGE;by David Epstein;,SMILE;by Raina Telgemeier;,WINDOW ON THE BAY;by Debbie Macomber;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,INTERNMENT;by Samira Ahmed;
