,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;10 weeks on the list,SYCAMORE ROW;by John Grisham;10 weeks on the list,DEAR LIFE;by Alice Munro;12 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;10 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;10 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;89 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;36 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;9 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;8 weeks on the list","FABLES, VOL. 19;by Bill Willingham, Mark Buckingham and others;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;29 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;3 weeks on the list,DIVERGENT;by Veronica Roth;10 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,DOCTOR SLEEP;by Stephen King;14 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;7 weeks on the list,DARK WITCH;by Nora Roberts;9 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;14 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;14 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;62 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;14 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;14 weeks on the list,"TEENAGE MUTANT NINJA TURTLES: THE ULTIMATE COLLECTION, VOL. 5;by  Kevin Eastman, Peter Laird and Jim Lawson;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;115 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;18 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;27 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;258 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,QUIET;by Susan Cain;
3,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;4 weeks on the list,DOCTOR SLEEP;by Stephen King;14 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;94 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;6 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;13 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;3 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;9 weeks on the list,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;9 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;109 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;49 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;36 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;51 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;175 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,THE GOLDFINCH;by Donna Tartt;10 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;4 weeks on the list,THE STORYTELLER;by Jodi Picoult;8 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;13 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;8 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;24 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;37 weeks on the list",GUINNESS WORLD RECORDS 2014.;;16 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;10 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;5 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;16 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;117 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;120 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE REASON I JUMP;by Naoki Higashida;
5,INFERNO;by Dan Brown;23 weeks on the list,THE GOLDFINCH;by Donna Tartt;10 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;39 weeks on the list",,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;8 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;8 weeks on the list,LONG WALK TO FREEDOM;by Nelson Mandela;4 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;12 weeks on the list,BREAK OUT!;by Joel Osteen;13 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;11 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;45 weeks on the list","BLUE EXORCIST, VOL. 1;by Kazue Kato;19 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"I'D KNOW YOU ANYWHERE, MY LOVE;by Nancy Tillman;5 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;54 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,"JAB, JAB, JAB, RIGHT HOOK;by Gary Vaynerchuk;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
6,CROSS MY HEART;by James Patterson;5 weeks on the list,CROSS MY HEART;by James Patterson;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;284 weeks on the list,,,THE BULLY PULPIT;by Doris Kearns Goodwin;8 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;12 weeks on the list,OUTLIERS;by Malcolm Gladwell;134 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;10 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;4 weeks on the list",THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;2 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;19 weeks on the list","ATTACK ON TITAN, VOL. 9;by Hajime Isayama;5 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,AN OTIS CHRISTMAS;by Loren Long;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;321 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,TAKEDOWN TWENTY;by Janet Evanovich;6 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;15 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;39 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;12 weeks on the list,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;6 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;52 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;13 weeks on the list,STAYING STRONG;by Demi Lovato;6 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;2 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and others;4 weeks on the list","MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;7 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;86 weeks on the list,DORK DIARIES;by Rachel Renée Russell;96 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,TWELVE YEARS A SLAVE;by Solomon Northup;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
8,THE GODS OF GUILT;by Michael Connelly;4 weeks on the list,INFERNO;by Dan Brown;28 weeks on the list,THE RACKETEER;by John Grisham;13 weeks on the list,,,THE WOLF OF WALL STREET;by Jordan Belfort;New this week,LET ME OFF AT THE TOP!;by Ron Burgundy;6 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;163 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;8 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;8 weeks on the list,"JANE, THE FOX, AND ME;by Fanny Britt, Isabelle Arsenault and others;3 weeks on the list",BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;39 weeks on the list,"FAIRY TAIL, VOL. 33;by Hiro Mashima;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;7 weeks on the list,LEGEND;by Marie Lu;6 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;7 weeks on the list,TAKEDOWN TWENTY;by Janet Evanovich;6 weeks on the list,A GAME OF THRONES;by George R.R. Martin;55 weeks on the list,,,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;6 weeks on the list,ONE SUMMER;by Bill Bryson;9 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;92 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;8 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;8 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;37 weeks on the list,SMILE;by Raina Telgemeier;86 weeks on the list,"ONE PIECE, VOL. 69;by Eiichiro Oda;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;9 weeks on the list,HARRY POTTER;by J.K. Rowling;302 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STEVE JOBS;by Walter Isaacson;,THE PIONEER WOMAN COOKS;by Ree Drummond;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE SPORTS GENE;by David Epstein;
10,THE LONGEST RIDE;by Nicholas Sparks;15 weeks on the list,THE GODS OF GUILT;by Michael Connelly;4 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;39 weeks on the list,,,"THINKING, FAST AND SLOW;by Daniel Kahneman;18 weeks on the list",HUMANS OF NEW YORK;by Brandon Stanton;11 weeks on the list,QUIET;by Susan Cain;48 weeks on the list,UNBROKEN;by Laura Hillenbrand;152 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;38 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;4 weeks on the list",BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;6 weeks on the list,"NARUTO, VOL. 63;by Masashi Kishimoto;8 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PRESS HERE;by Hervé Tullet;122 weeks on the list,THE MAZE RUNNER;by James Dashner;64 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,LONG WALK TO FREEDOM;by Nelson Mandela;,THE SIGNAL AND THE NOISE;by Nate Silver;
