,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,A SPARK OF LIGHT;by Jodi Picoult;New this week,A SPARK OF LIGHT;by Jodi Picoult;New this week,CRAZY RICH ASIANS;by Kevin Kwan;24 weeks on the list,SHIP OF FOOLS;by Tucker Carlson;New this week,SHIP OF FOOLS;by Tucker Carlson;New this week,SAPIENS;by Yuval Noah Harari;21 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;26 weeks on the list",LOUISIANA'S WAY HOME;by Kate DiCamillo;New this week,I AM HUMAN;by Susan Verde. Illustrated by Peter H. Reynolds;New this week,DOG MAN;by Dav Pilkey;58 weeks on the list,THE HATE U GIVE;by Angie Thomas;84 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,FEAR;by Bob Woodward;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
2,VINCE FLYNN: RED WAR;by Kyle Mills;2 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;2 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;5 weeks on the list,FEAR;by Bob Woodward;4 weeks on the list,FEAR;by Bob Woodward;4 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;New this week,WHISKEY IN A TEACUP;by Reese Witherspoon;3 weeks on the list,WONDER;by R.J. Palacio;165 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;24 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;12 weeks on the list,MUSE OF NIGHTMARES;by Laini Taylor;New this week,MAVERICKS;by Craig Alanson;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,BIG GAME;by Mark Leibovich;
3,ALASKAN HOLIDAY;by Debbie Macomber;New this week,AN ABSOLUTELY REMARKABLE THING;by Hank Green;2 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;18 weeks on the list,THE FIFTH RISK;by Michael Lewis;New this week,THE FIFTH RISK;by Michael Lewis;New this week,CODE GIRLS;by Liza Mundy;New this week,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;3 weeks on the list,START NOW!;by Chelsea Clinton;New this week,I LOST MY TOOTH!;by Mo Willems;New this week,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;98 weeks on the list,THE LADY'S GUIDE TO PETTICOATS AND PIRACY;by Mackenzi Lee;New this week,LETHAL WHITE;by Robert Galbraith;,EDUCATED;by Tara Westover;,BAD BLOOD;by John Carreyrou;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,SHOE DOG;by Phil Knight;
4,CRAZY RICH ASIANS;by Kevin Kwan;17 weeks on the list,ALASKAN HOLIDAY;by Debbie Macomber;New this week,CHINA RICH GIRLFRIEND;by Kevin Kwan;11 weeks on the list,IN PIECES;by Sally Field;3 weeks on the list,IN PIECES;by Sally Field;3 weeks on the list,BEAUTIFUL BOY;by David Sheff;4 weeks on the list,THE HAPPY COOKBOOK;by Steve Doocy and Kathy Doocy;New this week,ROSIE REVERE AND THE RAUCOUS RIVETERS;by Andrea Beaty. Illustrated by David Roberts;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;153 weeks on the list,HARRY POTTER;by J.K. Rowling;498 weeks on the list,SWING;by Kwame Alexander with Mary Rand Hess;New this week,LEVERAGE IN DEATH;by J.D. Robb;,THE DICHOTOMY OF LEADERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,ACCESSORY TO WAR;by Neil deGrasse Tyson and Avis Lang;,THE MAN I NEVER MET;by Adam Schefter;
5,WHERE THE CRAWDADS SING;by Delia Owens;4 weeks on the list,BLOOD COMMUNION;by Anne Rice;New this week,SAGA VOLUME 9;by Brian K. Vaughan. Illustrated by Fiona Staples;New this week,EDUCATED;by Tara Westover;33 weeks on the list,GOOD AND MAD;by Rebecca Traister;New this week,GRIT;by Angela Duckworth;7 weeks on the list,MASTERING THE MARKET CYCLE;by Howard Marks;New this week,REFUGEE;by Alan Gratz;33 weeks on the list,BUILDER BROTHERS: BIG PLANS;by Jonathan and Drew Scott. Illustrated by Kim Smith;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;499 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;31 weeks on the list,VINCE FLYNN: RED WAR;by Kyle Mills;,IN PIECES;by Sally Field;,PRINCIPLES;by Ray Dalio;,QUIET;by Susan Cain;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
6,LETHAL WHITE;by Robert Galbraith;3 weeks on the list,JUROR #3;by James Patterson and Nancy Allen;4 weeks on the list,THE FALLEN;by David Baldacci;4 weeks on the list,GOOD AND MAD;by Rebecca Traister;New this week,LEADERSHIP;by Doris Kearns Goodwin;3 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;13 weeks on the list,JUST JESSIE;by Jessie James Decker;New this week,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;45 weeks on the list,PRINCESSES SAVE THE WORLD;by Savannah Guthrie and Allison Oppenheim. Illustrated by Eva Byrne;3 weeks on the list,SPY SCHOOL;by Stuart Gibbs;6 weeks on the list,DRY;by Neal Shusterman and Jarrod Shusterman;New this week,CRAZY RICH ASIANS;by Kevin Kwan;,SAPIENS;by Yuval Noah Harari;,AI SUPERPOWERS;by Kai-Fu Lee;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,BELICHICK;by Ian O'Connor;
7,JUROR #3;by James Patterson and Nancy Allen;4 weeks on the list,LETHAL WHITE;by Robert Galbraith;3 weeks on the list,LESS;by Andrew Sean Greer;20 weeks on the list,FULL DISCLOSURE;by Stormy Daniels with Kevin Carr O'Leary;New this week,THIRST;by Scott Harrison with Lisa Sweetingham;New this week,KILLERS OF THE FLOWER MOON;by David Grann;27 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;95 weeks on the list,THE CONFIDENCE CODE FOR GIRLS;by Katty Kay and Claire Shipman with Jillellyn Riley. Illustrated by Nan Lawson;23 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;241 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;16 weeks on the list,HOCUS POCUS AND THE ALL-NEW SEQUEL;by A.W. Jantha;11 weeks on the list,SHARP OBJECTS;by Gillian Flynn;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DOPESICK;by Beth Macy;,FOOTBALL FOR A BUCK;by Jeff Pearlman;
8,UNCOMPROMISING HONOR;by  David Weber;New this week,WHERE THE CRAWDADS SING;by Delia Owens;5 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;84 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;3 weeks on the list,TO SHAKE THE SLEEPING SELF;by Jedidiah Jenkins;New this week,KITCHEN CONFIDENTIAL;by Anthony Bourdain;53 weeks on the list,OVERCOMER;by David Jeremiah;New this week,MINECRAFT: THE CRASH;by Tracey Baptiste;12 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;26 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;139 weeks on the list,SOMEDAY;by David Levithan;New this week,DOWN THE RIVER UNTO THE SEA;by Walter Mosley;,BORN A CRIME;by Trevor Noah;,WINNERS TAKE ALL;by Anand Giridharadas;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
9,CONSUMED;by J.R. Ward;New this week,UNCOMPROMISING HONOR;by  David Weber;New this week,RICH PEOPLE PROBLEMS;by Kevin Kwan;9 weeks on the list,LESSONS;by Gisele Bündchen;New this week,LESSONS;by Gisele Bündchen;New this week,HILLBILLY ELEGY;by J.D. Vance;23 weeks on the list,YOU ARE A BADASS;by Jen Sincero;143 weeks on the list,THE MAGIC MISFITS: THE SECOND STORY;by Neil Patrick Harris and Alec Azam;2 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;6 weeks on the list,AMULET;by Kazu Kibuishi;2 weeks on the list,THUNDERHEAD;by Neal Shusterman;23 weeks on the list,HEART-SHAPED BOX;by Joe Hill;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","BASKETBALL: A LOVE STORY;by Jackie MacMullan, Rafe Bartholomew and Dan Klores;"
10,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;5 weeks on the list,WAR OF THE WOLF;by Bernard Cornwell;New this week,MILK AND HONEY;by Rupi Kaur;130 weeks on the list,THIRST;by Scott Harrison with Lisa Sweetingham;New this week,EDUCATED;by Tara Westover;33 weeks on the list,JUST MERCY;by Bryan Stevenson;124 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;263 weeks on the list,AMAL UNBOUND;by Aisha Saeed;5 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;142 weeks on the list",BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;6 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;52 weeks on the list,THE EXTRAORDINARY LIFE OF SAM HELL;by Robert Dugoni;,A LITTLE HISTORY OF ECONOMICS;by Niall Kishtainy;,BILLION DOLLAR WHALE;by Tom Wright and Bradley Hope;,HOW TO BE A GOOD CREATURE;by Sy Montgomery. Illustrated by Rebecca Green;,FLY GIRLS;by Keith O'Brien;
