,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,HIDDEN ORDER;by Brad Thor;New this week,INFERNO;by Dan Brown;9 weeks on the list,JOYLAND;by Stephen King;6 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;38 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;18 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;38 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;38 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;14 weeks on the list,DAREDEVIL: END OF DAYS;by Brian Michael Bendis and others;New this week,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;New this week","BLUE EXORCIST, VOL. 10;by Kazue Kato;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;96 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,BOMBSHELL;by Catherine Coulter;New this week,HIDDEN ORDER;by Brad Thor;New this week,BEAUTIFUL RUINS;by Jess Walter;15 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;18 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;10 weeks on the list",WILD;by Cheryl Strayed;16 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;18 weeks on the list,WHEAT BELLY;by William Davis;14 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;5 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;4 weeks on the list",TIGER AND BUNNY. VOL. 2;by Masafumi Nishida and Mizuki Sakakibara;New this week,WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;13 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;151 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,INFERNO;by Dan Brown;9 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;8 weeks on the list,WORLD WAR Z;by Max Brooks;55 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;10 weeks on the list",LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;12 weeks on the list,OUTLIERS;by Malcolm Gladwell;110 weeks on the list,A THOUSAND DAYS IN TUSCANY;by Marlena De Blasi;New this week,THE 100;by Jorge Cruise;8 weeks on the list,BEFORE WATCHMEN: MINUTEMEN/SILK SPECTRE;by Darwyn Cooke and Amanda Conner;2 weeks on the list,"THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;6 weeks on the list","BLEACH, VOL. 57;by Tite Kubo;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;93 weeks on the list",DORK DIARIES;by Rachel Renée Russell;79 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,DRIVE;by Daniel H. Pink;,KEEP IT PITHY;by Bill O'Reilly;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
4,SECOND HONEYMOON;by James Patterson and Howard Roughan;3 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;4 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;6 weeks on the list,,,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;137 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;2 weeks on the list,BOSSYPANTS;by Tina Fey;103 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;14 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;4 weeks on the list,"PROPHET, VOL. 2;by Brandon Graham and Simon Roy;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;3 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;6 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,COLLAPSE OF DIGNITY;by Napoleon Gomez;,TIPPING POINT;by Malcolm Gladwell;,THE UNWINDING;by George Packer;,THE HAPPINESS PROJECT;by Gretchen Rubin;
5,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;8 weeks on the list,BOMBSHELL;by Catherine Coulter;New this week,FIFTY SHADES OF GREY;by E. L. James;70 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;12 weeks on the list,I WEAR THE BLACK HAT;by Chuck Klosterman;New this week,THE GLASS CASTLE;by Jeannette Walls;320 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;2 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;5 weeks on the list,BEFORE WATCHMEN: OZYMANDIAS/CRIMSON CORSAIR;by Len Wein and Jae Lee;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;30 weeks on the list","LOVELESS: 2-IN-1, VOL. 4;by Yun Kouga;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;100 weeks on the list,THEODORE BOONE;by John Grisham;13 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;,THE POWER OF HABIT;by Charles Duhigg;
6,A IS FOR ALIBI;by Sue Grafton;New this week,SECOND HONEYMOON;by James Patterson and Howard Roughan;3 weeks on the list,FLIGHT BEHAVIOR;by Barbara Kingsolver;6 weeks on the list,,,I WEAR THE BLACK HAT;by Chuck Klosterman;New this week,DAD IS FAT;by Jim Gaffigan;10 weeks on the list,QUIET;by Susan Cain;24 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;10 weeks on the list",LIFE CODE;by Phil McGraw;14 weeks on the list,A GAME OF THRONES;by George R.R. Martin;17 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;99 weeks on the list","PSYREN, VOL. 11;by Toshiaki Iwashiro;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;8 weeks on the list,THE MAZE RUNNER;by James Dashner;54 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,FINERMAN'S RULES;by Karen Finerman;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
7,LOSING HOPE;by Colleen Hoover;New this week,GONE GIRL;by Gillian Flynn;58 weeks on the list,THE ALCHEMIST;by Paulo Coelho;261 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;121 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;24 weeks on the list,I WEAR THE BLACK HAT;by Chuck Klosterman;New this week,EATING ON THE WILD SIDE;by Jo Robinson;New this week,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;15 weeks on the list","FATALE, VOL. 3;by Ed Brubaker and Sean Phillips;New this week","FAIRY TAIL, VOL. 27;by Hiro Mashima;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;38 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;297 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
8,BEAUTIFUL BITCH;by Christina Lauren;New this week,BAD MONKEY;by Carl Hiaasen;5 weeks on the list,FIFTY SHADES DARKER;by E. L. James;67 weeks on the list,,,OUTLIERS;by Malcolm Gladwell;24 weeks on the list,AMERICAN GUN;by Chris Kyle with William Doyle;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;123 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;12 weeks on the list,DARING GREATLY;by Brené Brown;14 weeks on the list,WOLVERINE BY MARK MILLAR OMNIBUS;by Mark Millar and others;2 weeks on the list,DEADPOOL KILLS THE MARVEL UNIVERSE;by Cullen Bunn and Dalibor Talajic;3 weeks on the list,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 5;by QuinRose and Mamenosuke Fujimaru;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;66 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;235 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FOR WHAT IT'S WORTH;by Les Gold;,PREDICTABLY IRRATIONAL;by Dan Ariely;,BUNKER HILL;by Nathaniel Philbrick;,WHAT DO WOMEN WANT? Adventures in the Science of Female Desire;by Daniel Bergner;
9,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;4 weeks on the list,BEAUTIFUL DAY;by Elin Hilderbrand;3 weeks on the list,THE BAT;by Jo Nesbo;2 weeks on the list,,,WILD;by Cheryl Strayed;53 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;15 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;129 weeks on the list,THE DIGEST DIET;by Liz Vaccariello;New this week,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;29 weeks on the list,PERSEPOLIS;by Marjane Satrapi;8 weeks on the list,"MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 2;by Hajime Yatate and Hajime Yatate;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;11 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;30 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,YOUTILITY;by Jay Baer;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",COLLAPSE OF DIGNITY;by Napoleon Gomez;,SUBLIMINALLY EXPOSED;by Steven Dayan;
10,"FOUR IRRESISTIBLE ROGUES;by Tanya Anne Crosby, Danelle Harmon, Lauren Royal and Cynthia Wright;New this week",WILLIAM SHAKESPEARE'S STAR WARS;by Ian Doescher;2 weeks on the list,LIFE OF PI;by Yann Martel;41 weeks on the list,,,DAD IS FAT;by Jim Gaffigan;10 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;15 weeks on the list",HILLSIDE STRANGLERS;by Darcy O'Brien;New this week,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;14 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;5 weeks on the list,"ADVENTURE TIME, VOL. 3;by Ryan North and others;2 weeks on the list","KINGDOM HEARTS, CHAIN OF MEMORIES;by Shiro Amano;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;47 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;36 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,SMARTTRIBES;by Christine Comaford;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SIGNAL AND THE NOISE;by Nate Silver;
