,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,SYCAMORE ROW;by John Grisham;3 weeks on the list,SYCAMORE ROW;by John Grisham;3 weeks on the list,DARK WITCH;by Nora Roberts;2 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;3 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;55 weeks on the list,DOUBLE DOWN;by Mark Halperin and John Heilemann;New this week,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;2 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;New this week","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;6 weeks on the list","YU-GI-OH 5D'S, VOL. 5;by Masahiro Hikokubo and Masashi Sato;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;251 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,MIRAGE;by Clive Cussler with Jack Du Brul;New this week,MIRAGE;by Clive Cussler with Jack Du Brul;New this week,DEAR LIFE;by Alice Munro;5 weeks on the list,,,DOUBLE DOWN;by Mark Halperin and John Heilemann;New this week,KILLING JESUS;by Bill O'Reilly and Martin Dugard;7 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;17 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;7 weeks on the list,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;New this week,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;3 weeks on the list,"THE HEDGE KNIGHT;by George R.R. Martin, Ben Avery and Mike S. Miller;New this week","NARUTO, VOL. 63;by Masashi Kishimoto;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,CINDERS;by Jan Brett;New this week,DIVERGENT;by Veronica Roth;3 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,,,TIP AND THE GIPPER;by Chris Matthews;,THE REASON I JUMP;by Naoki Higashida;
3,ENDER'S GAME;by Orson Scott Card;17 weeks on the list,THE GOLDFINCH;by Donna Tartt;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;87 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;7 weeks on the list,DOUBLE DOWN;by Mark Halperin and John Heilemann;New this week,OUTLIERS;by Malcolm Gladwell;127 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;5 weeks on the list,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;New this week,HELLBOY: THE MIDNIGHT CIRCUS;by Mike Mignola and Duncan Fegredo;New this week,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;13 weeks on the list,"VAMPIRE KNIGHT, VOL. 17;by Matsuri Hino;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;110 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;47 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,EXTORTION;by Peter Schweizer;,THE CAN'T COOK BOOK;by Jessica Seinfeld;,,,UNBROKEN;by Laura Hillenbrand;,QUIET;by Susan Cain;
4,DARK WITCH;by Nora Roberts;2 weeks on the list,THE VALLEY OF AMAZEMENT;by Amy Tan;New this week,THE STORYTELLER;by Jodi Picoult;New this week,,,THE BULLY PULPIT;by Doris Kearns Goodwin;New this week,THE BULLY PULPIT;by Doris Kearns Goodwin;New this week,QUIET;by Susan Cain;41 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;3 weeks on the list,HYPERBOLE AND A HALF;by Allie Brosh;2 weeks on the list,"GREEN LANTERN, VOL. 3;by Geoff Johns and others;2 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;108 weeks on the list","ATTACK ON TITAN, VOL. 8;by Hajime Isayama;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;117 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;168 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EVERYTHING STORE;by Brad Stone;,WHEAT BELLY;by William Davis;,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,FOCUS;by Daniel Goleman;
5,THE EDGE OF ALWAYS;by J. A. Redmerski;New this week,THE MINOR ADJUSTMENT BEAUTY SALON;by Alexander McCall Smith;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;32 weeks on the list",,,DAVID AND GOLIATH;by Malcolm Gladwell;6 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;6 weeks on the list,JESUS > RELIGION;by Jefferson Bethke;5 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;New this week,DOT COMPLICATED;by Randi Zuckerberg;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;103 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;42 weeks on the list","MIDNIGHT SECRETARY, VOL. 2;by Tomu Ohmi;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,I'M A FROG!;by Mo Willems;4 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;74 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FOCUS;by Daniel Goleman;,THE 100;by Jorge Cruise;,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
6,THE VALLEY OF AMAZEMENT;by Amy Tan;New this week,THE ALL-GIRL FILLING STATION'S LAST REUNION;by Fannie Flagg;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;32 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;5 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;39 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;7 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;96 weeks on the list",BEDLAM;by Rick Kirkman and Jerry Scott;New this week,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;6 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;113 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,HUNDRED PERCENTERS;by Mark Murphy;,THE ROMNEY FAMILY TABLE;by Ann Romney;,,,EXTORTION;by Peter Schweizer;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,MINE;by Katy Evans;New this week,DOCTOR SLEEP;by Stephen King;7 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;2 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;5 weeks on the list,THE DEATH OF SANTINI;by Pat Conroy;2 weeks on the list,WILD;by Cheryl Strayed;33 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;6 weeks on the list,STITCHES;by Anne Lamott;2 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;8 weeks on the list",SMILE;by Raina Telgemeier;79 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;22 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;14 weeks on the list,LEGEND;by Marie Lu;New this week,LORE;by Alexandra Bracken;18 weeks on the list,DO YOU SPEAK SHOE LOVER?;by Linda Meadow;,EAT MOVE SLEEP;by Tom Rath;,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
8,THE GOLDFINCH;by Donna Tartt;3 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;8 weeks on the list,FIFTY SHADES DARKER;by E. L. James;84 weeks on the list,,,JOHNNY CARSON;by Henry Bushkin;4 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;New this week,HOW CHILDREN SUCCEED;by Paul Tough;19 weeks on the list,JOHNNY CARSON;by Henry Bushkin;4 weeks on the list,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;6 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;5 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;5 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: THE MAD HATTER'S LATE NIGHT TEA PARTY, VOL. 1;by QuinRose and Riko Sakura;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;28 weeks on the list",WARRIORS;by Erin Hunter;117 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CATERPILLAR WAY;by Craig T. Bouchard and James V. Koch;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,,,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,THE ALL-GIRL FILLING STATION'S LAST REUNION;by Fannie Flagg;New this week,WINNERS;by Danielle Steel;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;277 weeks on the list,,,THE DEATH OF SANTINI;by Pat Conroy;2 weeks on the list,40 CHANCES;by Howard G. Buffett and Howard W. Buffett;3 weeks on the list,UNLIKELY LOVES;by Jennifer Holland;5 weeks on the list,THE DEATH OF SANTINI;by Pat Conroy;2 weeks on the list,GUINNESS WORLD RECORDS 2014.;;9 weeks on the list,"BATGIRL, VOL. 3;by Gail Simone and others;2 weeks on the list",I SENSE A COLDNESS TO YOUR MENTORING;by Scott Adams;2 weeks on the list,"MONSTER MUSUME, VOL. 1;by Okayado;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,SNOWFLAKES FALL;by Patricia Maclachlan. Illustrated by Steven Kellogg;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;314 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",EAT TO LIVE;by Joel Fuhrman;,,,THEY KILLED OUR PRESIDENT;by Jesse Ventura;,THE POWER OF HABIT;by Charles Duhigg;
10,THE HUSBAND'S SECRET;by Liane Moriarty;14 weeks on the list,S.;by Doug Dorst;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;32 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;3 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;10 weeks on the list,WHEN WILL THE HEAVEN BEGIN?;by Ally Breedlove with Ken Abraham;2 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;17 weeks on the list,BREAK OUT!;by Joel Osteen;6 weeks on the list,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;23 weeks on the list",BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;2 weeks on the list,"ULTIMO, VOL. 9;by Hiroyuki Takei;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;83 weeks on the list,MORGANVILLE VAMPIRES;by Rachel Caine;12 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,,,COMMAND AND CONTROL;by Eric Schlosser;,THE STORY OF THE HUMAN BODY;by Daniel Lieberman;
