,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,JUST ONE EVIL ACT;by Elizabeth George;New this week,DOCTOR SLEEP;by Stephen King;4 weeks on the list,DEAR LIFE;by Alice Munro;2 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;4 weeks on the list,HUMANS OF NEW YORK;by Brandon Stanton;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;14 weeks on the list,JOHNNY CARSON;by Henry Bushkin;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;8 weeks on the list,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;5 weeks on the list","BATMAN, VOL. 2;by Scott Snyder and others;New this week","MONSTER MUSUME, VOL. 1;by Okayado;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,I'M A FROG!;by Mo Willems;New this week,HEROES OF OLYMPUS;by Rick Riordan;44 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,IDENTICAL;by Scott Turow;New this week,JUST ONE EVIL ACT;by Elizabeth George;New this week,FIFTY SHADES OF GREY;by E. L. James;84 weeks on the list,,,HUMANS OF NEW YORK;by Brandon Stanton;New this week,KILLING JESUS;by Bill O'Reilly and Martin Dugard;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;52 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;4 weeks on the list,WHAT ARE YOU AFRAID OF?;by David Jeremiah;3 weeks on the list,"FANTASTIC FOUR BY JONATHAN HICKMAN, OMNIBUS VOL. 1;by Jonathan Hickman and various;New this week",ADVENTURE TIME: FIONNA & CAKE;by Natasha Allegri;New this week,"BLEACH, VOL. 58;by Tite Kubo;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;110 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,,,TIP AND THE GIPPER;by Chris Matthews;,THE REASON I JUMP;by Naoki Higashida;
3,THE HUSBAND'S SECRET;by Liane Moriarty;11 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;5 weeks on the list,THE HIT;by David Baldacci;5 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;2 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;124 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;2 weeks on the list,BREAK OUT!;by Joel Osteen;3 weeks on the list,THE WOMAN REBEL: THE MARGARET SANGER STORY;by Peter Bagge;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;105 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;19 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;17 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;165 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,EXTORTION;by Peter Schweizer;,THE CAN'T COOK BOOK;by Jessica Seinfeld;,,,UNBROKEN;by Laura Hillenbrand;,QUIET;by Susan Cain;
4,DOCTOR SLEEP;by Stephen King;4 weeks on the list,IDENTICAL;by Scott Turow;New this week,FIFTY SHADES DARKER;by E. L. James;81 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;3 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;137 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;2 weeks on the list,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;3 weeks on the list,AVENGERS: ENDLESS WARTIME;by Warren Ellis and Mike McKone;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;40 weeks on the list","ATTACK ON TITAN, VOL. 7;by Hajime Isayama;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;107 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;150 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EVERYTHING STORE;by Brad Stone;,WHEAT BELLY;by William Davis;,,,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,FOCUS;by Daniel Goleman;
5,BETWEEN SISTERS;by Kristin Hannah;New this week,STORM FRONT;by John Sandford;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;29 weeks on the list",,,JOHNNY CARSON;by Henry Bushkin;New this week,THE REASON I JUMP;by Naoki Higashida;4 weeks on the list,JESUS > RELIGION;by Jefferson Bethke;2 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;3 weeks on the list,E-SQUARED;by Pam Grout;14 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;2 weeks on the list,BATTLING BOY;by Paul Pope;2 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;12 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"CLICK, CLACK, BOO!;by Doreen Cronin. Illustrated by Betsy Lewin;3 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;311 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FOCUS;by Daniel Goleman;,THE 100;by Jorge Cruise;,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
6,BRIDGET JONES: MAD ABOUT THE BOY;by Helen Fielding;New this week,POLICE;by Jo Nesbo;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;29 weeks on the list,,,MY STORY;by Elizabeth Smart with Chris Stewart;2 weeks on the list,ORR;by Bobby Orr;New this week,QUIET;by Susan Cain;38 weeks on the list,EVERYTHING STORE;by Brad Stone;New this week,THE REASON FOR MY HOPE: SALVATION;by Billy Graham;New this week,"SHAZAM!, VOL. 1;by Geoff Johns and Gary Frank;3 weeks on the list",SMILE;by Raina Telgemeier;76 weeks on the list,"ATTACK ON TITAN, VOL. 3;by Hajime Isayama;10 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;80 weeks on the list,UNWIND DYSTOLOGY;by Neal Shusterman;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,HUNDRED PERCENTERS;by Mark Murphy;,THE ROMNEY FAMILY TABLE;by Ann Romney;,,,EXTORTION;by Peter Schweizer;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,ENDER'S GAME;by Orson Scott Card;14 weeks on the list,BRIDGET JONES: MAD ABOUT THE BOY;by Helen Fielding;New this week,FIFTY SHADES FREED;by E. L. James;80 weeks on the list,,,THE REASON I JUMP;by Naoki Higashida;3 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;2 weeks on the list,WILD;by Cheryl Strayed;30 weeks on the list,THE REASON I JUMP;by Naoki Higashida;4 weeks on the list,CATERPILLAR WAY;by Craig T. Bouchard and James V. Koch;New this week,"JUSTICE LEAGUE, VOL. 3;by Geoff Johns and Ivan Reis;3 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;10 weeks on the list,"ROSARIO VAMPIRE, SEASON II, VOL. 12;by Akihisa Ikeda;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;114 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;85 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DO YOU SPEAK SHOE LOVER?;by Linda Meadow;,EAT MOVE SLEEP;by Tom Rath;,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
8,THE LONGEST RIDE;by Nicholas Sparks;5 weeks on the list,GONE;by James Patterson and Michael Ledwidge;3 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;13 weeks on the list,,,ORR;by Bobby Orr;New this week,SI-COLOGY 1;by Si Robertson with Mark Schlabach;7 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;16 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;28 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;6 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;2 weeks on the list,"ATTACK ON TITAN, VOL. 4;by Hajime Isayama;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;248 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CATERPILLAR WAY;by Craig T. Bouchard and James V. Koch;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,,,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,STORM FRONT;by John Sandford;2 weeks on the list,THE WOLVES OF MIDWINTER;by Anne Rice;New this week,THE RACKETEER;by John Grisham;8 weeks on the list,,,ONE SUMMER;by Bill Bryson;3 weeks on the list,JOHNNY CARSON;by Henry Bushkin;New this week,BRAIN ON FIRE;by Susannah Cahalan;11 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;15 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;4 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;12 weeks on the list,"PERCY JACKSON & THE OLYMPIANS: THE TITAN'S CURSE;by Rick Riordan, Robert Venditti and Attila Futaki;2 weeks on the list","BLACK BIRD, VOL. 17;by Kanoko Sakurakouji;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;26 weeks on the list","BANE CHRONICLES;by Cassandra Clare, Maureen Johnson and Sarah Rees Brennan;3 weeks on the list",LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",EAT TO LIVE;by Joel Fuhrman;,,,THEY KILLED OUR PRESIDENT;by Jesse Ventura;,THE POWER OF HABIT;by Charles Duhigg;
10,POLICE;by Jo Nesbo;New this week,THE CIRCLE;by Dave Eggers;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;29 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;14 weeks on the list,ONE SUMMER;by Bill Bryson;3 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;288 weeks on the list,ONE SUMMER;by Bill Bryson;3 weeks on the list,TRANSFORM;by Christopher Morace with Sara Gaviser Leslie;New this week,RASL;by Jeff Smith;4 weeks on the list,DRAMA;by Raina Telgemeier;46 weeks on the list,"ATTACK ON TITAN, VOL. 5;by Hajime Isayama;9 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MR. WUFFLES!;by David Wiesner;2 weeks on the list,DORK DIARIES;by Rachel Renée Russell;91 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,,,COMMAND AND CONTROL;by Eric Schlosser;,THE STORY OF THE HUMAN BODY;by Daniel Lieberman;
