,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE SHACK;by William P. Young;7 weeks on the list,DANGEROUS GAMES;by Danielle Steel;New this week,THE SHACK;by William P. Young;144 weeks on the list,PORTRAITS OF COURAGE;by George W. Bush;2 weeks on the list,PORTRAITS OF COURAGE;by George W. Bush;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;14 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;2 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;11 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;232 weeks on the list",HARRY POTTER;by J.K. Rowling;416 weeks on the list,THE HATE U GIVE;by Angie Thomas;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;
2,SILENCE FALLEN;by Patricia Briggs;New this week,SILENCE FALLEN;by Patricia Briggs;New this week,A MAN CALLED OVE;by Fredrik Backman;63 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;33 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;33 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;32 weeks on the list,YOU ARE HERE;by Jenny Lawson;New this week,WONDER;by R.J. Palacio;83 weeks on the list,"MIGHTY, MIGHTY CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;4 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;417 weeks on the list,CARVE THE MARK;by Veronica Roth;8 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,DANGEROUS GAMES;by Danielle Steel;New this week,NORSE MYTHOLOGY;by Neil Gaiman;5 weeks on the list,MILK AND HONEY;by Rupi Kaur;48 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;13 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;26 weeks on the list,ON TYRANNY;by Timothy Snyder;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;61 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;6 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;4 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;8 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;38 weeks on the list",THE UNDOING PROJECT;by Michael Lewis;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,SHAKEN;by Tim Tebow;
4,BIG LITTLE LIES;by Liane Moriarty;30 weeks on the list,LINCOLN IN THE BARDO;by George Saunders;4 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;19 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;26 weeks on the list,DEAR IJEAWELE;by Chimamanda Ngozi Adichie;New this week,LION;by Saroo Brierley;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;191 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;10 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;76 weeks on the list,RED QUEEN;by Victoria Aveyard;5 weeks on the list,THE MADDIE DIARIES;by Maddie Ziegler;New this week,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,THE UNDOING PROJECT;by Michael Lewis;,I GOT THIS;by Laurie Hernandez;
5,A MAN CALLED OVE;by Fredrik Backman;42 weeks on the list,EXIT WEST;by Mohsin Hamid;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;31 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;5 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;54 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;19 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;13 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;23 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;194 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;39 weeks on the list,CARAVAL;by Stephanie Garber;6 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",YOU ARE THE UNIVERSE;by Deepak Chopra and Menas Kafatos;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;
6,THE OBSESSION;by Nora Roberts;7 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;17 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;2 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;7 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;21 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;74 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;9 weeks on the list,DOG MAN;by Dav Pilkey;28 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;91 weeks on the list",DORK DIARIES;by Rachel Renée Russell;198 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;19 weeks on the list,BLACK EDGE;by Sheelah Kolhatkar;,SAPIENS;by Yuval Noah Harari;,BARBARIAN DAYS;by William Finnegan;
7,BRIGHTER THAN THE SUN;by Maya Banks;New this week,HEARTBREAK HOTEL;by Jonathan Kellerman;4 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;47 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;55 weeks on the list,BIG AGENDA;by David Horowitz;5 weeks on the list,ORIGINALS;by Adam Grant;5 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;14 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;33 weeks on the list,"GOODNIGHT, NUMBERS;by Danica McKellar. Illustrated by Alicia Padrón;New this week",BIG NATE;written and illustrated by Lincoln Peirce;124 weeks on the list,FROSTBLOOD;by Elly Blake;4 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",A LIFE WELL PLAYED;by Arnold Palmer;
8,A DOG'S PURPOSE;by W. Bruce Cameron;14 weeks on the list,THE WHISTLER;by John Grisham;20 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;3 weeks on the list,ON TYRANNY;by Timothy Snyder;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;21 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;126 weeks on the list",THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;75 weeks on the list,BASEBALL GENIUS;by Tim Green and Derek Jeter;New this week,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;27 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;77 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;41 weeks on the list,ORIGINALS;by Adam Grant;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,BELICHICK AND BRADY;by Michael Holley;
9,EXPECTING TO DIE;by Lisa Jackson;2 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;31 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;5 weeks on the list,BIG AGENDA;by David Horowitz;5 weeks on the list,SOUTH AND WEST;by Joan Didion;New this week,JUST MERCY;by Bryan Stevenson;64 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;118 weeks on the list,RAD AMERICAN WOMEN A-Z;by Kate Schatz. Illustrated by Miriam Klein Stahl;5 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;160 weeks on the list,VEGA JANE;by David Baldacci;2 weeks on the list,MOON CHOSEN;by P. C. Cast;19 weeks on the list,GRIT;by Angela Duckworth;,THE POWER OF HABIT;by Charles Duhigg;,WHAT DOESN’T KILL US;by Scott Carney;
10,CROSS THE LINE;by James Patterson;10 weeks on the list,A PIECE OF THE WORLD;by Christina Baker Kline;3 weeks on the list,THE ORPHAN'S TALE;by Pam Jenoff;3 weeks on the list,DEAR IJEAWELE;by Chimamanda Ngozi Adichie;New this week,THANK YOU FOR BEING LATE;by Thomas L. Friedman;16 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;150 weeks on the list,YOUNGER;by Sara Gottfried;New this week,SURVIVORS CLUB;by Michael Bornstein and Debbie Bornstein Holinstat;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;127 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;422 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;41 weeks on the list,MAKE YOUR KID A MONEY GENIUS (EVEN IF YOU'RE NOT);by Beth Kobliner;,QUIET;by Susan Cain;,STRING THEORY;by David Foster Wallace;
