,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;22 weeks on the list,GONE GIRL;by Gillian Flynn;8 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;20 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,WILD;by Cheryl Strayed;15 weeks on the list,WILD;by Cheryl Strayed;15 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;13 weeks on the list,WILD;by Cheryl Strayed;19 weeks on the list,WHEAT BELLY;by William Davis;16 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;9 weeks on the list,WILD;by Cheryl Strayed;,BATMAN: EARTH ONE;by Geoff Johns and Gary Frank;3 weeks on the list,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;9 weeks on the list,"BLACK BUTLER, VOL. 10;by Yana Toboso;New this week","THE LAND OF STORIES, THE WISHING SPELL;by Chris Colfer. Illustrated by Brandon Dorman;2 weeks on the list",DIVERGENT;by Veronica Roth;22 weeks on the list,ROCKET WRITES A STORY;by Tad Hills;New this week,THE HUNGER GAMES;by Suzanne Collins;101 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
2,FIFTY SHADES DARKER;by E. L. James;22 weeks on the list,WHERE WE BELONG;by Emily Giffin;New this week,FIFTY SHADES DARKER;by E. L. James;17 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,UNBROKEN;by Laura Hillenbrand;79 weeks on the list,UNBROKEN;by Laura Hillenbrand;89 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;73 weeks on the list,UNBROKEN;by Laura Hillenbrand;79 weeks on the list,THE SKINNY RULES;by Bob Harper with Greg Critser;11 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;261 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;84 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;28 weeks on the list,"PANDORA HEARTS, VOL. 11;by Jun Mochizuki;New this week",INSURGENT;by Veronica Roth;13 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;43 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;185 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,AMATEUR;by Edward Klein;
3,FIFTY SHADES FREED;by E. L. James;21 weeks on the list,FRIENDS FOREVER;by Danielle Steel;New this week,FIFTY SHADES FREED;by E. L. James;17 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;43 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;44 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;281 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;44 weeks on the list,THE 17 DAY DIET;by Mike Moreno;63 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;572 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;11 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;55 weeks on the list","ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 1;by  QuinRose and Mamenosuke Fujimaru;2 weeks on the list",THE FAULT IN OUR STARS;by John Green;29 weeks on the list,THE BOOK THIEF;by Markus Zusak;255 weeks on the list,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE;by William Joyce. Illustrated by William Joyce and Joe Bluhm;6 weeks on the list,DORK DIARIES;by Rachel Renée Russell;43 weeks on the list,IMAGINE;by Jonah Lehrer;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,GONE GIRL;by Gillian Flynn;8 weeks on the list,BLACK LIST;by Brad Thor;New this week,BARED TO YOU;by Sylvia Day;7 weeks on the list,,,GONE GIRL;by Gillian Flynn;,IN THE GARDEN OF BEASTS;by Erik Larson;48 weeks on the list,AMATEUR;by Edward Klein;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;60 weeks on the list,STEVE JOBS;by Walter Isaacson;40 weeks on the list,"SPY THE LIE;by Philip Houston, Michael Floyd and Susan Carnicero with Don Tennant;2 weeks on the list",THE HAPPINESS PROJECT;by Gretchen Rubin;73 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,GET JIRO!;by Anthony Bourdain and Joel Rose;4 weeks on the list,"THE WALKING DEAD, RISE OF THE GOVERNOR;by Robert Kirkman and Jay Bonansinga;6 weeks on the list","FINDER, VOL. 6;by Ayano Yamane;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;60 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;8 weeks on the list,WE ARE IN A BOOK!;written and illustrated by Mo Willems;10 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;263 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",VISION;by Gordon D'Angelo;,COWARDS;by Glenn Beck and Kevin Balfe;
5,WHERE WE BELONG;by Emily Giffin;New this week,THE FALLEN ANGEL;by Daniel Silva;2 weeks on the list,11/22/63;by Stephen King;New this week,,,WHERE WE BELONG;by Emily Giffin;,STEVE JOBS;by Walter Isaacson;40 weeks on the list,STEVE JOBS;by Walter Isaacson;39 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;4 weeks on the list,HOW TO BE A WOMAN;by Caitlin Moran;2 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;21 weeks on the list,EAT TO LIVE;by Joel Fuhrman;55 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"BATMAN: YEAR ONE, DELUXE EDITION;by Frank Miller and David Mazzucchelli;New this week",BATMAN: YEAR ONE;by Frank Miller and David Mazzucchelli;3 weeks on the list,"NARUTO, VOL. 57;by Masashi Kishimoto;3 weeks on the list",BETWEEN THE LINES;by Jodi Picoult and Samantha van Leer;5 weeks on the list,BRAVE: THE JUNIOR NOVELIZATION;adapted by Irene Trimble;8 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;13 weeks on the list,KANE CHRONICLES;by Rick Riordan;13 weeks on the list,MOBILE WAVE;by Michael Saylor;,DRIVE;by Daniel H. Pink;,AMERICAN SON;by Marco Rubio;
6,FRIENDS FOREVER;by Danielle Steel;New this week,BROKEN HARBOR;by Tana French;New this week,THE NIGHT CIRCUS;by Erin Morgenstern;4 weeks on the list,,,FRIENDS FOREVER;by Danielle Steel;,AMATEUR;by Edward Klein;11 weeks on the list,THE CORRUPTION CHRONICLES;by Tom Fitton;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;89 weeks on the list,BAILOUT;by Neil Barofsky;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;19 weeks on the list,TINY BEAUTIFUL THINGS;by Cheryl Strayed;3 weeks on the list,AMATEUR;by Edward Klein;,ARE YOU MY MOTHER?;by Alison Bechdel;13 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;9 weeks on the list","SOUL EATER NOT!, VOL. 1;by Atsushi Ohkubo;New this week",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;12 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;56 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;27 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;118 weeks on the list,THE PRICE OF INEQUALITY;by Joseph E. Stiglitz;,THE CHECKLIST MANIFESTO;by Atul Gawande;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;
7,BLACK LIST;by Brad Thor;New this week,"I, MICHAEL BENNETT;by James Patterson and Michael Ledwidge;3 weeks on the list",A DISCOVERY OF WITCHES;by Deborah Harkness;10 weeks on the list,,,BLACK LIST;by Brad Thor;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;66 weeks on the list,DREAM TEAM;by Jack McCallum;3 weeks on the list,1493;by Charles C. Mann;New this week,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;15 weeks on the list,THE SECRET;by Rhonda Byrne;193 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;86 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;,PARKER: THE SCORE;by Darwyn Cooke;New this week,BATMAN: HUSH;by Jeph Loeb and Jim Lee;21 weeks on the list,"DURARARA!!, VOL. 3;by Ryohgo Narita;New this week",WONDER;by R.J. Palacio;19 weeks on the list,THE LOST HERO;by Rick Riordan;17 weeks on the list,PRESS HERE;by Hervé Tullet;58 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;258 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;,MONEYBALL;by Michael Lewis;,THE GREAT DESTROYER;by David Limbaugh;
8,BARED TO YOU;by Sylvia Day;8 weeks on the list,SHADOW OF NIGHT;by Deborah Harkness;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;229 weeks on the list,,,BARED TO YOU;by Sylvia Day;,THE GLASS CASTLE;by Jeannette Walls;25 weeks on the list,"DAYS OF DESTRUCTION, DAYS OF REVOLT;by Chris Hedges and Joe Sacco;New this week",HOW TO BE A WOMAN;by Caitlin Moran;2 weeks on the list,AMATEUR;by Edward Klein;11 weeks on the list,WISHES FULFILLED;by Wayne W. Dyer;9 weeks on the list,THE MAGIC;by Rhonda Byrne;17 weeks on the list,OUTLIERS;by Malcolm Gladwell;,BATMAN & ROBIN: BORN TO KILL;by Peter J. Tomasi and Patrick Gleason;3 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;20 weeks on the list","PHOENIX WRIGHT, ACE ATTORNEY, VOL. 5;by Kenji Kuroda;New this week",THE SON OF NEPTUNE;by Rick Riordan;43 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;137 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;15 weeks on the list,THE MAZE RUNNER;by James Dashner;33 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE BIG SHORT;by Michael Lewis;,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;
9,DEEP DOWN;by Lee Child;2 weeks on the list,CREOLE BELLE;by James Lee Burke;2 weeks on the list,MAINE;by J. Courtney Sullivan;9 weeks on the list,,,THE FALLEN ANGEL;by Daniel Silva;,A STOLEN LIFE;by Jaycee Dugard;3 weeks on the list,BAILOUT;by Neil Barofsky;New this week,BOSSYPANTS;by Tina Fey;30 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;63 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;20 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;42 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;,"LOCKE & KEY, VOL. 5;by Joe Hill and Gabriel Rodriguez;New this week","SHOWCASE PRESENTS: RIP HUNTER, TIME MASTER, VOL. 1;by various;New this week","SAILOR MOON, VOL. 6;by Naoko Takeuchi;3 weeks on the list",CHOMP;by Carl Hiaasen;15 weeks on the list,LOOKING FOR ALASKA;by John Green;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;6 weeks on the list,FALLEN;by Lauren Kate;17 weeks on the list,$100 STARTUP;by Chris Guillebeau;,HOW WE DECIDE;by Jonah Lehrer;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
10,BROKEN HARBOR;by Tana French;New this week,A DANCE WITH DRAGONS;by George R. R. Martin;51 weeks on the list,THE LITIGATORS;by John Grisham;5 weeks on the list,,,THE LITIGATORS;by John Grisham;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;77 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;13 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;227 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;22 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;38 weeks on the list,STEAL LIKE AN ARTIST;by Austin Kleon;5 weeks on the list,STEVE JOBS;by Walter Isaacson;,BATGIRL: THE DARKEST REFLECTION;by Gail Simone and Ardian Syaf;2 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;23 weeks on the list,"HIGHSCHOOL OF THE DEAD, VOL. 7;by Daisuke Sato;New this week",CROSSED;by Ally Condie;11 weeks on the list,MATCHED;by Ally Condie;45 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;33 weeks on the list,HARRY POTTER;by J.K. Rowling;289 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,RICH AND THE REST OF US;by Tavis Smiley and Cornel West;,BARACK OBAMA;by David Maraniss;
