,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE BET;by Rachel Van Dyken;2 weeks on the list,DADDY'S GONE A HUNTING;by Mary Higgins Clark;New this week,WORLD WAR Z;by Max Brooks;42 weeks on the list,,,DADDY'S GONE A HUNTING;by Mary Higgins Clark;,LEAN IN;by Sheryl Sandberg with Nell Scovell;5 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;5 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;25 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;8 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;3 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;87 weeks on the list","BLEACH, VOL. 56;by Tite Kubo;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;138 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,SALT SUGAR FAT;by Michael Moss;
2,DADDY'S GONE A HUNTING;by Mary Higgins Clark;New this week,DON'T GO;by Lisa Scottoline;New this week,THE WITNESS;by Nora Roberts;2 weeks on the list,,,DON'T GO;by Lisa Scottoline;,PROOF OF HEAVEN;by Eben Alexander;25 weeks on the list,GIVE AND TAKE;by Adam Grant;New this week,WILD;by Cheryl Strayed;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;5 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;New this week,PROOF OF HEAVEN;by Eben Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;90 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;27 weeks on the list","SAILOR MOON, VOL. 10;by Naoko Takeuchi;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;80 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;83 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;,QUIET;by Susan Cain;
3,UNINTENDED CONSEQUENCES;by Stuart Woods;New this week,LIFE AFTER LIFE;by Kate Atkinson;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;57 weeks on the list,,,LIFE AFTER LIFE;by Kate Atkinson;,BRAIN ON FIRE;by Susannah Cahalan;3 weeks on the list,GULP;by Mary Roach;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;9 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;28 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;New this week,WILD;by Cheryl Strayed;,"ALL-NEW X-MEN, VOL. 1;by Brian Michael Bendis and Stuart Immonen;New this week","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;14 weeks on the list","BLUE EXORCIST, VOL. 9;by Kazue Kato;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;2 weeks on the list,MAXIMUM RIDE;by James Patterson;78 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,DRIVE;by Daniel H. Pink;,NO EASY DAY;by Mark Owen with Kevin Maurer;,THE POWER OF HABIT;by Charles Duhigg;
4,SIX YEARS;by Harlan Coben;4 weeks on the list,UNINTENDED CONSEQUENCES;by Stuart Woods;New this week,THE FORGOTTEN;by David Baldacci;3 weeks on the list,,,UNINTENDED CONSEQUENCES;by Stuart Woods;,GIVE AND TAKE;by Adam Grant;New this week,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;2 weeks on the list,QUIET;by Susan Cain;11 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;25 weeks on the list,LIFE CODE;by Phil McGraw;New this week,GIVE AND TAKE;by Adam Grant;,"THE PHANTOM: THE COMPLETE NEWSPAPER DAILIES, VOL. 5;by Lee Falk;New this week",PUNK ROCK JESUS;by Sean Murphy;New this week,"YU-GI-OH 5D'S, VOL. 4;by Masahiro Hikokubo;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;25 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;17 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
5,DON'T GO;by Lisa Scottoline;New this week,THE BURGESS BOYS;by Elizabeth Strout;3 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;2 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,WILD;by Cheryl Strayed;42 weeks on the list,WAY OF THE KNIFE;by Mark Mazzetti;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;11 weeks on the list,BOSSYPANTS;by Tina Fey;90 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;New this week,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,ADVENTURES OF SUPERMAN: JOSE LUIS GARCIA-LOPEZ;by various;New this week,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;18 weeks on the list","SOUL EATER, VOL. 13;by Atsushi Ohkubo;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;87 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;222 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BIG DATA;by Viktor Mayer-Schonberger and Kenneth Cukier;
6,DAMAGED;by H. M. Ward;New this week,MANUSCRIPT FOUND IN ACCRA;by Paulo Coelho;2 weeks on the list,LIFE OF PI;by Yann Martel;28 weeks on the list,,,CALICO JOE;by John Grisham;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;28 weeks on the list,MY WAY;by Paul Anka with David Dalton;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;2 weeks on the list",AFTER VISITING FRIENDS;by Michael Hainey;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,50 GIRLS 50 AND OTHER STORIES;by Al Williamson and others;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;33 weeks on the list","TIGER AND BUNNY, VOL. 1;by Masafumi Nishida and Mizuki Sakakibara;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;48 weeks on the list,CHRONICLES OF NICK;by Sherrilyn Kenyon;4 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,DECISIVE;by Chip Heath and Dan Heath;,PREDICTABLY IRRATIONAL;by Dan Ariely;,UNBROKEN;by Laura Hillenbrand;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,LIFE AFTER LIFE;by Kate Atkinson;2 weeks on the list,GONE GIRL;by Gillian Flynn;45 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;2 weeks on the list,,,THE BURGESS BOYS;by Elizabeth Strout;,GULP;by Mary Roach;2 weeks on the list,GREAT DEFORMATION;by David Stockman;2 weeks on the list,MOST TALKATIVE;by Andy Cohen;New this week,GULP;by Mary Roach;2 weeks on the list,WHEAT BELLY;by William Davis;New this week,GULP;by Mary Roach;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;25 weeks on the list,"HAWKEYE, VOL. 1;by Matt Fraction and David Aja;4 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;12 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;53 weeks on the list,THE INFERNAL DEVICES;by Cassandra Clare;4 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,THE CHECKLIST MANIFESTO;by Atul Gawande;,A HIGHER CALL;by Adam Makos with Larry Alexander;,THE DRUNKEN BOTANIST;by Amy Stewart;
8,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;3 weeks on the list,SIX YEARS;by Harlan Coben;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;54 weeks on the list,,,MANUSCRIPT FOUND IN ACCRA;by Paulo Coelho;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;28 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;13 weeks on the list,BOSSYPANTS;by Tina Fey;67 weeks on the list,GIVE AND TAKE;by Adam Grant;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;New this week,QUIET;by Susan Cain;,TAINT THE MEAT... IT'S THE HUMANITY! AND OTHER STORIES;by Jack Davis and others;New this week,RELISH;by Lucy Knisley;New this week,"LOVELESS: 2-IN-1, VOL. 3;by Yun Kouga;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,EMERALDALICIOUS;by Victoria Kann;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;284 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,END THIS DEPRESSION NOW!;by Paul Krugman;,COOLIDGE;by Amity Shlaes;,THEORETICAL MINIMUM;by Leonard Susskind;
9,FALLING INTO YOU;by Jasinda Wilder;4 weeks on the list,STARTING NOW;by Debbie Macomber;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;54 weeks on the list,,,GONE GIRL;by Gillian Flynn;,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;2 weeks on the list,SALT SUGAR FAT;by Michael Moss;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;126 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;81 weeks on the list,DARING GREATLY;by Brené Brown;New this week,UNSINKABLE;by Debbie Reynolds and Dorian Hannaway;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;29 weeks on the list,"BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;2 weeks on the list","BLOOD LAD, VOL. 2;by Yuuki Kodama;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,OTIS AND THE PUPPY;by Loren Long;5 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;27 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;
10,THE STORYTELLER;by Jodi Picoult;7 weeks on the list,THE STORYTELLER;by Jodi Picoult;7 weeks on the list,FEVER;by Maya Banks;2 weeks on the list,,,SIX YEARS;by Harlan Coben;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;9 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;13 weeks on the list,ESCAPE FROM CAMP 14;by Blaine Harden;3 weeks on the list,ANGELA'S ASHES;by Frank McCourt;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;New this week,WAY OF THE KNIFE;by Mark Mazzetti;,THE COMPLETE PEANUTS: 1987-1988;by Charles M. Schulz;2 weeks on the list,SMILE;by Raina Telgemeier;56 weeks on the list,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 7;by Kazuma Kamachi;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MISS MAPLE'S SEEDS;by Eliza Wheeler;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;268 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN ENTREPRENEUR;by Brant Cooper and Patrick Vlaskovits;,BAILOUT;by Neil Barofsky;,DETROIT;by Charlie LeDuff;,UNLEASH THE POWER OF THE FEMALE BRAIN;by Daniel G. Amen;
