,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,GOLDEN IN DEATH;by J.D. Robb;New this week,AMERICAN DIRT;by Jeanine Cummins;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;40 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;New this week,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;New this week,JUST MERCY;by Bryan Stevenson;191 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;14 weeks on the list",LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;7 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;29 weeks on the list,DOG MAN;by Dav Pilkey;128 weeks on the list,THE HATE U GIVE;by Angie Thomas;154 weeks on the list,THE LAST WISH;by Andrzej Sapkowski;,TALKING TO STRANGERS;by Malcolm Gladwell;,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;,GUTS;by Raina Telgemeier;,VENDETTA IN DEATH;by J.D. Robb;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
2,CROOKED RIVER;by Douglas Preston and Lincoln Child;New this week,GOLDEN IN DEATH;by J.D. Robb;New this week,ONE GOOD DEED;by David Baldacci;3 weeks on the list,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;3 weeks on the list,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;68 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;301 weeks on the list,LITTLE LEADERS;by Vashti Harrison;29 weeks on the list,LOVE FROM THE CRAYONS;by Drew Daywalt and Oliver Jeffers;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;569 weeks on the list,ALL THE STARS AND TEETH;by Adalyn Grace;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;,ATOMIC HABITS;by James Clear;,STRANGE PLANET;by Nathan W. Pyle;,THE BOY;by Tami Hoag;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LONG WAY DOWN;by Jason Reynolds;
3,AMERICAN DIRT;by Jeanine Cummins;3 weeks on the list,CROOKED RIVER;by Douglas Preston and Lincoln Child;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;75 weeks on the list,PROFILES IN CORRUPTION;by Peter Schweizer;3 weeks on the list,PROFILES IN CORRUPTION;by Peter Schweizer;3 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;79 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;2 weeks on the list,EPOCA: THE TREE OF ECROF;by Ivy Claire. Created by Kobe Bryant;2 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;24 weeks on the list,HILO;by Judd Winick;2 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;101 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,THE FIRST LADY;by James Patterson and Brendan DuBois;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,WHERE THE CRAWDADS SING;by Delia Owens;74 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;75 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;38 weeks on the list,EDUCATED;by Tara Westover;103 weeks on the list,EDUCATED;by Tara Westover;103 weeks on the list,MIDNIGHT IN CHERNOBYL;by Adam Higginbotham;New this week,ATOMIC HABITS;by James Clear;14 weeks on the list,REFUGEE;by Alan Gratz;85 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;4 weeks on the list,THE BAD GUYS;by Aaron Blabey;64 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;10 weeks on the list,BLOOD OF ELVES;by Andrzej Sapkowski;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,PIECES OF HER;by Karin Slaughter;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
5,THE MUSEUM OF DESIRE;by Jonathan Kellerman;New this week,THE MUSEUM OF DESIRE;by Jonathan Kellerman;New this week,THE OUTSIDER;by Stephen King;12 weeks on the list,WHY WE'RE POLARIZED;by Ezra Klein;2 weeks on the list,WHY WE'RE POLARIZED;by Ezra Klein;2 weeks on the list,SAPIENS;by Yuval Noah Harari;91 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;165 weeks on the list,THE WIZENARD: TRAINING CAMP;by Wesley King. Created by Kobe Bryant;6 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;14 weeks on the list,HARRY POTTER;by J.K. Rowling;568 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;New this week,THE DUTCH HOUSE;by Ann Patchett;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,PRINCIPLES;by Ray Dalio;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,CUT AND RUN;by Fern Michaels;,THE UNTEACHABLES;by Gordon Korman;,THE LOST;by Natasha Preston;
6,THE LAST WISH;by Andrzej Sapkowski;7 weeks on the list,SUCH A FUN AGE;by Kiley Reid;6 weeks on the list,THE LAST WISH;by Andrzej Sapkowski;4 weeks on the list,JUST MERCY;by Bryan Stevenson;24 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;8 weeks on the list,TO SHAKE THE SLEEPING SELF;by Jedidiah Jenkins;4 weeks on the list,YOU ARE A BADASS;by Jen Sincero;206 weeks on the list,WONDER;by R.J. Palacio;234 weeks on the list,THE UNDEFEATED;by Kwame Alexander. Illustrated by Kadir Nelson;2 weeks on the list,A TWISTED TALE;by Liz Braswell;New this week,ONE OF US IS NEXT;by Karen M. McManus;5 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,CATCH AND KILL;by Ronan Farrow;,OUTLIERS;by Malcolm Gladwell;,DRAMA;by Raina Telgemeier;,SILENT NIGHT;by Danielle Steel;,I AM MALALA;by Malala Yousafzai with Patricia McCormick;,LOOKING FOR ALASKA;by John Green;
7,THE SILENT PATIENT;by Alex Michaelides;21 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;36 weeks on the list,THE OVERSTORY;by Richard Powers;44 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;5 weeks on the list,BECOMING;by Michelle Obama;61 weeks on the list,BORN A CRIME;by Trevor Noah;52 weeks on the list,DARE TO LEAD;by Brené Brown;42 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;44 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;221 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;94 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;107 weeks on the list,SUCH A FUN AGE;by Kiley Reid;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE INFINITE GAME;by Simon Sinek;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,HUCKLEBERRY LAKE;by Catherine Anderson;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,THE DUTCH HOUSE;by Ann Patchett;20 weeks on the list,LOST;by James Patterson and James O. Born;4 weeks on the list,THE SCENT KEEPER;by Erica Bauermeister;New this week,TALKING TO STRANGERS;by Malcolm Gladwell;22 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;22 weeks on the list,WHY WE SLEEP;by Matthew Walker;42 weeks on the list,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;4 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;43 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;37 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;208 weeks on the list,YES NO MAYBE SO;by Becky Albertalli and Aisha Saeed;New this week,THE GUARDIANS;by John Grisham;,PROFILES IN CORRUPTION;by Peter Schweizer;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE COMING STORM;by Nora Roberts;,RESTART;by Gordon Korman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,SUCH A FUN AGE;by Kiley Reid;6 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;20 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;42 weeks on the list,BECOMING;by Michelle Obama;62 weeks on the list,BROTHER & SISTER;by Diane Keaton;New this week,OUTLIERS;by Malcolm Gladwell;312 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;85 weeks on the list",LEGACY AND THE QUEEN;by Annie Matthew. Created by Kobe Bryant;2 weeks on the list,THE SERIOUS GOOSE;by Jimmy Kimmel;10 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;77 weeks on the list,INFINITY SON;by Adam Silvera;4 weeks on the list,SWORD OF DESTINY;by Andrzej Sapkowski;,BORN A CRIME;by Trevor Noah;,RANGE;by David Epstein;,NEW KID;by Jerry Craft;,THE BEST OF US;by Robyn Carr;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,JUST MERCY;by Bryan Stevenson;
10,LITTLE FIRES EVERYWHERE;by Celeste Ng;52 weeks on the list,THE GIRL WITH THE LOUDING VOICE;by Abi Daré;New this week,THE BOOK WOMAN OF TROUBLESOME CREEK;by Kim Michele Richardson;2 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;26 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;22 weeks on the list,GRIT;by Angela Duckworth;66 weeks on the list,MAKE YOUR BED;by William H. McRaven;84 weeks on the list,ALI CROSS;by James Patterson;11 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;4 weeks on the list,ASH PRINCESS;by Laura Sebastian;New this week,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;62 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,SAPIENS;by Yuval Noah Harari;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SISTERS;by Raina Telgemeier;,THE MALTA EXCHANGE;by Steve Berry;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,THE SUN IS ALSO A STAR;by Nicola Yoon;
