,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,THE COLLECTOR;by Nora Roberts;New this week,THE COLLECTOR;by Nora Roberts;New this week,ORPHAN TRAIN;by Christina Baker Kline;35 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;112 weeks on the list,FLASH BOYS;by Michael Lewis;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;179 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;134 weeks on the list,SKINNY MEALS;by Bob Harper;New this week,"SPIDER-MAN: FAMILY BUSINESS;by Mark Waid, James Robinson and Gabriele Dell’Otto;2 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;63 weeks on the list","NARUTO, VOL. 65;by Masashi Kishimoto;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;43 weeks on the list,DIVERGENT;by Veronica Roth;26 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FLASH BOYS;by Michael Lewis;,THE DOCTOR'S DIET;by Travis Stork;,TWELVE YEARS A SLAVE;by Solomon Northup;,QUIET;by Susan Cain;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
2,THE GOLDFINCH;by Donna Tartt;26 weeks on the list,THE GOLDFINCH;by Donna Tartt;26 weeks on the list,SHADOW SPELL;by Nora Roberts;4 weeks on the list,,,FLASH BOYS;by Michael Lewis;3 weeks on the list,THRIVE;by Arianna Huffington;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;78 weeks on the list,FLASH BOYS;by Michael Lewis;3 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;12 weeks on the list,"JUSTICE LEAGUE, VOL. 4;by Geoff Johns and Ivan Reis;2 weeks on the list","SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;4 weeks on the list","FAIRY TAIL, VOL. 37;by Hiro Mashima;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE PIGEON NEEDS A BATH!;by Mo Willems;3 weeks on the list,THE MAZE RUNNER;by James Dashner;80 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THRIVE;by Arianna Huffington;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,UNBROKEN;by Laura Hillenbrand;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",A NICE LITTLE PLACE ON THE NORTH SIDE;by George Will;
3,THE SPACE BETWEEN;by Diana Gabaldon;New this week,I'VE GOT YOU UNDER MY SKIN;by Mary Higgins Clark;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;300 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;30 weeks on the list,PLAYERS FIRST;by John Calipari and Michael Sokolove;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;105 weeks on the list,UPSTAIRS AT THE WHITE HOUSE;by J. B. West with Mary Lynn Kotz;3 weeks on the list,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;8 weeks on the list,"BATMAN ’66, VOL. 1;by Jeff Parker and Richard Case;2 weeks on the list","THE WALKING DEAD, VOL. 20;by Robert Kirkman and Charlie Adlard;6 weeks on the list",SWORD ART ONLINE: AINCRAD;by Reki Kawahara and Tamako Nakamura;3 weeks on the list,BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;23 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;274 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,SMART MONEY SMART KIDS;by Dave Ramsey and Rachel Cruze;,THE HUNGRY GIRL DIET;by Lisa Lillien;,THE DIVIDE;by Matt Taibbi;,DAVID AND GOLIATH;by Malcolm Gladwell;,WHY SOCCER MATTERS;by  Pele with Brian Winter;
4,NYPD RED 2;by James Patterson and Marshall Karp;4 weeks on the list,NYPD RED 2;by James Patterson and Marshall Karp;4 weeks on the list,KING AND MAXWELL;by David Baldacci;4 weeks on the list,,,UPSTAIRS AT THE WHITE HOUSE;by J. B. West with Mary Lynn Kotz;3 weeks on the list,THE DIVIDE;by Matt Taibbi;2 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;33 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;2 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;30 weeks on the list,"AMERICAN VAMPIRE, VOL. 6;by Scott Snyder, Rafael Albuquerque and others;3 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;128 weeks on the list","DEADMAN WONDERLAND, VOL. 2;by Jinsei Katoka and Kazuma Kondou;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;133 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;191 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,THE BLOOD SUGAR SOLUTION 10-DAY DETOX DIET;by Mark Hyman;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
5,THE FIXED TRILOGY;by Laurelin Paige;5 weeks on the list,KEEP QUIET;by Lisa Scottoline;2 weeks on the list,WHISKEY BEACH;by Nora Roberts;3 weeks on the list,,,10% HAPPIER;by Dan Harris;6 weeks on the list,10% HAPPIER;by Dan Harris;6 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;2 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;28 weeks on the list,FOUR BLOOD MOONS;by John Hagee;13 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;19 weeks on the list",EAST OF WEST VOL. 2;by Jonathan Hickman and Nick Dragotta;New this week,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;45 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LOCOMOTIVE;by Brian Floca;12 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;136 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,SKINNY MEALS;by Bob Harper;,CALL TO ACTION;by Jimmy Carter;,THE FUTURE OF THE MIND;by Michio Kaku;,BEYOND TRAINING;by Ben Greenfield;
6,I'VE GOT YOU UNDER MY SKIN;by Mary Higgins Clark;3 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;15 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;110 weeks on the list,,,THE DIVIDE;by Matt Taibbi;2 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;30 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;15 weeks on the list,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;54 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;118 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;59 weeks on the list",WOLF CHILDREN: AME AND YUKI;by Mamoru Hosoda and Yu;3 weeks on the list,WONDER;by R.J. Palacio;295 weeks on the list,HERE COMES THE EASTER CAT;by Deborah Underwood. Illustrated by Claudia Rueda;New this week,SEA BREEZE;by Abbi Glines;6 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",HOW CAN IT BE GLUTEN FREE COOKBOOK;by The Editors at America's Test Kitchen;,DON'T HURT PEOPLE AND DON'T TAKE THEIR STUFF;by Matt Kibbe;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;,THAT'S WHY I'M HERE;by Chris Spielman with Bruce Hooley;
7,SHADOW SPELL;by Nora Roberts;4 weeks on the list,CARNAL CURIOSITY;by Stuart Woods;2 weeks on the list,A GAME OF THRONES;by George R.R. Martin;57 weeks on the list,,,THRIVE;by Arianna Huffington;4 weeks on the list,FACE THE MUSIC;by Paul Stanley;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;150 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;15 weeks on the list,ESSENTIALISM;by Greg McKeown;New this week,A GAME OF THRONES;by George R.R. Martin;21 weeks on the list,THE HARLEM HELLFIGHTERS;by Max Brooks and Caanan White;3 weeks on the list,"MAGI: THE LABYRINTH OF MAGIC, VOL. 5;by Shinobu Ohtaka;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,JOURNEY;by Aaron Becker;23 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;92 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,"CREATIVITY, INC;by Ed Catmull with Amy Wallace;",WHEAT BELLY;by William Davis;,A FIGHTING CHANCE;by Elizabeth Warren;,THE GIRLS OF ATOMIC CITY;by Denise Kiernan;,WHERE NOBODY KNOWS YOUR NAME;by John Feinstein;
8,MISSING YOU;by Harlan Coben;5 weeks on the list,MISSING YOU;by Harlan Coben;5 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;7 weeks on the list,,,CONFIDENCE CODE;by Katty Kay and Claire Shipman;New this week,CONFIDENCE CODE;by Katty Kay and Claire Shipman;New this week,QUIET;by Susan Cain;64 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;30 weeks on the list,THE HUNT;by David Farbman;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;110 weeks on the list",SMILE;by Raina Telgemeier;99 weeks on the list,"BLEACH, VOL. 60;by Tite Kubo;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;19 weeks on the list,GIVER QUARTET;by Lois Lowry;35 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,CONFIDENCE CODE;by Katty Kay and Claire Shipman;,THE END OF DIETING;by Joel Fuhrman;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,GULP;by Mary Roach;,WHEN PRIDE STILL MATTERED;by David Maraniss;
9,ORPHAN TRAIN;by Christina Baker Kline;13 weeks on the list,GONE GIRL;by Gillian Flynn;80 weeks on the list,ME BEFORE YOU;by Jojo Moyes;38 weeks on the list,,,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;New this week,THE OPPOSITE OF LONELINESS;by Marina Keegan;2 weeks on the list,THE EMPATHY EXAMS;by Leslie Jamison;3 weeks on the list,AGAINST ALL ODDS;by Chuck Norris with Ken Abraham;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;30 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;7 weeks on the list,DRAMA;by Raina Telgemeier;57 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;26 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PRESS HERE;by Hervé Tullet;137 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;68 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;",BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,FRANCONA;by Terry Francona and Dan Shaughnessy;
10,GONE GIRL;by Gillian Flynn;73 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;20 weeks on the list,THE BURGESS BOYS;by Elizabeth Strout;2 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;149 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;56 weeks on the list,WILD;by Cheryl Strayed;56 weeks on the list,UNBROKEN;by Laura Hillenbrand;168 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;50 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;21 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;159 weeks on the list","ATTACK ON TITAN: BEFORE THE FALL, VOL. 1;by Hajime Isayama, Ryo Suzukaze and Satoshi Shiki;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,FANCY NANCY AND THE WEDDING OF THE CENTURY;by Jane O'Connor. Illustrated by Robin Preiss Glasser;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;332 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,PRACTICAL PALEO;by Diane Sanfilippo;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,FORGOTTEN SUNDAYS;by Gerry Sandusky;
