,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ROGUE LAWYER;by John Grisham;9 weeks on the list,ROGUE LAWYER;by John Grisham;9 weeks on the list,THE MARTIAN;by Andy Weir;60 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;82 weeks on the list,THE BIG SHORT;by Michael Lewis;22 weeks on the list,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;9 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;6 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;10 weeks on the list","TOKYO GHOUL, VOL. 4;by Sui Ishida;New this week",STAR WARS THE FORCE AWAKENS: BEFORE THE AWAKENING;by Greg Rucka. Illustrated by Phil Noto;New this week,THE SWORD OF SUMMER;by Rick Riordan;11 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;19 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;18 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;353 weeks on the list,THE 5TH WAVE;by Rick Yancey;13 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;10 weeks on the list,THE 5TH WAVE;by Rick Yancey;18 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,THE BIG SHORT;by Michael Lewis;,WHY NOT ME?;by Mindy Kaling;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,100 DEADLY SKILLS;by Clint Emerson;,THE WRIGHT BROTHERS;by David McCullough;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,LOST OCEAN;illustrated by Johanna Basford;,FURIOUSLY HAPPY;by Jenny Lawson;,WHY NOT ME?;by Mindy Kaling;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,WHY NOT ME?;by Mindy Kaling;,H IS FOR HAWK;by Helen Macdonald;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE POWER OF I AM;by Joel Osteen;,THING EXPLAINER;by Randall Munroe;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
2,THE MARTIAN;by Andy Weir;30 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;85 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;16 weeks on the list,,,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;7 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;7 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;29 weeks on the list,SUCH GOOD GIRLS;by R. D. Rosen;3 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;60 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;183 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;164 weeks on the list","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;16 weeks on the list",THE SWORD OF SUMMER;by Rick Riordan;11 weeks on the list,ROBOTS GO WILD;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;4 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;19 weeks on the list,HOW TO CATCH SANTA;by Jean Reagan. Illustrated by Lee Wildish;5 weeks on the list,HARRY POTTER;by J.K. Rowling;352 weeks on the list,THE INFINITE SEA;by Rick Yancey;7 weeks on the list,RED QUEEN;by Victoria Aveyard;18 weeks on the list,PAPER TOWNS;by John Green;19 weeks on the list,THE DOGIST;by Elias Weiss Friedman;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BOYS IN THE TREES;by Carly Simon;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,SPQR;by Mary Beard;,F IN EXAMS;by Richard Benson;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,YOUR BEAUTY MARK;by Dita Von Teese with Rose Apodaca;,THE FOOD LAB;by J. Kenji Lopez-Alt;,STRESS RELIEVING ANIMAL DESIGNS;by the editors of Blue Star Books;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,YES PLEASE;by Amy Poehler;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,JUST MERCY;by Bryan Stevenson;,THE WITCHES;by Stacy Schiff;,WHAT IF?;by Randall Munroe;,CONCUSSION;by Jeanne Marie Laskas;,HUMANS OF NEW YORK;by Brandon Stanton;
3,CROSS JUSTICE;by James Patterson;4 weeks on the list,SEE ME;by Nicholas Sparks;10 weeks on the list,THE ALCHEMIST;by Paulo Coelho;385 weeks on the list,,,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;7 weeks on the list,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;10 weeks on the list,YES PLEASE;by Amy Poehler;16 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THING EXPLAINER;by Randall Munroe;4 weeks on the list,"AMAZING FANTASTIC INCREDIBLE;by Stan Lee, Peter David and Colleen Doran;7 weeks on the list",DRAMA;by Raina Telgemeier;125 weeks on the list,"ATTACK ON TITAN, VOL. 17;by Hajime Isayama;New this week",SKY RAIDERS;by Brandon Mull;New this week,AUGGIE & ME;by R.J. Palacio;18 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;19 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;130 weeks on the list,DORK DIARIES;by Rachel Renée Russell;147 weeks on the list,PAPER TOWNS;by John Green;8 weeks on the list,ELEANOR AND PARK;by Rainbow Rowell;17 weeks on the list,LOOKING FOR ALASKA;by John Green;19 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,ELON MUSK;by Ashlee Vance;,YES PLEASE;by Amy Poehler;,JUST MERCY;by Bryan Stevenson;,M TRAIN;by Patti Smith;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,DEAD WAKE;by Erik Larson;,TIMELESS BEAUTY;by Christie Brinkley;,THUG KITCHEN;by the staff of Thug Kitchen;,ENCHANTED FOREST;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARTH VADER AND SON;by Jeffrey Brown;,DESTINY AND POWER;by Jon Meacham;,THE NEW JIM CROW;by Michelle Alexander;,TROUBLEMAKER;by Leah Remini and Rebecca Paley;,THE WRIGHT BROTHERS;by David McCullough;,UNBROKEN;by Laura Hillenbrand;,MY SOUTHERN JOURNEY;by Rick Bragg;
4,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;65 weeks on the list,THE BAZAAR OF BAD DREAMS;by Stephen King;7 weeks on the list,BROOKLYN;by Colm Toibin;8 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;23 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;23 weeks on the list,IN THE HEART OF THE SEA;by Nathaniel Philbrick;26 weeks on the list,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;7 weeks on the list,THE FOOD LAB;by J. Kenji Lopez-Alt;7 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;14 weeks on the list",SMILE;by Raina Telgemeier;184 weeks on the list,"ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;10 weeks on the list",THE KEEPER;by David Baldacci;15 weeks on the list,WONDER;by R.J. Palacio;19 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;9 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;64 weeks on the list,THE MAZE RUNNER;by James Dashner;167 weeks on the list,SEA OF SHADOWS;by Kelley Armstrong;New this week,SIX OF CROWS;by Leigh Bardugo;11 weeks on the list,THE BOOK THIEF;by Markus Zusak;19 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",TROUBLEMAKER;by Leah Remini and Rebecca Paley;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,HUMANS OF NEW YORK;by Brandon Stanton;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,RED NOTICE;by Bill Browder;,THE INVENTION OF NATURE;by Andrea Wulf;,EMPIRE OF COTTON;by Sven Beckert;,THE 20/20 DIET;by Phil McGraw;,SECRET GARDEN;illustrated by Johanna Basford;,CONCUSSION;by Jeanne Marie Laskas;,SELP-HELF;by Miranda Sings;,CRAZY HORSE AND CUSTER;by Stephen Ambrose;,H IS FOR HAWK;by Helen Macdonald;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,THE BIG SHORT;by Michael Lewis;,EMPIRE OF COTTON;by Sven Beckert;,GRATITUDE;by Oliver Sacks;,BEING MORTAL;by Atul Gawande;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,WILD;by Cheryl Strayed;
5,THE GIRL ON THE TRAIN;by Paula Hawkins;46 weeks on the list,CROSS JUSTICE;by James Patterson;4 weeks on the list,THE MAN IN THE HIGH CASTLE;by Philip K. Dick;4 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;83 weeks on the list,WHAT IF?;by Randall Munroe;40 weeks on the list,THE BIG SHORT;by Michael Lewis;50 weeks on the list,BOYS IN THE TREES;by Carly Simon;4 weeks on the list,THE POWER OF I AM;by Joel Osteen;10 weeks on the list,KILLING AND DYING;by Adrian Tomine;11 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;32 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;118 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;12 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;18 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;19 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;96 weeks on the list,RUSH REVERE;by Rush Limbaugh with Kathryn Adams Limbaugh;18 weeks on the list,ILLUSIONARIUM;by Heather Dixon;New this week,CARRY ON;by Rainbow Rowell;11 weeks on the list,THIS BOOK LOVES YOU;by PewDiePie;9 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,THE POWER OF HABIT;by Charles Duhigg;,FURIOUSLY HAPPY;by Jenny Lawson;,RED NOTICE;by Bill Browder;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE OPPOSITE OF LONELINESS;by Marina Keegan;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE FINEST HOURS;by Michael J. Tougias and Casey Sherman;,HOME;by Ellen DeGeneres;,NERDY NUMMIES COOKBOOK;by Rosanna Pansino;,ADULT COLORING BOOKS;by the staff of Coloring Books for Adults;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BINGE;by Tyler Oakley;,HISTORY OF THE INDIAN TRIBES OF NORTH AMERICA;by Thomas McKenney and James Hall. Illustrated by Charles Bird Kingl;,DARING GREATLY;by Brené Brown;,VADER'S LITTLE PRINCESS;by Jeffrey Brown;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ELON MUSK;by Ashlee Vance;,SUPER BOWL GOLD;by the editors of Sports Illustrated;,THE OREGON TRAIL;by Rinker Buck;
6,SEE ME;by Nicholas Sparks;10 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;49 weeks on the list,READY PLAYER ONE;by Ernest Cline;17 weeks on the list,,,WHAT IF?;by Randall Munroe;20 weeks on the list,DESTINY AND POWER;by Jon Meacham;6 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;314 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;133 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;85 weeks on the list,SISTERS;by Raina Telgemeier;68 weeks on the list,"TOKYO GHOUL, VOL. 3;by Sui Ishida;9 weeks on the list",,THE STORY OF DIVA AND FLEA;by Mo Willems. Illustrated by Tony DiTerlizzi;9 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;19 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;65 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;13 weeks on the list,,FANGIRL;by Rainbow Rowell;18 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;19 weeks on the list,DOG SONGS;by Mary Oliver;,OUTLIERS;by Malcolm Gladwell;,BINGE;by Tyler Oakley;,GHETTOSIDE;by Jill Leovy;,BOB DYLAN: ALL THE SONGS;by Philippe Margotin and Jean-Michel Guesdon;,THE ORGANIZED MIND;by Daniel J. Levitin;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,THE OREGON TRAIL;by Rinker Buck;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN PARTY GRUB GUIDE;by the staff of Thug Kitchen;,"ANIMAL KINGDOM: COLOR ME, DRAW ME;by Millie Marotta;",MEDICAL MEDIUM;by Anthony William;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,LOVE DOES;by Bob Goff;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,CRIPPLED AMERICA;by Donald J. Trump;,GHETTOSIDE;by Jill Leovy;,FOR THE LOVE;by Jen Hatmaker;,QUIET;by Susan Cain;,THE THREE-YEAR SWIM CLUB;by Julie Checkoway;,"RARELY SEEN;by the staff of National Geographic, Stephen Alvarez and Susan Tyler Hitchcock;"
7,THE GUILTY;by David Baldacci;5 weeks on the list,THE MAGIC STRINGS OF FRANKIE PRESTO;by Mitch Albom;6 weeks on the list,GREY;by E. L. James;24 weeks on the list,,,THE WRIGHT BROTHERS;by David McCullough;27 weeks on the list,THE WRIGHT BROTHERS;by David McCullough;28 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;10 weeks on the list,TROUBLEMAKER;by Leah Remini and Rebecca Paley;7 weeks on the list,YEAR OF YES;by Shonda Rhimes;6 weeks on the list,101 ARTISTS TO LISTEN TO BEFORE YOU DIE;by Ricardo Cavolo;6 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;91 weeks on the list","TOKYO GHOUL, VOL. 2;by Sui Ishida;16 weeks on the list",,CRENSHAW;by Katherine Applegate;13 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;8 weeks on the list,PRESS HERE;by Hervé Tullet;220 weeks on the list,DESCENDANTS;by various authors;18 weeks on the list,,"EVERYTHING, EVERYTHING;by Nicola Yoon;15 weeks on the list",THE INFINITE SEA;by Rick Yancey;7 weeks on the list,THE HORSE;by Wendy Williams;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,M TRAIN;by Patti Smith;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE RAP YEAR BOOK;by Shea Serrano and Arturo Torres;,SHOW YOUR WORK!;by Austin Kleon;,THE BILLION DOLLAR SPY;by David E. Hoffman;,PACIFIC;by Simon Winchester;,LOVE STYLE LIFE;by Garance Doré;,GREAT FOOD FAST;by Bob Warden and Christian Stella;,THE OFFICIAL A GAME OF THRONES COLORING BOOK;various illustrators;,DR. KELLYANN'S BONE BROTH DIET;by Kellyann Petrucci;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,MEN EXPLAIN THINGS TO ME;by Rebecca Solnit;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,FERVENT;by Priscilla Shirer;,THE INVENTION OF NATURE;by Andrea Wulf;,"50 YEARS, 50 MOMENTS;by Jerry Rice and Randy O. Williams;",PACIFIC;by Simon Winchester;
8,THE BAZAAR OF BAD DREAMS;by Stephen King;7 weeks on the list,THE GUILTY;by David Baldacci;5 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;7 weeks on the list",,,DESTINY AND POWER;by Jon Meacham;6 weeks on the list,WHY NOT ME?;by Mindy Kaling;13 weeks on the list,QUIET;by Susan Cain;122 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;3 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;45 weeks on the list,THE BEST AMERICAN COMICS 2015;edited by Jonathan Lethem;11 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;10 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;27 weeks on the list",,PERCY JACKSON'S GREEK HEROES;by Rick Riordan. Illustrated by John Rocco;14 weeks on the list,GOOSEBUMPS MOVIE NOVEL;Edited by R. L. Stine;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;211 weeks on the list",LUNAR CHRONICLES;by Marissa Meyer;14 weeks on the list,,ILLUMINAE;by Amie Kaufman and Jay Kristoff;9 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;17 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,WHEN TO ROB A BANK;by Steven D. Levitt and Stephen J. Dubner;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,SISTERS IN LAW;by Linda Hirshman;,SAM PHILLIPS;by Peter Guralnick;,BETWEEN YOU & ME;by Mary Norris;,THE DEVIL'S CHESSBOARD;by David Talbot;,INTO THE WILD;by Jon Krakauer;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,COLOR ME CALM;by Lacy Mucklow. Illustrated by Angela Porter.;,BETTER THAN BEFORE;by Gretchen Rubin;,BOSSYPANTS;by Tina Fey;,,THE ANDY COHEN DIARIES;by Andy Cohen;,HOW TO LOVE;by Thich Nhat Hanh. Illustrated by Jason DeAntonis;,LIGHTS OUT;by Ted Koppel;,NEGROLAND;by Margo Jefferson;,THE EMMAUS CODE;by David Limbaugh;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,VARGIC'S MISCELLANY OF CURIOUS MAPS: MAPPING THE MODERN WORLD;by Martin Vargic;
9,THE BONE LABYRINTH;by James Rollins;New this week,GO SET A WATCHMAN;by Harper Lee;22 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;105 weeks on the list,,,WHY NOT ME?;by Mindy Kaling;14 weeks on the list,SPQR;by Mary Beard;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;59 weeks on the list,SHANGHAI 1937;by Peter Harmsen;New this week,BIG MAGIC;by Elizabeth Gilbert;13 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;24 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: THE TRUTH ABOUT STACEY;by Ann M. Martin and Raina Telgemeier;11 weeks on the list,"ONE-PUNCH MAN, VOL. 3;by ONE and Yusuke Murata;5 weeks on the list",,CIRCUS MIRANDUS;by Cassie Beasley. Illustrated by Diana Sudyka;3 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;14 weeks on the list,WAITING;by Kevin Henkes;7 weeks on the list,I FUNNY;by James Patterson and Chris Grabenstein. Illustrated by Laura Park;6 weeks on the list,,WE ALL LOOKED UP;by Tommy Wallach;8 weeks on the list,"LET IT SNOW;by John Green, Maureen Johnson and Lauren Myracle;New this week",YOU NEED MORE SLEEP;by Francesco Marciuliano;,#GIRLBOSS;by Sophia Amoruso;,WILDFLOWER;by Drew Barrymore;,ORANGE IS THE NEW BLACK;by Piper Kerman;,FLORENCE;by Ross King and Anja Grebe;,ON WRITING;by Stephen King;,A SPY AMONG FRIENDS;by Ben Macintyre;,ASTORIA;by Peter Stark;,HOW TO TIE A TIE;by the Potter Style staff;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,ART THERAPY: THE ART OF COLORING STAR WARS;by Catherine Saunier-Talec and Anne Vallet;,"2,100 ASANAS;by Daniel Lacerda;",HYPERBOLE AND A HALF;by Allie Brosh;,,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,LITTLE VICTORIES;by Jason Gay;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;,CONCUSSION;by Jeanne Marie Laskas;,"IT'S GOOD TO BE GRONK;by Rob ""Gronk"" Gronkowski with Jason Rosenhaus;",FLORENCE;by Ross King and Anja Grebe;
10,THE NIGHTINGALE;by Kristin Hannah;34 weeks on the list,TOM CLANCY: COMMANDER IN CHIEF;by Mark Greaney;3 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;27 weeks on the list,,,SPQR;by Mary Beard;4 weeks on the list,THE WITCHES;by Stacy Schiff;8 weeks on the list,JUST MERCY;by Bryan Stevenson;12 weeks on the list,THE UNCONQUERED;by Scott Wallace;New this week,SELP-HELF;by Miranda Sings;11 weeks on the list,HERE;by Richard McGuire;33 weeks on the list,ROLLER GIRL;by Victoria Jamieson;14 weeks on the list,"NARUTO, VOL. 72;by Masashi Kishimoto;10 weeks on the list",,THE MARVELS;by Brian Selznick;12 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;16 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;20 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;378 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;12 weeks on the list,THE FAULT IN OUR STARS;by John Green;15 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;,EMPIRE OF COTTON;by Sven Beckert;,SINATRA: THE CHAIRMAN;by James Kaplan;,ONE OF US;by Ãsne Seierstad;,VARGIC'S MISCELLANY OF CURIOUS MAPS: MAPPING THE MODERN WORLD;by Martin Vargic;,NEUROTRIBES;by Steve Silberman;,THE PENTAGON'S BRAIN;by Annie Jacobsen;,VOICES FROM CHERNOBYL;by Svetlana Alexievich. Translated by Keith Gessen;,I'LL NEVER WRITE MY MEMOIRS;by Grace Jones as told to Paul Morley;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,TIMELESS BEAUTY;by Christie Brinkley;,THE BIG BAD BOOK OF BILL MURRAY;by Robert Schnakenberg;,,DEAR MR. YOU;by Mary-Louise Parker;,THE LAST SEASON;by Stuart Stevens;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,THE SECRET GAME;by Scott Ellsworth;,IMAGINE HEAVEN;by John Burke;,DARK MATTER AND THE DINOSAURS;by Lisa Randall;,RAW;by Colin Cowherd;,A WALK IN THE WOODS;by Bill Bryson;
