,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,SCARPETTA;by Patricia Cornwell;4 weeks on the list,THE SHACK;by William P. Young;32 weeks on the list,,OUTLIERS;by Malcolm Gladwell;6 weeks on the list,MARLEY AND ME;by John Grogan;42 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;38 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;89 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;48 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;20 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;73 weeks on the list
2,CROSS COUNTRY;by James Patterson;6 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;5 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;15 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;53 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;8 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;14 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;50 weeks on the list,THE BOOK THIEF;by Markus Zusak;68 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;6 weeks on the list,HARRY POTTER;by J.K. Rowling;204 weeks on the list
3,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;7 weeks on the list,THE APPEAL;by John Grisham;6 weeks on the list,,AMERICAN LION;by Jon Meacham;7 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;128 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;9 weeks on the list,TWILIGHT;by Mark Cotta Vaz;11 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;6 weeks on the list",SLAM;by Nick Hornby;12 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;59 weeks on the list,INHERITANCE;by Christopher Paolini;15 weeks on the list
4,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;29 weeks on the list,CHANGE OF HEART;by Jodi Picoult;4 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;14 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;22 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;15 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;12 weeks on the list,THE MAZE OF BONES;by Rick Riordan;16 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;21 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;11 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;18 weeks on the list
5,THE HOST;by Stephenie Meyer;33 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;17 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;7 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;100 weeks on the list,BREAKTHROUGH;by Suzanne Somers;7 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;6 weeks on the list",ONE FALSE NOTE;by Gordon Korman;4 weeks on the list,"MARLEY: A DOG LIKE NO OTHER;, by John Grogan;3 weeks on the list",THE LUMP OF COAL;by Lemony Snicket. Illustrated by Brett Helquist;3 weeks on the list,INKHEART;by Cornelia Funke;14 weeks on the list
6,JUST AFTER SUNSET;by Stephen King;7 weeks on the list,WORLD WITHOUT END;by Ken Follett;12 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;10 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;101 weeks on the list",THE SECRET;by Rhonda Byrne;103 weeks on the list,THE TWILIGHT COMPANION;by Lois H. Gresh;2 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;4 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;8 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;16 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;31 weeks on the list
7,THE LUCKY ONE;by Nicholas Sparks;13 weeks on the list,THE ALCHEMIST;by Paulo Coelho;68 weeks on the list,,WHY WE SUCK;by Denis Leary;6 weeks on the list,TIPPING POINT;by Malcolm Gladwell;221 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;7 weeks on the list",SKINNY BITCH;by Kim Barnouin;77 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;16 weeks on the list,JUST LISTEN;by Sarah Dessen;23 weeks on the list,ABC3D;by Marion Bataille;11 weeks on the list,NIGHT WORLD;by L. J. Smith;4 weeks on the list
8,THE HOUR I FIRST BELIEVED;by Wally Lamb;7 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;45 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;16 weeks on the list",BLINK;by Malcolm Gladwell;63 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;13 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;37 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;10 weeks on the list,THE ALCHEMYST;by Michael Scott;13 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;10 weeks on the list,WARRIORS;by Erin Hunter;67 weeks on the list
9,ARCTIC DRIFT;by Clive Cussler and Dirk Cussler;5 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;69 weeks on the list,,THE SNOWBALL;by Alice Schroeder;13 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;114 weeks on the list,Ripley’s Believe It or Not!: PREPARE TO BE SHOCKED!;by Ripley Entertainment;5 weeks on the list,OUR DUMB WORLD;by The Onion;2 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;13 weeks on the list,THE PENDERWICKS;by Jeanne Birdsall;14 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;11 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;83 weeks on the list
10,DIVINE JUSTICE;by David Baldacci;8 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;4 weeks on the list,,DO THE RIGHT THING;by Mike Huckabee;6 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;65 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;8 weeks on the list,BE THE PACK LEADER;by Cesar Millan with Melissa Jo Peltier;2 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;12 weeks on the list,NO ORDINARY MOUSE;;3 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;10 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;New this week
