,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,EDGE OF ETERNITY;by Ken Follett;New this week,EDGE OF ETERNITY;by Ken Follett;New this week,GONE GIRL;by Gillian Flynn;22 weeks on the list,,,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;2 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;8 weeks on the list,AN INVISIBLE THREAD;by Laura L. Schroff;16 weeks on the list,"ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;by Steve Harvey;2 weeks on the list",SUGAR SKULL;by Charles Burns;New this week,SISTERS;by Raina Telgemeier;5 weeks on the list,"NORAGAMI, VOL. 1;by Adachitoka;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;65 weeks on the list,THE MAZE RUNNER;by James Dashner;102 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,ZERO TO ONE;by Peter Thiel with Blake Masters;,STILL FOOLIN' 'EM;by Billy Crystal;,ORANGE IS THE NEW BLACK;by Piper Kerman;,BAD FEMINIST;by Roxane Gay;,THE ORGANIZED MIND;by Daniel J. Levitin;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",100 DAYS OF REAL FOOD;by Lisa Leake;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",SMOKE GETS IN YOUR EYES;by Caitlin Doughty;,DIARY OF A MAD DIVA;by Joan Rivers;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,WHAT IF?;by Randall Munroe;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,GONE GIRL;by Gillian Flynn;95 weeks on the list,PERSONAL;by Lee Child;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;322 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;171 weeks on the list,WHAT IF?;by Randall Munroe;3 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;17 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;35 weeks on the list,ZERO TO ONE;by Peter Thiel with Blake Masters;New this week,"JUSTICE LEAGUE, VOL. 5;by Geoff Johns, Ivan Reis and Doug Mahnke;New this week","AMULET, VOL. 6;by Kazu Kibuishi;5 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;67 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,HORTON AND THE KWUGGERBUG AND MORE LOST STORIES;by Dr. Seuss;2 weeks on the list,DIVERGENT;by Veronica Roth;48 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANIMAL WISE;by Virginia Morell;,OUTLIERS;by Malcolm Gladwell;,ELVIS AND GINGER;by Ginger Alden;,MANSON;by Jeff Guinn;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,FLEA MARKET FABULOUS;by Lara Spencer;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE HOT ZONE;by Richard Preston;,STILL FOOLIN' 'EM;by Billy Crystal;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE CONSCIOUS PARENT;by Shefali Tsabary;,UNBROKEN;by Laura Hillenbrand;,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;,IN THE KINGDOM OF ICE;by Hampton Sides;,THE BOYS IN THE BOAT;by Daniel James Brown;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;"
3,PERSONAL;by Lee Child;3 weeks on the list,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;3 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;57 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;18 weeks on the list,WORLD ORDER;by Henry Kissinger;2 weeks on the list,WILD;by Cheryl Strayed;78 weeks on the list,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;New this week,WHAT I KNOW FOR SURE;by Oprah Winfrey;3 weeks on the list,"THE WALKING DEAD, BOOK 10;by Robert Kirkman and Charlie Adlard;2 weeks on the list",SMILE;by Raina Telgemeier;119 weeks on the list,"ATTACK ON TITAN, VOL. 13;by Hajime Isayama;4 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,GUS & ME;by Keith Richards with Barnaby Harris and Bill Shapiro. Illustrated by Theodora Richards;2 weeks on the list,GIVER QUARTET;by Lois Lowry;57 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"PAW PRINTS IN OMAN: DOGS, MOGS AND ME;by Charlotte Smith;",THIS CHANGES EVERYTHING;by Naomi Klein;,BOSSYPANTS;by Tina Fey;,MY BELOVED WORLD;by Sonia Sotomayor;,CAPOTE;by Gerald Clarke;,DATACLYSM;by Christian Rudder;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",THE ALL-DAY ENERGY DIET;by Yuri Elkaim;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;,I HATE EVERYONE...STARTING WITH ME;by Joan Rivers;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,JESUS ON TRIAL;by David Limbaugh;,QUIET;by Susan Cain;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;
4,OUTLANDER;by Diana Gabaldon;8 weeks on the list,THE BONE CLOCKS;by David Mitchell;3 weeks on the list,THE TARGET;by David Baldacci;New this week,,,AN INVISIBLE THREAD;by Laura L. Schroff;2 weeks on the list,JESUS ON TRIAL;by David Limbaugh;New this week,OUTLIERS;by Malcolm Gladwell;172 weeks on the list,UNBROKEN;by Laura Hillenbrand;190 weeks on the list,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;3 weeks on the list,"UNCLE SCROOGE AND DONALD DUCK: THE DON ROSA LIBRARY, VOL. 1;by Don Rosa;New this week",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;38 weeks on the list,"MONSTER MUSUME, VOL. 4;by Okayado;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,MIX IT UP!;by Hervé Tullet;New this week,MICHAEL VEY;by Richard Paul Evans;3 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,GENGHIS KHAN AND THE MAKING OF THE MODERN WORLD;by Jack Weatherford;,THE TEACHER WARS;by Dana Goldstein;,TOSS THE GLOSS;by Andrea Q. Robinson and Chesley McLaren;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HACKS FOR MINECRAFTERS;by Megan Miller;,UNHOOKED;by Frederick Woolverton and Susan Shapiro;,BOSSYPANTS;by Tina Fey;,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,WORLD ORDER;by Henry Kissinger;,THE BEST YES;by Lysa TerKeurst;,THIS CHANGES EVERYTHING;by Naomi Klein;,BUSHCRAFT 101;by Dave Canterbury;,THE ULTIMATE SURVIVAL GUIDE;by Chris McNab;
5,THE ALCHEMIST;by Paulo Coelho;3 weeks on the list,FESTIVE IN DEATH;by J. D. Robb;2 weeks on the list,THIS IS WHERE I LEAVE YOU;by Jonathan Tropper;8 weeks on the list,,,WHAT IF?;by Randall Munroe;3 weeks on the list,THIS CHANGES EVERYTHING;by Naomi Klein;New this week,THE POWER OF HABIT;by Charles Duhigg;37 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;2 weeks on the list,THE WAY OF SERENITY;by Jonathan Morris;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;20 weeks on the list,DRAMA;by Raina Telgemeier;62 weeks on the list,"TERRA FORMARS, VOL. 2;by Yu Sasuga and Kenichi Tachibana;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;155 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;345 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,DOGS I HAVE MET AND THE PEOPLE THEY FOUND;by Ken Foster;,THE POWER OF HABIT;by Charles Duhigg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,LAW OF THE JUNGLE;by Paul M. Barrett;,GEEK SUBLIME;by Vikram Chandra;,HOW CHILDREN SUCCEED;by Paul Tough;,THE BEAUTY DETOX DIET;by the editors of Rockridge Press;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,BAD FEMINIST;by Roxane Gay;,HOW CHILDREN SUCCEED;by Paul Tough;,ONE NATION;by Ben Carson with Candy Carson;,UNPHILTERED;by Phil Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBREAKABLE RUNNER;by T. J. Murphy and Brian MacKenzie;,THE IRON ROAD;by Christian Wolmar;
6,TAKE DOWN;by  Fern Michaels;New this week,RAGING HEAT;by Richard Castle;New this week,FIFTY SHADES OF GREY;by E. L. James;125 weeks on the list,,,JESUS ON TRIAL;by David Limbaugh;New this week,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;201 weeks on the list,TALES OF A FEMALE NOMAD;by Rita Golden Gelman;New this week,THE BEST YES;by Lysa TerKeurst;6 weeks on the list,FOREVER EVIL;by Geoff Johns and David Finch;2 weeks on the list,THE WRENCHIES;by Farel Dalrymple;3 weeks on the list,"YU-GI-OH! 5D'S, VOL. 6;by Masahiro Hikokubo and Masashi Sato;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;158 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;53 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNDERWATER DOGS;by Seth Casteel;,THE ORGANIZED MIND;by Daniel J. Levitin;,WILD TALES;by Graham Nash;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;,EXCELLENT SHEEP;by William Deresiewicz;,MEN ARE STUPID . . . AND THEY LIKE BIG BOOBS;by Joan Rivers;,ONE POT;by the editors of Martha Stewart Living;,,SLOW DANCING WITH A STRANGER;by Meryl Comer;,COSBY: HIS LIFE AND TIMES;by Mark Whitaker;,LOVE DOES;by Bob Goff;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,THIS CHANGES EVERYTHING;by Naomi Klein;,WAKING UP;by Sam Harris;,THE POWER OF HABIT;by Charles Duhigg;,THE COMPLETE NINJA;by Masaaki Hatsumi;,THE REPUBLIC OF PIRATES;by Colin Woodard;
7,BIG LITTLE LIES;by Liane Moriarty;8 weeks on the list,THE CHILDREN ACT;by Ian McEwan;2 weeks on the list,THE BEST OF ME;by Nicholas Sparks;30 weeks on the list,,,WORLD ORDER;by Henry Kissinger;2 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;18 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;59 weeks on the list,NAPOLEON'S HEMORRHOIDS;by Phil Mason;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;76 weeks on the list,KILL MY MOTHER;by Jules Feiffer;5 weeks on the list,"FABLES, VOL. 20;by Bill Willingham and Mark Buckingham;2 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;39 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;28 weeks on the list",DORK DIARIES;by Rachel Renée Russell;105 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,HOW GOOGLE WORKS;by Eric Schmidt and Jonathan Rosenberg;,PADDLE YOUR OWN CANOE;by Nick Offerman;,JUST MERCY;by Bryan Stevenson;,SO WE READ ON;by Maureen Corrigan;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,WORN STORIES;by Emily Spivack;,THE GRAIN BRAIN COOKBOOK;by David Perlmutter;,,DR. MUTTER'S MARVELS;by Cristin O'Keefe Aptowicz;,HYPERBOLE AND A HALF;by Allie Brosh;,THE PROMISE;by Rachelle Friedman;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,THE ROOSEVELTS;by Geoffrey C. Ward and Ken Burns;,AN INVISIBLE THREAD;by Laura L. Schroff;,THE ORGANIZED MIND;by Daniel J. Levitin;,WHEN THE GAME STANDS TALL;by Neil Hayes;,HUMANS OF NEW YORK;by Brandon Stanton;
8,SOMEWHERE SAFE WITH SOMEBODY GOOD;by Jan Karon;3 weeks on the list,THE SECRET PLACE;by Tana French;3 weeks on the list,OUTLANDER;by Diana Gabaldon;7 weeks on the list,,,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;New this week,DIARY OF A MAD DIVA;by Joan Rivers;6 weeks on the list,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;3 weeks on the list,JESUS ON TRIAL;by David Limbaugh;2 weeks on the list,THE FORKS OVER KNIVES PLAN;by Alona Pulde and Matthew Lederman and others;New this week,SECONDS;by Bryan Lee O'Malley;10 weeks on the list,PERSEPOLIS;by Marjane Satrapi;39 weeks on the list,"ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;12 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;40 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;23 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,#GIRLBOSS;by Sophia Amoruso;,TIBETAN PEACH PIE;by Tom Robbins;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,TENNESSEE WILLIAMS;by John Lahr;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,VOGUE AND THE METROPOLITAN MUSEUM OF ART COSTUME INSTITUTE;by Hamish Bowles;,WHEAT BELLY TOTAL HEALTH;by Williams Davis;,,THE END OF BACK PAIN;by Patrick Roth;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,FIRE SHUT UP IN MY BONES;by Charles M. Blow;,NO-DRAMA DISCIPLINE;by Daniel J. Siegel and Tina Payne Bryson;,RISE OF ISIS;by Jay Sekulow with Jordan Sekulow and others;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,DATACLYSM;by Christian Rudder;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,BUSHCRAFT 101;by Dave Canterbury;
9,FESTIVE IN DEATH;by J. D. Robb;2 weeks on the list,WOLF IN WHITE VAN;by John Darnielle;New this week,DARK PLACES;by Gillian Flynn;60 weeks on the list,,,WILD;by Cheryl Strayed;79 weeks on the list,WAKING UP;by Sam Harris;2 weeks on the list,QUIET;by Susan Cain;85 weeks on the list,A MAN CALLED INTREPID;by William Stevenson;New this week,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;10 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;14 weeks on the list,EL DEAFO;by Cece Bell;2 weeks on the list,"THE SEVEN DEADLY SINS, VOL. 4;by Nakaba Suzuki;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,OTIS AND THE SCARECROW;by Loren Long;3 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;158 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,DARING: MY PASSAGES;by Gail Sheehy;,THE HILLSIDE STRANGLERS;by  Darcy O'Brien;,I WEAR THE BLACK HAT;by Chuck Klosterman;,THINKING IN NUMBERS;by Daniel Tammet;,CHAMPAGNE SUPERNOVAS;by Maureen Callahan;,DANIELLE WALKER'S AGAINST ALL GRAIN: MEALS MADE SIMPLE;by Danielle Walker;,,COCONUT OIL FOR BEGINNERS;by the editors of Rockridge Press;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NARCISSIST NEXT DOOR;by Jeffrey Kluger;,ALL JOY AND NO FUN;by Jennifer Senior;,AMERICA;by Dinesh D'Souza;,THE WAY OF SERENITY;by Jonathan Morris;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE WISDOM OF FAITH;by Bobby Bowden with Steve Bowden;,UGANDA BE KIDDING ME;by Chelsea Handler;
10,THE BEST OF ME;by Nicholas Sparks;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;20 weeks on the list,SYCAMORE ROW;by John Grisham;5 weeks on the list,,,THIS CHANGES EVERYTHING;by Naomi Klein;New this week,UNPHILTERED;by Phil Robertson with Mark Schlabach;3 weeks on the list,ZEALOT;by Reza Aslan;2 weeks on the list,WILD;by Cheryl Strayed;113 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;72 weeks on the list,KICK-ASS 3;by Mark Millar and John Romita Jr.;New this week,"THE WALKING DEAD, VOL. 21;by Robert Kirkman and Charlie Adlard;5 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;38 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LADYBUG GIRL AND THE DRESS-UP DILEMMA;by Jacky Davis. Illustrated by David Soman;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;208 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,DEATH PUNCH'D;by Jeremy Spencer;,DEAL WITH THE DEVIL;by Peter Lance;,LIVE FROM NEW YORK;by Tom Shales and James Andrew Miller;,HOW WE LEARN;by Benedict Carey;,HOW TO TIE A SCARF;by the staff of Potter Style;,WHEAT BELLY;by William Davis;,,TOTAL RECOVERY;by Gary Kaplan;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,"GROWING UP DUGGAR;by Jana, Jill, Jessa and Jinger Duggar;",OFF THE SIDELINES;by Kirsten Gillibrand with Elizabeth Weil;,ESCAPE;by Carolyn Jessop;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
