,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE CUCKOO'S CALLING;by Robert Galbraith;New this week,THE ENGLISH GIRL;by Daniel Silva;New this week,JOYLAND;by Stephen King;7 weeks on the list,,,THIS TOWN;by Mark Leibovich;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;19 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;39 weeks on the list,ZEALOT;by Reza Aslan;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;15 weeks on the list,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;New this week,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;2 weeks on the list","SAILOR MOON, VOL. 12;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;4 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;97 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
2,THE ENGLISH GIRL;by Daniel Silva;New this week,INFERNO;by Dan Brown;10 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;16 weeks on the list,,,ZEALOT;by Reza Aslan;New this week,THIS TOWN;by Mark Leibovich;New this week,OUTLIERS;by Malcolm Gladwell;111 weeks on the list,THIS TOWN;by Mark Leibovich;New this week,LIFE CODE;by Phil McGraw;15 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;5 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;5 weeks on the list","ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 5;by QuinRose and Mamenosuke Fujimaru;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;152 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,FIRST SIGHT;by Danielle Steel;New this week,THE CUCKOO'S CALLING;by Robert Galbraith;New this week,FIFTY SHADES OF GREY;by E. L. James;71 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;39 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;11 weeks on the list",WILD;by Cheryl Strayed;17 weeks on the list,BORN STANDING UP;by Steve Martin;New this week,WHEAT BELLY;by William Davis;15 weeks on the list,BEFORE WATCHMEN: NITE OWL/DR. MANHATTAN;by Adam Hughes;New this week,"THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;7 weeks on the list","MAYO CHIKI, VOL. 3;by Hajime Asano;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;94 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;298 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,INFERNO;by Dan Brown;10 weeks on the list,FIRST SIGHT;by Danielle Steel;New this week,WORLD WAR Z;by Max Brooks;56 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;19 weeks on the list,ZEALOT;by Reza Aslan;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;124 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;2 weeks on the list,DISCOVER YOUR OPTIMAL HEALTH;by Wayne Scott Andersen;New this week,HARLAN ELLISON'S 7 AGAINST CHAOS;by Harlan Ellison and Paul Chadwick;New this week,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;31 weeks on the list","BLEACH, VOL. 57;by Tite Kubo;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;14 weeks on the list",DORK DIARIES;by Rachel Renée Russell;80 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,BREAKPOINT;by Jeff Stibel;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,BREAKPOINT;by Jeff Stibel;
5,HUNTING EVE;by Iris Johansen;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;9 weeks on the list,ENTWINED WITH YOU;by Sylvia Day;7 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;11 weeks on the list",FANTASY LIFE;by Matthew Berry;New this week,THE GLASS CASTLE;by Jeannette Walls;321 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;39 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;15 weeks on the list,CASTLE: A CALM BEFORE STORM;by Peter David and Robert Atkins;New this week,"JUSTICE LEAGUE DARK, VOL. 2;by Mikel Janin;New this week","BLUE EXORCIST, VOL. 10;by Kazue Kato;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;39 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;7 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,GETTYSBURG;by Allen C. Guelzo;,THE POWER OF HABIT;by Charles Duhigg;
6,SECOND HONEYMOON;by James Patterson and Howard Roughan;4 weeks on the list,HIDDEN ORDER;by Brad Thor;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;262 weeks on the list,,,FANTASY LIFE;by Matthew Berry;New this week,UNBROKEN;by Laura Hillenbrand;138 weeks on the list,UNBREAKABLE;by Jenni Rivera with Marissa Mateo;3 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;19 weeks on the list,E-SQUARED;by Pam Grout;New this week,DAREDEVIL: END OF DAYS;by Brian Michael Bendis and others;2 weeks on the list,"SUPERGIRL, VOL. 2;by Mike Johnson;New this week","KINGDOM HEARTS, CHAIN OF MEMORIES;by Shiro Amano;3 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;101 weeks on the list,THE MAZE RUNNER;by James Dashner;55 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,HIDDEN ORDER;by Brad Thor;2 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;5 weeks on the list,THE SECRET KEEPER;by Kate Morton;New this week,,,UNBROKEN;by Laura Hillenbrand;122 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;13 weeks on the list,QUIET;by Susan Cain;25 weeks on the list,"IF YOU LIVED HERE, I'D KNOW YOUR NAME;by Heather Lende;3 weeks on the list",THE FASTDIET;by Michael Mosley and Mimi Spencer;6 weeks on the list,BEFORE WATCHMEN: MINUTEMEN/SILK SPECTRE;by Darwyn Cooke and Amanda Conner;3 weeks on the list,PERSEPOLIS;by Marjane Satrapi;9 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;67 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;236 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,HALLUCINATIONS;by Oliver Sacks;
8,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;9 weeks on the list,GONE GIRL;by Gillian Flynn;59 weeks on the list,THE BAT;by Jo Nesbo;3 weeks on the list,,,OUTLIERS;by Malcolm Gladwell;25 weeks on the list,DAD IS FAT;by Jim Gaffigan;11 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;3 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;13 weeks on the list,DARING GREATLY;by Brené Brown;15 weeks on the list,TEMPLAR;by Jordan Mechner and LeUyen Pham;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;100 weeks on the list","PSYREN, VOL. 11;by Toshiaki Iwashiro;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;9 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;31 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;",KEEP IT PITHY;by Bill O'Reilly;,THE GREATEST SHOW ON EARTH;by Richard Dawkins;
9,PULSE;by Gail McHugh;2 weeks on the list,SECOND HONEYMOON;by James Patterson and Howard Roughan;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;68 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;13 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;16 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;25 weeks on the list,SWIMMING WITH MAYA;by Eleanor Vincent;New this week,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;15 weeks on the list,A GAME OF THRONES;by George R.R. Martin;18 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;38 weeks on the list","POKEMON ADVENTURES, VOL. 17;by Hidenori Kusaka and Satoshi Yamamoto;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;48 weeks on the list,GIVER QUARTET;by Lois Lowry;16 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,BOOMERANG;by Michael Lewis;,THE UNWINDING;by George Packer;,THE DISAPPEARING SPOON;by Sam Kean;
10,GONE GIRL;by Gillian Flynn;57 weeks on the list,BOMBSHELL;by Catherine Coulter;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;67 weeks on the list,,,WILD;by Cheryl Strayed;54 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;10 weeks on the list,BOSSYPANTS;by Tina Fey;81 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;11 weeks on the list",THE 100;by Jorge Cruise;9 weeks on the list,HARK! A VAGRANT;by Kate Beaton;23 weeks on the list,SMILE;by Raina Telgemeier;67 weeks on the list,"DEATH NOTE BLACK, VOL. 1;by Tsugumi Ohba and Takeshi Obata;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;12 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;270 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN STARTUP;by Eric Ries;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE CHECKLIST MANIFESTO;by Atul Gawande;
