,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;22 weeks on the list,BELIEVING THE LIE;by Elizabeth George;New this week,THE HELP;by Kathryn Stockett;41 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;51 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;61 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;51 weeks on the list,TAKING PEOPLE WITH YOU;by David Novak;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;233 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,X-MEN: SCHISM;by Jason Aaron and others;New this week,"THE WALKING DEAD, VOL. 15;by Robert Kirkman and Charlie Adlard;3 weeks on the list","NEON GENESIS: EVANGELION, VOL. 10;by Osamu Takahashi;New this week",THE FAULT IN OUR STARS;by John Green;New this week,WAR HORSE;by Michael Morpurgo;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;15 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;73 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
2,THE HELP;by Kathryn Stockett;48 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;2 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;134 weeks on the list,,,BELIEVING THE LIE;by Elizabeth George;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;2 weeks on the list,STEVE JOBS;by Walter Isaacson;12 weeks on the list,BOSSYPANTS;by Tina Fey;2 weeks on the list,STEVE JOBS;by Walter Isaacson;12 weeks on the list,CHOOSE TO LOSE;by Chris Powell;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;544 weeks on the list,STEVE JOBS;by Walter Isaacson;,"THE ADVENTURES OF TINTIN, VOL. 1;by Hergé;7 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;17 weeks on the list","DANCE IN THE VAMPIRE BUND, VOL. 11;by Nozomu Tamaki;New this week",THE SON OF NEPTUNE;by Rick Riordan;15 weeks on the list,SWITCHED;by Amanda Hocking;2 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;157 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
3,BELIEVING THE LIE;by Elizabeth George;New this week,GIDEON’S CORPSE;by Douglas Preston and Lincoln Child;New this week,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;4 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,STEVE JOBS;by Walter Isaacson;12 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;19 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;45 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;2 weeks on the list,SEXPERIMENT;by Ed and Lisa Young;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;63 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"BATMAN: THE DARK KNIGHT, VOL. 1;by David Finch;New this week",HEALTH CARE REFORM;by Jonathan Gruber;New this week,"NARUTO, VOL. 54;by Masashi Kishimoto;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;32 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;31 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;8 weeks on the list,INHERITANCE;by Christopher Paolini;31 weeks on the list,BOOMERANG;by Michael Lewis;,"I, STEVE;edited by George Beahm;",BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;
4,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;14 weeks on the list,DARTH PLAGUEIS;by James Luceno;New this week,THE TIGER'S WIFE;by Téa Obreht;11 weeks on the list,,,THE HELP;by Kathryn Stockett;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;16 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;16 weeks on the list,____ FINISH FIRST;by Tucker Max;13 weeks on the list,UNBROKEN;by Laura Hillenbrand;51 weeks on the list,THE 17 DAY DIET;by Mike Moreno;39 weeks on the list,MONEY CLASS;by Suze Orman;New this week,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,"TWILIGHT: THE GRAPHIC NOVEL, VOL. 2;by Stephenie Meyer and Young C. Kim;14 weeks on the list",THE COMPLETE PERSEPOLIS;by Marjane Satrapi;10 weeks on the list,"ROSARIO+VAMPIRE SEASON II, VOL. 7;by Akihisa Ikeda;2 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;11 weeks on the list,MATCHED;by Ally Condie;17 weeks on the list,IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;15 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;254 weeks on the list,BACK TO WORK;by Bill Clinton;,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,JACK KENNEDY;by Chris Matthews;
5,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;2 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;6 weeks on the list,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;New this week,,,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;,BOSSYPANTS;by Tina Fey;32 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;12 weeks on the list",OUTLIERS;by Malcolm Gladwell;32 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;16 weeks on the list,THE DASH DIET ACTION PLAN;by Marla Heller;2 weeks on the list,EAT TO LIVE;by Joel Fuhrman;30 weeks on the list,BOSSYPANTS;by Tina Fey;,HABIBI;by Craig Thompson;16 weeks on the list,"FABLES, VOL. 16;by Bill Willingham and others;4 weeks on the list","CASE CLOSED, VOL. 41;by Gosho Aoyama;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;96 weeks on the list,THE BOOK THIEF;by Markus Zusak;227 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;13 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;61 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,CATHERINE THE GREAT;by Robert K. Massie;
6,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;2 weeks on the list,11/22/63;by Stephen King;10 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;84 weeks on the list,,,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;,UNBROKEN;by Laura Hillenbrand;51 weeks on the list,THE OBAMAS;by Jodi Kantor;New this week,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;New this week,THE OBAMAS;by Jodi Kantor;New this week,DELICIOUSLY G-FREE;by Elisabeth Hasselbeck;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;45 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,HARK! A VAGRANT;by Kate Beaton;16 weeks on the list,"FUBAR, VOL. 2;by  Jeff McComsey and others;New this week","SKIP BEAT!, VOL. 26;by Yoshiki Nakamura;2 weeks on the list",CLOCKWORK PRINCE;by Cassandra Clare;6 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;124 weeks on the list,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;15 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;234 weeks on the list,TIME TO GET TOUGH;by  Donald J. Trump;,DRIVE;by Daniel H. Pink;,BOOMERANG;by Michael Lewis;
7,LOTHAIRE;by Kresley Cole;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;74 weeks on the list,TINKER TAILOR SOLDIER SPY;by John le Carré;3 weeks on the list,,,GIDEON’S CORPSE;by Douglas Preston and Lincoln Child;,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;61 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;199 weeks on the list,BOSSYPANTS;by Tina Fey;41 weeks on the list,EMOTIONAL EQUATIONS;by Chip Conley;New this week,RADICAL;by David Platt;72 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;45 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;104 weeks on the list","DENGEKI DAISY, VOL. 8;by Kyousuke Motomi;2 weeks on the list",THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;2 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;22 weeks on the list",STUCK;by Oliver Jeffers;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;203 weeks on the list,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,TIPPING POINT;by Malcolm Gladwell;,IN THE GARDEN OF BEASTS;by Erik Larson;
8,11/22/63;by Stephen King;10 weeks on the list,COPPER BEACH;by Jayne Ann Krentz;New this week,NIGHT ROAD;by Kristin Hannah;2 weeks on the list,,,DARTH PLAGUEIS;by James Luceno;,THE OBAMAS;by Jodi Kantor;New this week,ELIZABETH THE QUEEN;by Sally Bedell Smith;New this week,IN THE STILL OF THE NIGHT;by Ann Rule;3 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;6 weeks on the list,I GOT THIS;by Jennifer Hudson;New this week,FORKS OVER KNIVES;edited by Gene Stone;20 weeks on the list,THE OBAMAS;by Jodi Kantor;,FEYNMAN;by Jim Ottaviani and Leland Myrick;11 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;74 weeks on the list,"NARUTO, VOL. 53;by Masashi Kishimoto;6 weeks on the list",THE LOST HERO;by Rick Riordan;62 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;15 weeks on the list,LLAMA LLAMA HOME WITH MAMA;by Anna Dewdney;14 weeks on the list,NIGHTSHADE;by Andrea Cremer;2 weeks on the list,CIVILIZATION;by Niall Ferguson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,BACK TO WORK;by Bill Clinton;
9,THE 7TH MONTH;by Lisa Gardner;New this week,LOTHAIRE;by Kresley Cole;New this week,THE HARBINGER;by Jonathan Cahn;2 weeks on the list,,,DEATH COMES TO PEMBERLEY;by P. D. James;,"THINKING, FAST AND SLOW;by Daniel Kahneman;10 weeks on the list",GREEDY BASTARDS;by Dylan Ratigan;New this week,BORN TO RUN;by Christopher McDougall;42 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;10 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;6 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;31 weeks on the list",UNBROKEN;by Laura Hillenbrand;,THE BEST AMERICAN COMICS 2011;by various;10 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;103 weeks on the list,"JORMUNGAND, VOL. 8;by Keitaro Takahashi;New this week",WONDERSTRUCK;by Brian Selznick;18 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;21 weeks on the list,ME ... JANE;by Patrick McDonnell;8 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;43 weeks on the list,ENTRELEADERSHIP;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,THE TIME OF OUR LIVES;by Tom Brokaw;
10,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;21 weeks on the list,THE LITIGATORS;by John Grisham;12 weeks on the list,A DISCOVERY OF WITCHES;by Deborah Harkness;3 weeks on the list,,,THE TIGER'S WIFE;by Téa Obreht;,CATHERINE THE GREAT;by Robert K. Massie;10 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;9 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;254 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;36 weeks on the list,BUILDING A MAGNETIC CULTURE;by Kevin Sheridan;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;131 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BATMAN: NOEL;by Lee Bermejo;9 weeks on the list,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and others;New this week,"MAXIMUM RIDE MANGA, VOL. 5;by James Patterson;5 weeks on the list",A MILLION SUNS;by Beth Revis;New this week,BEFORE I FALL;by Lauren Oliver;5 weeks on the list,STARS;by Mary Lyn Ray. Illustrated by Marla Frazee;2 weeks on the list,THE MAZE RUNNER;by James Dashner;6 weeks on the list,CURRENCY WARS;by James Rickards;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,Jacqueline Kennedy: Historic Conversations On Life With John F. Kennedy;;
