,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE LATE SHOW;by Michael Connelly;New this week,THE LATE SHOW;by Michael Connelly;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;15 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;New this week,DEVIL'S BARGAIN;by Joshua Green;New this week,THE GLASS CASTLE;by Jeannette Walls;383 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;32 weeks on the list,WONDER;by R.J. Palacio;102 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;8 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;35 weeks on the list,THE HATE U GIVE;by Angie Thomas;21 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BOYS IN THE BOAT;by Daniel James Brown;
2,THE WHISTLER;by John Grisham;18 weeks on the list,CAMINO ISLAND;by John Grisham;7 weeks on the list,MILK AND HONEY;by Rupi Kaur;67 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;52 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;12 weeks on the list,DUNKIRK;by Joshua Levine;3 weeks on the list,YOU ARE A BADASS;by Jen Sincero;80 weeks on the list,THE DARK PROPHECY;by Rick Riordan;12 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;12 weeks on the list,HARRY POTTER;by J.K. Rowling;435 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
3,CAMINO ISLAND;by John Grisham;7 weeks on the list,HOUSE OF SPIES;by Daniel Silva;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;24 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;12 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;52 weeks on the list,ON TYRANNY;by Timothy Snyder;21 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;210 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;179 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;76 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;9 weeks on the list,GRIT;by Angela Duckworth;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
4,HOUSE OF SPIES;by Daniel Silva;2 weeks on the list,INTO THE WATER;by Paula Hawkins;12 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;21 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;8 weeks on the list","AL FRANKEN, GIANT OF THE SENATE;by Al Franken;8 weeks on the list",THE DEVIL IN THE WHITE CITY;by Erik Larson;345 weeks on the list,MAKE YOUR BED;by William H. McRaven;16 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;30 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;12 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;436 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;7 weeks on the list,RED NOTICE;by Bill Browder;,HOMO DEUS;by Yuval Noah Harari;,BUT SERIOUSLY;by John McEnroe;
5,BEAUTIFUL MISTAKE;by Vi Keeland;New this week,MURDER GAMES;by James Patterson and Howard Roughan;4 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;3 weeks on the list,DANGEROUS;by Milo Yiannopoulos;3 weeks on the list,DANGEROUS;by Milo Yiannopoulos;3 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;51 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;136 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;95 weeks on the list,DESCENDANTS;by Melissa de la Cruz;9 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",HIDDEN FIGURES;by Margot Lee Shetterly;,PAPI;by David Ortiz with Michael Holley;
6,THE WOMAN IN CABIN 10;by Ruth Ware;26 weeks on the list,THE IDENTICALS;by Elin Hilderbrand;6 weeks on the list,THE WHISTLER;by John Grisham;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;48 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;4 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;84 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;7 weeks on the list,DOG MAN;by Dav Pilkey;47 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;29 weeks on the list,MERCY WATSON;by Kate DiCamillo. Illustrated by Chris Van Dusen;6 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;57 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
7,A GAME OF THRONES;by George R.R. Martin;48 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;35 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;8 weeks on the list,REDISCOVERING AMERICANISM;by Mark R. Levin;4 weeks on the list,UNDERSTANDING TRUMP;by Newt Gingrich;6 weeks on the list,JUST MERCY;by Bryan Stevenson;70 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;93 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;7 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;52 weeks on the list,DORK DIARIES;by Rachel Renée Russell;216 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;52 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SHAKEN;by Tim Tebow;
8,THE HANDMAID'S TALE;by Margaret Atwood;18 weeks on the list,USE OF FORCE;by Brad Thor;4 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;16 weeks on the list,THE MIRACLE OF DUNKIRK;by Walter Lord;New this week,OPTION B;by Sheryl Sandberg and Adam Grant;13 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;33 weeks on the list,THUG KITCHEN;by the staff of Thug Kitchen;61 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;6 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;106 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;438 weeks on the list,THE LAST MAGICIAN;by Lisa Maxwell;New this week,TOOLS OF TITANS;by Tim Ferriss;,SEVEN BRIEF LESSONS ON PHYSICS;by Carlo Rovelli;,I GOT THIS;by Laurie Hernandez;
9,THE GUNSLINGER;by Stephen King;2 weeks on the list,THE DUCHESS;by Danielle Steel;4 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;82 weeks on the list,THE OPERATOR;by Robert O'Neill;6 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;14 weeks on the list,OUTLIERS;by Malcolm Gladwell;237 weeks on the list,DARING GREATLY;by Brené Brown;69 weeks on the list,THE HIDDEN ORACLE;by Rick Riordan;48 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;212 weeks on the list,GIVER QUARTET;by Lois Lowry;145 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;15 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,ON TRAILS;by Robert Moor;,TEAMMATE;by David Ross with Don Yaeger;
10,MILK AND HONEY;by Rupi Kaur;28 weeks on the list,THE BREAKDOWN;by B. A. Paris;New this week,THE NIGHTINGALE;by Kristin Hannah;11 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;14 weeks on the list,YOU DON'T HAVE TO SAY YOU LOVE ME;by Sherman Alexie;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;201 weeks on the list,HOW NOT TO DIE;by Michael Greger with Gene Stone;2 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;29 weeks on the list,"MIGHTY, MIGHTY CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;11 weeks on the list",WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;18 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;36 weeks on the list,SHOE DOG;by Phil Knight;,EVERYTHING ALL AT ONCE;by Bill Nye;,BARBARIAN DAYS;by William Finnegan;
