,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Science,Sports and Fitness,Young Adult Paperback
1,THE INSTITUTE;by Stephen King;2 weeks on the list,THE INSTITUTE;by Stephen King;2 weeks on the list,THE GOLDFINCH;by Donna Tartt;29 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;2 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;2 weeks on the list,BORN A CRIME;by Trevor Noah;32 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;145 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;24 weeks on the list,JUST ASK!;by Sonia Sotomayor. Illustrated by Rafael López;3 weeks on the list,DOG MAN;by Dav Pilkey;108 weeks on the list,THE HATE U GIVE;by Angie Thomas;134 weeks on the list,THE INSTITUTE;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARE TO LEAD;by Brené Brown;,GUTS;by Raina Telgemeier;,LOOK ALIVE TWENTY-FIVE;by Janet Evanovich;,A LONG WALK TO WATER;by Linda Sue Park;,,,SALT TO THE SEA;by Ruta Sepetys;
2,THE TESTAMENTS;by Margaret Atwood;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;103 weeks on the list,PERMANENT RECORD;by Edward Snowden;New this week,PERMANENT RECORD;by Edward Snowden;New this week,SAPIENS;by Yuval Noah Harari;71 weeks on the list,ANTONI IN THE KITCHEN;by Antoni Porowski with Mindy Fox;2 weeks on the list,WONDER;by R.J. Palacio;215 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;12 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;16 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;42 weeks on the list,THE TESTAMENTS;by Margaret Atwood;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE RECKONING;by John Grisham;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,,,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
3,WHERE THE CRAWDADS SING;by Delia Owens;54 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;55 weeks on the list,IT;by Stephen King;24 weeks on the list,EDUCATED;by Tara Westover;83 weeks on the list,CALL SIGN CHAOS;by Jim Mattis and Bing West;3 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;48 weeks on the list,EVERYTHING IS FIGUREOUTABLE;by Marie Forleo;2 weeks on the list,MAX EINSTEIN: REBELS WITH A CAUSE;by James Patterson and Chris Grabenstein;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;203 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;19 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;81 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,CALL SIGN CHAOS;by Jim Mattis and Bing West;,ATOMIC HABITS;by James Clear;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,VINCE FLYNN: RED WAR;by Kyle Mills;,OUT OF MY MIND;by Sharon M. Draper;,,,LONG WAY DOWN;by Jason Reynolds;
4,LAND OF WOLVES;by Craig Johnson;New this week,LAND OF WOLVES;by Craig Johnson;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;55 weeks on the list,CALL SIGN CHAOS;by Jim Mattis and Bing West;3 weeks on the list,EDUCATED;by Tara Westover;83 weeks on the list,JUST MERCY;by Bryan Stevenson;171 weeks on the list,DARE TO LEAD;by Brené Brown;35 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;83 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;288 weeks on the list,HARRY POTTER;by J.K. Rowling;548 weeks on the list,AMERICAN ROYALS;by Katharine McGee;3 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,INSIDE OUT;by Demi Moore;,WHAT IT TAKES;by Stephen A. Schwarzman;,"THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;",SHADOW TYRANTS;by Clive Cussler and Boyd Morrison;,RESTART;by Gordon Korman;,,,SCYTHE;by Neal Shusterman;
5,THE GOLDFINCH;by Donna Tartt;50 weeks on the list,THE GIRL WHO LIVED TWICE;by David Lagercrantz;4 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;18 weeks on the list,SHE SAID;by Jodi Kantor and Megan Twohey;2 weeks on the list,THE ONLY PLANE IN THE SKY;by Garrett M. Graff;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;63 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;288 weeks on the list,REFUGEE;by Alan Gratz;73 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;29 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;189 weeks on the list,FRANKLY IN LOVE;by David Yoon;2 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,PERMANENT RECORD;by Edward Snowden;,OUTLIERS;by Malcolm Gladwell;,DRAMA;by Raina Telgemeier;,JUROR #3;by James Patterson and Nancy Allen;,FRONT DESK;by Kelly Yang;,,,DEAR MARTIN;by Nic Stone;
6,THE HANDMAID'S TALE;by Margaret Atwood;29 weeks on the list,THE ORACLE;by Jonathan Cahn;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;20 weeks on the list,THE ONLY PLANE IN THE SKY;by Garrett M. Graff;2 weeks on the list,SHE SAID;by Jodi Kantor and Megan Twohey;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;292 weeks on the list,WHAT IT TAKES;by Stephen A. Schwarzman;New this week,CHARLIE THORNE AND THE LAST EQUATION;by Stuart Gibbs;New this week,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;20 weeks on the list,THE BAD GUYS;by Aaron Blabey;49 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;91 weeks on the list,VENDETTA IN DEATH;by J.D. Robb;,BECOMING;by Michelle Obama;,RANGE;by David Epstein;,PERSEPOLIS;by Marjane Satrapi;,TURNING POINT;by Danielle Steel;,WISH;by Barbara O'Connor;,,,TURTLES ALL THE WAY DOWN;by John Green;
7,IT;by Stephen King;17 weeks on the list,KILLER INSTINCT;by James Patterson and Howard Roughan;2 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;29 weeks on the list,BECOMING;by Michelle Obama;45 weeks on the list,BECOMING;by Michelle Obama;45 weeks on the list,GRIT;by Angela Duckworth;54 weeks on the list,IT'S NOT SUPPOSED TO BE THIS WAY;by Lysa TerKeurst;18 weeks on the list,THE WILD ROBOT;by Peter Brown;54 weeks on the list,I AM LOVE;by Susan Verde. Illustrated by Peter H. Reynolds;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;549 weeks on the list,ON THE COME UP;by Angie Thomas;31 weeks on the list,VINCE FLYNN: LETHAL AGENT;by Kyle Mills;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,BAD BLOOD;by John Carreyrou;,SMILE;by Raina Telgemeier;,HOT SHOT;by Fern Michaels;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,,,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,THE GIRL WHO LIVED TWICE;by David Lagercrantz;4 weeks on the list,RED AT THE BONE;by Jacqueline Woodson;New this week,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;68 weeks on the list,THE EDUCATION OF AN IDEALIST;by Samantha Power;2 weeks on the list,THE EDUCATION OF AN IDEALIST;by Samantha Power;2 weeks on the list,CALYPSO;by David Sedaris;16 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;76 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;23 weeks on the list,AN ELEPHANT & PIGGIE: BIGGIE-BIGGIE!;by Mo Willems;New this week,SCARY STORIES;by Alvin Schwartz. Illustrated by Stephen Gammell;5 weeks on the list,PERMANENT RECORD;by Mary H. K. Choi;3 weeks on the list,THE GOLDFINCH;by Donna Tartt;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PUMPKINHEADS;by Rainbow Rowell. Illustrated by Faith Erin Hicks;,CONNECTIONS IN DEATH;by J.D. Robb;,GHOST BOYS;by Jewell Parker Rhodes;,,,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
9,KILLER INSTINCT;by James Patterson and Howard Roughan;2 weeks on the list,THE TITANIC SECRET;by Clive Cussler and Jack Du Brul;2 weeks on the list,THE OVERSTORY;by Richard Powers;24 weeks on the list,SAPIENS;by Yuval Noah Harari;86 weeks on the list,"RADICALS, RESISTANCE AND REVENGE;by Jeanine Pirro;4 weeks on the list","THINKING, FAST AND SLOW;by Daniel Kahneman;220 weeks on the list",YOU ARE A BADASS;by Jen Sincero;190 weeks on the list,KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;24 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;286 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;58 weeks on the list,LOKI: WHERE MISCHIEF LIES;by Mackenzi Lee;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;,SAPIENS;by Yuval Noah Harari;,TOOLS AND WEAPONS;by Brad Smith and Carol Ann Browne;,BATMAN: DAMNED;by Brian Azzarello. Illustrated by Lee Bermejo;,THE GOLDFINCH;by Donna Tartt;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,,,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;53 weeks on the list,A BETTER MAN;by Louise Penny;4 weeks on the list,LIAR LIAR;by James Patterson and Candice Fox;New this week,LIFESPAN;by David A. Sinclair and Matthew D. LaPlante;2 weeks on the list,HOW TO;by Randall Munroe;2 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;5 weeks on the list,ATOMIC HABITS;by James Clear;8 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;22 weeks on the list,HEY GRANDUDE!;by Paul McCartney. Illustrated by Kathryn Durst;3 weeks on the list,I SURVIVED;by Lauren Tarshis;57 weeks on the list,WITH THE FIRE ON HIGH;by Elizabeth Acevedo;19 weeks on the list,THE SECRETS WE KEPT;by Lara Prescott;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",MIGHTY JACK AND ZITA THE SPACEGIRL;by Ben Hatke;,CRUCIBLE;by James Rollins;,I AM MALALA;by Malala Yousafzai with Patricia McCormick;,,,"EVERYTHING, EVERYTHING;by Nicola Yoon;"
