,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE ASSOCIATE;by John Grisham;New this week,THE SHACK;by William P. Young;37 weeks on the list,,OUTLIERS;by Malcolm Gladwell;11 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;133 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;New this week",SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;5 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;18 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;2 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;78 weeks on the list
2,THE HOST;by Stephenie Meyer;38 weeks on the list,THE READER;by Bernhard Schlink;9 weeks on the list,,A SLOBBERING LOVE AFFAIR;by Bernard Goldberg;New this week,THE AUDACITY OF HOPE;by Barack Obama;58 weeks on the list,UNCOMMON;by Tony Dungy with Nathan Whitaker;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;19 weeks on the list,SCAT;by Carl Hiaasen;New this week,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;53 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;16 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;3 weeks on the list
3,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;34 weeks on the list,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;4 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;20 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;105 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;43 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;4 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;21 weeks on the list,THE BOOK THIEF;by Markus Zusak;73 weeks on the list,CHANGE HAS COME;with words by Barack Obama. Illustrated by Kadir Nelson.;3 weeks on the list,INKHEART;by Cornelia Funke;19 weeks on the list
4,PLUM SPOOKY;by Janet Evanovich;4 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;9 weeks on the list,,GUILTY;by Ann Coulter;4 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;27 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;11 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;396 weeks on the list,3 WILLOWS;by Ann Brashares;3 weeks on the list,CORALINE;by Neil Gaiman. Illustrated by Dave McKean;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;64 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;23 weeks on the list
5,WHAT I DID FOR LOVE;by Susan Elizabeth Phillips;New this week,PEOPLE OF THE BOOK;by Geraldine Brooks;5 weeks on the list,,THE NEXT 100 YEARS;by George Friedman;New this week,MARLEY AND ME;by John Grogan;47 weeks on the list,THE SECRET;by Rhonda Byrne;108 weeks on the list,BROKEN OPEN;by Elizabeth Lesser;3 weeks on the list,THE MAZE OF BONES;by Rick Riordan;21 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;4 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;16 weeks on the list,HARRY POTTER;by J.K. Rowling;209 weeks on the list
6,DARK OF NIGHT;by Suzanne Brockmann;New this week,FIREFLY LANE;by Kristin Hannah;4 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;15 weeks on the list",THE MIDDLE PLACE;by Kelly Corrigan;6 weeks on the list,WHAT’S AGE GOT TO DO WITH IT?;by Robin McGraw;4 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;5 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;15 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;13 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;7 weeks on the list,THE LUXE;by Anna Godbersen;New this week
7,AGINCOURT;by Bernard Cornwell;2 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;10 weeks on the list,,WE CAN HAVE PEACE IN THE HOLY LAND;by Jimmy Carter;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;70 weeks on the list,THE GREAT DEPRESSION AHEAD;by Harry S. Dent Jr;3 weeks on the list,TWILIGHT;by Mark Cotta Vaz;16 weeks on the list,IDENTICAL;by Ellen Hopkins;14 weeks on the list,TWEAK;by Nic Sheff;4 weeks on the list,ABC3D;by Marion Bataille;14 weeks on the list,MAXIMUM RIDE;by James Patterson;42 weeks on the list
8,BLACK OPS;by W. E. B. Griffin;5 weeks on the list,STILL ALICE;by Lisa Genova;4 weeks on the list,,AMERICAN LION;by Jon Meacham;12 weeks on the list,TIPPING POINT;by Malcolm Gladwell;226 weeks on the list,THE SURVIVORS CLUB;by Ben Sherwood;New this week,SKINNY BITCH;by Kim Barnouin;82 weeks on the list,SAVVY;by Ingrid Law;2 weeks on the list,WICKED: WITCH AND CURSE;by Nancy Holder and Debbie Viguié;New this week,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;4 weeks on the list,INHERITANCE;by Christopher Paolini;20 weeks on the list
9,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;20 weeks on the list,THE APPEAL;by John Grisham;11 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;21 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;106 weeks on the list",BREAKTHROUGH;by Suzanne Somers;9 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;79 weeks on the list,THE UNDERNEATH;by Kathi Appelt. Illustrated by David Small;New this week,SLAM;by Nick Hornby;16 weeks on the list,THE HOUSE IN THE NIGHT;by Susan Marie Swanson. Illustrated by Beth Krommes.;New this week,NIGHT WORLD;by L. J. Smith;9 weeks on the list
10,A DARKER PLACE;by Jack Higgins;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;22 weeks on the list,,WHY WE SUCK;by Denis Leary;11 weeks on the list,BLINK;by Malcolm Gladwell;68 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;14 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;41 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;New this week,,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;21 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;7 weeks on the list
