,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,WATER FOR ELEPHANTS;by Sara Gruen;14 weeks on the list,THE SIXTH MAN;by David Baldacci;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;118 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;14 weeks on the list,BOSSYPANTS;by Tina Fey;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;24 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;14 weeks on the list,THE DUKAN DIET;by Pierre Dukan;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;12 weeks on the list,"FABLES, VOL. 15;by Bill Willingham and Mark Buckingham;3 weeks on the list","BLACK BUTLER, VOL. 5;by Yana Toboso;New this week",THE TWILIGHT SAGA: THE OFFICIAL ILLUSTRATED GUIDE;by Stephenie Meyer;3 weeks on the list,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;4 weeks on the list,CHARLIE THE RANCH DOG;by Ree Drummond. Illustrated by Diane DeGroat;New this week,THE HUNGER GAMES;by Suzanne Collins;36 weeks on the list
2,SOMETHING BORROWED;by Emily Giffin;3 weeks on the list,THE LAND OF PAINTED CAVES;by Jean M. Auel;5 weeks on the list,THE HELP;by Kathryn Stockett;4 weeks on the list,,,THE HELP;by Kathryn Stockett;,BOSSYPANTS;by Tina Fey;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;24 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;8 weeks on the list,BOSSYPANTS;by Tina Fey;4 weeks on the list,"20 YEARS YOUNGER;by Bob Greene with Howard Lancer, Ronald L. Kotler and Diane L. McKay;New this week",NOW EAT THIS! DIET;by Rocco DiSpirito;6 weeks on the list,BOSSYPANTS;by Tina Fey;,MISTER WONDERFUL;by Daniel Clowes;3 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;60 weeks on the list,"MAXIMUM RIDE, VOL. 4;by James Patterson and NaRae Lee;New this week",SUMMER AND THE CITY;by Candace Bushnell;New this week,THE CARRIE DIARIES;by Candace Bushnell;New this week,"A FRIEND FOR EINSTEIN, THE SMALLEST STALLION;by Charlie Cantrell and Rachel Wagner;2 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;120 weeks on the list
3,THE SIXTH MAN;by David Baldacci;2 weeks on the list,BEL-AIR DEAD;by Stuart Woods;New this week,A VISIT FROM THE GOON SQUAD;by Jennifer Egan;6 weeks on the list,,,THE SIXTH MAN;by David Baldacci;,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;New this week,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;New this week,BORN TO RUN;by Christopher McDougall;5 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;New this week,THE 17 DAY DIET;by Mike Moreno;7 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;196 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;8 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;76 weeks on the list","ROSARIO + VAMPIRE: SEASON II, VOL. 4;by Akihisa Ikeda;4 weeks on the list",WE'LL ALWAYS HAVE SUMMER;by Jenny Han;New this week,THE BOOK THIEF;by Markus Zusak;190 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;16 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;42 weeks on the list
4,THE HELP;by Kathryn Stockett;11 weeks on the list,A TURN IN THE ROAD;by Debbie Macomber;New this week,THE 9TH JUDGMENT;by James Patterson and Maxine Paetro;3 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,UNBROKEN;by Laura Hillenbrand;14 weeks on the list,KABOOM!;by Darell Hammond;New this week,THE INTERNET IS A PLAYGROUND;by David Thorne;New this week,UNBROKEN;by Laura Hillenbrand;14 weeks on the list,LOVE WINS;by Rob Bell;7 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;509 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"THE LEGION OF SUPER-HEROES, VOL. 1: THE CHOICE;by Paul Levitz and Yildray Cinar;New this week","SENSATIONAL SHE-HULK, VOL. 1;by John Byrne;New this week","HIGH SCHOOL OF THE DEAD, VOL. 2;by Daisuke Sato and Shouji Sato;New this week",THE LOST HERO;by Rick Riordan;29 weeks on the list,BEASTLY;by Alex Flinn;12 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;13 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;62 weeks on the list
5,A GAME OF THRONES;by George R.R. Martin;3 weeks on the list,THE FIFTH WITNESS;by Michael Connelly;4 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;66 weeks on the list,,,SOMETHING BORROWED;by Emily Giffin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;14 weeks on the list,LIBERTY DEFINED;by Ron Paul;2 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;30 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;14 weeks on the list,MY FATHER'S DAUGHTER;by Gwyneth Paltrow;3 weeks on the list,HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;5 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;25 weeks on the list",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;40 weeks on the list,"BLUE EXORCIST, VOL. 1;by Kazue Kato;4 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;52 weeks on the list",ALONG FOR THE RIDE;by Sarah Dessen;4 weeks on the list,ARTHUR TURNS GREEN;by Marc Brown;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;199 weeks on the list
6,THE LINCOLN LAWYER;by Michael Connelly;8 weeks on the list,BORN OF SHADOWS;by Sherrilyn Kenyon;New this week,SOMETHING BORROWED;by Emily Giffin;4 weeks on the list,,,SAVAGE NATURE;by Christine Feehan;,THE SOCIAL ANIMAL;by David Brooks;8 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;8 weeks on the list,HAVE A LITTLE FAITH;by Mitch Albom;5 weeks on the list,THE WIZARD OF LIES;by Diana B. Henriques;New this week,THE 4-HOUR BODY;by Timothy Ferriss;20 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;28 weeks on the list,KABOOM!;by Darell Hammond;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;21 weeks on the list",SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;56 weeks on the list,"PANDORA HEARTS, VOL. 5;by Jun Mochizuki;New this week",ABANDON;by Meg Cabot;New this week,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;26 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;5 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;19 weeks on the list
7,THE FIFTH WITNESS;by Michael Connelly;4 weeks on the list,I’LL WALK ALONE;by Mary Higgins Clark;4 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;99 weeks on the list,,,WORTH DYING FOR;by Lee Child;,THE WIZARD OF LIES;by Diana B. Henriques;New this week,ONWARD;by Howard Schultz with Joanne Gordon;4 weeks on the list,THE BIG SHORT;by Michael Lewis;13 weeks on the list,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;4 weeks on the list,THE BEST ADVICE I EVER GOT;by Katie Couric;3 weeks on the list,SUPER NATURAL EVERY DAY;by Heidi Swanson;4 weeks on the list,LIBERTY DEFINED;by Ron Paul;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;31 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;87 weeks on the list,"OMAMORI HIMARI, VOL. 3;by Milan Matra;New this week",THE EMERALD ATLAS;by John Stephens;4 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;93 weeks on the list,ME ... JANE;by Patrick McDonnell;New this week,HARRY POTTER;by J.K. Rowling;252 weeks on the list
8,SAVAGE NATURE;by Christine Feehan;New this week,CHASING FIRE;by Nora Roberts;3 weeks on the list,A GAME OF THRONES;by George R.R. Martin;2 weeks on the list,,,THE SEARCH;by Nora Roberts;,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;4 weeks on the list,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;3 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;191 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;8 weeks on the list,HOW TO GET OUT OF YOUR OWN WAY;by Tyrese Gibson;2 weeks on the list,RADICAL;by David Platt;45 weeks on the list,THE SOCIAL ANIMAL;by David Brooks;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;31 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;14 weeks on the list","NARUTO, VOL. 50;by Masashi Kishimoto;13 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;38 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;14 weeks on the list,PRESS HERE;by Hervé Tullet;2 weeks on the list,THE 39 CLUES;by various authors;82 weeks on the list
9,BEL-AIR DEAD;by Stuart Woods;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;49 weeks on the list,THE POSTMISTRESS;by Sarah Blake;13 weeks on the list,,,MOONLIGHT COVE;by Sherryl Woods;,LIBERTY DEFINED;by Ron Paul;2 weeks on the list,ALL THAT IS BITTER AND SWEET;by Ashley Judd with Maryanne Vollers;4 weeks on the list,DRIVE;by Daniel H. Pink;4 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;14 weeks on the list,THIS IS GONNA HURT;by Nikki Sixx;3 weeks on the list,RADICAL TOGETHER;by David Platt;2 weeks on the list,ONWARD;by Howard Schultz with Joanne Gordon;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;12 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;20 weeks on the list","HIGURASHI WHEN THEY CRY: EYE OPENING ARC, VOL. 2;by Ryukishi07;New this week",HOORAY FOR AMANDA AND HER ALLIGATOR!;written and illustrated by Mo Willems;New this week,INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;5 weeks on the list,"DREAM BIG, LITTLE PIG!;by Kristi Yamaguchi. Illustrated by Tim Bowers;6 weeks on the list",WARRIORS;by Erin Hunter;101 weeks on the list
10,CHASING FIRE;by Nora Roberts;3 weeks on the list,SAVE ME;by Lisa Scottoline;3 weeks on the list,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;49 weeks on the list,,,THE LAND OF PAINTED CAVES;by Jean M. Auel;,ONWARD;by Howard Schultz with Joanne Gordon;4 weeks on the list,THE WIZARD OF LIES;by Diana B. Henriques;New this week,JUST KIDS;by Patti Smith;26 weeks on the list,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;8 weeks on the list,UNLIMITED;by Jillian Michaels;4 weeks on the list,THE EVERYGIRL'S GUIDE TO LIFE;by Maria Menounos;3 weeks on the list,BORN TO RUN;by Christopher McDougall;,GREEN LANTERN: SECRET ORIGIN;by Geoff Johns and Ivan Reis;New this week,"BATMAN AND ROBIN, VOL. 1: BATMAN REBORN;by Frank Quitely and Philip Tan;2 weeks on the list","BLACK BUTLER, VOL. 4;by Yana Toboso;14 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;7 weeks on the list,IT'S NOT SUMMER WITHOUT YOU;by Jenny Han;New this week,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;23 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;68 weeks on the list
