,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;84 weeks on the list,WOMAN OF GOD;by James Patterson and Maxine Paetro;New this week,THE GIRL ON THE TRAIN;by Paula Hawkins;12 weeks on the list,,,BORN TO RUN;by Bruce Springsteen;New this week,BORN TO RUN;by Bruce Springsteen;New this week,ALEXANDER HAMILTON;by Ron Chernow;51 weeks on the list,BORN TO RUN;by Bruce Springsteen;New this week,THE UNIVERSE HAS YOUR BACK;by Gabrielle Bernstein;New this week,"JUSTICE LEAGUE, VOL. 8;by Geoff Johns and Jason Fabok;New this week",GHOSTS;by Raina Telgemeier;3 weeks on the list,"FAIRY TAIL, VOL. 56;by Hiro Mashima;New this week",I AM MALALA;by Malala Yousafzai with Patricia McCormick;New this week,WONDER;by R.J. Palacio;60 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;60 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;4 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;54 weeks on the list,CROOKED KINGDOM;by Leigh Bardugo;New this week,CROOKED KINGDOM;by Leigh Bardugo;New this week,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;by Scott Cawthon and Kira Breed-Wrisley;New this week,THE PERFECT HORSE;by Elizabeth Letts;,THE UPSIDE OF INEQUALITY;by Edward Conard;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,JUST MERCY;by Bryan Stevenson;,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;,GRIT;by Angela Duckworth;,THE PIGEON TUNNEL;by John le Carré;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;,LOVE WARRIOR;by Glennon Doyle Melton;,LOVE WARRIOR;by Glennon Doyle Melton;,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,UNINVITED;by Lysa TerKeurst;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;
2,HOME;by Harlan Coben;2 weeks on the list,HOME;by Harlan Coben;2 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;40 weeks on the list,,,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THE WITCHES;by Stacy Schiff;2 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;3 weeks on the list,ALTON BROWN:  EVERYDAYCOOK;by Alton Brown;New this week,"ANGEL CATBIRD, VOL. 1;by Margaret Atwood and Johnnie Christmas;4 weeks on the list",DRAMA;by Raina Telgemeier;164 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;56 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;22 weeks on the list,DOG MAN;by Dav Pilkey;5 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;60 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;171 weeks on the list,HARRY POTTER;by J.K. Rowling;393 weeks on the list,FANGIRL;by Rainbow Rowell;2 weeks on the list,STALKING JACK THE RIPPER;by Kerri Maniscalco;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;60 weeks on the list,THE TRAINABLE CAT;by John Bradshaw and Sarah Ellis;,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;,BETWEEN BREATHS;by Elizabeth Vargas;,AMERICAN HEIRESS;by Jeffrey Toobin;,SAPIENS;by Yuval Noah Harari;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE SNOWDEN FILES;by Luke Harding;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;",VERN YIP'S DESIGN WISE;by Vern Yip;,THUG KITCHEN;by the staff of Thug Kitchen;,STRESS RELIEF COLORING BOOK;by the Adult Coloring Book Designs staff;,BETWEEN BREATHS;by Elizabeth Vargas;,YUGE!;by G. B. Trudeau;,UNINVITED;by Lysa TerKeurst;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,HILLBILLY ELEGY;by J.D. Vance;,JUST MERCY;by Bryan Stevenson;,PRESENT OVER PERFECT;by Shauna Niequist;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,SHOE DOG;by Phil Knight;,"ATLAS OBSCURA;by Joshua Foer, Dylan Thuras and Ella Morton;"
3,POSSESSION;by Helen Hardt;New this week,COMMONWEALTH;by Ann Patchett;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;25 weeks on the list,,,HILLBILLY ELEGY;by J.D. Vance;10 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;4 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;123 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;10 weeks on the list,DESIGNING YOUR LIFE;by Bill Burnett and Dave Evans;2 weeks on the list,FIGHT CLUB 2;by Chuck Palahniuk and Cameron Stewart;14 weeks on the list,"THE WALKING DEAD, VOL. 26;by Robert Kirkman and Charlie Adlard;2 weeks on the list","AKAME GA KILL! ZERO, VOL. 3;by Takahiro and Kei Toru;New this week",THE SWORD OF SUMMER;by Rick Riordan;44 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;10 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;60 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;11 weeks on the list,THE MAZE RUNNER;by James Dashner;178 weeks on the list,ALL THE BRIGHT PLACES;by Jennifer Niven;2 weeks on the list,THREE DARK CROWNS;by Kendare Blake;2 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;53 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,GRIT;by Angela Duckworth;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE KINGDOM OF SPEECH;by Tom Wolfe;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AVENUE OF SPIES;by Alex Kershaw;,INTO THE WILD;by Jon Krakauer;,BEAUTIFUL;written by Mark D. Sikes. Photographs by Amy Neunsinger;,OH SHE GLOWS EVERY DAY;by Angela Liddon;,MONSTER MANUAL;by Wizards RPG Team;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,IN SUCH GOOD COMPANY;by Carol Burnett;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",YUGE!;by G. B. Trudeau;,THE NEW JIM CROW;by Michelle Alexander;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",SAPIENS;by Yuval Noah Harari;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,BEST. STATE. EVER;by Dave Barry;
4,WOMAN OF GOD;by James Patterson and Maxine Paetro;New this week,THE UNDERGROUND RAILROAD;by Colson Whitehead;9 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;69 weeks on the list,,,LOVE WARRIOR;by Glennon Doyle Melton;4 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;10 weeks on the list,SULLY;by Chesley B. Sullenberger III with Jeffrey Zaslow;7 weeks on the list,LOVE WARRIOR;by Glennon Doyle Melton;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;173 weeks on the list,SNOW WHITE;by Matt Phelan;3 weeks on the list,"BLACK PANTHER: A NATION UNDER OUR FEET, BOOK 1;by Ta-Nehisi Coates and Brian Stelfreeze;3 weeks on the list","ONE-PUNCH MAN, VOL. 8;by ONE and Yusuke Murata;4 weeks on the list",WONDER;by R.J. Palacio;49 weeks on the list,THE SECRET KEEPERS;by Trenton Lee Stewart. Illustrated by Diana Sudyka;New this week,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;16 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;137 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;394 weeks on the list,UNTIL FRIDAY NIGHT;by Abbi Glines;4 weeks on the list,THE THOUSANDTH FLOOR;by Katharine McGee;4 weeks on the list,RED QUEEN;by Victoria Aveyard;17 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,"HUSTLE;by Neil Patel, Patrick Vlaskovits and Jonas Koffler;",GOOD VIBRATIONS;by Mike Love;,THE SNOWDEN FILES;by Luke Harding;,SPQR;by Mary Beard;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,RED NOTICE;by Bill Browder;,THE 37TH PARALLEL;by Ben Mezrich;,"SHOPPING, SEDUCTION AND MR. SELFRIDGE;by Lindy Woodhead;","EAT FAT, GET THIN;by Mark Hyman;",HARRY POTTER COLORING BOOK;by various illustrators;,BEING MORTAL;by Atul Gawande;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,DARING GREATLY;by Brené Brown;,THE GLASS CASTLE;by Jeannette Walls;,SCORCHED EARTH;by Michael Savage;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE BOOK OF MYSTERIES;by Jonathan Cahn;,BEING MORTAL;by Atul Gawande;,BELIEVING IN MAGIC;by Cookie Johnson with Denene Millner;,HOW TO READ WATER;by Tristan Gooley;
5,A MAN CALLED OVE;by Fredrik Backman;19 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;11 weeks on the list,THE LAST MILE;by David Baldacci;3 weeks on the list,,,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;7 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;7 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;130 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;7 weeks on the list,UNINVITED;by Lysa TerKeurst;8 weeks on the list,HILO BOOK 2: SAVING THE WHOLE WIDE WORLD;by Judd Winick;16 weeks on the list,"AVATAR, THE LAST AIRBENDER: NORTH AND SOUTH PART ONE;by Gene Luen Yang and Gurihiru;New this week","ASSASSINATION CLASSROOM, VOL. 1;by Yusei Matsui;20 weeks on the list","FORTUNATELY, THE MILK;by Neil Gaiman. Illustrated by Skottie Young;3 weeks on the list",THE HIDDEN ORACLE;by Rick Riordan;22 weeks on the list,THE BFG;by Roald Dahl. Illustrated by Quentin Blake;17 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;104 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;10 weeks on the list,THE THOUSANDTH FLOOR;by Katharine McGee;New this week,SIX OF CROWS;by Leigh Bardugo;42 weeks on the list,A MONSTER CALLS;by Patrick Ness. Illustrated by Jim Kay;8 weeks on the list,DOG MEDICINE;by Julie Barton;,SHOE DOG;by Phil Knight;,IT'S NOT OKAY;by Andi Dorfman;,BLOOD IN THE WATER;by Heather Ann Thompson;,M TRAIN;by Patti Smith;,WEAPONS OF MATH DESTRUCTION;by Cathy O'Neil;,100 DEADLY SKILLS;by Clint Emerson;,DEAD WAKE;by Erik Larson;,PEACOCK AND VINE;by A. S. Byatt;,THE SEASONED LIFE;by Ayesha Curry;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;","EAT FAT, GET THIN;by Mark Hyman;",I'M JUDGING YOU;by Luvvie Ajayi;,IT'S NOT OKAY;by Andi Dorfman;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,UNHOLY ALLIANCE;by Jay Sekulow;,HIDDEN FIGURES;by Margot Lee Shetterly;,UNBROKEN;by Laura Hillenbrand;,THE WRIGHT BROTHERS;by David McCullough;
6,COMMONWEALTH;by Ann Patchett;3 weeks on the list,RAZOR GIRL;by Carl Hiaasen;4 weeks on the list,"IN A DARK, DARK WOOD;by Ruth Ware;19 weeks on the list",,,WHEN NOBODY WAS WATCHING;by Carli Lloyd with Wayne Coffey;New this week,WHEN NOBODY WAS WATCHING;by Carli Lloyd with Wayne Coffey;New this week,JUST MERCY;by Bryan Stevenson;47 weeks on the list,HITLER: ASCENT 1889-1939;by Volker Ullrich;New this week,YOU ARE A BADASS;by Jen Sincero;38 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;224 weeks on the list,SMILE;by Raina Telgemeier;225 weeks on the list,"BERSERK, VOL. 1;by Kentaro Miura;New this week",,PAX;Sara Pennypacker. Illustrated by Jon Klassen;32 weeks on the list,CIRCUS MIRANDUS;by Cassie Beasley. Illustrated by Diana Sudyka;3 weeks on the list,THE THANK YOU BOOK;by Mo Willems;22 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;18 weeks on the list,,A TORCH AGAINST THE NIGHT;by Sabaa Tahir;5 weeks on the list,NERVE;by Jeanne Ryan;12 weeks on the list,NO BETTER FRIEND;by Robert Weintraub;,OUTLIERS;by Malcolm Gladwell;,AMERICAN HEIRESS;by Jeffrey Toobin;,WRITING MY WRONGS;by Shaka Senghor;,TRIBE;by Sebastian Junger;,NEUROTRIBES;by Steve Silberman;,THE BILLION DOLLAR SPY;by David E. Hoffman;,THE WRIGHT BROTHERS;by David McCullough;,THE RESIDENCE;by Kate Andersen Brower;,CRAVINGS;by Chrissy Teigen with Adeena Sussman;,ZENDOODLE COLORING: UPLIFTING INSPIRATIONS;illustrated by Justine Lustig;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,BASED ON A TRUE STORY;by Norm Macdonald;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,ARMAGEDDON;by Dick Morris and Eileen McGann;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,NO GOD BUT ONE - ALLAH OR JESUS?;by Nabeel Qureshi;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,HEAD BALL COACH;by Steve Spurrier with Buddy Martin;,BARBARIAN DAYS;by William Finnegan;
7,THE GOAL;by Elle Kennedy;New this week,CHRISTMAS CARAMEL MURDER;by Joanne Fluke;New this week,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;24 weeks on the list,,,HERO OF THE EMPIRE;by Candice Millard;2 weeks on the list,HERO OF THE EMPIRE;by Candice Millard;2 weeks on the list,SPQR;by Mary Beard;4 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;38 weeks on the list,BIG MAGIC;by Elizabeth Gilbert;24 weeks on the list,MOONCOP;by Tom Gauld;2 weeks on the list,AMERICAN BORN CHINESE;by Gene Luen Yang;9 weeks on the list,"HAIKYU!!, VOL. 3;by Haruichi Furudate;4 weeks on the list",,THE INQUISITOR'S TALE;by Adam Gidwitz. Illustrated by Hatem Aly;New this week,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;12 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;228 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;407 weeks on the list,,GIRL IN PIECES;by Kathleen Glasgow;4 weeks on the list,WE ALL LOOKED UP;by Tommy Wallach;5 weeks on the list,THE SOUND OF A WILD SNAIL EATING;by Elisabeth Tova Bailey;,TOGETHER IS BETTER;by Simon Sinek;,BASED ON A TRUE STORY;by Norm Macdonald;,FORENSICS;by Val McDermid;,PUSSY;by Regena Thomashauer;,SUBSTITUTE;by Nicholson Baker;,THE DEVIL'S CHESSBOARD;by David Talbot;,BARBARIAN DAYS;by William Finnegan;,NOW I SIT ME DOWN;by Witold Rybczynski;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,LOST OCEAN;illustrated by Johanna Basford;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,"CARRY ON, WARRIOR;by Glennon Doyle Melton;",THE EXPECTANT FATHER;by Armin A. Brott and Jennifer Ash;,THE UPSIDE OF INEQUALITY;by Edward Conard;,MARCH: BOOK THREE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,INNER ENGINEERING;by Sadhguru;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BARBARIAN DAYS;by William Finnegan;,THE OREGON TRAIL;by Rinker Buck;
8,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;13 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;4 weeks on the list,AFTER YOU;by Jojo Moyes;11 weeks on the list,,,ALEXANDER HAMILTON;by Ron Chernow;40 weeks on the list,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;24 weeks on the list,QUIET;by Susan Cain;143 weeks on the list,BETWEEN BREATHS;by Elizabeth Vargas;3 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;101 weeks on the list,HILO BOOK 1: THE BOY WHO CRASHED TO EARTH;by Judd Winick;21 weeks on the list,SISTERS;by Raina Telgemeier;102 weeks on the list,"DEVILS’ LINE, VOL. 3;by Ryo Hanada;New this week",,RAD WOMEN WORLDWIDE;by Kate Schatz. Illustrated by Miriam Klein Stahl;New this week,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;56 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;75 weeks on the list",GIVER QUARTET;by Lois Lowry;133 weeks on the list,,"SWARM;by Scott Westerfeld, Margo Lanagan and Deborah Biancotti;New this week",THE CABIN;by Natasha Preston;3 weeks on the list,VOICES IN THE OCEAN;by Susan Casey;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",M TRAIN;by Patti Smith;,DREAMLAND;by Sam Quinones;,THE SIX;by Laura Thompson;,THE GIFT OF FAILURE;by Jessica Lahey;,PLAYING TO THE EDGE;by Michael V. Hayden;,THE OREGON TRAIL;by Rinker Buck;,A FIELD GUIDE TO REDHEADS;written and illustrated by Elizabeth Graeber;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,HARRY POTTER MAGICAL PLACES AND CHARACTERS COLORING BOOK;by various illustrators;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,BOSSYPANTS;by Tina Fey;,TRIBE;by Sebastian Junger;,ON BECOMING BABYWISE;by Gary Ezzo and Robert Buckram;,CRISIS OF CHARACTER;by Gary J. Byrne with Grant M. Schmidt;,THE OTHER WES MOORE;by Wes Moore;,THE 37TH PARALLEL;by Ben Mezrich;,THE POWER OF HABIT;by Charles Duhigg;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,WILD;by Cheryl Strayed;
9,SNOWFALL ON HAVEN POINT;by RaeAnne Thayne;New this week,PIRATE;by Clive Cussler and Robin Burcell;3 weeks on the list,SEE ME;by Nicholas Sparks;9 weeks on the list,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;38 weeks on the list,SCORCHED EARTH;by Michael Savage;3 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;3 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;27 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;60 weeks on the list,"BATMAN, VOL. 9;by Scott Snyder and Greg Capullo;3 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;60 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;65 weeks on the list",,FISH IN A TREE;by Lynda Mullaly Hunt;27 weeks on the list,THE WAR THAT SAVED MY LIFE;by Kimberly Brubaker Bradley;9 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;54 weeks on the list,MICHAEL VEY;by Richard Paul Evans;9 weeks on the list,,GLASS SWORD;by Victoria Aveyard;34 weeks on the list,LOOKING FOR ALASKA;by John Green;60 weeks on the list,THE HIDDEN LIVES OF OWLS;by Leigh Calvez;,A PERFECT SCORE;by Kathryn Hall and Craig Hall;,BOSSYPANTS;by Tina Fey;,SISTERS IN LAW;by Linda Hirshman;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE MAGIC OF MATH;by Arthur Benjamin;,THE INFILTRATOR;by Robert Mazur;,WILD;by Cheryl Strayed;,EMPIRE OF COTTON;by Sven Beckert;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;,GUINNESS WORLD RECORDS GAMER'S EDITION 2017;by Guinness World Records with contributions by Ali-A;,MEDICAL MEDIUM;by Anthony William;,SICK IN THE HEAD;by Judd Apatow;,PUSSY;by Regena Thomashauer;,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,JUST MERCY;by Bryan Stevenson;,CITIZEN;by Claudia Rankine;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,THE QUEEN OF KATWE;by Tim Crothers;,PANCAKES IN PARIS;by Craig Carlson;
10,INFERNO;by Dan Brown;30 weeks on the list,THE KEPT WOMAN;by Karin Slaughter;2 weeks on the list,DIARY OF AN OXYGEN THIEF;by Anonymous;2 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;122 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;38 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;105 weeks on the list",LUST AND WONDER;by Augusten Burroughs;3 weeks on the list,THE SEASONED LIFE;by Ayesha Curry;2 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;20 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;65 weeks on the list,"TOKYO GHOUL, VOL. 8;by Sui Ishida;7 weeks on the list",,THE LAST KIDS ON EARTH AND THE ZOMBIE PARADE;by Max Brallier. Illustrated by Douglas Holgate;4 weeks on the list,I AM MALALA;by Malala Yousafzai with Patricia McCormick;15 weeks on the list,THIS IS ME;by Jamie Lee Curtis. Illustrated by Laura Cornell;2 weeks on the list,I SURVIVED;by Lauren Tarshis;23 weeks on the list,,ELEANOR AND PARK;by Rainbow Rowell;46 weeks on the list,THE CELLAR;by Natasha Preston;14 weeks on the list,SAD ANIMAL FACTS;written and illustrated by Brooke Barker;,THE POWER OF HABIT;by Charles Duhigg;,SICK IN THE HEAD;by Judd Apatow;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,TV (THE BOOK);by Alan Sepinwall and Matt Zoller Seitz;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,ISAAC'S STORM;by Erik Larson;,A (BRIEF) HISTORY OF VICE;by Robert Evans;,THE FOOD LAB;by J. Kenji Lopez-Alt;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler;,INNER ENGINEERING;by Sadhguru;,IT GETS WORSE;by Shane Dawson;,CITIZEN;by Claudia Rankine;,PRIMATES OF PARK AVENUE;by Wednesday Martin;,THE NEW JIM CROW;by Michelle Alexander;,WRITINGS ON THE WALL;by Kareem Abdul-Jabbar and Raymond Obstfeld;,THE UNTETHERED SOUL;by Michael A. Singer;,HOW TO READ WATER;by Tristan Gooley;,FIND A WAY;by Diana Nyad;,WHEN IN FRENCH;by Lauren Collins;
11,DARKEST JOURNEY;by Heather Graham;New this week,NUTSHELL;by Ian McEwan;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;,,,HITLER: ASCENT 1889-1939;by Volker Ullrich;New this week,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;64 weeks on the list,OUTLIERS;by Malcolm Gladwell;,THE BOYS IN THE BOAT;by Daniel James Brown;,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 37TH PARALLEL;by Ben Mezrich;,SWIMMING IN THE SINK;by Lynne Cox;,
12,CHRISTMAS CARAMEL MURDER;by Joanne Fluke;New this week,THE NIGHTINGALE;by Kristin Hannah;80 weeks on the list,INFERNO;by Dan Brown;,,,BETWEEN BREATHS;by Elizabeth Vargas;3 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;,THE QUANTUM RULES;by Kunal K. Das;,DANIELLE WALKER'S AGAINST ALL GRAIN CELEBRATIONS;by Danielle Walker;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE WRIGHT BROTHERS;by David McCullough;,THE MANNINGS;by Lars Anderson;,
13,THE LIFE SHE WANTS;by Robyn Carr;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;126 weeks on the list,FATES AND FURIES;by Lauren Groff;,,,SCORCHED EARTH;by Michael Savage;3 weeks on the list,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,HERO OF THE EMPIRE;by Candice Millard;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I CONTAIN MULTITUDES;by Ed Yong;,BIG PAPI THANKS FOR THE MEMORIES;by David Fischer and David Aretha;,
14,THE WOMAN IN CABIN 10;by Ruth Ware;9 weeks on the list,APPRENTICE IN DEATH;by J. D. Robb;4 weeks on the list,THE SYMPATHIZER;by Viet Thanh Nguyen;,,,HAMILTON: THE REVOLUTION;by Lin-Manuel Miranda and Jeremy McCarter;21 weeks on the list,THE YEAR OF VOTING DANGEROUSLY;by Maureen Dowd;New this week,THE POWER OF HABIT;by Charles Duhigg;,SAPIENS;by Yuval Noah Harari;,PRESENT OVER PERFECT;by Shauna Niequist;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,EVERYTHING IS POSSIBLE;by Jen Bricker with Sheryl Berk;,
