,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Food and Diet,Humor,Love and Relationships,Parenthood and Family,Politics and American History,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,OUTLANDER;by Diana Gabaldon;4 weeks on the list,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;2 weeks on the list,GONE GIRL;by Gillian Flynn;18 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;167 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;14 weeks on the list,UNBROKEN;by Laura Hillenbrand;4 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;31 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;72 weeks on the list,SECONDS;by Bryan Lee O'Malley;6 weeks on the list,PERSEPOLIS;by Marjane Satrapi;35 weeks on the list,"MONSTER MUSUME, VOL. 4;by Okayado;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;61 weeks on the list,DIVERGENT;by Veronica Roth;44 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,OUTLIERS;by Malcolm Gladwell;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,THE GLASS CASTLE;by Jeannette Walls;,UNBROKEN;by Laura Hillenbrand;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,IN THE KINGDOM OF ICE;by Hampton Sides;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,BIG LITTLE LIES;by Liane Moriarty;4 weeks on the list,ADULTERY;by Paulo Coelho;New this week,THE ALCHEMIST;by Paulo Coelho;318 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;14 weeks on the list,THE ORGANIZED MIND;by Daniel J. Levitin;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;13 weeks on the list,UNBROKEN;by Laura Hillenbrand;186 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;7 weeks on the list,KILL MY MOTHER;by Jules Feiffer;New this week,"THE WALKING DEAD, VOL. 21;by Robert Kirkman and Charlie Adlard;4 weeks on the list","DEADMAN WONDERLAND, VOL. 4;by Jinsei Katoka and Kazuma Kondou;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;151 weeks on the list",THE MAZE RUNNER;by James Dashner;98 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,A FRIEND LIKE HENRY;by Nuala Gardner;,THE PATH BETWEEN THE SEAS;by David McCullough;,TAKING THE LEAD;by Derek Hough;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,DARING GREATLY;by Brené Brown;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICA;by Dinesh D'Souza;,THE POWER OF NOW;by Eckhart Tolle;,QUIET;by Susan Cain;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,MEAN STREAK;by Sandra Brown;New this week,BIG LITTLE LIES;by Liane Moriarty;4 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;53 weeks on the list,,,THE ORGANIZED MIND;by Daniel J. Levitin;New this week,AMERICA;by Dinesh D'Souza;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;168 weeks on the list,THE PATH BETWEEN THE SEAS;by David McCullough;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;68 weeks on the list,THANOS: THE INFINITY REVELATION;by Jim Starlin;3 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;47 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;63 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PRESS HERE;by Hervé Tullet;154 weeks on the list,GIVER QUARTET;by Lois Lowry;53 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NEVER TURN YOUR BACK ON AN ANGUS COW;by Jan Pol with David Fisher;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DEAR CARY;by Dyan Cannon;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,LOVE DOES;by Bob Goff;,ETCHED IN SAND;by Regina Calcaterra;,A SPY AMONG FRIENDS;by Ben Macintyre;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,THE HOT ZONE;by Richard Preston;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,CARSICK;by John Waters;
4,GONE GIRL;by Gillian Flynn;91 weeks on the list,THE GOLDFINCH;by Donna Tartt;44 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;121 weeks on the list,,,IN THE KINGDOM OF ICE;by Hampton Sides;3 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;197 weeks on the list,HOW TO DISAPPEAR;by Frank Ahearn and Eileen Horan;New this week,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;25 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;16 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;21 weeks on the list,"ATTACK ON TITAN: BEFORE THE FALL, VOL. 2;by Hajime Isayama, Ryo Suzukaze and Satoshi Shiki;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;28 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;25 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,THE POWER OF HABIT;by Charles Duhigg;,BOSSYPANTS;by Tina Fey;,WHEAT BELLY;by William Davis;,MY DRUNK KITCHEN;by Hannah Hart;,"I'VE NEVER BEEN TO VEGAS, BUT MY LUGGAGE HAS;by Mandy Hale;",HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,ONE NATION;by Ben Carson with Candy Carson;,JESUS > RELIGION;by Jefferson Bethke;,DAVID AND GOLIATH;by Malcolm Gladwell;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;,UGANDA BE KIDDING ME;by Chelsea Handler;
5,UPSIDE DOWN;by Fern Michaels;New this week,MEAN STREAK;by Sandra Brown;New this week,OUTLANDER;by Diana Gabaldon;3 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;34 weeks on the list,THE WAY FORWARD;by Paul Ryan;New this week,THE GLASS CASTLE;by Jeannette Walls;361 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;3 weeks on the list,THE BEST YES;by Lysa TerKeurst;2 weeks on the list,HOW TO BE HAPPY;by Eleanor Davis;3 weeks on the list,"AMULET, VOL. 6;by Kazu Kibuishi;New this week","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;9 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;105 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;341 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,FROM BAGHDAD TO AMERICA;by Jay Kopelman;,#GIRLBOSS;by Sophia Amoruso;,THE CLOSER;by Mariano Rivera with Wayne Coffey;,MY DRUNK KITCHEN;by Hannah Hart;,BOSSYPANTS;by Tina Fey;,TATTOOS ON THE HEART;by Gregory Boyle;,HOW CHILDREN SUCCEED;by Paul Tough;,THE PATH BETWEEN THE SEAS;by David McCullough;,PROOF OF HEAVEN;by Eben Alexander;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEN HOGAN;by James Dodson;,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;
6,THE GOLDFINCH;by Donna Tartt;44 weeks on the list,WE ARE NOT OURSELVES;by Matthew Thomas;New this week,SYCAMORE ROW;by John Grisham;New this week,,,ONE NATION;by Ben Carson with Candy Carson;14 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;11 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;55 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;56 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;48 weeks on the list,"THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;4 weeks on the list",SISTERS;by Raina Telgemeier;New this week,"FAIRY TAIL, VOL. 41;by Hiro Mashima;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;36 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;154 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,100 DAYS OF REAL FOOD;by Lisa Leake;,HYPERBOLE AND A HALF;by Allie Brosh;,THE JOURNAL OF BEST PRACTICES;by David Finch;,ENRIQUE'S JOURNEY;by Sonia Nazario;,THE FIRST FAMILY DETAIL;by Ronald Kessler;,THE UNTETHERED SOUL;by Michael A. Singer;,THE POWER OF HABIT;by Charles Duhigg;,MY CONFERENCE CAN BEAT YOUR CONFERENCE;by Paul Finebaum and Gene Wojciechowski;,A WALK IN THE WOODS;by Bill Bryson;
7,SYCAMORE ROW;by John Grisham;24 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;16 weeks on the list,DARK PLACES;by Gillian Flynn;56 weeks on the list,,,THE PATH BETWEEN THE SEAS;by David McCullough;3 weeks on the list,EXCELLENT SHEEP;by William Deresiewicz;New this week,A LONG WAY GONE;by Ishmael Beah;88 weeks on the list,THE ORGANIZED MIND;by Daniel J. Levitin;New this week,THE DOCTOR'S DIET;by Travis Stork;20 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;129 weeks on the list,"GUARDIANS OF THE GALAXY: THE COMPLETE COLLECTION, VOL. 1;by Dan Abnett, Andy Lanning and others;2 weeks on the list","FOOD WARS!, VOL. 1;by Yuto Tsukudo and Shun Saeki;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;24 weeks on the list",THE SELECTION;by Kiera Cass;16 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,HAATCHI AND LITTLE B;by Wendy Holden;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,TIBETAN PEACH PIE;by Tom Robbins;,THE DOCTOR'S DIET;by Travis Stork;,DIARY OF A MAD DIVA;by Joan Rivers;,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,HARD CHOICES;by Hillary Rodham Clinton;,I DARED TO CALL HIM FATHER;by Bilquis Sheikh with Richard H. Schneider;,THE ORGANIZED MIND;by Daniel J. Levitin;,I'LL BE BACK RIGHT AFTER THIS;by Pat O'Brien;,COCKPIT CONFIDENTIAL;by Patrick Smith;
8,ORPHAN TRAIN;by Christina Baker Kline;31 weeks on the list,THE HEIST;by Daniel Silva;6 weeks on the list,FIFTY SHADES DARKER;by E. L. James;100 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;130 weeks on the list,THE FIRST FAMILY DETAIL;by Ronald Kessler;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;33 weeks on the list,WILD;by Cheryl Strayed;109 weeks on the list,#GIRLBOSS;by Sophia Amoruso;16 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;10 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;22 weeks on the list","DRAGONAR ACADEMY, VOL. 3;by Shiki Mizuchi and Ran;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND THE NEW GUY;by Kimberly Dean and James Dean;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;289 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,THE GARNER FILES;by James Garner and Jon Winokur;,THE BILLIONAIRE'S VINEGAR;by Benjamin Wallace;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE SWEET POTATO QUEENS' BOOK OF LOVE;by Jill Conner Browne;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,BLOOD FEUD;by Edward Klein;,WAKING UP IN HEAVEN;by Crystal McVea;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,WHEN THE GAME STANDS TALL;by Neil Hayes;,NYC BASIC TIPS AND ETIQUETTE;by Nathan W. Pyle;
9,DRAGONFLY IN AMBER;by Diana Gabaldon;2 weeks on the list,THE 6TH EXTINCTION;by James Rollins;2 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;17 weeks on the list,,,THE WAY FORWARD;by Paul Ryan;New this week,UNBROKEN;by Laura Hillenbrand;183 weeks on the list,WILD;by Cheryl Strayed;74 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;152 weeks on the list,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;15 weeks on the list,"SCOTT PILGRIM, VOL.5;by Bryan Lee O'Malley;2 weeks on the list","GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;3 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;36 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;21 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;207 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,TRAVELS WITH CASEY;by Benoit Denizet-Lewis;,BUSINESS ADVENTURES;by John Brooks;,I DIDN'T COME HERE TO MAKE FRIENDS;by Courtney Robertson with Deb Baer;,PRACTICAL PALEO;by Diane Sanfilippo;,HOW TO SURVIVE A SHARKNADO;by Andrew Shaffer;,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;",CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,ABSOLUTE MONARCHS;by John Julius Norwich;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,LUCKIEST MAN;by Jonathan Eig;,THE ULTIMATE SURVIVAL MANUAL;by Rich Johnson and the editors of Outdoor Life;
10,NOT A DRILL;by Lee Child;4 weeks on the list,LOVE LETTERS;by Debbie Macomber;2 weeks on the list,AMERICANAH;by Chimamanda Ngozi Adichie;25 weeks on the list,,,WILD;by Cheryl Strayed;75 weeks on the list,A SPY AMONG FRIENDS;by Ben Macintyre;4 weeks on the list,THE HOT ZONE;by Richard Preston;49 weeks on the list,ABSOLUTE MONARCHS;by John Julius Norwich;2 weeks on the list,MY DRUNK KITCHEN;by Hannah Hart;2 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;45 weeks on the list,SMILE;by Raina Telgemeier;115 weeks on the list,"ROSARIO+VAMPIRE, SEASON II, VOL. 13;by Akihisa Ikeda;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;11 weeks on the list,BLOODLINES;by Richelle Mead;10 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,JUST KIDS;by Patti Smith;,EAT TO LIVE COOKBOOK;by Joel Fuhrman;,UGANDA BE KIDDING ME;by Chelsea Handler;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,THE CONSCIOUS PARENT;by Shefali Tsabary;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,A YEAR OF BIBLICAL WOMANHOOD;by Rachel Held Evans;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,DEVIL AT MY HEELS;by Louis Zamperini and David Rensin;,THE EMERALD MILE;by Kevin Fedarko;
