,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,GONE GIRL;by Gillian Flynn;29 weeks on the list,THE RACKETEER;by John Grisham;9 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;41 weeks on the list,,,THE RACKETEER;by John Grisham;,PROOF OF HEAVEN;by Eben Alexander;9 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;12 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;9 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;9 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;8 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;11 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BUILDING STORIES;by Chris Ware;12 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;71 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;64 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;206 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TAP DANCING TO WORK;by Carol J. Loomis;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,THE RACKETEER;by John Grisham;9 weeks on the list,GONE GIRL;by Gillian Flynn;29 weeks on the list,LIFE OF PI;by Yann Martel;12 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;12 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;6 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;46 weeks on the list,THE END OF THE LINE;by Glenn Thrush and Jonathan Martin;New this week,GUINNESS WORLD RECORDS 2013;;15 weeks on the list,"THE CHEW;by the staff of ""The Chew"";13 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;8 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;11 weeks on the list","PUELLA MAGI MADOKA MAGICA, VOL. 3;by Magica Quartet;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;43 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;122 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,TIPPING POINT;by Malcolm Gladwell;,THOMAS JEFFERSON;by Jon Meacham;
3,FIFTY SHADES OF GREY;by E. L. James;43 weeks on the list,THREAT VECTOR;by Tom Clancy with Mark Greaney;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;38 weeks on the list,,,GONE GIRL;by Gillian Flynn;,THOMAS JEFFERSON;by Jon Meacham;6 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;65 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;110 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;12 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;6 weeks on the list",TO HEAVEN AND BACK;by Mary C. Neal;30 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,"KAMANDI: THE LAST BOY ON EARTH, OMNIBUS VOL. 2;by Jack Kirby and others;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;138 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;7 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PRESS HERE;by Hervé Tullet;71 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;12 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,SAFE HAVEN;by Nicholas Sparks;4 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;6 weeks on the list",FIFTY SHADES FREED;by E. L. James;38 weeks on the list,,,LIFE OF PI;by Yann Martel;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;64 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;16 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;66 weeks on the list,OUTLAW PLATOON;by Sean Parnell with John R. Bruning;8 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;282 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;74 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;4 weeks on the list","BAKUMAN, VOL. 17;by Tsugumi Ohba;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;13 weeks on the list,DORK DIARIES;by Rachel Renée Russell;64 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,THE FORGOTTEN;by David Baldacci;5 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;13 weeks on the list,SAFE HAVEN;by Nicholas Sparks;14 weeks on the list,,,THREAT VECTOR;by Tom Clancy with Mark Greaney;,NO EASY DAY;by Mark Owen with Kevin Maurer;16 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;12 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;34 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;16 weeks on the list,FIFTY SHADES OF CHICKEN;by F.L. Fowler;6 weeks on the list,EAT TO LIVE;by Joel Fuhrman;75 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;12 weeks on the list,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;6 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;33 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;274 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA AGAIN;by Stephen Colbert and others;
6,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;6 weeks on the list",NOTORIOUS NINETEEN;by Janet Evanovich;5 weeks on the list,CLOUD ATLAS;by David Mitchell;21 weeks on the list,,,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;",TEAM OF RIVALS;by Doris Kearns Goodwin;7 weeks on the list,UNBROKEN;by Laura Hillenbrand;110 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;14 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;65 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;7 weeks on the list,F IN EXAMS;by Richard Benson;11 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,"POGO, VOL. 2;by Walt Kelly;2 weeks on the list",NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;13 weeks on the list,"YOTSUBA&!, VOL. 11;by Kiyohiko Azuma;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;16 weeks on the list,MATCHED TRILOGY;by Ally Condie;6 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",THE CHECKLIST MANIFESTO;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
7,THREAT VECTOR;by Tom Clancy with Mark Greaney;3 weeks on the list,THE FORGOTTEN;by David Baldacci;5 weeks on the list,THE PARIS WIFE;by Paula McLain;4 weeks on the list,,,THE CASUAL VACANCY;by J. K. Rowling;,AMERICA AGAIN;by Stephen Colbert and others;7 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;12 weeks on the list,SERIOUSLY... I'M KIDDING;by Ellen DeGeneres;9 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;6 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;7 weeks on the list,F FOR EFFORT!;by Richard Benson;2 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;,INTERVIEW WITH THE VAMPIRE: CLAUDIA'S STORY;by Anne Rice and Ashley Marie Witter;3 weeks on the list,SMILE;by Raina Telgemeier;45 weeks on the list,"BLACK BIRD, VOL. 15;by Kanoko Sakurakouji;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;12 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;68 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THREE SIMPLE STEPS;by Trevor Blake;,LAST LION;by William Manchester and Paul Reid;
8,NOTORIOUS NINETEEN;by Janet Evanovich;5 weeks on the list,CROSS ROADS;by Wm. Paul Young;6 weeks on the list,WORLD WAR Z;by Max Brooks;26 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,UNBROKEN;by Laura Hillenbrand;100 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;6 weeks on the list,BOSSYPANTS;by Tina Fey;51 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;13 weeks on the list,BECAUSE I SAID SO!;by Ken Jennings;New this week,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;,ARE YOU MY MOTHER?;by Alison Bechdel;29 weeks on the list,DRAMA;by Raina Telgemeier;15 weeks on the list,"BLEACH, VOL. 52;by Tite Kubo;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;9 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;213 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,MASTERY;by Robert Greene;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
9,LIFE OF PI;by Yann Martel;7 weeks on the list,THE TIME KEEPER;by Mitch Albom;14 weeks on the list,BARED TO YOU;by Sylvia Day;28 weeks on the list,,,NOTORIOUS NINETEEN;by Janet Evanovich;,THE SIGNAL AND THE NOISE;by Nate Silver;11 weeks on the list,BRUCE;by Peter Ames Carlin;8 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;45 weeks on the list,I SUCK AT GIRLS;by Justin Halpern;6 weeks on the list,WHEAT BELLY;by William Davis;35 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;93 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,"SAILOR TWAIN, OR THE MERMAID IN THE HUDSON;by Mark Siegel;4 weeks on the list",MARBLES;by Ellen Forney;4 weeks on the list,"NARUTO, VOL. 58;by Masashi Kishimoto;8 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;9 weeks on the list,KANE CHRONICLES;by Rick Riordan;23 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,PATRIARCH;by David Nasaw;
10,THE BLACK BOX;by Michael Connelly;4 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;2 weeks on the list,REFLECTED IN YOU;by Sylvia Day;9 weeks on the list,,,THE FORGOTTEN;by David Baldacci;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;91 weeks on the list,WAGING HEAVY PEACE;by Neil Young;12 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;4 weeks on the list",EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;2 weeks on the list,THE SCIENCE OF GOOD COOKING;by the editors of America's Test Kitchen and Guy Crosby;8 weeks on the list,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;16 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;,THE BEST AMERICAN COMICS 2012;by Françoise Mouly;4 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;6 weeks on the list","SPICE AND WOLF, VOL. 7;by Isuna Hasekura;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THIS MOOSE BELONGS TO ME;by Oliver Jeffers;2 weeks on the list,HARRY POTTER;by J.K. Rowling;292 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,MONEYBALL;by Michael Lewis;,JOY OF HATE;by Greg Gutfeld;
