,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE FIX;by David Baldacci;New this week,THE FIX;by David Baldacci;New this week,MILK AND HONEY;by Rupi Kaur;54 weeks on the list,SHATTERED;by Jonathan Allen and Amie Parnes;New this week,THIS FIGHT IS OUR FIGHT;by Elizabeth Warren;New this week,THE ZOOKEEPER’S WIFE;by Diane Ackerman;38 weeks on the list,MAKE YOUR BED;by William H. McRaven;3 weeks on the list,WONDER;by R.J. Palacio;89 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;82 weeks on the list,HARRY POTTER;by J.K. Rowling;422 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;3 weeks on the list,HOW TO BE A BAWSE;by Lilly Singh;,HIDDEN FIGURES;by Margot Lee Shetterly;,THE CUBS WAY;by Tom Verducci;
2,FAST AND LOOSE;by Stuart Woods;New this week,THE BLACK BOOK;by James Patterson and David Ellis;4 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;2 weeks on the list,THIS FIGHT IS OUR FIGHT;by Elizabeth Warren;New this week,SHATTERED;by Jonathan Allen and Amie Parnes;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;189 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;19 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;17 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;19 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;423 weeks on the list,THE HATE U GIVE;by Angie Thomas;8 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE SECRETS OF MY LIFE;by Caitlyn Jenner with Buzz Bissinger;
3,THE BLACK BOOK;by James Patterson and David Ellis;4 weeks on the list,FAST AND LOOSE;by Stuart Woods;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;3 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;New this week,NOTE TO SELF;by Connor Franta;New this week,HIDDEN FIGURES;by Margot Lee Shetterly;20 weeks on the list,YOU ARE A BADASS;by Jen Sincero;67 weeks on the list,DOG MAN;by Dav Pilkey;34 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;200 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;83 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;
4,BIG LITTLE LIES;by Liane Moriarty;36 weeks on the list,THRAWN: ALLIANCES;by Timothy Zahn;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;11 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;11 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;4 weeks on the list,THE THIRD WAVE;by Steve Case;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;197 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;12 weeks on the list,TOUCH THE EARTH;by Julian Lennon with Bart Davis. Illustrated by Smiljana Coh;New this week,DORK DIARIES;by Rachel Renée Russell;204 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;47 weeks on the list,THE TRUTH ABOUT YOUR FUTURE;by Ric Edelman;,SAPIENS;by Yuval Noah Harari;,RETURN OF THE KING;by Brian Windhorst and Dave McMenamin;
5,A MAN CALLED OVE;by Fredrik Backman;48 weeks on the list,"ALL BY MYSELF, ALONE;by Mary Higgins Clark;3 weeks on the list",A MAN CALLED OVE;by Fredrik Backman;69 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;New this week,THE LOST CITY OF Z;by David Grann;21 weeks on the list,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;New this week,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;16 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;166 weeks on the list,PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;8 weeks on the list,CARVE THE MARK;by Veronica Roth;14 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,HEAD STRONG;by Dave Asprey;,SHOE DOG;by Phil Knight;
6,THE WOMAN IN CABIN 10;by Ruth Ware;13 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;11 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;8 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;39 weeks on the list,BLACK PRIVILEGE;by Charlamagne Tha God;New this week,ON TYRANNY;by Timothy Snyder;8 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;80 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;29 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;97 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;425 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;44 weeks on the list",AN AMERICAN SICKNESS;by Elisabeth Rosenthal;,HOMO DEUS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
7,ANY DAY NOW;by Robyn Carr;New this week,THE WOMEN IN THE CASTLE;by Jessica Shattuck;4 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;25 weeks on the list,BLACK PRIVILEGE;by Charlamagne Tha God;New this week,THE AMERICAN SPIRIT;by David McCullough;New this week,WHITE TRASH;by Nancy Isenberg;3 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;123 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;38 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;32 weeks on the list",MIDDLE SCHOOL;by James Patterson and others;45 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;24 weeks on the list,WEALTH CAN'T WAIT;by David Osborn and Paul Morris;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CRAZY IS MY SUPERPOWER;by A. J. Mendez Brooks;
8,THE HANDMAID'S TALE;by Margaret Atwood;5 weeks on the list,"TWO FROM THE HEART;by James Patterson and Frank Costantini, Emily Raymond and Brian Sitts;2 weeks on the list",THE NEST;by Cynthia D'Aprix Sweeney;3 weeks on the list,NOTE TO SELF;by Connor Franta;New this week,HILLBILLY ELEGY;by J.D. Vance;39 weeks on the list,THE GENIUS OF BIRDS;by Jennifer Ackerman;2 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;8 weeks on the list,JACK AND THE GENIUSES: AT THE BOTTOM OF THE WORLD;by Bill Nye and Gregory Mone. Illustrated by Nick Iluzada;3 weeks on the list,THE LEGEND OF ROCK PAPER SCISSORS;by Drew Daywalt. Illustrated by Adam Rex;2 weeks on the list,RED QUEEN;by Victoria Aveyard;11 weeks on the list,CARAVAL;by Stephanie Garber;12 weeks on the list,THE THIRD WAVE;by Steve Case;,THE UNDOING PROJECT;by Michael Lewis;,THE PHENOMENON;by Rick Ankiel and Tim Brown;
9,MILK AND HONEY;by Rupi Kaur;19 weeks on the list,ONE PERFECT LIE;by Lisa Scottoline;2 weeks on the list,THE SHACK;by William P. Young;150 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;83 weeks on the list,HALLELUJAH ANYWAY;by Anne Lamott;3 weeks on the list,DRAWDOWN;by Paul Hawken;New this week,"WAIT, WHAT?;by James E. Ryan;2 weeks on the list",DRAGONWATCH;by Brandon Mull. Illustrated by Brandon Dorman;5 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;4 weeks on the list,WARRIORS: A VISION OF SHADOWS;by Erin Hunter;2 weeks on the list,SCYTHE;by Neal Shusterman;13 weeks on the list,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,UNSCRIPTED;by Ernie Johnson Jr;
10,LILAC GIRLS;by Martha Hall Kelly;7 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;23 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;7 weeks on the list,THE AMERICAN SPIRIT;by David McCullough;New this week,THE TRUE JESUS;by David Limbaugh;2 weeks on the list,JUST MERCY;by Bryan Stevenson;65 weeks on the list,THE WHOLE30 COOKBOOK;by Melissa Hartwig;12 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: LOCKER HERO;by Rachel Renée Russell;20 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;130 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;13 weeks on the list,HEARTLESS;by Marissa Meyer;22 weeks on the list,ORIGINALS;by Adam Grant;,THE GENIUS OF BIRDS;by Jennifer Ackerman;,42 FAITH;by Ed Henry;
