,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE SECRET SERVANT;by Daniel Silva;New this week,THE SHACK;by William P. Young;10 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;8 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;78 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;16 weeks on the list,A NEW EARTH;by Eckhart Tolle;26 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;New this week,KRISTEN;by Lisi Harrison;4 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;37 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;51 weeks on the list
2,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;7 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;47 weeks on the list,,THE DARK SIDE;by Jane Mayer;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;79 weeks on the list",THE SECRET;by Rhonda Byrne;81 weeks on the list,SKINNY BITCH;by Kim Barnouin;55 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;28 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;26 weeks on the list,FAIRIES AND MAGICAL CREATURES;by Matthew Reinhart and Robert Sabuda;New this week,ARTEMIS FOWL;by Eoin Colfer;101 weeks on the list
3,THE HOST;by Stephenie Meyer;12 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;47 weeks on the list,,LIFE WITH MY SISTER MADONNA;by Christopher Ciccone with Wendy Leigh;2 weeks on the list,BIG RUSS AND ME;by Tim Russert;14 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;22 weeks on the list",THE POWER OF NOW;by Eckhart Tolle;41 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;67 weeks on the list,THE BOOK THIEF;by Markus Zusak;46 weeks on the list,ALPHABET;by Matthew Van Fleet;16 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;65 weeks on the list
4,TRIBUTE;by Nora Roberts;3 weeks on the list,BAREFOOT;by Elin Hilderbrand;7 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;9 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;31 weeks on the list,SIX DISCIPLINES EXECUTION REVOLUTION;by Gary Harpst;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;371 weeks on the list,WARRIORS: CATS OF THE CLANS;by Erin Hunter. Illustrated by Wayne McLoughlin;5 weeks on the list,ALICIA;by Lisi Harrison.;8 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;7 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;25 weeks on the list
5,THE LAST PATRIOT;by Brad Thor;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;46 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;14 weeks on the list",WISDOM OF OUR FATHERS;by Tim Russert;11 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;22 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;57 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;69 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;13 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;27 weeks on the list",THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;132 weeks on the list
6,SAIL;by James Patterson and Howard Roughan;7 weeks on the list,IN THE WOODS;by Tana French;9 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;5 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;43 weeks on the list,THE WINNERS MANUAL;by Jim Tressel with Chris Fabry;2 weeks on the list,HUNGRY GIRL;by Lisa Lillien;13 weeks on the list,LOCK AND KEY;by Sarah Dessen;14 weeks on the list,CAMP ROCK;by Lucy Ruggles;9 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;16 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;20 weeks on the list
7,INTO THE FIRE;by Suzanne Brockmann;New this week,NINETEEN MINUTES;by Jodi Picoult;25 weeks on the list,,HAVANA NOCTURNE;by T. J. English;New this week,DREAMS FROM MY FATHER;by Barack Obama;106 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;4 weeks on the list,DO DEAD PEOPLE WATCH YOU SHOWER?;by Concetta Bertoldi;New this week,THE MAGICIAN;by Michael Scott;5 weeks on the list,MASSIE;by Lisi Harrison;17 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;18 weeks on the list,HARRY POTTER;by J.K. Rowling;193 weeks on the list
8,DAMAGE CONTROL;by J. A. Jance;New this week,THE ROAD;by Cormac McCarthy;47 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;7 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;92 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;12 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;11 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;36 weeks on the list,night world;by L. J. Smith;3 weeks on the list,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;35 weeks on the list,KEYS TO THE KINGDOM;by Garth Nix;7 weeks on the list
9,FEARLESS FOURTEEN;by Janet Evanovich;6 weeks on the list,LOVING FRANK;by Nancy Horan;15 weeks on the list,,WHAT HAPPENED;by Scott McClellan;9 weeks on the list,MARLEY AND ME;by John Grogan;20 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;5 weeks on the list,"GO GREEN, LIVE RICH;by David Bach with Hillary Rosner;5 weeks on the list",THE PENDERWICKS ON GARDAM STREET;by Jeanne Birdsall;11 weeks on the list,TEMPTED;by Cecily von Ziegesar;8 weeks on the list,YOU CAN DO IT!;by Tony Dungy. Illustrated by Amy June Bates;3 weeks on the list,CLEMENTINE;by Sara Pennypacker. Illustrated by Marla Frazee;2 weeks on the list
10,CHASING HARRY WINSTON;by Lauren Weisberger;9 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;30 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;13 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;13 weeks on the list",THE 4-HOUR WORKWEEK;by Timothy Ferriss;35 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;13 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;6 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;3 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;New this week,PENDRAGON;by D. J. MacHale;69 weeks on the list
