,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,ANY DREAM WILL DO;by Debbie Macomber;New this week,ANY DREAM WILL DO;by Debbie Macomber;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;18 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;51 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;15 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;386 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;35 weeks on the list,WONDER;by R.J. Palacio;105 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;15 weeks on the list,HARRY POTTER;by J.K. Rowling;438 weeks on the list,THE HATE U GIVE;by Angie Thomas;24 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,THE BOYS IN THE BOAT;by Daniel James Brown;
2,THE GOOD DAUGHTER;by Karin Slaughter;New this week,CAMINO ISLAND;by John Grisham;10 weeks on the list,MILK AND HONEY;by Rupi Kaur;70 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;55 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;11 weeks on the list",JUST MERCY;by Bryan Stevenson;73 weeks on the list,OF MESS AND MOXIE;by Jen Hatmaker;New this week,MINECRAFT: THE ISLAND;by Max Brooks;4 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;439 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
3,THE LATE SHOW;by Michael Connelly;4 weeks on the list,THE LATE SHOW;by Michael Connelly;4 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;24 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;11 weeks on the list",HILLBILLY ELEGY;by J.D. Vance;55 weeks on the list,DUNKIRK;by Joshua Levine;6 weeks on the list,YOU ARE A BADASS;by Jen Sincero;83 weeks on the list,THE DARK PROPHECY;by Rick Riordan;15 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;32 weeks on the list,DESCENDANTS;by Melissa de la Cruz;12 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;12 weeks on the list,GRIT;by Angela Duckworth;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
4,THE WHISTLER;by John Grisham;21 weeks on the list,THE LYING GAME;by Ruth Ware;3 weeks on the list,READY PLAYER ONE;by Ernest Cline;26 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;15 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;New this week,OUTLIERS;by Malcolm Gladwell;239 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;213 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;7 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;98 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;38 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;10 weeks on the list,RED NOTICE;by Bill Browder;,HOMO DEUS;by Yuval Noah Harari;,BUT SERIOUSLY;by John McEnroe;
5,BARELY LEGAL;by Stuart Woods and Parnell Hall;New this week,BARELY LEGAL;by Stuart Woods and Parnell Hall;New this week,THE HANDMAID'S TALE;by Margaret Atwood;27 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;New this week,KILLERS OF THE FLOWER MOON;by David Grann;17 weeks on the list,ON TYRANNY;by Timothy Snyder;24 weeks on the list,MAKE YOUR BED;by William H. McRaven;19 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;33 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;182 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;21 weeks on the list,MILES MORALES: SPIDER-MAN;by Jason Reynolds;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",HIDDEN FIGURES;by Margot Lee Shetterly;,PAPI;by David Ortiz with Michael Holley;
6,CAMINO ISLAND;by John Grisham;10 weeks on the list,THE LAST TUDOR;by Philippa Gregory;New this week,TWO BY TWO;by Nicholas Sparks;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;17 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;16 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;203 weeks on the list,DREAM DIFFERENTLY;by Vince M. Bertram;2 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;9 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;215 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;79 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;17 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
7,THE WOMAN IN CABIN 10;by Ruth Ware;29 weeks on the list,THE GOOD DAUGHTER;by Karin Slaughter;New this week,THE COUPLE NEXT DOOR;by Shari Lapena;11 weeks on the list,THE BIG LIE;by Dinesh D'Souza;2 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;4 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;New this week,THE PLANT PARADOX;by Steven R. Gundry;9 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;10 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;15 weeks on the list,DORK DIARIES;by Rachel Renée Russell;219 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;12 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SHAKEN;by Tim Tebow;
8,THE GUNSLINGER;by Stephen King;4 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;38 weeks on the list,TRULY MADLY GUILTY;by Liane Moriarty;3 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;4 weeks on the list,THE BIG LIE;by Dinesh D'Souza;2 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;36 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;96 weeks on the list,THE CROSSOVER;by Kwame Alexander;19 weeks on the list,LITTLE EXCAVATOR;by Anna Dewdney;4 weeks on the list,GIVER QUARTET;by Lois Lowry;147 weeks on the list,THE LAST MAGICIAN;by Lisa Maxwell;4 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,SEVEN BRIEF LESSONS ON PHYSICS;by Carlo Rovelli;,I GOT THIS;by Laurie Hernandez;
9,THE LAST TUDOR;by Philippa Gregory;New this week,HOUSE OF SPIES;by Daniel Silva;5 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;19 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;19 weeks on the list,CONSCIENCE OF A CONSERVATIVE;by Jeff Flake;2 weeks on the list,EVICTED;by Matthew Desmond;8 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;139 weeks on the list,DOG MAN;by Dav Pilkey;50 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;109 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;441 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;60 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,ON TRAILS;by Robert Moor;,TEAMMATE;by David Ross with Don Yaeger;
10,BEFORE WE WERE YOURS;by Lisa Wingate;2 weeks on the list,INTO THE WATER;by Paula Hawkins;15 weeks on the list,BEHIND CLOSED DOORS;by B. A. Paris;5 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;16 weeks on the list,GRIT;by Angela Duckworth;22 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;135 weeks on the list",THUG KITCHEN;by the staff of Thug Kitchen;64 weeks on the list,REFUGEE;by Alan Gratz;2 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;42 weeks on the list",WINGS OF FIRE;by Tui T. Sutherland;22 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;38 weeks on the list,SHOE DOG;by Phil Knight;,EVERYTHING ALL AT ONCE;by Bill Nye;,BARBARIAN DAYS;by William Finnegan;
