,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,BLACK OPS;by W. E. B. Griffin;New this week,THE SHACK;by William P. Young;33 weeks on the list,,OUTLIERS;by Malcolm Gladwell;7 weeks on the list,MARLEY AND ME;by John Grogan;43 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;39 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;90 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;49 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;60 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;74 weeks on the list
2,SCARPETTA;by Patricia Cornwell;5 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;6 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;16 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;129 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;7 weeks on the list,TWILIGHT;by Mark Cotta Vaz;12 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;51 weeks on the list,CROSS MY HEART AND HOPE TO SPY;by Ally Carter;New this week,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;21 weeks on the list,HARRY POTTER;by J.K. Rowling;205 weeks on the list
3,THE HOST;by Stephenie Meyer;34 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;5 weeks on the list,,AMERICAN LION;by Jon Meacham;8 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;54 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;10 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;15 weeks on the list,ONE FALSE NOTE;by Gordon Korman;5 weeks on the list,THE BOOK THIEF;by Markus Zusak;69 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;7 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;19 weeks on the list
4,CROSS COUNTRY;by James Patterson;7 weeks on the list,THE READER;by Bernhard Schlink;5 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;11 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;101 weeks on the list,THE SECRET;by Rhonda Byrne;104 weeks on the list,SKINNY BITCH;by Kim Barnouin;78 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;11 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;9 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;17 weeks on the list,INHERITANCE;by Christopher Paolini;16 weeks on the list
5,FIRE AND ICE;by Julie Garwood;New this week,CHANGE OF HEART;by Jodi Picoult;5 weeks on the list,,WHY WE SUCK;by Denis Leary;7 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;23 weeks on the list,THE AMERICAN PATRIOT’S ALMANAC;by William J. Bennett and John T. E. Cribb.;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;392 weeks on the list,THE MAZE OF BONES;by Rick Riordan;17 weeks on the list,THE LUXE;by Anna Godbersen;5 weeks on the list,ABC3D;by Marion Bataille;12 weeks on the list,INKHEART;by Cornelia Funke;15 weeks on the list
6,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;30 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;18 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;15 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;102 weeks on the list",GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;16 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;New this week,THE HUNGER GAMES;by Suzanne Collins;17 weeks on the list,SLAM;by Nick Hornby;13 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;12 weeks on the list,NIGHT WORLD;by L. J. Smith;5 weeks on the list
7,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;8 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;New this week,,WISHFUL DRINKING;by Carrie Fisher;4 weeks on the list,BLINK;by Malcolm Gladwell;64 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;9 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;38 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;7 weeks on the list","MARLEY: A DOG LIKE NO OTHER;, by John Grogan;4 weeks on the list","BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;12 weeks on the list",VAMPIRE ACADEMY;by Richelle Mead;4 weeks on the list
8,RUNNING HOT;by Jayne Ann Krentz;New this week,WORLD WITHOUT END;by Ken Follett;13 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;17 weeks on the list",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;66 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;8 weeks on the list","DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;7 weeks on the list",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;14 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;22 weeks on the list,BEE AND ME;by Elle J. McGuinness. Illustrated by Heather Brown;New this week,BLUE BLOODS;by Melissa de la Cruz;4 weeks on the list
9,THE HOUR I FIRST BELIEVED;by Wally Lamb;8 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;46 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;8 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;115 weeks on the list,BREAKTHROUGH;by Suzanne Somers;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;77 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;13 weeks on the list,JUST LISTEN;by Sarah Dessen;24 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;11 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;2 weeks on the list
10,THE LUCKY ONE;by Nicholas Sparks;14 weeks on the list,THE APPEAL;by John Grisham;7 weeks on the list,,THE SNOWBALL;by Alice Schroeder;14 weeks on the list,TIPPING POINT;by Malcolm Gladwell;222 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;9 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;13 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;5 weeks on the list,THE ALCHEMYST;by Michael Scott;14 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;7 weeks on the list",WARRIORS;by Erin Hunter;68 weeks on the list
